"date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth","p_cases_recent_past_smooth","p_cases_stillsick_past_smooth"
"2020-03-22",0.025,0,0,0,0.025,0,0
"2020-03-23",0.0225,0,0,0,0.0225,0,0
"2020-03-24",0.0225,0,0,0,0.0225,0,0
"2020-03-25",0.0225,0,0,0,0.0225,0,0
"2020-03-26",0.0225,0,0,0,0.0225,0,0
"2020-03-27",0.0225,0,0,0,0.0225,0,0
"2020-03-28",0.0225,0,0,0,0.0225,0,0
"2020-03-29",0.0215384615384615,0,0,0,0.0215384615384615,0,0
"2020-03-30",0.0223880597014925,0,0,0,0.0223880597014925,0,0
"2020-03-31",0.0223880597014925,0,0,0,0.0223880597014925,0,0
"2020-04-01",0.0264550264550265,0,0,0,0.0264550264550265,0,0
"2020-04-02",0.0307692307692308,0,0,0,0.0307692307692308,0,0
"2020-04-03",0.0307692307692308,0,0,0,0.0307692307692308,0,0
"2020-04-04",0.0364444444444444,0,0,0,0.0364444444444444,0,0
"2020-04-05",0.0364444444444444,0,0,0,0.0364444444444444,0,0
"2020-04-06",0.0364444444444444,0,0,0,0.0364444444444444,0,0
"2020-04-07",0.0354243542435424,0,0,0,0.0354243542435424,0,0
"2020-04-08",0.0343642611683849,0,0,0,0.0343642611683849,0,0
"2020-04-09",0.0325714285714286,0,0,0,0.0325714285714286,0,0
"2020-04-10",0.0351485148514852,0,0,0,0.0351485148514852,0,0
"2020-04-11",0.0351485148514852,0,0,0,0.0351485148514852,0,0
"2020-04-12",0.0385786802030457,0,0,0,0.0385786802030457,0,0
"2020-04-13",0.0354838709677419,0,0,0,0.0354838709677419,0,0
"2020-04-14",0.0397479398933592,0,0,0,0.0397479398933592,0,0
"2020-04-15",0.0403945514325975,0,0,0,0.0403945514325975,0,0
"2020-04-16",0.0356043956043956,0,0,0,0.0405170191618327,0,0
"2020-04-17",0.0370697263901147,0,0,0,0.0379563648702069,0,0
"2020-04-18",0.0369068541300527,0,0,0,0.0377418722626089,0,0
"2020-04-19",0.0418825561312608,0,0,0,0.0418090977987355,0,0
"2020-04-20",0.0464316423043852,0,0,0,0.0430928918803968,0,0
"2020-04-21",0.0442820292347378,0,0,0,0.0440601853217918,0,0
"2020-04-22",0.0442820292347378,0,0,0,0.0448609190979795,0,0
"2020-04-23",0.0442820292347378,0,0,0,0.0455111092414949,0,0
"2020-04-24",0.0460017196904557,0,0,0,0.0463613039538385,0,0
"2020-04-25",0.0460017196904557,0,0,0,0.0470564407802746,0,0
"2020-04-26",0.0460017196904557,0,0,0,0.0475424395189603,0,0
"2020-04-27",0.0464316423043852,0,0,0,0.0480580055531473,0,0
"2020-04-28",0.0464316423043852,0,0,0,0.0484861958783155,0,0
"2020-04-29",0.0468615649183147,0,0,0,0.0489309186279484,0,0
"2020-04-30",0.0468615649183147,0,0,0,0.0469739369364929,0,0
"2020-05-01",0.0489228007181329,0,0,0,0.0496531295419422,0,0
"2020-05-02",0.0489228007181329,0,0,0,0.0501144663318075,0,0
"2020-05-03",0.0489228007181329,0,0,0,0.0504823613467492,0,0
"2020-05-04",0.0489228007181329,0,0,0,0.0507710217514565,0,0
"2020-05-05",0.0489228007181329,0,0,0,0.0509940429906999,0,0
"2020-05-06",0.0489228007181329,0,0,0,0.0511636608189064,0,0
"2020-05-07",0.0489228007181329,0,0,0,0.0491057060487575,0,0
"2020-05-08",0.0489228007181329,0,0,0,0.0490558347391987,0,0
"2020-05-09",0.0489228007181329,0,0,0,0.0490472275173211,0,0
"2020-05-10",0.0489228007181329,0,0,0,0.0490178889846795,0,0
