"date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth","p_cases_recent_past_smooth","p_cases_stillsick_past_smooth"
"2020-03-19",0.0205116386264116,0,0,0,0.0205116386264116,0,0
"2020-03-20",0.0257131378063479,0,0,0,0.0257131378063479,0,0
"2020-03-21",0.0385026737967914,0,0,0,0.0385026737967914,0,0
"2020-03-22",0.0329057445621863,0,0,0,0.0329057445621863,0,0
"2020-03-23",0.0329057445621863,0,0,0,0.0329057445621863,0,0
"2020-03-24",0.038961038961039,0,0,0,0.038961038961039,0,0
"2020-03-25",0.0378031383737518,0,0,0,0.0378031383737518,0,0
"2020-03-26",0.0364730878186969,0,0,0,0.0364730878186969,0,0
"2020-03-27",0.0407354001441961,0,0,0,0.0407354001441961,0,0
"2020-03-28",0.0465817694369973,0,0,0,0.0465817694369973,0,0
"2020-03-29",0.0468384074941452,0,0,0,0.0468384074941452,0,0
"2020-03-30",0.0529801324503311,0,0,0,0.0529801324503311,0,0
"2020-03-31",0.0659951372004168,0,0,0,0.0659951372004168,0,0
"2020-04-01",0.0681431005110733,0,0,0,0.0681431005110733,0,0
"2020-04-02",0.063728813559322,0,0,0,0.063728813559322,0,0
"2020-04-03",0.06957928802589,0,0,0,0.06957928802589,0,0
"2020-04-04",0.0696319018404908,0,0,0,0.0696319018404908,0,0
"2020-04-05",0.0759493670886076,0,0,0,0.0759493670886076,0,0
"2020-04-06",0.0705737956428352,0,0,0,0.0705737956428352,0,0
"2020-04-07",0.0687929956222639,0,0,0,0.0687929956222639,0,0
"2020-04-08",0.0574823378291586,0,0,0,0.0574823378291586,0,0
"2020-04-09",0.0542049934296978,0,0,0,0.0542049934296978,0,0
"2020-04-10",0.0507563025210084,0,0,0,0.0507563025210084,0,0
"2020-04-11",0.0510529674537333,0,0,0,0.0510529674537333,0,0
"2020-04-12",0.0731859233883525,0,0,0,0.0731859233883525,0,0
"2020-04-13",0.0772626931567329,0,0,0,0.0772156844981963,0,0
