"date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth"
"2020-04-07",0.00178571428571429,0,0,0,0.00178571428571429
"2020-04-08",0.0033921302578019,0,0,0,0.0033921302578019
"2020-04-09",0.0071609098567818,0,0,0,0.0071609098567818
"2020-04-10",0.00740362522338524,0,0,0,0.00740362522338524
"2020-04-11",0.00312963267995388,0,0,0,0.00312963267995388
"2020-04-12",0.0100072780203785,0,0,0,0.0100072780203785
"2020-04-13",0.0181430096051227,0,0,0,0.0181430096051227
"2020-04-14",0.0134572252483178,0,0,0,0.0134572252483178
"2020-04-15",0.0134572252483178,0,0,0,0.0134572252483178
"2020-04-16",0.0127181307305531,0,0,0,0.0127181307305531
"2020-04-17",0.0127181307305531,0,0,0,0.0127181307305531
"2020-04-18",0.0127181307305531,0,0,0,0.0127181307305531
"2020-04-19",0.0127181307305531,0,0,0,0.0127181307305531
"2020-04-20",0.0127181307305531,0,0,0,0.0127181307305531
"2020-04-21",0.0127181307305531,0,0,0,0.0127181307305531
"2020-04-22",0.0127181307305531,0,0,0,0.0152709572250416
"2020-04-23",0.0127181307305531,0,0,0,0.0135404145319975
"2020-04-24",0.0127181307305531,0,0,0,0.0133206154615716
"2020-04-25",0.0127181307305531,0,0,0,0.0150270917664344
"2020-04-26",0.0130659374050441,0,0,0,0.0150387548040622
"2020-04-27",0.0130659374050441,0,0,0,0.0150355166315484
"2020-04-28",0.0130659374050441,0,0,0,0.0150248885245574
"2020-04-29",0.0130659374050441,0,0,0,0.0150091277970604
"2020-04-30",0.0130659374050441,0,0,0,0.0149875081141513
"2020-05-01",0.0130659374050441,0,0,0,0.0149661889223368
"2020-05-02",0.0130659374050441,0,0,0,0.0149394799797728
"2020-05-03",0.0130659374050441,0,0,0,0.0134025915765341
"2020-05-04",0.0130659374050441,0,0,0,0.0148874989665642
"2020-05-05",0.0130659374050441,0,0,0,0.0148603624923981
"2020-05-06",0.0130659374050441,0,0,0,0.0148312842401111
"2020-05-07",0.0130659374050441,0,0,0,0.0148033256533224
"2020-05-08",0.0130659374050441,0,0,0,0.0132785704046418
"2020-05-09",0.0130659374050441,0,0,0,0.0133514021846106
"2020-05-10",0.0130659374050441,0,0,0,0.0147213437043428
"2020-05-11",0.0130659374050441,0,0,0,0.0147043032746044
"2020-05-12",0.0130659374050441,0,0,0,0.0146755053194382
"2020-05-13",0.0130659374050441,0,0,0,0.0146470101004748
"2020-05-14",0.0130659374050441,0,0,0,0.0146211174449561
"2020-05-15",0.0130659374050441,0,0,0,0.01459430636011
"2020-05-16",0.0130659374050441,0,0,0,0.0145695613729363
"2020-05-17",0.0130659374050441,0,0,0,0.0145462132926396
"2020-05-18",0.0130659374050441,0,0,0,0.0145235479937339
"2020-05-19",0.0130659374050441,0,0,0,0.0145019985235401
"2020-05-20",0.0130659374050441,0,0,0,0.014480482256271
"2020-05-21",0.0130659374050441,0,0,0,0.0144593933954848
"2020-05-22",0.0130659374050441,0,0,0,0.0144392360656514
"2020-05-23",0.0130659374050441,0,0,0,0.0144191878783951
"2020-05-24",0.0130659374050441,0,0,0,0.0143996707243911
"2020-05-25",0.0130659374050441,0,0,0,0.0143803778136602
"2020-05-26",0.0130659374050441,0,0,0,0.0143618723584556
"2020-05-27",0.0130659374050441,0,0,0,0.0143438143907853
"2020-05-28",0.0130659374050441,0,0,0,0.0143261764075093
"2020-05-29",0.0130659374050441,0,0,0,0.0143089347999037
"2020-05-30",0.0130659374050441,0,0,0,0.0142920730762526
"2020-05-31",0.0130659374050441,0,0,0,0.014275582827953
