"X","date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_past_smooth","p_cases_stillsick_past_smooth"
1,"2020-03-22",0,0,0,0,0,0
2,"2020-03-23",0,0,0,0,0,0
3,"2020-03-24",0.00181818181818182,0,0,0,0.00181818181818182,0
4,"2020-03-25",0.00181818181818182,0,0,0,0.00181818181818182,0
5,"2020-03-26",0.00181818181818182,0,0,0,0.00181818181818182,0
6,"2020-03-27",0.00181818181818182,0,0,0,0.00181818181818182,0
7,"2020-03-28",0.00350877192982456,0,0,0,0.00350877192982456,0
8,"2020-03-29",0.00350877192982456,0,0,0,0.00350877192982456,0
9,"2020-03-30",0.00350877192982456,0,0,0,0.00350877192982456,0
10,"2020-03-31",0.00350877192982456,0,0,0,0.00350877192982456,0
11,"2020-04-01",0.0032258064516129,0,0,0,0.0032258064516129,0
12,"2020-04-02",0.00297397769516729,0,0,0,0.00297397769516729,0
13,"2020-04-03",0.00297397769516729,0,0,0,0.00297397769516729,0
14,"2020-04-04",0.00297397769516729,0,0,0,0.00297397769516729,0
15,"2020-04-05",0.00297397769516729,0,0,0,0.00297397769516729,0
16,"2020-04-06",0.00297397769516729,0,0,0,0.00297397769516729,0
17,"2020-04-07",0.00267558528428094,0,0,0,0.00267558528428094,0
18,"2020-04-08",0.00250783699059561,0,0,0,0.0031515040950223,0
19,"2020-04-09",0.00309119010819165,0,0,0,0.00317928973277758,0
20,"2020-04-10",0.00360576923076923,0,0,0,0.00331262061233314,0
21,"2020-04-11",0.00360576923076923,0,0,0,0.00342363694126896,0
22,"2020-04-12",0.00352112676056338,0,0,0,0.00349726829996638,0
23,"2020-04-13",0.00391236306729264,0,0,0,0.00363796299810134,0
24,"2020-04-14",0.00377216144851,0,0,0,0.00372716300574446,0
25,"2020-04-15",0.00377216144851,0,0,0,0.00380070294667675,0
26,"2020-04-16",0.00384467512495194,0,0,0,0.00387512130762116,0
27,"2020-04-17",0.00384467512495194,0,0,0,0.0039368431999338,0
28,"2020-04-18",0.00384467512495194,0,0,0,0.00398806480442839,0
29,"2020-04-19",0.00377216144851,0,0,0,0.00401811757586578,0
30,"2020-04-20",0.00377216144851,0,0,0,0.00404283217859634,0
