Attribute,Best Lag,Miscoding
cases,22,0.009954077741725364
cases_daily,29,0.010788028994028958
cases_contagious,22,0.010846930255463723
cases_active,22,0.008619436489578542
p_cases,9,0.012584294012601598
p_cases_recent,7,0.01032543213166466
p_cases_fatalities,9,0.01343409876836438
p_cases_stillsick,7,0.007596721722995657
p_cases_past_smooth,7,0.01650270978553166
p_cases_fatalities_past_smooth,14,0.017888874605100507
p_cases_recent_past_smooth,8,0.006822289051886754
p_cases_stillsick_past_smooth,7,0.006413262901296787
pct_cli,9,0.005979364513782898
pct_ili,9,0.007197325158376476
pct_fever,9,0.006103406939967655
pct_cough,7,0.012008166545403025
pct_difficulty_breathing,27,0.00644734261665819
pct_fatigue,7,0.006650012317881302
pct_stuffy_runny_nose,14,0.007885569643347943
pct_aches_muscle_pain,19,0.00872037461449095
pct_sore_throat,14,0.005819639559102191
pct_chest_pain,24,0.008301759261778036
pct_nausea,9,0.004833051154415589
pct_anosmia_ageusia,10,0.006849407745024012
pct_eye_pain,19,0.0077822128423925
pct_headache,14,0.0066836887671929465
pct_cmnty_sick,28,0.014201739846892025
pct_ever_tested,11,0.012344214009832695
pct_tested_recently,12,0.008507486206334439
pct_worked_outside_home,22,0.007791647242633256
pct_grocery_outside_home,12,0.006328076740928113
pct_ate_outside_home,23,0.012882543441351653
pct_spent_time_with_non_hh,12,0.012715530544075435
pct_attended_public_event,8,0.008845558562448386
pct_used_public_transit,11,0.009415603820285473
pct_direct_contact_with_non_hh,13,0.010090228771214538
pct_wear_mask_all_time,7,0.011197285335266732
pct_wear_mask_most_time,7,0.011036139748475483
pct_wear_mask_half_time,7,0.010851661306482904
pct_wear_mask_some_time,7,0.009848032879424748
pct_wear_mask_none_time,16,0.012817372932333882
pct_no_public,20,0.012230428331411306
pct_feel_nervous_all_time,8,0.003815458464088284
pct_feel_nervous_most_time,7,0.007481421088910657
pct_feel_nervous_some_time,9,0.009049682016287402
pct_feel_nervous_little_time,13,0.005451311777985718
pct_feel_nervous_none_time,9,0.008428124606821198
pct_feel_depressed_all_time,11,0.003791525366120739
pct_feel_depressed_most_time,23,0.008356360905971154
pct_feel_depressed_some_time,20,0.008323784697883922
pct_feel_depressed_little_time,10,0.007461218462921814
pct_feel_depressed_none_time,19,0.009243287388773749
pct_worried_ill_covid19_very,26,0.0077798400002910785
pct_worried_ill_covid19_somewhat,21,0.004761353499962361
pct_worried_ill_covid19_notTooWorried,21,0.007780339982025603
pct_worried_ill_covid19_notWorried,21,0.006236778204426698
pct_enough_toEat_very_worried,7,0.007668457586867378
pct_enough_toEat_somewhat_worried,22,0.005789061406720825
pct_enough_toEat_notToo_worried,25,0.006443048986515884
pct_enough_toEat_not_worried,21,0.0077089963298317575
pct_cli_past_smooth,9,0.010371580579073421
pct_ili_past_smooth,8,0.010802417229991304
pct_fever_past_smooth,8,0.010031102495647001
pct_cough_past_smooth,10,0.013632852122667185
pct_difficulty_breathing_past_smooth,14,0.007506200970554846
pct_fatigue_past_smooth,10,0.008549533135495412
pct_stuffy_runny_nose_past_smooth,26,0.010157160475916971
pct_aches_muscle_pain_past_smooth,10,0.010963341291372981
pct_sore_throat_past_smooth,10,0.00813004969357677
pct_chest_pain_past_smooth,19,0.006785981236111747
pct_nausea_past_smooth,7,0.007667639490942282
pct_anosmia_ageusia_past_smooth,20,0.008757435808854012
pct_eye_pain_past_smooth,18,0.01004617277630622
pct_headache_past_smooth,12,0.00797319496788866
pct_cmnty_sick_past_smooth,29,0.016598609475805465
pct_ever_tested_past_smooth,11,0.014632567436280032
pct_tested_recently_past_smooth,7,0.00885778612908183
pct_worked_outside_home_past_smooth,15,0.007741641552246864
pct_grocery_outside_home_past_smooth,22,0.013406950089356284
pct_ate_outside_home_past_smooth,22,0.013898241512797734
pct_spent_time_with_non_hh_past_smooth,11,0.013504256673774313
pct_attended_public_event_past_smooth,21,0.010189005713650789
pct_used_public_transit_past_smooth,7,0.009291929029801006
pct_direct_contact_with_non_hh_past_smooth,13,0.012494986577534733
pct_wear_mask_all_time_past_smooth,7,0.01121240392761954
pct_wear_mask_most_time_past_smooth,7,0.011163464194123366
pct_wear_mask_half_time_past_smooth,7,0.010938261259823338
pct_wear_mask_some_time_past_smooth,7,0.010030733631926211
pct_wear_mask_none_time_past_smooth,7,0.012434454593961154
pct_no_public_past_smooth,20,0.012230428331411306
pct_feel_nervous_all_time_past_smooth,9,0.004606573306162741
pct_feel_nervous_most_time_past_smooth,12,0.009899136166144178
pct_feel_nervous_some_time_past_smooth,15,0.009931024073855009
pct_feel_nervous_little_time_past_smooth,8,0.009021645397342464
pct_feel_nervous_none_time_past_smooth,19,0.009336400755793972
pct_feel_depressed_all_time_past_smooth,10,0.008206168092142264
pct_feel_depressed_most_time_past_smooth,18,0.009363019977147355
pct_feel_depressed_some_time_past_smooth,18,0.010257105751417188
pct_feel_depressed_little_time_past_smooth,7,0.008218030538115635
pct_feel_depressed_none_time_past_smooth,19,0.009747663104647709
pct_worried_ill_covid19_very_past_smooth,21,0.009335660888729553
pct_worried_ill_covid19_somewhat_past_smooth,21,0.006327663816159355
pct_worried_ill_covid19_notTooWorried_past_smooth,21,0.007874195087964945
pct_worried_ill_covid19_notWorried_past_smooth,22,0.0061943516620479545
pct_enough_toEat_very_worried_past_smooth,15,0.011530446027380547
pct_enough_toEat_somewhat_worried_past_smooth,8,0.005658286893201055
pct_enough_toEat_notToo_worried_past_smooth,24,0.006898603739170585
pct_enough_toEat_not_worried_past_smooth,23,0.007882563687135241
