Attribute,Best Lag,Miscoding
deaths,23,0.004787508565644999
cases_daily,22,0.004191633399059128
cases_contagious,21,0.00856809156307017
cases_active,19,0.007556736890338335
p_cases,7,0.016856582595268586
p_cases_recent,20,0.011874891813058336
p_cases_fatalities,9,0.026097470227203108
p_cases_stillsick,7,0.006709608875291415
p_cases_past_smooth,28,0.02384279013748807
p_cases_fatalities_past_smooth,7,0.022240313461259646
p_cases_recent_past_smooth,8,0.012902867586323414
p_cases_stillsick_past_smooth,13,0.005523649853209645
pct_cli,9,0.007189028786375737
pct_ili,26,0.005879662008413888
pct_fever,9,0.00705033910800146
pct_cough,29,0.0038159297287855445
pct_difficulty_breathing,8,0.0036873120220713286
pct_fatigue,27,0.00740610714928388
pct_stuffy_runny_nose,12,0.003739617046619965
pct_aches_muscle_pain,8,0.004109123008777182
pct_sore_throat,18,0.00977317262441012
pct_chest_pain,27,0.0058611257519548595
pct_nausea,24,0.0024417164141181287
pct_anosmia_ageusia,11,0.0037711493716757077
pct_eye_pain,8,0.007963128989100905
pct_headache,9,0.0041654322818261294
pct_cmnty_sick,27,0.014306025959889718
pct_ever_tested,7,0.01902806015097352
pct_tested_recently,8,0.007420212229441008
pct_worked_outside_home,9,0.005263886510806184
pct_grocery_outside_home,10,0.004378149279586763
pct_ate_outside_home,23,0.009002353240699977
pct_spent_time_with_non_hh,24,0.014680848689795925
pct_attended_public_event,23,0.01081000476094665
pct_used_public_transit,7,0.00841788723433624
pct_direct_contact_with_non_hh,8,0.011257394301850835
pct_wear_mask_all_time,18,0.01827229742909914
pct_wear_mask_most_time,7,0.021589028266374526
pct_wear_mask_half_time,7,0.019070489626108265
pct_wear_mask_some_time,7,0.01532105170251515
pct_wear_mask_none_time,7,0.007887642915057464
pct_no_public,7,0.008196759975401322
pct_feel_nervous_all_time,14,0.002759669688402852
pct_feel_nervous_most_time,10,0.006108196652017714
pct_feel_nervous_some_time,9,0.007679097578164257
pct_feel_nervous_little_time,13,0.006237212195055813
pct_feel_nervous_none_time,7,0.007276350595993955
pct_feel_depressed_all_time,9,0.003419760264721293
pct_feel_depressed_most_time,8,0.003896515500362948
pct_feel_depressed_some_time,7,0.006092828143407809
pct_feel_depressed_little_time,7,0.005834138820741954
pct_feel_depressed_none_time,7,0.006068645886488411
pct_worried_ill_covid19_very,24,0.005762893161993466
pct_worried_ill_covid19_somewhat,29,0.003034229531642921
pct_worried_ill_covid19_notTooWorried,17,0.010284022546456408
pct_worried_ill_covid19_notWorried,17,0.005785338907542817
pct_enough_toEat_very_worried,16,0.0036102449200626744
pct_enough_toEat_somewhat_worried,23,0.0025333498017562845
pct_enough_toEat_notToo_worried,19,0.00627082597790286
pct_enough_toEat_not_worried,16,0.005098563097879722
pct_cli_past_smooth,24,0.014158804525630692
pct_ili_past_smooth,29,0.01340016145902049
pct_fever_past_smooth,27,0.01396014881562592
pct_cough_past_smooth,29,0.005423791091780145
pct_difficulty_breathing_past_smooth,7,0.008999609582049472
pct_fatigue_past_smooth,11,0.015315290570890048
pct_stuffy_runny_nose_past_smooth,27,0.004757749585973111
pct_aches_muscle_pain_past_smooth,12,0.006524392198657108
pct_sore_throat_past_smooth,8,0.011251472159047954
pct_chest_pain_past_smooth,12,0.009890039280285654
pct_nausea_past_smooth,24,0.003689725309737328
pct_anosmia_ageusia_past_smooth,29,0.005571085058582241
pct_eye_pain_past_smooth,8,0.011374362212192502
pct_headache_past_smooth,20,0.005932640316851179
pct_cmnty_sick_past_smooth,28,0.014637078735369001
pct_ever_tested_past_smooth,13,0.021218410191953193
pct_tested_recently_past_smooth,9,0.0076557036032139395
pct_worked_outside_home_past_smooth,15,0.003895095611665206
pct_grocery_outside_home_past_smooth,15,0.006915734561015611
pct_ate_outside_home_past_smooth,20,0.009118759214819075
pct_spent_time_with_non_hh_past_smooth,24,0.015441276622788085
pct_attended_public_event_past_smooth,29,0.013612416115074204
pct_used_public_transit_past_smooth,17,0.009839596729626318
pct_direct_contact_with_non_hh_past_smooth,29,0.01695015270014301
pct_wear_mask_all_time_past_smooth,7,0.01862579402992193
pct_wear_mask_most_time_past_smooth,7,0.02170794870778765
pct_wear_mask_half_time_past_smooth,7,0.019123790342136827
pct_wear_mask_some_time_past_smooth,7,0.01615812912167346
pct_wear_mask_none_time_past_smooth,7,0.008196759975401287
pct_no_public_past_smooth,7,0.008196759975401322
pct_feel_nervous_all_time_past_smooth,7,0.009775237019113711
pct_feel_nervous_most_time_past_smooth,7,0.00901986252047688
pct_feel_nervous_some_time_past_smooth,12,0.009021380390762923
pct_feel_nervous_little_time_past_smooth,7,0.012680611654690485
pct_feel_nervous_none_time_past_smooth,7,0.007652382128489434
pct_feel_depressed_all_time_past_smooth,7,0.005829836976831446
pct_feel_depressed_most_time_past_smooth,8,0.008377855655652446
pct_feel_depressed_some_time_past_smooth,7,0.008049258797155394
pct_feel_depressed_little_time_past_smooth,7,0.009751142147983007
pct_feel_depressed_none_time_past_smooth,7,0.008303557337699446
pct_worried_ill_covid19_very_past_smooth,18,0.0072405729776817175
pct_worried_ill_covid19_somewhat_past_smooth,20,0.004287562756357727
pct_worried_ill_covid19_notTooWorried_past_smooth,8,0.010082749092887727
pct_worried_ill_covid19_notWorried_past_smooth,9,0.006732616745745175
pct_enough_toEat_very_worried_past_smooth,9,0.006935346900497144
pct_enough_toEat_somewhat_worried_past_smooth,23,0.002283495295231874
pct_enough_toEat_notToo_worried_past_smooth,15,0.0071161878370662335
pct_enough_toEat_not_worried_past_smooth,16,0.004658700559256575
