"date","countrycode","countryname","hosp_occupancy","icu_occupancy"
2020-02-02,"FR","France",6,1
2020-02-03,"FR","France",6,1
2020-02-04,"FR","France",6,1
2020-02-05,"FR","France",6,1
2020-02-06,"FR","France",6,NA
2020-02-07,"FR","France",11,1
2020-02-08,"FR","France",11,1
2020-02-09,"FR","France",11,1
2020-02-10,"FR","France",11,1
2020-02-11,"FR","France",11,NA
2020-02-12,"FR","France",11,1
2020-02-13,"FR","France",8,1
2020-02-14,"FR","France",NA,NA
2020-02-15,"FR","France",7,NA
2020-02-16,"FR","France",NA,NA
2020-02-17,"FR","France",NA,NA
2020-02-18,"FR","France",NA,NA
2020-02-19,"FR","France",4,NA
2020-02-20,"FR","France",11,NA
2020-02-21,"FR","France",1,NA
2020-02-22,"FR","France",NA,NA
2020-02-23,"FR","France",1,NA
2020-02-24,"FR","France",NA,NA
2020-02-25,"FR","France",2,NA
2020-02-26,"FR","France",4,NA
2020-02-27,"FR","France",24,2
2020-02-28,"FR","France",0,NA
2020-02-29,"FR","France",86,9
2020-03-01,"FR","France",116,9
2020-03-02,"FR","France",0,NA
2020-03-03,"FR","France",0,NA
2020-03-04,"FR","France",0,15
2020-03-05,"FR","France",0,23
2020-03-06,"FR","France",0,39
2020-03-07,"FR","France",0,45
2020-03-08,"FR","France",NA,NA
2020-03-09,"FR","France",NA,66
2020-03-10,"FR","France",0,86
2020-03-11,"FR","France",0,105
2020-03-12,"FR","France",0,129
2020-03-13,"FR","France",0,NA
2020-03-14,"FR","France",0,300
2020-03-15,"FR","France",400,NA
2020-03-16,"FR","France",0,NA
2020-03-17,"FR","France",2579,699
2020-03-18,"FR","France",2972,771
2020-03-19,"FR","France",4073,1002
2020-03-20,"FR","France",5226,1297
2020-03-21,"FR","France",5900,1453
2020-03-22,"FR","France",6954,1674
2020-03-23,"FR","France",8673,2080
2020-03-24,"FR","France",10163,2503
2020-03-25,"FR","France",12072,2935
2020-03-26,"FR","France",13879,3351
2020-03-27,"FR","France",15701,3758
2020-03-28,"FR","France",17580,4236
2020-03-29,"FR","France",19311,4592
2020-03-30,"FR","France",20946,5056
2020-03-31,"FR","France",22672,5496
2020-04-01,"FR","France",24543,5940
2020-04-02,"FR","France",26131,6305
2020-04-03,"FR","France",27302,6556
2020-04-04,"FR","France",28003,6723
2020-04-05,"FR","France",28747,6859
2020-04-06,"FR","France",29569,6948
2020-04-07,"FR","France",29871,7004
2020-04-08,"FR","France",30217,7019
2020-04-09,"FR","France",30608,6937
2020-04-10,"FR","France",31108,6875
2020-04-11,"FR","France",31159,6752
2020-04-12,"FR","France",31665,6714
2020-04-13,"FR","France",31952,6690
2020-04-14,"FR","France",32131,6599
2020-04-15,"FR","France",31623,6331
2020-04-16,"FR","France",31172,6139
2020-04-17,"FR","France",31061,5922
2020-04-18,"FR","France",30515,5733
2020-04-19,"FR","France",30486,5644
2020-04-20,"FR","France",30462,5584
2020-04-21,"FR","France",29984,5334
2020-04-22,"FR","France",29627,5127
2020-04-23,"FR","France",29113,4967
2020-04-24,"FR","France",28554,4785
2020-04-25,"FR","France",28119,4641
2020-04-26,"FR","France",28114,4598
2020-04-27,"FR","France",27954,4526
2020-04-28,"FR","France",27607,4392
2020-04-29,"FR","France",26736,4128
2020-04-30,"FR","France",26192,3947
2020-05-01,"FR","France",25809,3819
2020-05-02,"FR","France",25751,3770
2020-05-03,"FR","France",25739,3762
2020-05-04,"FR","France",25472,3639
2020-05-05,"FR","France",24701,3375
2020-05-06,"FR","France",23912,3095
2020-05-07,"FR","France",23139,2911
2020-05-08,"FR","France",22657,2820
2020-05-09,"FR","France",22547,2764
2020-05-10,"FR","France",22502,2728
2020-05-11,"FR","France",22219,2666
2020-05-12,"FR","France",21530,2496
2020-05-13,"FR","France",21009,2385
2020-05-14,"FR","France",20401,2256
2020-05-15,"FR","France",19801,2162
2020-05-16,"FR","France",19372,2091
2020-05-17,"FR","France",19302,2047
2020-05-18,"FR","France",18956,1958
2020-05-19,"FR","France",18409,1854
2020-05-20,"FR","France",17882,1754
2020-05-21,"FR","France",17527,1708
2020-05-22,"FR","France",17327,1664
2020-05-23,"FR","France",17122,1628
2020-05-24,"FR","France",17129,1618
2020-05-25,"FR","France",16742,1572
2020-05-26,"FR","France",16209,1519
2020-05-27,"FR","France",15627,1467
2020-05-28,"FR","France",15155,1395
2020-05-29,"FR","France",14643,1328
2020-05-30,"FR","France",14329,1293
2020-05-31,"FR","France",14271,1287
2020-06-01,"FR","France",14237,1270
2020-06-02,"FR","France",13978,1221
2020-06-03,"FR","France",13465,1179
2020-06-04,"FR","France",13054,1133
2020-06-05,"FR","France",12650,1065
2020-06-06,"FR","France",12433,1030
2020-06-07,"FR","France",12415,1024
2020-06-08,"FR","France",12269,995
2020-06-09,"FR","France",11915,926
2020-06-10,"FR","France",11632,904
2020-06-11,"FR","France",11420,875
2020-06-12,"FR","France",11079,851
2020-06-13,"FR","France",10864,843
2020-06-14,"FR","France",10836,841
2020-06-15,"FR","France",10707,818
2020-06-16,"FR","France",10490,792
2020-06-17,"FR","France",10222,744
2020-06-18,"FR","France",10080,724
2020-06-19,"FR","France",9925,699
2020-06-20,"FR","France",9792,687
2020-06-21,"FR","France",9778,687
2020-06-22,"FR","France",9648,673
2020-06-23,"FR","France",9446,654
2020-06-24,"FR","France",9254,630
2020-06-25,"FR","France",9096,623
2020-06-26,"FR","France",8841,606
2020-06-27,"FR","France",8715,594
2020-06-28,"FR","France",8727,594
2020-06-29,"FR","France",8643,591
2020-06-30,"FR","France",8491,574
2020-07-01,"FR","France",8291,554
2020-07-02,"FR","France",8103,545
2020-07-03,"FR","France",7946,533
2020-07-04,"FR","France",7863,517
2020-07-05,"FR","France",7863,521
2020-07-06,"FR","France",7806,521
2020-07-07,"FR","France",7550,511
2020-07-08,"FR","France",7254,503
2020-07-09,"FR","France",7134,486
2020-07-10,"FR","France",7020,471
2020-07-11,"FR","France",6995,470
2020-07-12,"FR","France",6991,473
2020-07-13,"FR","France",6941,467
2020-07-14,"FR","France",6907,465
2020-07-15,"FR","France",6873,457
2020-07-16,"FR","France",6754,456
2020-07-17,"FR","France",6646,452
2020-07-18,"FR","France",6614,450
