"year_week","date","countrycode","countryname","hosp_weekly_admission","icu_weekly_admission"
"2020-W11",2020-03-09,"CY","Cyprus",1.02751572955329,NA
"2020-W11",2020-03-10,"CY","Cyprus",1.02751572955329,NA
"2020-W11",2020-03-11,"CY","Cyprus",1.02751572955329,NA
"2020-W11",2020-03-12,"CY","Cyprus",1.02751572955329,NA
"2020-W11",2020-03-13,"CY","Cyprus",1.02751572955329,NA
"2020-W11",2020-03-14,"CY","Cyprus",1.02751572955329,NA
"2020-W11",2020-03-15,"CY","Cyprus",1.02751572955329,NA
"2020-W12",2020-03-16,"CY","Cyprus",2.74004194547545,0.342505243184431
"2020-W12",2020-03-17,"CY","Cyprus",2.74004194547545,0.342505243184431
"2020-W12",2020-03-18,"CY","Cyprus",2.74004194547545,0.342505243184431
"2020-W12",2020-03-19,"CY","Cyprus",2.74004194547545,0.342505243184431
"2020-W12",2020-03-20,"CY","Cyprus",2.74004194547545,0.342505243184431
"2020-W12",2020-03-21,"CY","Cyprus",2.74004194547545,0.342505243184431
"2020-W12",2020-03-22,"CY","Cyprus",2.74004194547545,0.342505243184431
"2020-W13",2020-03-23,"CY","Cyprus",6.05092596292495,1.94086304471178
"2020-W13",2020-03-24,"CY","Cyprus",6.05092596292495,1.94086304471178
"2020-W13",2020-03-25,"CY","Cyprus",6.05092596292495,1.94086304471178
"2020-W13",2020-03-26,"CY","Cyprus",6.05092596292495,1.94086304471178
"2020-W13",2020-03-27,"CY","Cyprus",6.05092596292495,1.94086304471178
"2020-W13",2020-03-28,"CY","Cyprus",6.05092596292495,1.94086304471178
"2020-W13",2020-03-29,"CY","Cyprus",6.05092596292495,1.94086304471178
"2020-W14",2020-03-30,"CY","Cyprus",4.11006291821317,1.02751572955329
"2020-W14",2020-03-31,"CY","Cyprus",4.11006291821317,1.02751572955329
"2020-W14",2020-04-01,"CY","Cyprus",4.11006291821317,1.02751572955329
"2020-W14",2020-04-02,"CY","Cyprus",4.11006291821317,1.02751572955329
"2020-W14",2020-04-03,"CY","Cyprus",4.11006291821317,1.02751572955329
"2020-W14",2020-04-04,"CY","Cyprus",4.11006291821317,1.02751572955329
"2020-W14",2020-04-05,"CY","Cyprus",4.11006291821317,1.02751572955329
"2020-W15",2020-04-06,"CY","Cyprus",2.28336828789621,0.799178900763673
"2020-W15",2020-04-07,"CY","Cyprus",2.28336828789621,0.799178900763673
"2020-W15",2020-04-08,"CY","Cyprus",2.28336828789621,0.799178900763673
"2020-W15",2020-04-09,"CY","Cyprus",2.28336828789621,0.799178900763673
"2020-W15",2020-04-10,"CY","Cyprus",2.28336828789621,0.799178900763673
"2020-W15",2020-04-11,"CY","Cyprus",2.28336828789621,0.799178900763673
"2020-W15",2020-04-12,"CY","Cyprus",2.28336828789621,0.799178900763673
"2020-W16",2020-04-13,"CY","Cyprus",1.37002097273772,0.456673657579241
"2020-W16",2020-04-14,"CY","Cyprus",1.37002097273772,0.456673657579241
"2020-W16",2020-04-15,"CY","Cyprus",1.37002097273772,0.456673657579241
"2020-W16",2020-04-16,"CY","Cyprus",1.37002097273772,0.456673657579241
"2020-W16",2020-04-17,"CY","Cyprus",1.37002097273772,0.456673657579241
"2020-W16",2020-04-18,"CY","Cyprus",1.37002097273772,0.456673657579241
"2020-W16",2020-04-19,"CY","Cyprus",1.37002097273772,0.456673657579241
"2020-W17",2020-04-20,"CY","Cyprus",0.799178900763673,0.228336828789621
"2020-W17",2020-04-21,"CY","Cyprus",0.799178900763673,0.228336828789621
"2020-W17",2020-04-22,"CY","Cyprus",0.799178900763673,0.228336828789621
"2020-W17",2020-04-23,"CY","Cyprus",0.799178900763673,0.228336828789621
"2020-W17",2020-04-24,"CY","Cyprus",0.799178900763673,0.228336828789621
"2020-W17",2020-04-25,"CY","Cyprus",0.799178900763673,0.228336828789621
"2020-W17",2020-04-26,"CY","Cyprus",0.799178900763673,0.228336828789621
"2020-W18",2020-04-27,"CY","Cyprus",0.570842071974052,NA
"2020-W18",2020-04-28,"CY","Cyprus",0.570842071974052,NA
"2020-W18",2020-04-29,"CY","Cyprus",0.570842071974052,NA
"2020-W18",2020-04-30,"CY","Cyprus",0.570842071974052,NA
"2020-W18",2020-05-01,"CY","Cyprus",0.570842071974052,NA
