"","date","countrycode","population","cases","deaths","cases_prev_week","deaths_prev_week","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases","p_cases_contagious","p_cases_active"
"24474","2020/03/07","VA",815,1,0,1,0,1,0,1,1,0.00122699386503067,0.00122699386503067,0.00122699386503067,0.00122699386503067
"24473","2020/03/16","VA",815,0,0,1,0,1,0,1,1,0.00122699386503067,0,0.00122699386503067,0.00122699386503067
"24472","2020/03/17","VA",815,0,0,1,0,1,0,1,1,0.00122699386503067,0,0.00122699386503067,0.00122699386503067
"24471","2020/03/18","VA",815,0,0,1,0,1,0,1,1,0.00122699386503067,0,0.00122699386503067,0.00122699386503067
"24470","2020/03/19","VA",815,0,0,1,0,1,0,1,1,0.00122699386503067,0,0.00122699386503067,0.00122699386503067
"24469","2020/03/20","VA",815,0,0,1,0,1,0,1,1,0.00122699386503067,0,0.00122699386503067,0.00122699386503067
"24468","2020/03/21","VA",815,0,0,1,0,1,0,1,1,0.00122699386503067,0,0.00122699386503067,0.00122699386503067
"24467","2020/03/22","VA",815,0,0,0,0,1,0,1,1,0.00122699386503067,0,0.00122699386503067,0.00122699386503067
"24466","2020/03/23","VA",815,0,0,0,0,1,0,1,1,0.00122699386503067,0,0.00122699386503067,0.00122699386503067
"24465","2020/03/24","VA",815,0,0,0,0,1,0,1,1,0.00122699386503067,0,0.00122699386503067,0.00122699386503067
"24464","2020/03/25","VA",815,0,0,0,0,1,0,1,1,0.00122699386503067,0,0.00122699386503067,0.00122699386503067
"24463","2020/03/26","VA",815,0,0,0,0,1,0,1,1,0.00122699386503067,0,0.00122699386503067,0.00122699386503067
"24462","2020/03/27","VA",815,4,0,4,0,5,0,4,5,0.00613496932515337,0.0049079754601227,0.0049079754601227,0.00613496932515337
"24461","2020/03/28","VA",815,0,0,4,0,5,0,4,5,0.00613496932515337,0,0.0049079754601227,0.00613496932515337
"24460","2020/03/29","VA",815,1,0,5,0,6,0,5,6,0.00736196319018405,0.00122699386503067,0.00613496932515337,0.00736196319018405
"24459","2020/03/30","VA",815,0,0,5,0,6,0,5,6,0.00736196319018405,0,0.00613496932515337,0.00736196319018405
"24458","2020/03/31","VA",815,0,0,5,0,6,0,5,6,0.00736196319018405,0,0.00613496932515337,0.00736196319018405
"24457","2020/04/01","VA",815,0,0,5,0,6,0,5,6,0.00736196319018405,0,0.00613496932515337,0.00736196319018405
"24456","2020/04/02","VA",815,0,0,5,0,6,0,5,5,0.00736196319018405,0,0.00613496932515337,0.00613496932515337
"24455","2020/04/03","VA",815,0,0,1,0,6,0,5,5,0.00736196319018405,0,0.00613496932515337,0.00613496932515337
"24454","2020/04/04","VA",815,1,0,2,0,7,0,6,6,0.00858895705521472,0.00122699386503067,0.00736196319018405,0.00736196319018405
"24453","2020/04/05","VA",815,0,0,1,0,7,0,6,6,0.00858895705521472,0,0.00736196319018405,0.00736196319018405
"24452","2020/04/06","VA",815,0,0,1,0,7,0,6,6,0.00858895705521472,0,0.00736196319018405,0.00736196319018405
"24451","2020/04/07","VA",815,0,0,1,0,7,0,6,6,0.00858895705521472,0,0.00736196319018405,0.00736196319018405
"24450","2020/04/08","VA",815,0,0,1,0,7,0,2,6,0.00858895705521472,0,0.00245398773006135,0.00736196319018405
"24449","2020/04/09","VA",815,1,0,2,0,8,0,3,7,0.0098159509202454,0.00122699386503067,0.00368098159509202,0.00858895705521472
"24448","2020/04/10","VA",815,0,0,2,0,8,0,2,7,0.0098159509202454,0,0.00245398773006135,0.00858895705521472
