"","date","countrycode","population","cases","deaths","cases_prev_week","deaths_prev_week","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases","p_cases_contagious","p_cases_active"
"27277","2020/03/12","JM",2948277,2,0,2,0,2,0,2,2,6.78362311275365e-07,6.78362311275365e-07,6.78362311275365e-07,6.78362311275365e-07
"27276","2020/03/13","JM",2948277,4,0,6,0,6,0,6,6,2.0350869338261e-06,1.35672462255073e-06,2.0350869338261e-06,2.0350869338261e-06
"27275","2020/03/14","JM",2948277,2,0,8,0,8,0,8,8,2.71344924510146e-06,6.78362311275365e-07,2.71344924510146e-06,2.71344924510146e-06
"27274","2020/03/16","JM",2948277,2,0,10,0,10,0,10,10,3.39181155637683e-06,6.78362311275365e-07,3.39181155637683e-06,3.39181155637683e-06
"27273","2020/03/17","JM",2948277,0,0,10,0,10,0,10,10,3.39181155637683e-06,0,3.39181155637683e-06,3.39181155637683e-06
"27272","2020/03/18","JM",2948277,3,0,13,0,13,0,13,13,4.40935502328987e-06,1.01754346691305e-06,4.40935502328987e-06,4.40935502328987e-06
"27271","2020/03/19","JM",2948277,2,0,15,0,15,0,15,15,5.08771733456524e-06,6.78362311275365e-07,5.08771733456524e-06,5.08771733456524e-06
"27270","2020/03/20","JM",2948277,1,0,14,0,16,0,16,16,5.42689849020292e-06,3.39181155637683e-07,5.42689849020292e-06,5.42689849020292e-06
"27269","2020/03/21","JM",2948277,3,0,13,0,19,0,19,19,6.44444195711597e-06,1.01754346691305e-06,6.44444195711597e-06,6.44444195711597e-06
"27268","2020/03/22","JM",2948277,0,0,11,0,19,0,19,19,6.44444195711597e-06,0,6.44444195711597e-06,6.44444195711597e-06
"27267","2020/03/23","JM",2948277,0,0,9,0,19,0,19,19,6.44444195711597e-06,0,6.44444195711597e-06,6.44444195711597e-06
"27266","2020/03/24","JM",2948277,0,0,9,0,19,0,19,19,6.44444195711597e-06,0,6.44444195711597e-06,6.44444195711597e-06
"27265","2020/03/25","JM",2948277,2,1,8,1,21,1,19,21,7.12280426839133e-06,6.78362311275365e-07,6.44444195711597e-06,7.12280426839133e-06
"27264","2020/03/26","JM",2948277,4,0,10,1,25,1,19,25,8.47952889094207e-06,1.35672462255073e-06,6.44444195711597e-06,8.47952889094207e-06
"27263","2020/03/27","JM",2948277,1,0,10,1,26,1,18,26,8.81871004657975e-06,3.39181155637683e-07,6.10526080147829e-06,8.81871004657975e-06
"27262","2020/03/28","JM",2948277,0,0,7,1,26,1,16,26,8.81871004657975e-06,0,5.42689849020292e-06,8.81871004657975e-06
"27261","2020/03/29","JM",2948277,6,0,13,1,32,1,22,32,1.08537969804058e-05,2.0350869338261e-06,7.46198542402902e-06,1.08537969804058e-05
"27260","2020/03/30","JM",2948277,2,0,15,1,34,1,21,34,1.15321592916812e-05,6.78362311275365e-07,7.12280426839133e-06,1.15321592916812e-05
"27259","2020/03/31","JM",2948277,4,0,19,1,38,1,23,36,1.28888839142319e-05,1.35672462255073e-06,7.8011665796667e-06,1.22105216029566e-05
"27258","2020/04/01","JM",2948277,0,0,17,0,38,1,22,32,1.28888839142319e-05,0,7.46198542402902e-06,1.08537969804058e-05
"27257","2020/04/02","JM",2948277,6,2,19,2,44,3,25,36,1.4923970848058e-05,2.0350869338261e-06,8.47952889094207e-06,1.22105216029566e-05
"27256","2020/04/03","JM",2948277,3,0,21,2,47,3,28,37,1.59415143149711e-05,1.01754346691305e-06,9.49707235785511e-06,1.25497027585943e-05
"27255","2020/04/04","JM",2948277,6,0,27,2,53,3,34,43,1.79766012487972e-05,2.0350869338261e-06,1.15321592916812e-05,1.45847896924204e-05
"27254","2020/04/05","JM",2948277,2,0,23,2,55,3,36,42,1.86549635600725e-05,6.78362311275365e-07,1.22105216029566e-05,1.42456085367827e-05
"27253","2020/04/06","JM",2948277,3,0,24,2,58,3,37,43,1.96725070269856e-05,1.01754346691305e-06,1.25497027585943e-05,1.45847896924204e-05
"27252","2020/04/07","JM",2948277,1,0,21,2,59,3,34,43,2.00116881826233e-05,3.39181155637683e-07,1.15321592916812e-05,1.45847896924204e-05
"27251","2020/04/08","JM",2948277,4,0,25,2,63,3,37,44,2.1368412805174e-05,1.35672462255073e-06,1.25497027585943e-05,1.4923970848058e-05
"27250","2020/04/09","JM",2948277,0,1,19,1,63,4,37,44,2.1368412805174e-05,0,1.25497027585943e-05,1.4923970848058e-05
"27249","2020/04/10","JM",2948277,0,0,16,1,63,4,31,44,2.1368412805174e-05,0,1.05146158247682e-05,1.4923970848058e-05
"27248","2020/04/11","JM",2948277,2,0,12,1,65,4,31,46,2.20467751164494e-05,6.78362311275365e-07,1.05146158247682e-05,1.56023331593334e-05
"27247","2020/04/12","JM",2948277,4,0,14,1,69,4,31,48,2.34034997390001e-05,1.35672462255073e-06,1.05146158247682e-05,1.62806954706088e-05
"27246","2020/04/13","JM",2948277,3,0,14,1,72,4,34,47,2.44210432059132e-05,1.01754346691305e-06,1.15321592916812e-05,1.59415143149711e-05
"27245","2020/04/14","JM",2948277,1,0,14,1,73,4,29,47,2.47602243615508e-05,3.39181155637683e-07,9.8362535134928e-06,1.59415143149711e-05
"27244","2020/04/15","JM",2948277,32,1,42,2,105,5,58,79,3.56140213419567e-05,1.08537969804058e-05,1.96725070269856e-05,2.67953112953769e-05
"27243","2020/04/16","JM",2948277,20,0,62,1,125,5,72,93,4.23976444547103e-05,6.78362311275365e-06,2.44210432059132e-05,3.15438474743045e-05
"27242","2020/04/17","JM",2948277,18,0,80,1,143,5,88,109,4.85029052561886e-05,6.10526080147829e-06,2.98479416961161e-05,3.69707459645074e-05
"27241","2020/04/18","JM",2948277,20,0,98,1,163,5,105,125,5.52865283689423e-05,6.78362311275365e-06,3.56140213419567e-05,4.23976444547103e-05
"27240","2020/04/19","JM",2948277,10,0,104,1,173,5,114,135,5.86783399253191e-05,3.39181155637683e-06,3.86666517426958e-05,4.57894560110872e-05
"27239","2020/04/20","JM",2948277,23,0,124,1,196,5,133,152,6.64795065049858e-05,7.8011665796667e-06,4.51110936998118e-05,5.15555356569278e-05
"27238","2020/04/21","JM",2948277,27,1,150,2,223,6,160,176,7.56373977072032e-05,9.15789120221743e-06,5.42689849020292e-05,5.96958833922321e-05
"27237","2020/04/22","JM",2948277,10,0,128,1,233,6,170,180,7.902920926358e-05,3.39181155637683e-06,5.7660796458406e-05,6.10526080147829e-05
"27236","2020/04/23","JM",2948277,19,0,127,1,252,6,187,197,8.5473651220696e-05,6.44444195711597e-06,6.34268761042466e-05,6.68186876606235e-05
"27235","2020/04/24","JM",2948277,0,0,109,1,252,6,183,194,8.5473651220696e-05,0,6.20701514816959e-05,6.58011441937104e-05
"27234","2020/04/25","JM",2948277,36,1,125,2,288,7,216,229,9.76841728236526e-05,1.22105216029566e-05,7.32631296177394e-05,7.76724846410293e-05
"27233","2020/04/26","JM",2948277,17,0,132,2,305,7,232,242,0.000103450252469493,5.7660796458406e-06,7.86900281079424e-05,8.20818396643192e-05
"27232","2020/04/27","JM",2948277,45,0,154,2,350,7,245,287,0.000118713404473189,1.52631520036957e-05,8.30993831312322e-05,9.73449916680149e-05
"27231","2020/04/28","JM",2948277,14,0,141,1,364,7,239,301,0.000123461940652116,4.74853617892756e-06,8.10642961974061e-05,0.000102093527846942
"27230","2020/04/29","JM",2948277,17,0,148,1,381,7,238,316,0.000129228020297957,5.7660796458406e-06,8.07251150417685e-05,0.000107181245181508
"27229","2020/04/30","JM",2948277,15,0,144,1,396,7,233,327,0.000134315737632522,5.08771733456524e-06,7.902920926358e-05,0.000110912237893522
"27228","2020/05/01","JM",2948277,26,1,170,2,422,8,249,350,0.000143134447679102,8.81871004657975e-06,8.4456107753783e-05,0.000118713404473189
"27227","2020/05/02","JM",2948277,10,0,144,1,432,8,236,359,0.000146526259235479,3.39181155637683e-06,8.00467527304931e-05,0.000121766034873928
"27226","2020/05/03","JM",2948277,31,0,158,1,463,8,240,358,0.000157040875060247,1.05146158247682e-05,8.14034773530438e-05,0.00012142685371829
"27225","2020/05/04","JM",2948277,6,1,119,2,469,9,236,344,0.000159075961994073,2.0350869338261e-06,8.00467527304931e-05,0.000116678317539363
"27224","2020/05/05","JM",2948277,2,0,107,2,471,9,219,328,0.000159754324305349,6.78362311275365e-07,7.42806730846525e-05,0.00011125141904916
"27223","2020/05/06","JM",2948277,2,0,92,2,473,9,221,310,0.000160432686616624,6.78362311275365e-07,7.49590353959279e-05,0.000105146158247682
"27222","2020/05/07","JM",2948277,5,0,82,2,478,9,190,305,0.000162128592394812,1.69590577818841e-06,6.44444195711597e-05,0.000103450252469493
"27221","2020/05/08","JM",2948277,10,0,66,1,488,9,183,292,0.000165520403951189,3.39181155637683e-06,6.20701514816959e-05,9.90408974462033e-05
"27220","2020/05/09","JM",2948277,2,0,58,1,490,9,140,267,0.000166198766262464,6.78362311275365e-07,4.74853617892756e-05,9.05613685552613e-05
"27219","2020/05/10","JM",2948277,8,0,35,1,498,9,134,265,0.000168912215507566,2.71344924510146e-06,4.54502748554495e-05,8.98830062439859e-05
"27218","2020/05/11","JM",2948277,4,0,33,0,502,9,121,250,0.000170268940130117,1.35672462255073e-06,4.10409198321596e-05,8.47952889094207e-05
"27217","2020/05/12","JM",2948277,3,0,34,0,505,9,109,253,0.00017128648359703,1.01754346691305e-06,3.69707459645074e-05,8.58128323763337e-05
"27216","2020/05/13","JM",2948277,2,0,34,0,507,9,85,219,0.000171964845908305,6.78362311275365e-07,2.8830398229203e-05,7.42806730846525e-05
"27215","2020/05/14","JM",2948277,2,0,31,0,509,9,77,204,0.00017264320821958,6.78362311275365e-07,2.61169489841016e-05,6.91929557500873e-05
"27214","2020/05/15","JM",2948277,0,0,21,0,509,9,46,159,0.00017264320821958,0,1.56023331593334e-05,5.39298037463915e-05
"27213","2020/05/16","JM",2948277,2,0,21,0,511,9,42,147,0.000173321570530856,6.78362311275365e-07,1.42456085367827e-05,4.98596298787393e-05
"27212","2020/05/17","JM",2948277,6,0,19,0,517,9,46,136,0.000175356657464682,2.0350869338261e-06,1.56023331593334e-05,4.61286371667248e-05
"27211","2020/05/18","JM",2948277,3,0,18,0,520,9,47,124,0.000176374200931595,1.01754346691305e-06,1.59415143149711e-05,4.20584632990726e-05
"27210","2020/05/19","JM",2948277,0,0,15,0,520,9,42,98,0.000176374200931595,0,1.42456085367827e-05,3.32397532524929e-05
"27209","2020/05/20","JM",2948277,0,0,13,0,520,9,32,88,0.000176374200931595,0,1.08537969804058e-05,2.98479416961161e-05
"27208","2020/05/21","JM",2948277,9,0,20,0,529,9,39,66,0.000179426831332334,3.05263040073914e-06,1.32280650698696e-05,2.23859562720871e-05
"27207","2020/05/22","JM",2948277,5,0,25,0,534,9,36,65,0.000181122737110523,1.69590577818841e-06,1.22105216029566e-05,2.20467751164494e-05
"27206","2020/05/23","JM",2948277,10,0,33,0,544,9,42,73,0.000184514548666899,3.39181155637683e-06,1.42456085367827e-05,2.47602243615508e-05
"27205","2020/05/24","JM",2948277,6,0,33,0,550,9,45,77,0.000186549635600725,2.0350869338261e-06,1.52631520036957e-05,2.61169489841016e-05
"27204","2020/05/25","JM",2948277,2,0,32,0,552,9,45,74,0.000187227997912001,6.78362311275365e-07,1.52631520036957e-05,2.50994055171885e-05
"27203","2020/05/26","JM",2948277,4,0,36,0,556,9,47,68,0.000188584722534552,1.35672462255073e-06,1.59415143149711e-05,2.30643185833624e-05
"27202","2020/05/27","JM",2948277,8,0,44,0,564,9,55,74,0.000191298171779653,2.71344924510146e-06,1.86549635600725e-05,2.50994055171885e-05
"27201","2020/05/28","JM",2948277,5,0,40,0,569,9,58,71,0.000192994077557841,1.69590577818841e-06,1.96725070269856e-05,2.40818620502755e-05
"27200","2020/05/29","JM",2948277,0,0,35,0,569,9,52,67,0.000192994077557841,0,1.76374200931595e-05,2.27251374277247e-05
"27199","2020/05/30","JM",2948277,6,0,31,0,575,9,55,70,0.000195029164491668,2.0350869338261e-06,1.86549635600725e-05,2.37426808946378e-05
"27198","2020/05/31","JM",2948277,6,0,31,0,581,9,61,74,0.000197064251425494,2.0350869338261e-06,2.06900504938986e-05,2.50994055171885e-05
"27197","2020/06/01","JM",2948277,5,0,34,0,586,9,66,77,0.000198760157203682,1.69590577818841e-06,2.23859562720871e-05,2.61169489841016e-05
"27196","2020/06/02","JM",2948277,2,0,32,0,588,9,59,79,0.000199438519514957,6.78362311275365e-07,2.00116881826233e-05,2.67953112953769e-05
"27195","2020/06/03","JM",2948277,2,0,26,0,590,9,56,79,0.000200116881826233,6.78362311275365e-07,1.89941447157102e-05,2.67953112953769e-05
"27194","2020/06/04","JM",2948277,0,0,21,0,590,9,46,73,0.000200116881826233,0,1.56023331593334e-05,2.47602243615508e-05
"27193","2020/06/05","JM",2948277,1,1,22,1,591,10,41,71,0.00020045606298187,3.39181155637683e-07,1.3906427381145e-05,2.40818620502755e-05
"27192","2020/06/06","JM",2948277,4,0,20,1,595,10,43,75,0.000201812787604421,1.35672462255073e-06,1.45847896924204e-05,2.54385866728262e-05
"27191","2020/06/07","JM",2948277,1,0,15,1,596,10,40,76,0.000202151968760059,3.39181155637683e-07,1.35672462255073e-05,2.57777678284639e-05
"27190","2020/06/08","JM",2948277,2,0,12,1,598,10,34,69,0.000202830331071334,6.78362311275365e-07,1.15321592916812e-05,2.34034997390001e-05
"27189","2020/06/09","JM",2948277,1,0,11,1,599,10,30,65,0.000203169512226972,3.39181155637683e-07,1.01754346691305e-05,2.20467751164494e-05
"27188","2020/06/10","JM",2948277,6,0,15,1,605,10,36,61,0.000205204599160798,2.0350869338261e-06,1.22105216029566e-05,2.06900504938986e-05
"27187","2020/06/11","JM",2948277,0,0,15,1,605,10,30,55,0.000205204599160798,0,1.01754346691305e-05,1.86549635600725e-05
"27186","2020/06/12","JM",2948277,6,0,20,0,611,10,30,59,0.000207239686094624,2.0350869338261e-06,1.01754346691305e-05,2.00116881826233e-05
"27185","2020/06/13","JM",2948277,3,0,19,0,614,10,28,58,0.000208257229561537,1.01754346691305e-06,9.49707235785511e-06,1.96725070269856e-05
"27184","2020/06/14","JM",2948277,1,0,19,0,615,10,27,51,0.000208596410717175,3.39181155637683e-07,9.15789120221743e-06,1.72982389375218e-05
"27183","2020/06/15","JM",2948277,2,0,19,0,617,10,27,48,0.00020927477302845,6.78362311275365e-07,9.15789120221743e-06,1.62806954706088e-05
"27182","2020/06/16","JM",2948277,4,0,22,0,621,10,31,52,0.000210631497651001,1.35672462255073e-06,1.05146158247682e-05,1.76374200931595e-05
"27181","2020/06/17","JM",2948277,0,0,16,0,621,10,30,46,0.000210631497651001,0,1.01754346691305e-05,1.56023331593334e-05
"27180","2020/06/18","JM",2948277,5,0,21,0,626,10,31,45,0.000212327403429189,1.69590577818841e-06,1.05146158247682e-05,1.52631520036957e-05
"27179","2020/06/19","JM",2948277,0,0,15,0,626,10,30,40,0.000212327403429189,0,1.01754346691305e-05,1.35672462255073e-05
"27178","2020/06/20","JM",2948277,26,0,38,0,652,10,54,64,0.000221146113475769,8.81871004657975e-06,1.83157824044349e-05,2.17075939608117e-05
"27177","2020/06/21","JM",2948277,5,0,42,0,657,10,58,67,0.000222842019253957,1.69590577818841e-06,1.96725070269856e-05,2.27251374277247e-05
"27176","2020/06/22","JM",2948277,2,0,42,0,659,10,54,69,0.000223520381565233,6.78362311275365e-07,1.83157824044349e-05,2.34034997390001e-05
"27175","2020/06/23","JM",2948277,6,0,44,0,665,10,60,74,0.000225555468499059,2.0350869338261e-06,2.0350869338261e-05,2.50994055171885e-05
"27174","2020/06/24","JM",2948277,5,0,49,0,670,10,59,75,0.000227251374277247,1.69590577818841e-06,2.00116881826233e-05,2.54385866728262e-05
"27173","2020/06/25","JM",2948277,8,0,52,0,678,10,64,82,0.000229964823522349,2.71344924510146e-06,2.17075939608117e-05,2.781285476229e-05
"27172","2020/06/26","JM",2948277,6,0,58,0,684,10,69,86,0.000231999910456175,2.0350869338261e-06,2.34034997390001e-05,2.91695793848407e-05
"27171","2020/06/27","JM",2948277,2,0,34,0,686,10,69,87,0.00023267827276745,6.78362311275365e-07,2.34034997390001e-05,2.95087605404784e-05
"27170","2020/06/28","JM",2948277,4,0,33,0,690,10,69,85,0.000234034997390001,1.35672462255073e-06,2.34034997390001e-05,2.8830398229203e-05
"27169","2020/06/29","JM",2948277,6,0,37,0,696,10,75,91,0.000236070084323827,2.0350869338261e-06,2.54385866728262e-05,3.08654851630291e-05
"27168","2020/06/30","JM",2948277,2,0,33,0,698,10,72,87,0.000236748446635102,6.78362311275365e-07,2.44210432059132e-05,2.95087605404784e-05
"27167","2020/07/01","JM",2948277,4,0,32,0,702,10,76,88,0.000238105171257653,1.35672462255073e-06,2.57777678284639e-05,2.98479416961161e-05
"27166","2020/07/02","JM",2948277,5,0,29,0,707,10,55,92,0.000239801077035842,1.69590577818841e-06,1.86549635600725e-05,3.12046663186668e-05
"27165","2020/07/03","JM",2948277,8,0,31,0,715,10,58,98,0.000242514526280943,2.71344924510146e-06,1.96725070269856e-05,3.32397532524929e-05
"27164","2020/07/04","JM",2948277,6,0,35,0,721,10,62,100,0.000244549613214769,2.0350869338261e-06,2.10292316495363e-05,3.39181155637683e-05
"27163","2020/07/05","JM",2948277,7,0,38,0,728,10,63,107,0.000246923881304233,2.37426808946378e-06,2.1368412805174e-05,3.6292383653232e-05
"27162","2020/07/06","JM",2948277,4,0,36,0,732,10,62,106,0.000248280605926784,1.35672462255073e-06,2.10292316495363e-05,3.59532024975944e-05
"27161","2020/07/07","JM",2948277,5,0,39,0,737,10,59,111,0.000249976511704972,1.69590577818841e-06,2.00116881826233e-05,3.76491082757828e-05
"27160","2020/07/08","JM",2948277,8,0,43,0,745,10,61,93,0.000252689960950074,2.71344924510146e-06,2.06900504938986e-05,3.15438474743045e-05
"27159","2020/07/09","JM",2948277,6,0,44,0,751,10,65,94,0.0002547250478839,2.0350869338261e-06,2.20467751164494e-05,3.18830286299422e-05
"27158","2020/07/10","JM",2948277,2,0,38,0,753,10,63,94,0.000255403410195175,6.78362311275365e-07,2.1368412805174e-05,3.18830286299422e-05
"27157","2020/07/11","JM",2948277,0,0,32,0,753,10,57,88,0.000255403410195175,0,1.93333258713479e-05,2.98479416961161e-05
