"date","countrycode","countryname","hosp_occupancy","icu_occupancy"
2020-03-03,"PT","Portugal",0,0
2020-03-04,"PT","Portugal",0,0
2020-03-05,"PT","Portugal",0,0
2020-03-06,"PT","Portugal",0,0
2020-03-07,"PT","Portugal",0,0
2020-03-08,"PT","Portugal",0,0
2020-03-09,"PT","Portugal",0,0
2020-03-10,"PT","Portugal",40,0
2020-03-11,"PT","Portugal",57,0
2020-03-12,"PT","Portugal",69,0
2020-03-13,"PT","Portugal",107,0
2020-03-14,"PT","Portugal",114,10
2020-03-15,"PT","Portugal",139,9
2020-03-16,"PT","Portugal",139,18
2020-03-17,"PT","Portugal",206,17
2020-03-18,"PT","Portugal",89,20
2020-03-19,"PT","Portugal",89,20
2020-03-20,"PT","Portugal",126,26
2020-03-21,"PT","Portugal",156,35
2020-03-22,"PT","Portugal",169,41
2020-03-23,"PT","Portugal",201,47
2020-03-24,"PT","Portugal",203,48
2020-03-25,"PT","Portugal",276,61
2020-03-26,"PT","Portugal",191,61
2020-03-27,"PT","Portugal",354,71
2020-03-28,"PT","Portugal",418,89
2020-03-29,"PT","Portugal",486,138
2020-03-30,"PT","Portugal",571,164
2020-03-31,"PT","Portugal",627,188
2020-04-01,"PT","Portugal",726,230
2020-04-02,"PT","Portugal",1042,240
2020-04-03,"PT","Portugal",1058,245
2020-04-04,"PT","Portugal",1075,251
2020-04-05,"PT","Portugal",1084,267
2020-04-06,"PT","Portugal",1099,270
2020-04-07,"PT","Portugal",1180,271
2020-04-08,"PT","Portugal",1211,245
2020-04-09,"PT","Portugal",1173,241
2020-04-10,"PT","Portugal",1179,226
2020-04-11,"PT","Portugal",1175,233
2020-04-12,"PT","Portugal",1177,228
2020-04-13,"PT","Portugal",1187,188
2020-04-14,"PT","Portugal",1227,218
2020-04-15,"PT","Portugal",1200,208
2020-04-16,"PT","Portugal",1302,229
2020-04-17,"PT","Portugal",1284,222
2020-04-18,"PT","Portugal",1253,228
2020-04-19,"PT","Portugal",1243,224
2020-04-20,"PT","Portugal",1208,215
2020-04-21,"PT","Portugal",1172,213
2020-04-22,"PT","Portugal",1146,207
2020-04-23,"PT","Portugal",1095,204
2020-04-24,"PT","Portugal",1068,188
2020-04-25,"PT","Portugal",1040,186
2020-04-26,"PT","Portugal",1005,182
2020-04-27,"PT","Portugal",995,176
2020-04-28,"PT","Portugal",936,172
2020-04-29,"PT","Portugal",980,169
2020-04-30,"PT","Portugal",968,172
2020-05-01,"PT","Portugal",892,154
2020-05-02,"PT","Portugal",855,150
2020-05-03,"PT","Portugal",856,144
2020-05-04,"PT","Portugal",813,143
2020-05-05,"PT","Portugal",818,134
2020-05-06,"PT","Portugal",838,136
2020-05-07,"PT","Portugal",874,135
2020-05-08,"PT","Portugal",842,127
2020-05-09,"PT","Portugal",815,120
2020-05-10,"PT","Portugal",797,112
2020-05-11,"PT","Portugal",805,112
2020-05-12,"PT","Portugal",709,113
2020-05-13,"PT","Portugal",692,103
2020-05-14,"PT","Portugal",680,108
2020-05-15,"PT","Portugal",673,112
2020-05-16,"PT","Portugal",657,115
2020-05-17,"PT","Portugal",649,108
2020-05-18,"PT","Portugal",628,105
2020-05-19,"PT","Portugal",629,101
2020-05-20,"PT","Portugal",609,93
2020-05-21,"PT","Portugal",608,92
2020-05-22,"PT","Portugal",576,84
2020-05-23,"PT","Portugal",550,80
2020-05-24,"PT","Portugal",536,78
2020-05-25,"PT","Portugal",531,72
2020-05-26,"PT","Portugal",513,71
2020-05-27,"PT","Portugal",510,66
2020-05-28,"PT","Portugal",512,65
2020-05-29,"PT","Portugal",529,66
2020-05-30,"PT","Portugal",514,63
2020-05-31,"PT","Portugal",474,64
2020-06-01,"PT","Portugal",471,64
2020-06-02,"PT","Portugal",432,58
2020-06-03,"PT","Portugal",428,56
2020-06-04,"PT","Portugal",445,58
2020-06-05,"PT","Portugal",475,64
2020-06-06,"PT","Portugal",414,57
2020-06-07,"PT","Portugal",398,58
2020-06-08,"PT","Portugal",366,55
2020-06-09,"PT","Portugal",394,65
2020-06-10,"PT","Portugal",417,70
2020-06-11,"PT","Portugal",415,70
2020-06-12,"PT","Portugal",440,73
2020-06-13,"PT","Portugal",428,77
2020-06-14,"PT","Portugal",419,73
2020-06-15,"PT","Portugal",431,73
2020-06-16,"PT","Portugal",423,71
2020-06-17,"PT","Portugal",435,69
2020-06-18,"PT","Portugal",416,67
2020-06-19,"PT","Portugal",422,67
2020-06-20,"PT","Portugal",422,70
2020-06-21,"PT","Portugal",407,69
2020-06-22,"PT","Portugal",424,72
2020-06-23,"PT","Portugal",441,72
2020-06-24,"PT","Portugal",429,73
2020-06-25,"PT","Portugal",436,67
2020-06-26,"PT","Portugal",457,67
2020-06-27,"PT","Portugal",442,70
2020-06-28,"PT","Portugal",458,75
2020-06-29,"PT","Portugal",489,71
2020-06-30,"PT","Portugal",491,73
2020-07-01,"PT","Portugal",503,79
2020-07-02,"PT","Portugal",510,77
2020-07-03,"PT","Portugal",495,72
2020-07-04,"PT","Portugal",489,73
2020-07-05,"PT","Portugal",504,73
2020-07-06,"PT","Portugal",513,74
2020-07-07,"PT","Portugal",511,76
2020-07-08,"PT","Portugal",512,74
2020-07-09,"PT","Portugal",487,73
2020-07-10,"PT","Portugal",471,66
2020-07-11,"PT","Portugal",459,68
2020-07-12,"PT","Portugal",462,64
2020-07-13,"PT","Portugal",467,63
2020-07-14,"PT","Portugal",472,69
2020-07-15,"PT","Portugal",478,68
2020-07-16,"PT","Portugal",476,72
2020-07-17,"PT","Portugal",447,67
2020-07-18,"PT","Portugal",452,65
2020-07-19,"PT","Portugal",439,61
2020-07-20,"PT","Portugal",454,61
2020-07-21,"PT","Portugal",439,62
2020-07-22,"PT","Portugal",439,59
2020-07-23,"PT","Portugal",431,59
2020-07-24,"PT","Portugal",420,52
2020-07-25,"PT","Portugal",410,50
2020-07-26,"PT","Portugal",403,48
2020-07-27,"PT","Portugal",414,45
2020-07-28,"PT","Portugal",402,41
2020-07-29,"PT","Portugal",403,43
2020-07-30,"PT","Portugal",403,42
2020-07-31,"PT","Portugal",381,41
2020-08-01,"PT","Portugal",375,40
2020-08-02,"PT","Portugal",378,41
2020-08-03,"PT","Portugal",390,42
2020-08-04,"PT","Portugal",401,44
2020-08-05,"PT","Portugal",384,41
2020-08-06,"PT","Portugal",369,42
2020-08-07,"PT","Portugal",356,36
2020-08-08,"PT","Portugal",357,33
2020-08-09,"PT","Portugal",366,33
2020-08-10,"PT","Portugal",374,29
2020-08-11,"PT","Portugal",365,35
2020-08-12,"PT","Portugal",367,40
2020-08-13,"PT","Portugal",358,39
2020-08-14,"PT","Portugal",348,41
2020-08-15,"PT","Portugal",320,37
2020-08-16,"PT","Portugal",325,39
2020-08-17,"PT","Portugal",336,39
2020-08-18,"PT","Portugal",336,38
2020-08-19,"PT","Portugal",329,35
2020-08-20,"PT","Portugal",334,39
2020-08-21,"PT","Portugal",321,41
2020-08-22,"PT","Portugal",316,42
2020-08-23,"PT","Portugal",317,47
2020-08-24,"PT","Portugal",321,44
2020-08-25,"PT","Portugal",325,41
2020-08-26,"PT","Portugal",311,38
2020-08-27,"PT","Portugal",317,35
2020-08-28,"PT","Portugal",334,38
2020-08-29,"PT","Portugal",324,40
2020-08-30,"PT","Portugal",341,41
2020-08-31,"PT","Portugal",349,41
2020-09-01,"PT","Portugal",350,44
2020-09-02,"PT","Portugal",337,41
2020-09-03,"PT","Portugal",334,44
2020-09-04,"PT","Portugal",339,40
2020-09-05,"PT","Portugal",345,41
2020-09-06,"PT","Portugal",354,43
2020-09-07,"PT","Portugal",381,49
2020-09-08,"PT","Portugal",394,50
2020-09-09,"PT","Portugal",391,52
2020-09-10,"PT","Portugal",406,57
2020-09-11,"PT","Portugal",404,54
2020-09-12,"PT","Portugal",438,59
2020-09-13,"PT","Portugal",452,57
2020-09-14,"PT","Portugal",477,61
2020-09-15,"PT","Portugal",478,59
2020-09-16,"PT","Portugal",482,61
2020-09-17,"PT","Portugal",480,59
2020-09-18,"PT","Portugal",465,57
2020-09-19,"PT","Portugal",497,64
2020-09-20,"PT","Portugal",511,63
2020-09-21,"PT","Portugal",518,61
2020-09-22,"PT","Portugal",546,70
2020-09-23,"PT","Portugal",571,77
2020-09-24,"PT","Portugal",588,85
2020-09-25,"PT","Portugal",624,86
2020-09-26,"PT","Portugal",615,85
2020-09-27,"PT","Portugal",635,89
2020-09-28,"PT","Portugal",659,98
2020-09-29,"PT","Portugal",661,99
2020-09-30,"PT","Portugal",666,105
