"","date","countrycode","population","cases","deaths","cases_prev_week","deaths_prev_week","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases","p_cases_contagious","p_cases_active"
"11939","2020/03/16","CG",5380504,1,0,1,0,1,0,1,1,1.85856194884345e-07,1.85856194884345e-07,1.85856194884345e-07,1.85856194884345e-07
"11938","2020/03/17","CG",5380504,0,0,1,0,1,0,1,1,1.85856194884345e-07,0,1.85856194884345e-07,1.85856194884345e-07
"11937","2020/03/18","CG",5380504,0,0,1,0,1,0,1,1,1.85856194884345e-07,0,1.85856194884345e-07,1.85856194884345e-07
"11936","2020/03/19","CG",5380504,2,0,3,0,3,0,3,3,5.57568584653036e-07,3.71712389768691e-07,5.57568584653036e-07,5.57568584653036e-07
"11935","2020/03/20","CG",5380504,0,0,3,0,3,0,3,3,5.57568584653036e-07,0,5.57568584653036e-07,5.57568584653036e-07
"11934","2020/03/21","CG",5380504,0,0,3,0,3,0,3,3,5.57568584653036e-07,0,5.57568584653036e-07,5.57568584653036e-07
"11933","2020/03/22","CG",5380504,1,0,4,0,4,0,4,4,7.43424779537382e-07,1.85856194884345e-07,7.43424779537382e-07,7.43424779537382e-07
"11932","2020/03/23","CG",5380504,0,0,3,0,4,0,4,4,7.43424779537382e-07,0,7.43424779537382e-07,7.43424779537382e-07
"11931","2020/03/24","CG",5380504,0,0,3,0,4,0,4,4,7.43424779537382e-07,0,7.43424779537382e-07,7.43424779537382e-07
"11930","2020/03/25","CG",5380504,0,0,3,0,4,0,4,4,7.43424779537382e-07,0,7.43424779537382e-07,7.43424779537382e-07
"11929","2020/03/26","CG",5380504,0,0,1,0,4,0,4,4,7.43424779537382e-07,0,7.43424779537382e-07,7.43424779537382e-07
"11928","2020/03/27","CG",5380504,0,0,1,0,4,0,4,4,7.43424779537382e-07,0,7.43424779537382e-07,7.43424779537382e-07
"11927","2020/03/28","CG",5380504,0,0,1,0,4,0,3,4,7.43424779537382e-07,0,5.57568584653036e-07,7.43424779537382e-07
"11926","2020/03/29","CG",5380504,15,0,15,0,19,0,18,19,3.53126770280256e-06,2.78784292326518e-06,3.34541150791822e-06,3.53126770280256e-06
