"year_week","date","countrycode","countryname","hosp_weekly_admission"
"2020-W05",2020-02-02,"DE","Germany",0.0493861583583068
"2020-W06",2020-02-03,"DE","Germany",0.0289089707463259
"2020-W06",2020-02-04,"DE","Germany",0.0289089707463259
"2020-W06",2020-02-05,"DE","Germany",0.0289089707463259
"2020-W06",2020-02-06,"DE","Germany",0.0289089707463259
"2020-W06",2020-02-07,"DE","Germany",0.0289089707463259
"2020-W06",2020-02-08,"DE","Germany",0.0289089707463259
"2020-W06",2020-02-09,"DE","Germany",0.0289089707463259
"2020-W07",2020-02-10,"DE","Germany",0.0409543752239617
"2020-W07",2020-02-11,"DE","Germany",0.0409543752239617
"2020-W07",2020-02-12,"DE","Germany",0.0409543752239617
"2020-W07",2020-02-13,"DE","Germany",0.0409543752239617
"2020-W07",2020-02-14,"DE","Germany",0.0409543752239617
"2020-W07",2020-02-15,"DE","Germany",0.0409543752239617
"2020-W07",2020-02-16,"DE","Germany",0.0409543752239617
"2020-W07",2020-02-17,"DE","Germany",0.0409543752239617
"2020-W07",2020-02-18,"DE","Germany",0.0409543752239617
"2020-W08",2020-02-19,"DE","Germany",0.0674542650747605
"2020-W08",2020-02-20,"DE","Germany",0.0674542650747605
"2020-W08",2020-02-21,"DE","Germany",0.0674542650747605
"2020-W08",2020-02-22,"DE","Germany",0.0674542650747605
"2020-W08",2020-02-23,"DE","Germany",0.0674542650747605
"2020-W08",2020-02-24,"DE","Germany",0.0674542650747605
"2020-W09",2020-02-25,"DE","Germany",0.21199911880639
"2020-W09",2020-02-26,"DE","Germany",0.21199911880639
"2020-W09",2020-02-27,"DE","Germany",0.21199911880639
"2020-W09",2020-02-28,"DE","Germany",0.21199911880639
"2020-W09",2020-02-29,"DE","Germany",0.21199911880639
"2020-W09",2020-03-01,"DE","Germany",0.21199911880639
"2020-W10",2020-03-02,"DE","Germany",0.396293807314218
"2020-W10",2020-03-03,"DE","Germany",0.396293807314218
"2020-W10",2020-03-04,"DE","Germany",0.396293807314218
"2020-W10",2020-03-05,"DE","Germany",0.396293807314218
"2020-W10",2020-03-06,"DE","Germany",0.396293807314218
"2020-W10",2020-03-07,"DE","Germany",0.396293807314218
"2020-W10",2020-03-08,"DE","Germany",0.396293807314218
"2020-W11",2020-03-09,"DE","Germany",1.10817721194249
"2020-W11",2020-03-10,"DE","Germany",1.10817721194249
"2020-W11",2020-03-11,"DE","Germany",1.10817721194249
"2020-W11",2020-03-12,"DE","Germany",1.10817721194249
"2020-W11",2020-03-13,"DE","Germany",1.10817721194249
"2020-W11",2020-03-14,"DE","Germany",1.10817721194249
"2020-W11",2020-03-15,"DE","Germany",1.10817721194249
"2020-W12",2020-03-16,"DE","Germany",2.80657924328914
"2020-W12",2020-03-17,"DE","Germany",2.80657924328914
"2020-W12",2020-03-18,"DE","Germany",2.80657924328914
"2020-W12",2020-03-19,"DE","Germany",2.80657924328914
"2020-W12",2020-03-20,"DE","Germany",2.80657924328914
"2020-W12",2020-03-21,"DE","Germany",2.80657924328914
"2020-W12",2020-03-22,"DE","Germany",2.80657924328914
"2020-W13",2020-03-23,"DE","Germany",5.33009148135384
"2020-W13",2020-03-24,"DE","Germany",5.33009148135384
"2020-W13",2020-03-25,"DE","Germany",5.33009148135384
"2020-W13",2020-03-26,"DE","Germany",5.33009148135384
"2020-W13",2020-03-27,"DE","Germany",5.33009148135384
"2020-W13",2020-03-28,"DE","Germany",5.33009148135384
"2020-W13",2020-03-29,"DE","Germany",5.33009148135384
"2020-W14",2020-03-30,"DE","Germany",4.96511572568148
"2020-W14",2020-03-31,"DE","Germany",4.96511572568148
"2020-W14",2020-04-01,"DE","Germany",4.96511572568148
"2020-W14",2020-04-02,"DE","Germany",4.96511572568148
"2020-W14",2020-04-03,"DE","Germany",4.96511572568148
"2020-W14",2020-04-04,"DE","Germany",4.96511572568148
"2020-W14",2020-04-05,"DE","Germany",4.96511572568148
"2020-W15",2020-04-06,"DE","Germany",3.63650761179825
"2020-W15",2020-04-07,"DE","Germany",3.63650761179825
"2020-W15",2020-04-08,"DE","Germany",3.63650761179825
"2020-W15",2020-04-09,"DE","Germany",3.63650761179825
"2020-W15",2020-04-10,"DE","Germany",3.63650761179825
"2020-W15",2020-04-11,"DE","Germany",3.63650761179825
"2020-W15",2020-04-12,"DE","Germany",3.63650761179825
"2020-W16",2020-04-13,"DE","Germany",2.55483028970655
"2020-W16",2020-04-14,"DE","Germany",2.55483028970655
"2020-W16",2020-04-15,"DE","Germany",2.55483028970655
"2020-W16",2020-04-16,"DE","Germany",2.55483028970655
"2020-W16",2020-04-17,"DE","Germany",2.55483028970655
"2020-W16",2020-04-18,"DE","Germany",2.55483028970655
"2020-W16",2020-04-19,"DE","Germany",2.55483028970655
"2020-W17",2020-04-20,"DE","Germany",1.78512894358563
"2020-W17",2020-04-21,"DE","Germany",1.78512894358563
"2020-W17",2020-04-22,"DE","Germany",1.78512894358563
"2020-W17",2020-04-23,"DE","Germany",1.78512894358563
"2020-W17",2020-04-24,"DE","Germany",1.78512894358563
"2020-W17",2020-04-25,"DE","Germany",1.78512894358563
"2020-W17",2020-04-26,"DE","Germany",1.78512894358563
"2020-W18",2020-04-27,"DE","Germany",1.18044963880831
"2020-W18",2020-04-28,"DE","Germany",1.18044963880831
"2020-W18",2020-04-29,"DE","Germany",1.18044963880831
"2020-W18",2020-04-30,"DE","Germany",1.18044963880831
"2020-W18",2020-05-01,"DE","Germany",1.18044963880831
"2020-W18",2020-05-02,"DE","Germany",1.18044963880831
"2020-W18",2020-05-03,"DE","Germany",1.18044963880831
"2020-W19",2020-05-04,"DE","Germany",0.891359931345049
"2020-W19",2020-05-05,"DE","Germany",0.891359931345049
"2020-W19",2020-05-06,"DE","Germany",0.891359931345049
"2020-W19",2020-05-07,"DE","Germany",0.891359931345049
"2020-W19",2020-05-08,"DE","Germany",0.891359931345049
"2020-W19",2020-05-09,"DE","Germany",0.891359931345049
"2020-W19",2020-05-10,"DE","Germany",0.891359931345049
"2020-W20",2020-05-11,"DE","Germany",0.562520389105592
"2020-W20",2020-05-12,"DE","Germany",0.562520389105592
"2020-W20",2020-05-13,"DE","Germany",0.562520389105592
"2020-W20",2020-05-14,"DE","Germany",0.562520389105592
"2020-W20",2020-05-15,"DE","Germany",0.562520389105592
"2020-W20",2020-05-16,"DE","Germany",0.562520389105592
"2020-W20",2020-05-17,"DE","Germany",0.562520389105592
"2020-W21",2020-05-18,"DE","Germany",0.434839101642652
"2020-W21",2020-05-19,"DE","Germany",0.434839101642652
"2020-W21",2020-05-20,"DE","Germany",0.434839101642652
"2020-W21",2020-05-21,"DE","Germany",0.434839101642652
"2020-W21",2020-05-22,"DE","Germany",0.434839101642652
"2020-W21",2020-05-23,"DE","Germany",0.434839101642652
"2020-W21",2020-05-24,"DE","Germany",0.434839101642652
"2020-W22",2020-05-25,"DE","Germany",0.357748512985783
"2020-W22",2020-05-26,"DE","Germany",0.357748512985783
"2020-W22",2020-05-27,"DE","Germany",0.357748512985783
"2020-W22",2020-05-28,"DE","Germany",0.357748512985783
"2020-W22",2020-05-29,"DE","Germany",0.357748512985783
"2020-W22",2020-05-30,"DE","Germany",0.357748512985783
"2020-W22",2020-05-31,"DE","Germany",0.357748512985783
"2020-W23",2020-06-01,"DE","Germany",0.269817060299042
"2020-W23",2020-06-02,"DE","Germany",0.269817060299042
"2020-W23",2020-06-03,"DE","Germany",0.269817060299042
"2020-W23",2020-06-04,"DE","Germany",0.269817060299042
"2020-W23",2020-06-05,"DE","Germany",0.269817060299042
"2020-W23",2020-06-06,"DE","Germany",0.269817060299042
"2020-W23",2020-06-07,"DE","Germany",0.269817060299042
"2020-W24",2020-06-08,"DE","Germany",0.328839542239457
"2020-W24",2020-06-09,"DE","Germany",0.328839542239457
"2020-W24",2020-06-10,"DE","Germany",0.328839542239457
"2020-W24",2020-06-11,"DE","Germany",0.328839542239457
"2020-W24",2020-06-12,"DE","Germany",0.328839542239457
"2020-W24",2020-06-13,"DE","Germany",0.328839542239457
"2020-W24",2020-06-14,"DE","Germany",0.328839542239457
"2020-W25",2020-06-15,"DE","Germany",0.289089707463259
"2020-W25",2020-06-16,"DE","Germany",0.289089707463259
"2020-W25",2020-06-17,"DE","Germany",0.289089707463259
"2020-W25",2020-06-18,"DE","Germany",0.289089707463259
"2020-W25",2020-06-19,"DE","Germany",0.289089707463259
"2020-W25",2020-06-20,"DE","Germany",0.289089707463259
"2020-W25",2020-06-21,"DE","Germany",0.289089707463259
"2020-W26",2020-06-22,"DE","Germany",0.254158034478115
"2020-W26",2020-06-23,"DE","Germany",0.254158034478115
"2020-W26",2020-06-24,"DE","Germany",0.254158034478115
"2020-W26",2020-06-25,"DE","Germany",0.254158034478115
"2020-W26",2020-06-26,"DE","Germany",0.254158034478115
"2020-W26",2020-06-27,"DE","Germany",0.254158034478115
"2020-W26",2020-06-28,"DE","Germany",0.254158034478115
"2020-W27",2020-06-29,"DE","Germany",0.243317170448243
"2020-W27",2020-06-30,"DE","Germany",0.243317170448243
"2020-W27",2020-07-01,"DE","Germany",0.243317170448243
"2020-W27",2020-07-02,"DE","Germany",0.243317170448243
"2020-W27",2020-07-03,"DE","Germany",0.243317170448243
"2020-W27",2020-07-04,"DE","Germany",0.243317170448243
"2020-W27",2020-07-05,"DE","Germany",0.243317170448243
"2020-W28",2020-07-06,"DE","Germany",0.261385277164697
"2020-W28",2020-07-07,"DE","Germany",0.261385277164697
"2020-W28",2020-07-08,"DE","Germany",0.261385277164697
"2020-W28",2020-07-09,"DE","Germany",0.261385277164697
"2020-W28",2020-07-10,"DE","Germany",0.261385277164697
"2020-W28",2020-07-11,"DE","Germany",0.261385277164697
"2020-W28",2020-07-12,"DE","Germany",0.261385277164697
"2020-W29",2020-07-13,"DE","Germany",0.296316950149841
"2020-W29",2020-07-14,"DE","Germany",0.296316950149841
"2020-W29",2020-07-15,"DE","Germany",0.296316950149841
"2020-W29",2020-07-16,"DE","Germany",0.296316950149841
"2020-W29",2020-07-17,"DE","Germany",0.296316950149841
"2020-W29",2020-07-18,"DE","Germany",0.296316950149841
"2020-W29",2020-07-19,"DE","Germany",0.296316950149841
"2020-W30",2020-07-20,"DE","Germany",0.336066784926039
"2020-W30",2020-07-21,"DE","Germany",0.336066784926039
"2020-W30",2020-07-22,"DE","Germany",0.336066784926039
"2020-W30",2020-07-23,"DE","Germany",0.336066784926039
"2020-W30",2020-07-24,"DE","Germany",0.336066784926039
"2020-W30",2020-07-25,"DE","Germany",0.336066784926039
"2020-W30",2020-07-26,"DE","Germany",0.336066784926039
"2020-W31",2020-07-27,"DE","Germany",0.361362134329074
"2020-W31",2020-07-28,"DE","Germany",0.361362134329074
"2020-W31",2020-07-29,"DE","Germany",0.361362134329074
"2020-W31",2020-07-30,"DE","Germany",0.361362134329074
"2020-W31",2020-07-31,"DE","Germany",0.361362134329074
"2020-W31",2020-08-01,"DE","Germany",0.361362134329074
"2020-W31",2020-08-02,"DE","Germany",0.361362134329074
"2020-W32",2020-08-03,"DE","Germany",0.32643046134393
