"","date","countrycode","population","cases","deaths","cases_prev_week","deaths_prev_week","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases","p_cases_contagious","p_cases_active"
"23103","2020/03/20","HT",11263079,2,0,2,0,2,0,2,2,1.77571337287078e-07,1.77571337287078e-07,1.77571337287078e-07,1.77571337287078e-07
"23102","2020/03/21","HT",11263079,0,0,2,0,2,0,2,2,1.77571337287078e-07,0,1.77571337287078e-07,1.77571337287078e-07
"23101","2020/03/22","HT",11263079,0,0,2,0,2,0,2,2,1.77571337287078e-07,0,1.77571337287078e-07,1.77571337287078e-07
"23100","2020/03/23","HT",11263079,0,0,2,0,2,0,2,2,1.77571337287078e-07,0,1.77571337287078e-07,1.77571337287078e-07
"23099","2020/03/24","HT",11263079,3,0,5,0,5,0,5,5,4.43928343217694e-07,2.66357005930616e-07,4.43928343217694e-07,4.43928343217694e-07
"23098","2020/03/25","HT",11263079,2,0,7,0,7,0,7,7,6.21499680504771e-07,1.77571337287078e-07,6.21499680504771e-07,6.21499680504771e-07
"23097","2020/03/26","HT",11263079,1,0,8,0,8,0,8,8,7.1028534914831e-07,8.87856686435388e-08,7.1028534914831e-07,7.1028534914831e-07
"23096","2020/03/27","HT",11263079,0,0,6,0,8,0,8,8,7.1028534914831e-07,0,7.1028534914831e-07,7.1028534914831e-07
"23095","2020/03/28","HT",11263079,0,0,6,0,8,0,8,8,7.1028534914831e-07,0,7.1028534914831e-07,7.1028534914831e-07
"23094","2020/03/29","HT",11263079,0,0,6,0,8,0,8,8,7.1028534914831e-07,0,7.1028534914831e-07,7.1028534914831e-07
"23093","2020/03/30","HT",11263079,7,0,13,0,15,0,15,15,1.33178502965308e-06,6.21499680504771e-07,1.33178502965308e-06,1.33178502965308e-06
"23092","2020/03/31","HT",11263079,0,0,10,0,15,0,15,15,1.33178502965308e-06,0,1.33178502965308e-06,1.33178502965308e-06
