"date","year_week","countrycode","countryname","hosp_occupancy"
2020-02-02,"2020-W05","SK","Slovakia",NA
2020-02-03,"2020-W06","SK","Slovakia",NA
2020-02-04,"2020-W06","SK","Slovakia",NA
2020-02-05,"2020-W06","SK","Slovakia",NA
2020-02-06,"2020-W06","SK","Slovakia",NA
2020-02-07,"2020-W06","SK","Slovakia",NA
2020-02-08,"2020-W06","SK","Slovakia",NA
2020-02-09,"2020-W06","SK","Slovakia",NA
2020-02-10,"2020-W07","SK","Slovakia",NA
2020-02-11,"2020-W07","SK","Slovakia",NA
2020-02-12,"2020-W07","SK","Slovakia",NA
2020-02-13,"2020-W07","SK","Slovakia",NA
2020-02-14,"2020-W07","SK","Slovakia",NA
2020-02-15,"2020-W07","SK","Slovakia",NA
2020-02-16,"2020-W07","SK","Slovakia",NA
2020-02-17,"2020-W07","SK","Slovakia",NA
2020-02-18,"2020-W07","SK","Slovakia",NA
2020-02-19,"2020-W08","SK","Slovakia",NA
2020-02-20,"2020-W08","SK","Slovakia",NA
2020-02-21,"2020-W08","SK","Slovakia",NA
2020-02-22,"2020-W08","SK","Slovakia",NA
2020-02-23,"2020-W08","SK","Slovakia",NA
2020-02-24,"2020-W08","SK","Slovakia",NA
2020-02-25,"2020-W09","SK","Slovakia",NA
2020-02-26,"2020-W09","SK","Slovakia",NA
2020-02-27,"2020-W09","SK","Slovakia",NA
2020-02-28,"2020-W09","SK","Slovakia",NA
2020-02-29,"2020-W09","SK","Slovakia",NA
2020-03-01,"2020-W09","SK","Slovakia",NA
2020-03-02,"2020-W10","SK","Slovakia",NA
2020-03-03,"2020-W10","SK","Slovakia",NA
2020-03-04,"2020-W10","SK","Slovakia",NA
2020-03-05,"2020-W10","SK","Slovakia",NA
2020-03-06,"2020-W10","SK","Slovakia",NA
2020-03-07,"2020-W10","SK","Slovakia",NA
2020-03-08,"2020-W10","SK","Slovakia",NA
2020-03-09,"2020-W11","SK","Slovakia",NA
2020-03-10,"2020-W11","SK","Slovakia",NA
2020-03-11,"2020-W11","SK","Slovakia",NA
2020-03-12,"2020-W11","SK","Slovakia",NA
2020-03-13,"2020-W11","SK","Slovakia",NA
2020-03-14,"2020-W11","SK","Slovakia",NA
2020-03-15,"2020-W11","SK","Slovakia",NA
2020-03-16,"2020-W12","SK","Slovakia",NA
2020-03-17,"2020-W12","SK","Slovakia",NA
2020-03-18,"2020-W12","SK","Slovakia",NA
2020-03-19,"2020-W12","SK","Slovakia",NA
2020-03-20,"2020-W12","SK","Slovakia",NA
2020-03-21,"2020-W12","SK","Slovakia",NA
2020-03-22,"2020-W12","SK","Slovakia",NA
2020-03-23,"2020-W13","SK","Slovakia",NA
2020-03-24,"2020-W13","SK","Slovakia",NA
2020-03-25,"2020-W13","SK","Slovakia",NA
2020-03-26,"2020-W13","SK","Slovakia",NA
2020-03-27,"2020-W13","SK","Slovakia",NA
2020-03-28,"2020-W13","SK","Slovakia",NA
2020-03-29,"2020-W13","SK","Slovakia",NA
2020-03-30,"2020-W14","SK","Slovakia",NA
