"","date","countrycode","population","cases","deaths","cases_prev_week","deaths_prev_week","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases","p_cases_contagious","p_cases_active"
"40558","2019/12/31","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40557","2020/01/01","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40556","2020/01/02","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40555","2020/01/03","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40554","2020/01/04","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40553","2020/01/05","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40552","2020/01/06","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40551","2020/01/07","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40550","2020/01/08","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40549","2020/01/09","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40548","2020/01/10","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40547","2020/01/11","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40546","2020/01/12","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40545","2020/01/13","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40544","2020/01/14","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40543","2020/01/15","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40542","2020/01/16","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40541","2020/01/17","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40540","2020/01/18","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40539","2020/01/19","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40538","2020/01/20","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40537","2020/01/21","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40536","2020/01/22","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40535","2020/01/23","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40534","2020/01/24","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40533","2020/01/25","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40532","2020/01/26","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40531","2020/01/27","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40530","2020/01/28","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40529","2020/01/29","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40528","2020/01/30","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40527","2020/01/31","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40526","2020/02/01","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40525","2020/02/02","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40524","2020/02/03","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40523","2020/02/04","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40522","2020/02/05","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40521","2020/02/06","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40520","2020/02/07","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40519","2020/02/08","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40518","2020/02/09","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40517","2020/02/10","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40516","2020/02/11","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40515","2020/02/12","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40514","2020/02/13","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40513","2020/02/14","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40512","2020/02/15","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40511","2020/02/16","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40510","2020/02/17","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40509","2020/02/18","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40508","2020/02/19","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40507","2020/02/20","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40506","2020/02/21","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40505","2020/02/22","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40504","2020/02/23","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40503","2020/02/24","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40502","2020/02/25","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40501","2020/02/26","NO",5328212,0,0,0,0,0,0,0,0,0,0,0,0
"40500","2020/02/27","NO",5328212,1,0,1,0,1,0,1,1,1.87680219931189e-07,1.87680219931189e-07,1.87680219931189e-07,1.87680219931189e-07
"40499","2020/02/28","NO",5328212,3,0,4,0,4,0,4,4,7.50720879724756e-07,5.63040659793567e-07,7.50720879724756e-07,7.50720879724756e-07
"40498","2020/02/29","NO",5328212,2,0,6,0,6,0,6,6,1.12608131958713e-06,3.75360439862378e-07,1.12608131958713e-06,1.12608131958713e-06
"40497","2020/03/01","NO",5328212,9,0,15,0,15,0,15,15,2.81520329896783e-06,1.6891219793807e-06,2.81520329896783e-06,2.81520329896783e-06
"40496","2020/03/02","NO",5328212,4,0,19,0,19,0,19,19,3.56592417869259e-06,7.50720879724756e-07,3.56592417869259e-06,3.56592417869259e-06
"40495","2020/03/03","NO",5328212,6,0,25,0,25,0,25,25,4.69200549827972e-06,1.12608131958713e-06,4.69200549827972e-06,4.69200549827972e-06
"40494","2020/03/04","NO",5328212,8,0,33,0,33,0,33,33,6.19344725772923e-06,1.50144175944951e-06,6.19344725772923e-06,6.19344725772923e-06
"40493","2020/03/05","NO",5328212,23,0,55,0,56,0,56,56,1.05100923161466e-05,4.31664505841735e-06,1.05100923161466e-05,1.05100923161466e-05
"40492","2020/03/06","NO",5328212,30,0,82,0,86,0,86,86,1.61404989140822e-05,5.63040659793567e-06,1.61404989140822e-05,1.61404989140822e-05
"40491","2020/03/07","NO",5328212,27,0,107,0,113,0,113,113,2.12078648522244e-05,5.0673659381421e-06,2.12078648522244e-05,2.12078648522244e-05
"40490","2020/03/08","NO",5328212,34,0,132,0,147,0,147,147,2.75889923298848e-05,6.38112747766042e-06,2.75889923298848e-05,2.75889923298848e-05
"40489","2020/03/09","NO",5328212,22,0,150,0,169,0,169,169,3.17179571683709e-05,4.12896483848616e-06,3.17179571683709e-05,3.17179571683709e-05
"40488","2020/03/10","NO",5328212,23,0,167,0,192,0,191,192,3.60346022267883e-05,4.31664505841735e-06,3.58469220068571e-05,3.60346022267883e-05
"40487","2020/03/11","NO",5328212,85,0,244,0,277,0,273,277,5.19874209209393e-05,1.59528186941511e-05,5.12367000412146e-05,5.19874209209393e-05
"40486","2020/03/12","NO",5328212,212,0,433,0,489,0,483,489,9.17756275463514e-05,3.97882066254121e-05,9.06495462267643e-05,9.17756275463514e-05
"40485","2020/03/13","NO",5328212,132,1,535,1,621,1,606,621,0.000116549416577268,2.47737890309169e-05,0.0001137342132783,0.000116549416577268
"40484","2020/03/14","NO",5328212,0,0,508,1,621,1,602,621,0.000116549416577268,0,0.000112983492398576,0.000116549416577268
"40483","2020/03/15","NO",5328212,286,0,760,1,907,1,882,907,0.000170225959477588,5.367654290032e-05,0.000165533953979309,0.000170225959477588
"40482","2020/03/16","NO",5328212,170,0,908,1,1077,1,1044,1076,0.00020213159686589,3.19056373883021e-05,0.000195938149608161,0.000201943916645959
"40481","2020/03/17","NO",5328212,92,2,977,3,1169,3,1113,1165,0.00021939817709956,1.72665802336694e-05,0.000208888084783413,0.000218647456219835
"40480","2020/03/18","NO",5328212,139,0,1031,3,1308,3,1222,1302,0.000245485727669995,2.60875505704353e-05,0.000229345228755913,0.000244359646350408
"40479","2020/03/19","NO",5328212,115,0,934,3,1423,3,1310,1408,0.000267068952962082,2.15832252920867e-05,0.000245861088109858,0.000264253749663114
"40478","2020/03/20","NO",5328212,129,3,931,5,1552,6,1405,1533,0.000291279701333205,2.42107483711234e-05,0.00026369070900332,0.000287713777154513
"40477","2020/03/21","NO",5328212,190,1,1121,6,1742,7,1573,1717,0.000326938943120131,3.56592417869259e-05,0.00029522098595176,0.000322246937621851
"40476","2020/03/22","NO",5328212,184,0,1019,6,1926,7,1734,1893,0.00036147210358747,3.45331604673388e-05,0.000325437501360682,0.000355278656329741
"40475","2020/03/23","NO",5328212,206,0,1055,6,2132,7,1855,2076,0.000400134228893295,3.86621253058249e-05,0.000348146807972355,0.000389624136577148
"40474","2020/03/24","NO",5328212,239,1,1202,5,2371,8,1882,2285,0.000444989801456849,4.48555725635542e-05,0.000353214173910498,0.000428849302542767
"40473","2020/03/25","NO",5328212,195,2,1258,7,2566,10,1945,2453,0.000481587444343431,3.65976428865818e-05,0.000365038027766162,0.000460379579491206
"40472","2020/03/26","NO",5328212,350,2,1493,9,2916,12,2295,2769,0.000547275521319347,6.56880769759161e-05,0.000430726104742079,0.000519686528989462
"40471","2020/03/27","NO",5328212,240,2,1604,8,3156,14,2249,2987,0.000592318774102832,4.50432527834853e-05,0.000422092814625244,0.000560600816934461
"40470","2020/03/28","NO",5328212,425,2,1839,9,3581,16,2504,3389,0.000672082867573588,7.97640934707553e-05,0.000469951270707697,0.000636048265346799
"40469","2020/03/29","NO",5328212,264,4,1919,13,3845,20,2676,3568,0.000721630445635421,4.95475780618339e-05,0.000502232268535862,0.000669643024714482
"40468","2020/03/30","NO",5328212,257,2,1970,15,4102,22,2794,3613,0.000769864262157737,4.82338165223156e-05,0.000524378534487742,0.000678088634611386
"40467","2020/03/31","NO",5328212,124,4,1855,18,4226,26,2803,3605,0.000793136609429204,2.32723472714674e-05,0.000526067656467123,0.000676587192851936
"40466","2020/04/01","NO",5328212,221,2,1881,18,4447,28,2895,3826,0.000834613938033997,4.14773286047928e-05,0.000543334236700792,0.000718064521456729
"40465","2020/04/02","NO",5328212,218,4,1749,20,4665,32,2923,3758,0.000875528225978996,4.09142879449992e-05,0.000548589282858865,0.000705302266501408
"40464","2020/04/03","NO",5328212,270,10,1779,28,4935,42,3009,3858,0.000926201885360417,5.0673659381421e-05,0.000564729781772948,0.000724070288494527
"40463","2020/04/04","NO",5328212,273,2,1627,28,5208,44,3076,4039,0.000977438585401632,5.12367000412146e-05,0.000577304356508337,0.000758040408302072
"40462","2020/04/05","NO",5328212,302,6,1665,30,5510,50,3139,4202,0.00103411801182085,5.66794264192191e-05,0.000589128210364002,0.000788632284150856
"40461","2020/04/06","NO",5328212,130,8,1538,36,5640,58,3074,4217,0.00105851644041191,2.43984285910546e-05,0.000576928996068475,0.000791447487449824
"40460","2020/04/07","NO",5328212,115,1,1529,33,5755,59,2839,4203,0.00108009966570399,2.15832252920867e-05,0.000532824144384645,0.000788819964370787
"40459","2020/04/08","NO",5328212,108,10,1416,41,5863,69,2707,4121,0.00110036912945656,2.02694637525684e-05,0.000508050355353728,0.00077343018633643
"40458","2020/04/09","NO",5328212,147,11,1345,48,6010,80,2429,4084,0.00112795812178645,2.75889923298848e-05,0.000455875254212858,0.000766486018198976
"40457","2020/04/10","NO",5328212,150,8,1225,46,6160,88,2315,4028,0.00115611015477612,2.81520329896783e-05,0.000434479709140702,0.000755975925882829
"40456","2020/04/11","NO",5328212,84,4,1036,48,6244,92,2142,3873,0.00117187529325034,1.57651384742199e-05,0.000402011031092607,0.000726885491793495
"40455","2020/04/12","NO",5328212,76,6,810,48,6320,98,2094,3754,0.00118613898996511,1.42636967147704e-05,0.00039300238053591,0.000704551545621683
"40454","2020/04/13","NO",5328212,95,5,775,45,6415,103,1968,3499,0.00120396861085858,1.78296208934629e-05,0.00036935467282458,0.00065669308953923
"40453","2020/04/14","NO",5328212,73,11,733,55,6488,114,1823,3332,0.00121766926691355,1.37006560549768e-05,0.000342141040934557,0.000625350492810721
