"date","countrycode","countryname","hosp_occupancy","icu_occupancy"
2020-03-16,"DK","Denmark",62,10
2020-03-17,"DK","Denmark",82,18
2020-03-18,"DK","Denmark",129,24
2020-03-19,"DK","Denmark",153,30
2020-03-20,"DK","Denmark",186,37
2020-03-21,"DK","Denmark",206,42
2020-03-22,"DK","Denmark",232,46
2020-03-23,"DK","Denmark",254,55
2020-03-24,"DK","Denmark",301,69
2020-03-25,"DK","Denmark",350,87
2020-03-26,"DK","Denmark",386,94
2020-03-27,"DK","Denmark",430,109
2020-03-28,"DK","Denmark",459,121
2020-03-29,"DK","Denmark",499,131
2020-03-30,"DK","Denmark",533,137
2020-03-31,"DK","Denmark",529,145
2020-04-01,"DK","Denmark",535,146
2020-04-02,"DK","Denmark",531,146
2020-04-03,"DK","Denmark",516,139
2020-04-04,"DK","Denmark",503,138
2020-04-05,"DK","Denmark",498,138
2020-04-06,"DK","Denmark",497,133
2020-04-07,"DK","Denmark",472,127
2020-04-08,"DK","Denmark",453,127
2020-04-09,"DK","Denmark",433,120
2020-04-10,"DK","Denmark",401,113
2020-04-11,"DK","Denmark",408,106
2020-04-12,"DK","Denmark",396,104
2020-04-13,"DK","Denmark",388,100
2020-04-14,"DK","Denmark",380,93
2020-04-15,"DK","Denmark",362,89
2020-04-16,"DK","Denmark",353,92
2020-04-17,"DK","Denmark",350,93
2020-04-18,"DK","Denmark",317,87
2020-04-19,"DK","Denmark",319,84
2020-04-20,"DK","Denmark",336,84
2020-04-21,"DK","Denmark",335,81
2020-04-22,"DK","Denmark",324,80
2020-04-23,"DK","Denmark",319,74
2020-04-24,"DK","Denmark",320,69
2020-04-25,"DK","Denmark",290,70
2020-04-26,"DK","Denmark",285,70
2020-04-27,"DK","Denmark",310,72
2020-04-28,"DK","Denmark",284,66
2020-04-29,"DK","Denmark",267,66
2020-04-30,"DK","Denmark",255,62
2020-05-01,"DK","Denmark",249,61
2020-05-02,"DK","Denmark",232,60
2020-05-03,"DK","Denmark",243,62
2020-05-04,"DK","Denmark",252,57
2020-05-05,"DK","Denmark",228,49
2020-05-06,"DK","Denmark",209,46
2020-05-07,"DK","Denmark",199,43
2020-05-08,"DK","Denmark",205,42
2020-05-09,"DK","Denmark",194,39
2020-05-10,"DK","Denmark",196,40
2020-05-11,"DK","Denmark",198,43
2020-05-12,"DK","Denmark",177,43
2020-05-13,"DK","Denmark",164,37
2020-05-14,"DK","Denmark",147,35
2020-05-15,"DK","Denmark",137,32
2020-05-16,"DK","Denmark",140,28
2020-05-17,"DK","Denmark",133,27
2020-05-18,"DK","Denmark",144,26
2020-05-19,"DK","Denmark",141,25
2020-05-20,"DK","Denmark",127,25
2020-05-21,"DK","Denmark",122,23
2020-05-22,"DK","Denmark",119,23
2020-05-23,"DK","Denmark",118,19
2020-05-24,"DK","Denmark",115,21
2020-05-25,"DK","Denmark",116,20
2020-05-26,"DK","Denmark",112,23
2020-05-27,"DK","Denmark",107,22
