"date","countrycode","population","cases","deaths","hospital","icu","cases_prev_week","deaths_prev_week","hospital_prev_week","icu_prev_week"
"2020-01-01","ES",31860187,2,0,5,0,2,0,5,0
"2020-01-02","ES",31860187,0,0,50,1,2,0,55,1
"2020-01-03","ES",31860187,0,0,5,1,2,0,60,2
"2020-01-04","ES",31860187,0,0,2,0,2,0,62,2
"2020-01-05","ES",33354085,1,0,0,0,3,0,62,2
"2020-01-06","ES",33354085,0,0,2,0,3,0,64,2
"2020-01-07","ES",33354085,0,0,5,0,3,0,69,2
"2020-01-08","ES",33354085,0,0,4,0,1,0,68,2
"2020-01-09","ES",37540337,0,0,8,0,1,0,26,1
"2020-01-10","ES",37540337,0,0,7,0,1,0,28,0
"2020-01-11","ES",37540337,0,0,1,1,1,0,27,1
"2020-01-12","ES",38194551,0,0,2,0,0,0,29,1
"2020-01-13","ES",38194551,0,0,3,0,0,0,30,1
"2020-01-14","ES",38194551,0,0,7,1,0,0,32,2
"2020-01-15","ES",38194551,0,0,9,1,0,0,37,3
"2020-01-16","ES",40594099,0,0,5,0,0,0,34,3
"2020-01-17","ES",41616899,0,0,6,0,0,0,33,3
"2020-01-18","ES",41616899,1,0,4,0,1,0,36,2
"2020-01-19","ES",41616899,0,0,4,1,1,0,38,3
"2020-01-20","ES",41616899,0,0,9,0,1,0,44,3
"2020-01-21","ES",43824675,0,0,11,1,1,0,48,3
"2020-01-22","ES",43824675,0,0,3,0,1,0,42,2
"2020-01-23","ES",43824675,0,0,9,0,1,0,46,2
"2020-01-24","ES",43824675,0,0,12,1,1,0,52,3
"2020-01-25","ES",43824675,0,0,1,0,0,0,49,3
"2020-01-26","ES",43824675,0,0,2,0,0,0,47,2
"2020-01-27","ES",43824675,0,0,7,0,0,0,45,2
"2020-01-28","ES",43824675,0,0,5,0,0,0,39,1
"2020-01-29","ES",43824675,1,0,13,0,1,0,49,1
"2020-01-30","ES",43824675,2,0,12,0,3,0,52,1
"2020-01-31","ES",43824675,1,0,10,0,4,0,50,0
"2020-02-01","ES",43824675,0,0,7,1,4,0,56,1
"2020-02-02","ES",43824675,0,0,15,0,4,0,69,1
"2020-02-03","ES",43824675,0,0,18,0,4,0,80,1
"2020-02-04","ES",43824675,0,0,14,0,4,0,89,1
"2020-02-05","ES",43824675,0,0,9,1,3,0,85,2
"2020-02-06","ES",43824675,0,0,17,1,1,0,90,3
"2020-02-07","ES",43824675,0,0,18,3,0,0,98,6
"2020-02-08","ES",43824675,0,0,6,0,0,0,97,5
"2020-02-09","ES",44974135,1,0,5,0,1,0,87,5
"2020-02-10","ES",44974135,0,0,16,2,1,0,85,7
"2020-02-11","ES",44974135,0,0,20,2,1,0,91,9
"2020-02-12","ES",44974135,1,0,18,0,2,0,100,8
"2020-02-13","ES",45290933,0,1,19,1,2,1,102,8
"2020-02-14","ES",45290933,0,0,16,0,2,1,100,5
"2020-02-15","ES",45290933,0,0,12,3,2,1,106,8
"2020-02-16","ES",46358643,0,0,13,1,1,1,114,9
"2020-02-17","ES",46358643,0,0,27,3,1,1,125,10
"2020-02-18","ES",46358643,0,0,28,1,1,1,133,9
"2020-02-19","ES",46358643,0,0,37,3,0,1,152,12
"2020-02-20","ES",46358643,0,0,40,1,0,0,173,12
