"date","year_week","countrycode","countryname","hosp_occupancy"
2020-02-02,"2020-W05","PL","Poland",NA
2020-02-03,"2020-W06","PL","Poland",NA
2020-02-04,"2020-W06","PL","Poland",NA
2020-02-05,"2020-W06","PL","Poland",NA
2020-02-06,"2020-W06","PL","Poland",NA
2020-02-07,"2020-W06","PL","Poland",NA
2020-02-08,"2020-W06","PL","Poland",NA
2020-02-09,"2020-W06","PL","Poland",NA
2020-02-10,"2020-W07","PL","Poland",NA
2020-02-11,"2020-W07","PL","Poland",NA
2020-02-12,"2020-W07","PL","Poland",NA
2020-02-13,"2020-W07","PL","Poland",NA
2020-02-14,"2020-W07","PL","Poland",NA
2020-02-15,"2020-W07","PL","Poland",NA
2020-02-16,"2020-W07","PL","Poland",NA
2020-02-17,"2020-W07","PL","Poland",NA
2020-02-18,"2020-W07","PL","Poland",NA
2020-02-19,"2020-W08","PL","Poland",NA
2020-02-20,"2020-W08","PL","Poland",NA
2020-02-21,"2020-W08","PL","Poland",NA
2020-02-22,"2020-W08","PL","Poland",NA
2020-02-23,"2020-W08","PL","Poland",NA
2020-02-24,"2020-W08","PL","Poland",NA
2020-02-25,"2020-W09","PL","Poland",NA
2020-02-26,"2020-W09","PL","Poland",NA
2020-02-27,"2020-W09","PL","Poland",NA
2020-02-28,"2020-W09","PL","Poland",NA
2020-02-29,"2020-W09","PL","Poland",NA
2020-03-01,"2020-W09","PL","Poland",NA
2020-03-02,"2020-W10","PL","Poland",NA
2020-03-03,"2020-W10","PL","Poland",NA
2020-03-04,"2020-W10","PL","Poland",NA
2020-03-05,"2020-W10","PL","Poland",NA
2020-03-06,"2020-W10","PL","Poland",NA
2020-03-07,"2020-W10","PL","Poland",NA
2020-03-08,"2020-W10","PL","Poland",NA
2020-03-09,"2020-W11","PL","Poland",NA
2020-03-10,"2020-W11","PL","Poland",NA
2020-03-11,"2020-W11","PL","Poland",NA
2020-03-12,"2020-W11","PL","Poland",NA
2020-03-13,"2020-W11","PL","Poland",NA
2020-03-14,"2020-W11","PL","Poland",NA
2020-03-15,"2020-W11","PL","Poland",NA
2020-03-16,"2020-W12","PL","Poland",NA
2020-03-17,"2020-W12","PL","Poland",NA
2020-03-18,"2020-W12","PL","Poland",NA
2020-03-19,"2020-W12","PL","Poland",NA
2020-03-20,"2020-W12","PL","Poland",NA
2020-03-21,"2020-W12","PL","Poland",NA
2020-03-22,"2020-W12","PL","Poland",NA
2020-03-23,"2020-W13","PL","Poland",NA
2020-03-24,"2020-W13","PL","Poland",NA
2020-03-25,"2020-W13","PL","Poland",NA
2020-03-26,"2020-W13","PL","Poland",NA
2020-03-27,"2020-W13","PL","Poland",NA
2020-03-28,"2020-W13","PL","Poland",NA
2020-03-29,"2020-W13","PL","Poland",NA
2020-03-30,"2020-W14","PL","Poland",NA
2020-03-31,"2020-W14","PL","Poland",NA
2020-04-01,"2020-W14","PL","Poland",NA
2020-04-02,"2020-W14","PL","Poland",NA
2020-04-03,"2020-W14","PL","Poland",NA
2020-04-04,"2020-W14","PL","Poland",NA
2020-04-05,"2020-W14","PL","Poland",NA
2020-04-06,"2020-W15","PL","Poland",NA
2020-04-07,"2020-W15","PL","Poland",NA
2020-04-08,"2020-W15","PL","Poland",2425
2020-04-09,"2020-W15","PL","Poland",NA
2020-04-10,"2020-W15","PL","Poland",NA
2020-04-11,"2020-W15","PL","Poland",NA
2020-04-12,"2020-W15","PL","Poland",NA
2020-04-13,"2020-W16","PL","Poland",2510
2020-04-14,"2020-W16","PL","Poland",NA
2020-04-15,"2020-W16","PL","Poland",2499
2020-04-16,"2020-W16","PL","Poland",2607
2020-04-17,"2020-W16","PL","Poland",2673
2020-04-18,"2020-W16","PL","Poland",NA
2020-04-19,"2020-W16","PL","Poland",2482
2020-04-20,"2020-W17","PL","Poland",2511
2020-04-21,"2020-W17","PL","Poland",2914
2020-04-22,"2020-W17","PL","Poland",3505
2020-04-23,"2020-W17","PL","Poland",3099
2020-04-24,"2020-W17","PL","Poland",3095
2020-04-25,"2020-W17","PL","Poland",2821
2020-04-26,"2020-W17","PL","Poland",2749
2020-04-27,"2020-W18","PL","Poland",2759
2020-04-28,"2020-W18","PL","Poland",2934
2020-04-29,"2020-W18","PL","Poland",2973
2020-04-30,"2020-W18","PL","Poland",3012
2020-05-01,"2020-W18","PL","Poland",2789
2020-05-02,"2020-W18","PL","Poland",2649
2020-05-03,"2020-W18","PL","Poland",2761
2020-05-04,"2020-W19","PL","Poland",2653
2020-05-05,"2020-W19","PL","Poland",2738
2020-05-06,"2020-W19","PL","Poland",2760
2020-05-07,"2020-W19","PL","Poland",2711
2020-05-08,"2020-W19","PL","Poland",2758
2020-05-09,"2020-W19","PL","Poland",2768
2020-05-10,"2020-W19","PL","Poland",2658
2020-05-11,"2020-W20","PL","Poland",2598
2020-05-12,"2020-W20","PL","Poland",2571
2020-05-13,"2020-W20","PL","Poland",2648
2020-05-14,"2020-W20","PL","Poland",2538
2020-05-15,"2020-W20","PL","Poland",2579
2020-05-16,"2020-W20","PL","Poland",2407
2020-05-17,"2020-W20","PL","Poland",2459
2020-05-18,"2020-W21","PL","Poland",2544
2020-05-19,"2020-W21","PL","Poland",2490
2020-05-20,"2020-W21","PL","Poland",2414
2020-05-21,"2020-W21","PL","Poland",2330
2020-05-22,"2020-W21","PL","Poland",2261
2020-05-23,"2020-W21","PL","Poland",2271
2020-05-24,"2020-W21","PL","Poland",2242
2020-05-25,"2020-W22","PL","Poland",2268
2020-05-26,"2020-W22","PL","Poland",2171
2020-05-27,"2020-W22","PL","Poland",2320
2020-05-28,"2020-W22","PL","Poland",2248
2020-05-29,"2020-W22","PL","Poland",2035
2020-05-30,"2020-W22","PL","Poland",2207
2020-05-31,"2020-W22","PL","Poland",2134
2020-06-01,"2020-W23","PL","Poland",2181
2020-06-02,"2020-W23","PL","Poland",2219
2020-06-03,"2020-W23","PL","Poland",2150
2020-06-04,"2020-W23","PL","Poland",2102
2020-06-05,"2020-W23","PL","Poland",2085
2020-06-06,"2020-W23","PL","Poland",2128
2020-06-07,"2020-W23","PL","Poland",2007
2020-06-08,"2020-W24","PL","Poland",1881
2020-06-09,"2020-W24","PL","Poland",2039
2020-06-10,"2020-W24","PL","Poland",1993
2020-06-11,"2020-W24","PL","Poland",NA
2020-06-12,"2020-W24","PL","Poland",1629
2020-06-13,"2020-W24","PL","Poland",1711
2020-06-14,"2020-W24","PL","Poland",1748
2020-06-15,"2020-W25","PL","Poland",1736
2020-06-16,"2020-W25","PL","Poland",1806
2020-06-17,"2020-W25","PL","Poland",1693
2020-06-18,"2020-W25","PL","Poland",1849
2020-06-19,"2020-W25","PL","Poland",1886
2020-06-20,"2020-W25","PL","Poland",1931
2020-06-21,"2020-W25","PL","Poland",1877
2020-06-22,"2020-W26","PL","Poland",1899
2020-06-23,"2020-W26","PL","Poland",1936
2020-06-24,"2020-W26","PL","Poland",1965
2020-06-25,"2020-W26","PL","Poland",1974
2020-06-26,"2020-W26","PL","Poland",1933
2020-06-27,"2020-W26","PL","Poland",1869
2020-06-28,"2020-W26","PL","Poland",1845
2020-06-29,"2020-W27","PL","Poland",1797
2020-06-30,"2020-W27","PL","Poland",1811
2020-07-01,"2020-W27","PL","Poland",1923
2020-07-02,"2020-W27","PL","Poland",1787
2020-07-03,"2020-W27","PL","Poland",1743
2020-07-04,"2020-W27","PL","Poland",1731
2020-07-05,"2020-W27","PL","Poland",1765
2020-07-06,"2020-W28","PL","Poland",1790
2020-07-07,"2020-W28","PL","Poland",1658
2020-07-08,"2020-W28","PL","Poland",1683
2020-07-09,"2020-W28","PL","Poland",1687
2020-07-10,"2020-W28","PL","Poland",1597
2020-07-11,"2020-W28","PL","Poland",1617
2020-07-12,"2020-W28","PL","Poland",1610
2020-07-13,"2020-W29","PL","Poland",1640
2020-07-14,"2020-W29","PL","Poland",1581
2020-07-15,"2020-W29","PL","Poland",1575
2020-07-16,"2020-W29","PL","Poland",1550
2020-07-17,"2020-W29","PL","Poland",1604
2020-07-18,"2020-W29","PL","Poland",1551
2020-07-19,"2020-W29","PL","Poland",1560
2020-07-20,"2020-W30","PL","Poland",1575
2020-07-21,"2020-W30","PL","Poland",1607
2020-07-22,"2020-W30","PL","Poland",1644
2020-07-23,"2020-W30","PL","Poland",1626
2020-07-24,"2020-W30","PL","Poland",1617
2020-07-25,"2020-W30","PL","Poland",1594
2020-07-26,"2020-W30","PL","Poland",1601
2020-07-27,"2020-W31","PL","Poland",1625
2020-07-28,"2020-W31","PL","Poland",1655
2020-07-29,"2020-W31","PL","Poland",1687
2020-07-30,"2020-W31","PL","Poland",1694
2020-07-31,"2020-W31","PL","Poland",1778
2020-08-01,"2020-W31","PL","Poland",1841
2020-08-02,"2020-W31","PL","Poland",1835
2020-08-03,"2020-W32","PL","Poland",1841
2020-08-04,"2020-W32","PL","Poland",1859
2020-08-05,"2020-W32","PL","Poland",1898
2020-08-06,"2020-W32","PL","Poland",1913
2020-08-07,"2020-W32","PL","Poland",1928
2020-08-08,"2020-W32","PL","Poland",1928
2020-08-09,"2020-W32","PL","Poland",1930
2020-08-10,"2020-W33","PL","Poland",1929
2020-08-11,"2020-W33","PL","Poland",1985
2020-08-12,"2020-W33","PL","Poland",2021
2020-08-13,"2020-W33","PL","Poland",2059
2020-08-14,"2020-W33","PL","Poland",2040
2020-08-15,"2020-W33","PL","Poland",2028
2020-08-16,"2020-W33","PL","Poland",2035
2020-08-17,"2020-W34","PL","Poland",2040
2020-08-18,"2020-W34","PL","Poland",2057
2020-08-19,"2020-W34","PL","Poland",2097
2020-08-20,"2020-W34","PL","Poland",2110
2020-08-21,"2020-W34","PL","Poland",2151
2020-08-22,"2020-W34","PL","Poland",2189
2020-08-23,"2020-W34","PL","Poland",2195
2020-08-24,"2020-W35","PL","Poland",2207
2020-08-25,"2020-W35","PL","Poland",2167
2020-08-26,"2020-W35","PL","Poland",2170
2020-08-27,"2020-W35","PL","Poland",2185
2020-08-28,"2020-W35","PL","Poland",2221
2020-08-29,"2020-W35","PL","Poland",2237
2020-08-30,"2020-W35","PL","Poland",2242
2020-08-31,"2020-W36","PL","Poland",2249
2020-09-01,"2020-W36","PL","Poland",2138
2020-09-02,"2020-W36","PL","Poland",2168
2020-09-03,"2020-W36","PL","Poland",2170
2020-09-04,"2020-W36","PL","Poland",2179
2020-09-05,"2020-W36","PL","Poland",2090
2020-09-06,"2020-W36","PL","Poland",2091
2020-09-07,"2020-W37","PL","Poland",2113
2020-09-08,"2020-W37","PL","Poland",2042
2020-09-09,"2020-W37","PL","Poland",2070
2020-09-10,"2020-W37","PL","Poland",1924
2020-09-11,"2020-W37","PL","Poland",1957
2020-09-12,"2020-W37","PL","Poland",1946
2020-09-13,"2020-W37","PL","Poland",1961
2020-09-14,"2020-W38","PL","Poland",1972
2020-09-15,"2020-W38","PL","Poland",1996
2020-09-16,"2020-W38","PL","Poland",2007
2020-09-17,"2020-W38","PL","Poland",1917
2020-09-18,"2020-W38","PL","Poland",1925
2020-09-19,"2020-W38","PL","Poland",1977
2020-09-20,"2020-W38","PL","Poland",1985
2020-09-21,"2020-W39","PL","Poland",1979
2020-09-22,"2020-W39","PL","Poland",NA
2020-09-23,"2020-W39","PL","Poland",1971
2020-09-24,"2020-W39","PL","Poland",1964
2020-09-25,"2020-W39","PL","Poland",1995
2020-09-26,"2020-W39","PL","Poland",2134
2020-09-27,"2020-W39","PL","Poland",2223
2020-09-28,"2020-W40","PL","Poland",2305
2020-09-29,"2020-W40","PL","Poland",2399
2020-09-30,"2020-W40","PL","Poland",2481
2020-10-01,"2020-W40","PL","Poland",2560
2020-10-02,"2020-W40","PL","Poland",2702
2020-10-03,"2020-W40","PL","Poland",2850
2020-10-04,"2020-W40","PL","Poland",2977
2020-10-05,"2020-W41","PL","Poland",3158
2020-10-06,"2020-W41","PL","Poland",3719
2020-10-07,"2020-W41","PL","Poland",4000
2020-10-08,"2020-W41","PL","Poland",4138
2020-10-09,"2020-W41","PL","Poland",4407
2020-10-10,"2020-W41","PL","Poland",4725
2020-10-11,"2020-W41","PL","Poland",4924
2020-10-12,"2020-W42","PL","Poland",5262
2020-10-13,"2020-W42","PL","Poland",5669
2020-10-14,"2020-W42","PL","Poland",6084
2020-10-15,"2020-W42","PL","Poland",6538
2020-10-16,"2020-W42","PL","Poland",6980
2020-10-17,"2020-W42","PL","Poland",7612
2020-10-18,"2020-W42","PL","Poland",8076
2020-10-19,"2020-W43","PL","Poland",8375
2020-10-20,"2020-W43","PL","Poland",8962
2020-10-21,"2020-W43","PL","Poland",9439
2020-10-22,"2020-W43","PL","Poland",10091
2020-10-23,"2020-W43","PL","Poland",10788
2020-10-24,"2020-W43","PL","Poland",11496
2020-10-25,"2020-W43","PL","Poland",11887
2020-10-26,"2020-W44","PL","Poland",12282
2020-10-27,"2020-W44","PL","Poland",13291
2020-10-28,"2020-W44","PL","Poland",13931
2020-10-29,"2020-W44","PL","Poland",14631
2020-10-30,"2020-W44","PL","Poland",15444
2020-10-31,"2020-W44","PL","Poland",16144
2020-11-01,"2020-W44","PL","Poland",16427
2020-11-02,"2020-W45","PL","Poland",17223
2020-11-03,"2020-W45","PL","Poland",18160
2020-11-04,"2020-W45","PL","Poland",18654
2020-11-05,"2020-W45","PL","Poland",19114
2020-11-06,"2020-W45","PL","Poland",19479
2020-11-07,"2020-W45","PL","Poland",20249
2020-11-08,"2020-W45","PL","Poland",20214
2020-11-09,"2020-W46","PL","Poland",20967
2020-11-10,"2020-W46","PL","Poland",21640
2020-11-11,"2020-W46","PL","Poland",21521
2020-11-12,"2020-W46","PL","Poland",21899
2020-11-13,"2020-W46","PL","Poland",22298
2020-11-14,"2020-W46","PL","Poland",22320
2020-11-15,"2020-W46","PL","Poland",21988
2020-11-16,"2020-W46","PL","Poland",NA
2020-11-17,"2020-W46","PL","Poland",NA
2020-11-18,"2020-W46","PL","Poland",NA
2020-11-19,"2020-W46","PL","Poland",NA
2020-11-20,"2020-W46","PL","Poland",NA
2020-11-21,"2020-W46","PL","Poland",NA
2020-11-22,"2020-W46","PL","Poland",NA
2020-11-23,"2020-W46","PL","Poland",NA
2020-11-24,"2020-W46","PL","Poland",NA
2020-11-25,"2020-W46","PL","Poland",NA
NA,"2020-W39","PL","Poland",NA
NA,"2020-W40","PL","Poland",NA
NA,"2020-W14","PL","Poland",NA
NA,"2020-W15","PL","Poland",NA
NA,"2020-W18","PL","Poland",NA
NA,"2020-W19","PL","Poland",NA
NA,"2020-W20","PL","Poland",NA
NA,"2020-W21","PL","Poland",NA
NA,"2020-W22","PL","Poland",NA
NA,"2020-W23","PL","Poland",NA
NA,"2020-W26","PL","Poland",NA
NA,"2020-W27","PL","Poland",NA
NA,"2020-W28","PL","Poland",NA
NA,"2020-W29","PL","Poland",NA
NA,"2020-W30","PL","Poland",NA
NA,"2020-W31","PL","Poland",NA
NA,"2020-W32","PL","Poland",NA
NA,"2020-W33","PL","Poland",NA
NA,"2020-W34","PL","Poland",NA
NA,"2020-W35","PL","Poland",NA
NA,"2020-W36","PL","Poland",NA
NA,"2020-W37","PL","Poland",NA
NA,"2020-W38","PL","Poland",NA
NA,"2020-W41","PL","Poland",NA
NA,"2020-W42","PL","Poland",NA
NA,"2020-W43","PL","Poland",NA
NA,"2020-W44","PL","Poland",NA
NA,"2020-W45","PL","Poland",NA
NA,"2020-W46","PL","Poland",NA
NA,"2020-W09","PL","Poland",NA
NA,"2020-W12","PL","Poland",NA
NA,"2020-W13","PL","Poland",NA
NA,"2020-W16","PL","Poland",NA
NA,"2020-W17","PL","Poland",NA
NA,"2020-W24","PL","Poland",NA
NA,"2020-W25","PL","Poland",NA
NA,"2020-W11","PL","Poland",NA
NA,"2020-W10","PL","Poland",NA
