"","date","countrycode","population","cases","deaths","cases_prev_week","deaths_prev_week","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases","p_cases_contagious","p_cases_active"
"18631","2019/12/31","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18630","2020/01/01","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18629","2020/01/02","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18628","2020/01/03","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18627","2020/01/04","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18626","2020/01/05","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18625","2020/01/06","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18624","2020/01/07","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18623","2020/01/08","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18622","2020/01/09","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18621","2020/01/10","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18620","2020/01/11","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18619","2020/01/12","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18618","2020/01/13","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18617","2020/01/14","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18616","2020/01/15","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18615","2020/01/16","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18614","2020/01/17","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18613","2020/01/18","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18612","2020/01/19","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18611","2020/01/20","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18610","2020/01/21","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18609","2020/01/22","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18608","2020/01/23","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18607","2020/01/24","FR",67012883,0,0,0,0,0,0,0,0,0,0,0,0
"18606","2020/01/25","FR",67012883,3,0,3,0,3,0,3,3,4.47675113455423e-08,4.47675113455423e-08,4.47675113455423e-08,4.47675113455423e-08
"18605","2020/01/26","FR",67012883,0,0,3,0,3,0,3,3,4.47675113455423e-08,0,4.47675113455423e-08,4.47675113455423e-08
"18604","2020/01/27","FR",67012883,0,0,3,0,3,0,3,3,4.47675113455423e-08,0,4.47675113455423e-08,4.47675113455423e-08
"18603","2020/01/28","FR",67012883,0,0,3,0,3,0,3,3,4.47675113455423e-08,0,4.47675113455423e-08,4.47675113455423e-08
"18602","2020/01/29","FR",67012883,1,0,4,0,4,0,4,4,5.96900151273898e-08,1.49225037818474e-08,5.96900151273898e-08,5.96900151273898e-08
"18601","2020/01/30","FR",67012883,1,0,5,0,5,0,5,5,7.46125189092372e-08,1.49225037818474e-08,7.46125189092372e-08,7.46125189092372e-08
"18600","2020/01/31","FR",67012883,1,0,6,0,6,0,6,6,8.95350226910846e-08,1.49225037818474e-08,8.95350226910846e-08,8.95350226910846e-08
"18599","2020/02/01","FR",67012883,0,0,3,0,6,0,6,6,8.95350226910846e-08,0,8.95350226910846e-08,8.95350226910846e-08
"18598","2020/02/02","FR",67012883,0,0,3,0,6,0,6,6,8.95350226910846e-08,0,8.95350226910846e-08,8.95350226910846e-08
"18597","2020/02/03","FR",67012883,0,0,3,0,6,0,6,6,8.95350226910846e-08,0,8.95350226910846e-08,8.95350226910846e-08
"18596","2020/02/04","FR",67012883,0,0,3,0,6,0,6,6,8.95350226910846e-08,0,8.95350226910846e-08,8.95350226910846e-08
"18595","2020/02/05","FR",67012883,0,0,2,0,6,0,6,6,8.95350226910846e-08,0,8.95350226910846e-08,8.95350226910846e-08
"18594","2020/02/06","FR",67012883,0,0,1,0,6,0,3,6,8.95350226910846e-08,0,4.47675113455423e-08,8.95350226910846e-08
"18593","2020/02/07","FR",67012883,0,0,0,0,6,0,3,6,8.95350226910846e-08,0,4.47675113455423e-08,8.95350226910846e-08
"18592","2020/02/08","FR",67012883,5,0,5,0,11,0,8,11,1.64147541600322e-07,7.46125189092372e-08,1.1938003025478e-07,1.64147541600322e-07
"18591","2020/02/09","FR",67012883,0,0,5,0,11,0,8,11,1.64147541600322e-07,0,1.1938003025478e-07,1.64147541600322e-07
"18590","2020/02/10","FR",67012883,0,0,5,0,11,0,7,11,1.64147541600322e-07,0,1.04457526472932e-07,1.64147541600322e-07
"18589","2020/02/11","FR",67012883,0,0,5,0,11,0,6,11,1.64147541600322e-07,0,8.95350226910846e-08,1.64147541600322e-07
"18588","2020/02/12","FR",67012883,0,0,5,0,11,0,5,8,1.64147541600322e-07,0,7.46125189092372e-08,1.1938003025478e-07
"18587","2020/02/13","FR",67012883,0,0,5,0,11,0,5,8,1.64147541600322e-07,0,7.46125189092372e-08,1.1938003025478e-07
