"","date","countrycode","population","cases","deaths","cases_prev_week","deaths_prev_week","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases","p_cases_contagious","p_cases_active"
"1933","2020/05/06","AG",97115,0,0,1,0,25,3,1,2,0.000257426762086186,0,1.02970704834475e-05,2.05941409668949e-05
"1932","2020/05/07","AG",97115,0,0,1,0,25,3,1,2,0.000257426762086186,0,1.02970704834475e-05,2.05941409668949e-05
"1931","2020/05/08","AG",97115,0,0,1,0,25,3,1,2,0.000257426762086186,0,1.02970704834475e-05,2.05941409668949e-05
"1930","2020/05/09","AG",97115,0,0,0,0,25,3,1,2,0.000257426762086186,0,1.02970704834475e-05,2.05941409668949e-05
"1929","2020/05/10","AG",97115,0,0,0,0,25,3,1,1,0.000257426762086186,0,1.02970704834475e-05,1.02970704834475e-05
"1928","2020/05/11","AG",97115,0,0,0,0,25,3,1,1,0.000257426762086186,0,1.02970704834475e-05,1.02970704834475e-05
"1927","2020/05/12","AG",97115,0,0,0,0,25,3,1,1,0.000257426762086186,0,1.02970704834475e-05,1.02970704834475e-05
"1926","2020/05/13","AG",97115,0,0,0,0,25,3,1,1,0.000257426762086186,0,1.02970704834475e-05,1.02970704834475e-05
"1925","2020/05/14","AG",97115,0,0,0,0,25,3,0,1,0.000257426762086186,0,0,1.02970704834475e-05
"1924","2020/05/15","AG",97115,0,0,0,0,25,3,0,1,0.000257426762086186,0,0,1.02970704834475e-05
"1923","2020/05/16","AG",97115,0,0,0,0,25,3,0,1,0.000257426762086186,0,0,1.02970704834475e-05
"1922","2020/05/17","AG",97115,0,0,0,0,25,3,0,1,0.000257426762086186,0,0,1.02970704834475e-05
"1921","2020/05/18","AG",97115,0,0,0,0,25,3,0,1,0.000257426762086186,0,0,1.02970704834475e-05
"1920","2020/05/19","AG",97115,0,0,0,0,25,3,0,1,0.000257426762086186,0,0,1.02970704834475e-05
"1919","2020/05/20","AG",97115,0,0,0,0,25,3,0,0,0.000257426762086186,0,0,0
"1918","2020/05/21","AG",97115,0,0,0,0,25,3,0,0,0.000257426762086186,0,0,0
"1917","2020/05/22","AG",97115,0,0,0,0,25,3,0,0,0.000257426762086186,0,0,0
"1916","2020/05/23","AG",97115,0,0,0,0,25,3,0,0,0.000257426762086186,0,0,0
"1915","2020/05/24","AG",97115,0,0,0,0,25,3,0,0,0.000257426762086186,0,0,0
"1914","2020/05/25","AG",97115,0,0,0,0,25,3,0,0,0.000257426762086186,0,0,0
"1913","2020/05/26","AG",97115,0,0,0,0,25,3,0,0,0.000257426762086186,0,0,0
"1912","2020/05/27","AG",97115,0,0,0,0,25,3,0,0,0.000257426762086186,0,0,0
"1911","2020/05/28","AG",97115,0,0,0,0,25,3,0,0,0.000257426762086186,0,0,0
"1910","2020/05/29","AG",97115,0,0,0,0,25,3,0,0,0.000257426762086186,0,0,0
"1909","2020/05/30","AG",97115,0,0,0,0,25,3,0,0,0.000257426762086186,0,0,0
"1908","2020/05/31","AG",97115,0,0,0,0,25,3,0,0,0.000257426762086186,0,0,0
"1907","2020/06/01","AG",97115,0,0,0,0,25,3,0,0,0.000257426762086186,0,0,0
"1906","2020/06/02","AG",97115,0,0,0,0,25,3,0,0,0.000257426762086186,0,0,0
"1905","2020/06/03","AG",97115,0,0,0,0,25,3,0,0,0.000257426762086186,0,0,0
"1904","2020/06/04","AG",97115,1,0,1,0,26,3,1,1,0.000267723832569634,1.02970704834475e-05,1.02970704834475e-05,1.02970704834475e-05
"1903","2020/06/05","AG",97115,0,0,1,0,26,3,1,1,0.000267723832569634,0,1.02970704834475e-05,1.02970704834475e-05
"1902","2020/06/06","AG",97115,0,0,1,0,26,3,1,1,0.000267723832569634,0,1.02970704834475e-05,1.02970704834475e-05
"1901","2020/06/07","AG",97115,0,0,1,0,26,3,1,1,0.000267723832569634,0,1.02970704834475e-05,1.02970704834475e-05
"1900","2020/06/08","AG",97115,0,0,1,0,26,3,1,1,0.000267723832569634,0,1.02970704834475e-05,1.02970704834475e-05
"1899","2020/06/09","AG",97115,0,0,1,0,26,3,1,1,0.000267723832569634,0,1.02970704834475e-05,1.02970704834475e-05
"1898","2020/06/10","AG",97115,0,0,1,0,26,3,1,1,0.000267723832569634,0,1.02970704834475e-05,1.02970704834475e-05
"1897","2020/06/11","AG",97115,0,0,0,0,26,3,1,1,0.000267723832569634,0,1.02970704834475e-05,1.02970704834475e-05
"1896","2020/06/12","AG",97115,0,0,0,0,26,3,1,1,0.000267723832569634,0,1.02970704834475e-05,1.02970704834475e-05
"1895","2020/06/13","AG",97115,0,0,0,0,26,3,1,1,0.000267723832569634,0,1.02970704834475e-05,1.02970704834475e-05
"1894","2020/06/14","AG",97115,0,0,0,0,26,3,1,1,0.000267723832569634,0,1.02970704834475e-05,1.02970704834475e-05
"1893","2020/06/15","AG",97115,0,0,0,0,26,3,1,1,0.000267723832569634,0,1.02970704834475e-05,1.02970704834475e-05
"1892","2020/06/16","AG",97115,0,0,0,0,26,3,0,1,0.000267723832569634,0,0,1.02970704834475e-05
"1891","2020/06/17","AG",97115,0,0,0,0,26,3,0,1,0.000267723832569634,0,0,1.02970704834475e-05
"1890","2020/06/18","AG",97115,0,0,0,0,26,3,0,1,0.000267723832569634,0,0,1.02970704834475e-05
"1889","2020/06/19","AG",97115,0,0,0,0,26,3,0,1,0.000267723832569634,0,0,1.02970704834475e-05
"1888","2020/06/20","AG",97115,0,0,0,0,26,3,0,1,0.000267723832569634,0,0,1.02970704834475e-05
"1887","2020/06/21","AG",97115,0,0,0,0,26,3,0,1,0.000267723832569634,0,0,1.02970704834475e-05
"1886","2020/06/22","AG",97115,0,0,0,0,26,3,0,0,0.000267723832569634,0,0,0
"1885","2020/06/23","AG",97115,0,0,0,0,26,3,0,0,0.000267723832569634,0,0,0
"1884","2020/06/24","AG",97115,0,0,0,0,26,3,0,0,0.000267723832569634,0,0,0
"1883","2020/06/25","AG",97115,39,0,39,0,65,3,39,39,0.000669309581424085,0.000401585748854451,0.000401585748854451,0.000401585748854451
"1882","2020/06/26","AG",97115,0,0,39,0,65,3,39,39,0.000669309581424085,0,0.000401585748854451,0.000401585748854451
"1881","2020/06/27","AG",97115,0,0,39,0,65,3,39,39,0.000669309581424085,0,0.000401585748854451,0.000401585748854451
"1880","2020/06/28","AG",97115,0,0,39,0,65,3,39,39,0.000669309581424085,0,0.000401585748854451,0.000401585748854451
"1879","2020/06/29","AG",97115,0,0,39,0,65,3,39,39,0.000669309581424085,0,0.000401585748854451,0.000401585748854451
"1878","2020/06/30","AG",97115,1,0,40,0,66,3,40,40,0.000679606651907532,1.02970704834475e-05,0.000411882819337898,0.000411882819337898
"1877","2020/07/01","AG",97115,0,0,40,0,66,3,40,40,0.000679606651907532,0,0.000411882819337898,0.000411882819337898
"1876","2020/07/02","AG",97115,0,0,1,0,66,3,40,40,0.000679606651907532,0,0.000411882819337898,0.000411882819337898
"1875","2020/07/03","AG",97115,2,0,3,0,68,3,42,42,0.000700200792874427,2.05941409668949e-05,0.000432476960304793,0.000432476960304793
"1874","2020/07/04","AG",97115,0,0,3,0,68,3,42,42,0.000700200792874427,0,0.000432476960304793,0.000432476960304793
"1873","2020/07/05","AG",97115,0,0,3,0,68,3,42,42,0.000700200792874427,0,0.000432476960304793,0.000432476960304793
"1872","2020/07/06","AG",97115,0,0,3,0,68,3,42,42,0.000700200792874427,0,0.000432476960304793,0.000432476960304793
"1871","2020/07/07","AG",97115,2,0,4,0,70,3,5,44,0.000720794933841322,2.05941409668949e-05,5.14853524172373e-05,0.000453071101271688
"1870","2020/07/08","AG",97115,0,0,4,0,70,3,5,44,0.000720794933841322,0,5.14853524172373e-05,0.000453071101271688
"1869","2020/07/09","AG",97115,3,0,7,0,73,3,8,47,0.000751686145291665,3.08912114503424e-05,8.23765638675797e-05,0.000483962312722031
"1868","2020/07/10","AG",97115,0,0,5,0,73,3,8,47,0.000751686145291665,0,8.23765638675797e-05,0.000483962312722031
"1867","2020/07/11","AG",97115,1,0,6,0,74,3,9,48,0.000761983215775112,1.02970704834475e-05,9.26736343510271e-05,0.000494259383205478
"1866","2020/07/12","AG",97115,0,0,6,0,74,3,8,48,0.000761983215775112,0,8.23765638675797e-05,0.000494259383205478
"1865","2020/07/13","AG",97115,0,0,6,0,74,3,8,9,0.000761983215775112,0,8.23765638675797e-05,9.26736343510271e-05
"1864","2020/07/14","AG",97115,0,0,4,0,74,3,8,9,0.000761983215775112,0,8.23765638675797e-05,9.26736343510271e-05
"1863","2020/07/15","AG",97115,0,0,4,0,74,3,6,9,0.000761983215775112,0,6.17824229006848e-05,9.26736343510271e-05
"1862","2020/07/16","AG",97115,0,0,1,0,74,3,6,9,0.000761983215775112,0,6.17824229006848e-05,9.26736343510271e-05
"1861","2020/07/17","AG",97115,0,0,1,0,74,3,6,9,0.000761983215775112,0,6.17824229006848e-05,9.26736343510271e-05
"1860","2020/07/18","AG",97115,2,0,2,0,76,3,8,10,0.000782577356742007,2.05941409668949e-05,8.23765638675797e-05,0.000102970704834475
"1859","2020/07/19","AG",97115,0,0,2,0,76,3,6,10,0.000782577356742007,0,6.17824229006848e-05,0.000102970704834475
"1858","2020/07/20","AG",97115,0,0,2,0,76,3,6,10,0.000782577356742007,0,6.17824229006848e-05,0.000102970704834475
"1857","2020/07/21","AG",97115,0,0,2,0,76,3,3,8,0.000782577356742007,0,3.08912114503424e-05,8.23765638675797e-05
"1856","2020/07/22","AG",97115,0,0,2,0,76,3,3,8,0.000782577356742007,0,3.08912114503424e-05,8.23765638675797e-05
"1855","2020/07/23","AG",97115,0,0,2,0,76,3,2,8,0.000782577356742007,0,2.05941409668949e-05,8.23765638675797e-05
"1854","2020/07/24","AG",97115,0,0,2,0,76,3,2,8,0.000782577356742007,0,2.05941409668949e-05,8.23765638675797e-05
"1853","2020/07/25","AG",97115,6,0,6,0,82,3,8,12,0.000844359779642692,6.17824229006848e-05,8.23765638675797e-05,0.00012356484580137
"1852","2020/07/26","AG",97115,0,0,6,0,82,3,8,12,0.000844359779642692,0,8.23765638675797e-05,0.00012356484580137
"1851","2020/07/27","AG",97115,0,0,6,0,82,3,8,9,0.000844359779642692,0,8.23765638675797e-05,9.26736343510271e-05
"1850","2020/07/28","AG",97115,4,0,10,0,86,3,12,13,0.000885548061576482,4.11882819337898e-05,0.00012356484580137,0.000133861916284817
"1849","2020/07/29","AG",97115,0,0,10,0,86,3,12,12,0.000885548061576482,0,0.00012356484580137,0.00012356484580137
"1848","2020/07/30","AG",97115,5,0,15,0,91,3,15,17,0.000937033413993719,5.14853524172373e-05,0.000154456057251712,0.000175050198218607
"1847","2020/07/31","AG",97115,0,0,15,0,91,3,15,17,0.000937033413993719,0,0.000154456057251712,0.000175050198218607
"1846","2020/08/01","AG",97115,0,0,9,0,91,3,15,17,0.000937033413993719,0,0.000154456057251712,0.000175050198218607
"1845","2020/08/02","AG",97115,0,0,9,0,91,3,15,17,0.000937033413993719,0,0.000154456057251712,0.000175050198218607
"1844","2020/08/03","AG",97115,0,0,9,0,91,3,15,17,0.000937033413993719,0,0.000154456057251712,0.000175050198218607
"1843","2020/08/04","AG",97115,1,0,6,0,92,3,16,18,0.000947330484477166,1.02970704834475e-05,0.000164753127735159,0.000185347268702054
"1842","2020/08/05","AG",97115,0,0,6,0,92,3,16,16,0.000947330484477166,0,0.000164753127735159,0.000164753127735159
"1841","2020/08/06","AG",97115,0,0,1,0,92,3,10,16,0.000947330484477166,0,0.000102970704834475,0.000164753127735159
"1840","2020/08/07","AG",97115,0,0,1,0,92,3,10,16,0.000947330484477166,0,0.000102970704834475,0.000164753127735159
"1839","2020/08/08","AG",97115,0,0,1,0,92,3,10,16,0.000947330484477166,0,0.000102970704834475,0.000164753127735159
"1838","2020/08/09","AG",97115,0,0,1,0,92,3,6,16,0.000947330484477166,0,6.17824229006848e-05,0.000164753127735159
"1837","2020/08/10","AG",97115,0,0,1,0,92,3,6,16,0.000947330484477166,0,6.17824229006848e-05,0.000164753127735159
"1836","2020/08/11","AG",97115,0,0,0,0,92,3,1,16,0.000947330484477166,0,1.02970704834475e-05,0.000164753127735159
"1835","2020/08/12","AG",97115,0,0,0,0,92,3,1,10,0.000947330484477166,0,1.02970704834475e-05,0.000102970704834475
"1834","2020/08/13","AG",97115,0,0,0,0,92,3,1,10,0.000947330484477166,0,1.02970704834475e-05,0.000102970704834475
"1833","2020/08/14","AG",97115,1,0,1,0,93,3,2,11,0.000957627554960614,1.02970704834475e-05,2.05941409668949e-05,0.000113267775317922
"1832","2020/08/15","AG",97115,0,0,1,0,93,3,2,7,0.000957627554960614,0,2.05941409668949e-05,7.20794933841322e-05
"1831","2020/08/16","AG",97115,0,0,1,0,93,3,1,7,0.000957627554960614,0,1.02970704834475e-05,7.20794933841322e-05
"1830","2020/08/17","AG",97115,0,0,1,0,93,3,1,2,0.000957627554960614,0,1.02970704834475e-05,2.05941409668949e-05
