"date","countrycode","countryname","hosp_occupancy","icu_occupancy"
2020-04-15,"HR","Croatia",341,NA
2020-04-16,"HR","Croatia",372,NA
2020-04-17,"HR","Croatia",372,NA
2020-04-18,"HR","Croatia",361,NA
2020-04-19,"HR","Croatia",331,NA
2020-04-20,"HR","Croatia",324,NA
2020-04-21,"HR","Croatia",317,NA
2020-04-22,"HR","Croatia",314,NA
2020-04-23,"HR","Croatia",321,NA
2020-04-24,"HR","Croatia",325,NA
2020-04-25,"HR","Croatia",316,NA
2020-04-26,"HR","Croatia",314,NA
2020-04-27,"HR","Croatia",303,NA
2020-04-28,"HR","Croatia",287,NA
2020-04-29,"HR","Croatia",269,NA
2020-04-30,"HR","Croatia",261,NA
2020-05-01,"HR","Croatia",245,NA
2020-05-02,"HR","Croatia",239,NA
2020-05-03,"HR","Croatia",231,NA
2020-05-04,"HR","Croatia",228,NA
2020-05-05,"HR","Croatia",217,NA
2020-05-06,"HR","Croatia",206,NA
2020-05-07,"HR","Croatia",195,NA
2020-05-08,"HR","Croatia",184,NA
2020-05-09,"HR","Croatia",181,NA
2020-05-10,"HR","Croatia",169,NA
2020-05-11,"HR","Croatia",160,NA
2020-05-12,"HR","Croatia",159,NA
2020-05-13,"HR","Croatia",150,NA
2020-05-14,"HR","Croatia",146,NA
2020-05-15,"HR","Croatia",142,NA
2020-05-16,"HR","Croatia",137,NA
2020-05-17,"HR","Croatia",130,NA
2020-05-18,"HR","Croatia",122,NA
2020-05-19,"HR","Croatia",120,NA
2020-05-20,"HR","Croatia",117,NA
2020-05-21,"HR","Croatia",117,NA
2020-05-22,"HR","Croatia",102,NA
2020-05-23,"HR","Croatia",84,NA
2020-05-24,"HR","Croatia",81,NA
2020-05-25,"HR","Croatia",78,NA
2020-05-26,"HR","Croatia",42,NA
2020-05-27,"HR","Croatia",38,NA
2020-05-28,"HR","Croatia",34,NA
2020-05-29,"HR","Croatia",28,NA
2020-05-30,"HR","Croatia",27,NA
2020-05-31,"HR","Croatia",23,NA
2020-06-01,"HR","Croatia",22,NA
2020-06-02,"HR","Croatia",17,NA
2020-06-03,"HR","Croatia",17,NA
2020-06-04,"HR","Croatia",15,NA
2020-06-05,"HR","Croatia",12,NA
2020-06-06,"HR","Croatia",10,NA
2020-06-07,"HR","Croatia",10,NA
2020-06-08,"HR","Croatia",10,NA
2020-06-09,"HR","Croatia",6,NA
2020-06-10,"HR","Croatia",7,NA
2020-06-11,"HR","Croatia",7,NA
2020-06-12,"HR","Croatia",6,NA
2020-06-13,"HR","Croatia",6,NA
2020-06-14,"HR","Croatia",7,NA
2020-06-15,"HR","Croatia",7,NA
2020-06-16,"HR","Croatia",4,NA
2020-06-17,"HR","Croatia",5,NA
2020-06-18,"HR","Croatia",9,NA
2020-06-19,"HR","Croatia",8,NA
2020-06-20,"HR","Croatia",8,NA
2020-06-21,"HR","Croatia",9,NA
2020-06-22,"HR","Croatia",9,NA
2020-06-23,"HR","Croatia",16,NA
2020-06-24,"HR","Croatia",18,NA
2020-06-25,"HR","Croatia",42,NA
2020-06-26,"HR","Croatia",51,NA
2020-06-27,"HR","Croatia",54,NA
2020-06-28,"HR","Croatia",60,NA
2020-06-29,"HR","Croatia",65,NA
2020-06-30,"HR","Croatia",75,NA
2020-07-01,"HR","Croatia",80,NA
2020-07-02,"HR","Croatia",84,NA
2020-07-03,"HR","Croatia",88,NA
2020-07-04,"HR","Croatia",85,NA
2020-07-05,"HR","Croatia",93,NA
2020-07-06,"HR","Croatia",90,NA
2020-07-07,"HR","Croatia",89,NA
2020-07-08,"HR","Croatia",91,NA
2020-07-09,"HR","Croatia",100,NA
2020-07-10,"HR","Croatia",104,NA
2020-07-11,"HR","Croatia",124,NA
2020-07-12,"HR","Croatia",132,NA
2020-07-13,"HR","Croatia",132,NA
2020-07-14,"HR","Croatia",129,NA
2020-07-15,"HR","Croatia",132,NA
