"date","countrycode","countryname","hosp_occupancy","icu_occupancy"
2020-03-08,"NO","Norway",0,NA
2020-03-09,"NO","Norway",2,NA
2020-03-10,"NO","Norway",8,NA
2020-03-11,"NO","Norway",13,NA
2020-03-12,"NO","Norway",23,NA
2020-03-13,"NO","Norway",27,NA
2020-03-14,"NO","Norway",35,NA
2020-03-15,"NO","Norway",41,NA
2020-03-16,"NO","Norway",50,NA
2020-03-17,"NO","Norway",68,NA
2020-03-18,"NO","Norway",82,NA
2020-03-19,"NO","Norway",102,NA
2020-03-20,"NO","Norway",130,NA
2020-03-21,"NO","Norway",148,NA
2020-03-22,"NO","Norway",169,NA
2020-03-23,"NO","Norway",193,NA
2020-03-24,"NO","Norway",212,NA
2020-03-25,"NO","Norway",237,NA
2020-03-26,"NO","Norway",266,NA
2020-03-27,"NO","Norway",303,NA
2020-03-28,"NO","Norway",291,NA
2020-03-29,"NO","Norway",317,NA
2020-03-30,"NO","Norway",321,NA
2020-03-31,"NO","Norway",317,NA
2020-04-01,"NO","Norway",325,NA
2020-04-02,"NO","Norway",318,NA
2020-04-03,"NO","Norway",318,NA
2020-04-04,"NO","Norway",306,NA
2020-04-05,"NO","Norway",310,NA
2020-04-06,"NO","Norway",314,NA
2020-04-07,"NO","Norway",277,NA
2020-04-08,"NO","Norway",250,NA
2020-04-09,"NO","Norway",252,NA
2020-04-10,"NO","Norway",234,NA
2020-04-11,"NO","Norway",214,NA
2020-04-12,"NO","Norway",214,NA
2020-04-13,"NO","Norway",204,NA
2020-04-14,"NO","Norway",201,NA
2020-04-15,"NO","Norway",190,NA
2020-04-16,"NO","Norway",175,NA
2020-04-17,"NO","Norway",165,NA
2020-04-18,"NO","Norway",148,NA
2020-04-19,"NO","Norway",153,NA
2020-04-20,"NO","Norway",160,NA
2020-04-21,"NO","Norway",144,NA
2020-04-22,"NO","Norway",129,NA
2020-04-23,"NO","Norway",123,NA
2020-04-24,"NO","Norway",120,NA
2020-04-25,"NO","Norway",114,NA
2020-04-26,"NO","Norway",122,NA
2020-04-27,"NO","Norway",125,NA
2020-04-28,"NO","Norway",119,NA
2020-04-29,"NO","Norway",114,NA
2020-04-30,"NO","Norway",98,NA
2020-05-01,"NO","Norway",82,NA
2020-05-02,"NO","Norway",81,NA
2020-05-03,"NO","Norway",80,NA
2020-05-04,"NO","Norway",82,NA
2020-05-05,"NO","Norway",71,NA
2020-05-06,"NO","Norway",62,NA
2020-05-07,"NO","Norway",63,NA
2020-05-08,"NO","Norway",61,NA
2020-05-09,"NO","Norway",59,NA
2020-05-10,"NO","Norway",60,NA
2020-05-11,"NO","Norway",59,NA
2020-05-12,"NO","Norway",59,NA
2020-05-13,"NO","Norway",61,NA
2020-05-14,"NO","Norway",61,NA
2020-05-15,"NO","Norway",58,NA
2020-05-16,"NO","Norway",52,NA
2020-05-17,"NO","Norway",52,NA
2020-05-18,"NO","Norway",52,NA
2020-05-19,"NO","Norway",51,NA
2020-05-20,"NO","Norway",51,NA
2020-05-21,"NO","Norway",41,NA
2020-05-22,"NO","Norway",45,NA
2020-05-23,"NO","Norway",35,NA
2020-05-24,"NO","Norway",38,NA
2020-05-25,"NO","Norway",40,NA
2020-05-26,"NO","Norway",37,NA
2020-05-27,"NO","Norway",36,NA
2020-05-28,"NO","Norway",36,NA
2020-05-29,"NO","Norway",30,NA
2020-05-30,"NO","Norway",28,NA
2020-05-31,"NO","Norway",28,NA
2020-06-01,"NO","Norway",29,NA
2020-06-02,"NO","Norway",32,NA
2020-06-03,"NO","Norway",27,NA
2020-06-04,"NO","Norway",29,NA
2020-06-05,"NO","Norway",22,NA
2020-06-06,"NO","Norway",21,NA
2020-06-07,"NO","Norway",21,NA
2020-06-08,"NO","Norway",21,NA
2020-06-09,"NO","Norway",21,NA
2020-06-10,"NO","Norway",18,NA
2020-06-11,"NO","Norway",16,NA
2020-06-12,"NO","Norway",16,NA
2020-06-13,"NO","Norway",18,NA
2020-06-14,"NO","Norway",NA,NA
2020-06-15,"NO","Norway",18,NA
2020-06-16,"NO","Norway",18,NA
2020-06-17,"NO","Norway",18,NA
2020-06-18,"NO","Norway",19,NA
2020-06-19,"NO","Norway",17,NA
2020-06-20,"NO","Norway",NA,NA
2020-06-21,"NO","Norway",NA,NA
2020-06-22,"NO","Norway",13,NA
2020-06-23,"NO","Norway",12,NA
2020-06-24,"NO","Norway",16,NA
2020-06-25,"NO","Norway",18,NA
2020-06-26,"NO","Norway",20,NA
2020-06-27,"NO","Norway",NA,NA
2020-06-28,"NO","Norway",NA,NA
2020-06-29,"NO","Norway",18,NA
2020-06-30,"NO","Norway",18,NA
2020-07-01,"NO","Norway",17,NA
2020-07-02,"NO","Norway",19,NA
2020-07-03,"NO","Norway",15,NA
2020-07-04,"NO","Norway",NA,NA
2020-07-05,"NO","Norway",NA,NA
2020-07-06,"NO","Norway",11,NA
2020-07-07,"NO","Norway",9,NA
2020-07-08,"NO","Norway",8,NA
2020-07-09,"NO","Norway",8,NA
2020-07-10,"NO","Norway",4,NA
2020-07-11,"NO","Norway",NA,NA
2020-07-12,"NO","Norway",NA,NA
2020-07-13,"NO","Norway",7,NA
2020-07-14,"NO","Norway",7,NA
2020-07-15,"NO","Norway",5,NA
2020-07-16,"NO","Norway",6,NA
2020-07-17,"NO","Norway",8,NA
2020-07-18,"NO","Norway",NA,NA
2020-07-19,"NO","Norway",NA,NA
2020-07-20,"NO","Norway",10,NA
2020-07-21,"NO","Norway",7,NA
2020-07-22,"NO","Norway",3,NA
2020-07-23,"NO","Norway",3,NA
2020-07-24,"NO","Norway",3,NA
2020-07-25,"NO","Norway",NA,NA
2020-07-26,"NO","Norway",NA,NA
2020-07-27,"NO","Norway",7,NA
2020-07-28,"NO","Norway",5,NA
2020-07-29,"NO","Norway",6,NA
2020-07-30,"NO","Norway",6,NA
2020-07-31,"NO","Norway",3,NA
2020-08-01,"NO","Norway",NA,NA
2020-08-02,"NO","Norway",NA,NA
2020-08-03,"NO","Norway",14,NA
2020-08-04,"NO","Norway",12,NA
2020-08-05,"NO","Norway",11,NA
2020-08-06,"NO","Norway",14,NA
2020-08-07,"NO","Norway",15,NA
2020-08-08,"NO","Norway",NA,NA
2020-08-09,"NO","Norway",NA,NA
2020-08-10,"NO","Norway",16,NA
2020-08-11,"NO","Norway",15,NA
2020-08-12,"NO","Norway",15,NA
2020-08-13,"NO","Norway",12,NA
2020-08-14,"NO","Norway",8,NA
2020-08-15,"NO","Norway",NA,NA
2020-08-16,"NO","Norway",NA,NA
2020-08-17,"NO","Norway",14,NA
2020-08-18,"NO","Norway",12,NA
2020-08-19,"NO","Norway",11,NA
2020-08-20,"NO","Norway",10,NA
2020-08-21,"NO","Norway",13,NA
2020-08-22,"NO","Norway",NA,NA
2020-08-23,"NO","Norway",NA,NA
2020-08-24,"NO","Norway",17,NA
2020-08-25,"NO","Norway",18,NA
2020-08-26,"NO","Norway",17,NA
2020-08-27,"NO","Norway",17,NA
2020-08-28,"NO","Norway",16,NA
2020-08-29,"NO","Norway",NA,NA
2020-08-30,"NO","Norway",NA,NA
2020-08-31,"NO","Norway",12,NA
2020-09-01,"NO","Norway",11,NA
2020-09-02,"NO","Norway",11,NA
2020-09-03,"NO","Norway",13,NA
2020-09-04,"NO","Norway",16,NA
2020-09-05,"NO","Norway",NA,NA
2020-09-06,"NO","Norway",NA,NA
2020-09-07,"NO","Norway",15,NA
2020-09-08,"NO","Norway",11,NA
2020-09-09,"NO","Norway",14,NA
2020-09-10,"NO","Norway",11,NA
2020-09-11,"NO","Norway",16,NA
2020-09-12,"NO","Norway",NA,NA
2020-09-13,"NO","Norway",NA,NA
2020-09-14,"NO","Norway",21,NA
2020-09-15,"NO","Norway",18,NA
2020-09-16,"NO","Norway",16,NA
2020-09-17,"NO","Norway",20,NA
2020-09-18,"NO","Norway",16,NA
2020-09-19,"NO","Norway",NA,NA
2020-09-20,"NO","Norway",NA,NA
2020-09-21,"NO","Norway",23,NA
2020-09-22,"NO","Norway",21,NA
2020-09-23,"NO","Norway",19,NA
2020-09-24,"NO","Norway",24,NA
2020-09-25,"NO","Norway",19,NA
2020-09-26,"NO","Norway",NA,NA
2020-09-27,"NO","Norway",NA,NA
2020-09-28,"NO","Norway",21,NA
2020-09-29,"NO","Norway",24,NA
2020-09-30,"NO","Norway",28,NA
2020-10-01,"NO","Norway",25,NA
2020-10-02,"NO","Norway",27,NA
2020-10-03,"NO","Norway",NA,NA
2020-10-04,"NO","Norway",NA,NA
2020-10-05,"NO","Norway",25,NA
2020-10-06,"NO","Norway",22,NA
2020-10-07,"NO","Norway",25,NA
2020-10-08,"NO","Norway",27,NA
2020-10-09,"NO","Norway",23,NA
2020-10-10,"NO","Norway",NA,NA
2020-10-11,"NO","Norway",NA,NA
2020-10-12,"NO","Norway",31,NA
2020-10-13,"NO","Norway",27,NA
2020-10-14,"NO","Norway",23,NA
2020-10-15,"NO","Norway",24,NA
2020-10-16,"NO","Norway",28,NA
2020-10-17,"NO","Norway",NA,NA
2020-10-18,"NO","Norway",NA,NA
2020-10-19,"NO","Norway",28,NA
2020-10-20,"NO","Norway",29,NA
2020-10-21,"NO","Norway",36,NA
2020-10-22,"NO","Norway",44,NA
2020-10-23,"NO","Norway",44,NA
2020-10-24,"NO","Norway",NA,NA
2020-10-25,"NO","Norway",NA,NA
2020-10-26,"NO","Norway",54,NA
2020-10-27,"NO","Norway",51,NA
2020-10-28,"NO","Norway",49,NA
2020-10-29,"NO","Norway",47,NA
2020-10-30,"NO","Norway",60,NA
2020-10-31,"NO","Norway",60,NA
2020-11-01,"NO","Norway",63,NA
2020-11-02,"NO","Norway",64,NA
2020-11-03,"NO","Norway",61,NA
2020-11-04,"NO","Norway",70,NA
2020-11-05,"NO","Norway",72,NA
2020-11-06,"NO","Norway",88,NA
2020-11-07,"NO","Norway",92,NA
2020-11-08,"NO","Norway",96,NA
2020-11-09,"NO","Norway",97,NA
2020-11-10,"NO","Norway",104,NA
2020-11-11,"NO","Norway",95,NA
2020-11-12,"NO","Norway",110,NA
2020-11-13,"NO","Norway",109,NA
2020-11-14,"NO","Norway",117,NA
2020-11-15,"NO","Norway",127,NA
2020-11-16,"NO","Norway",NA,NA
2020-11-17,"NO","Norway",NA,NA
2020-11-18,"NO","Norway",NA,NA
2020-11-19,"NO","Norway",NA,NA
2020-11-20,"NO","Norway",NA,NA
2020-11-21,"NO","Norway",NA,NA
2020-11-22,"NO","Norway",NA,NA
