"X","date","p_cases","p_cases_recent","p_cases_fatalities","p_cases_stillsick","p_cases_recent_past_smooth","p_cases_stillsick_past_smooth"
1,"2020-03-20",0.00801083154688029,0,0,0,0,0
2,"2020-03-21",0.00672268907563025,0,0,0,0,0
3,"2020-03-22",0.0126849894291755,0,0,0,0,0
4,"2020-03-23",0.00482218203737191,0,0,0,0,0
5,"2020-03-24",0.00628053035589672,0,0,0,0,0
6,"2020-03-25",0.00876095118898623,0,0,0,0,0
7,"2020-03-26",0.00876095118898623,0,0,0,0,0
8,"2020-03-27",0.01468788249694,0,0,0,0,0
9,"2020-03-28",0.014405762304922,0,0,0,0,0
10,"2020-03-29",0.00491159135559921,0,0,0,0,0
11,"2020-03-30",0.00366300366300366,0,0,0,0,0
12,"2020-03-31",0.00628140703517588,0,0,0,0,0
13,"2020-04-01",0.0050761421319797,0,0,0,0,0
14,"2020-04-02",0.0051150895140665,0,0,0,0,0
15,"2020-04-03",0.0119617224880383,0,0,0,0,0
16,"2020-04-04",0.0150187734668335,0,0,0,0,0
17,"2020-04-05",0.0173913043478261,0,0,0,0,0
18,"2020-04-06",0.0125348189415042,0,0,0,0,0
19,"2020-04-07",0.0125348189415042,0,0,0,0,0
20,"2020-04-08",0.0126404494382022,0,0,0,0,0
21,"2020-04-09",0.00930851063829787,0,0,0,0,0
22,"2020-04-10",0.00930851063829787,0,0,0,0,0
23,"2020-04-11",0.010498687664042,0,0,0,0,0
24,"2020-04-12",0.00865265760197775,0,0,0,0,0
25,"2020-04-13",0.00865265760197775,0,0,0,0,0
26,"2020-04-14",0.0090293453724605,0,0,0,0,0
27,"2020-04-15",0.00934579439252336,0,0,0,0,0
28,"2020-04-16",0.00934579439252336,0,0,0,0,0
29,"2020-04-17",0.0102272727272727,0,0,0,0,0
30,"2020-04-18",0.0102272727272727,0,0,0,0,0
31,"2020-04-19",0.0102272727272727,0,0,0,0,0
32,"2020-04-20",0.01,0,0,0,0,0
33,"2020-04-21",0.01,0,0,0,0,0
34,"2020-04-22",0.0121278941565601,0,0,0,0,0
35,"2020-04-23",0.0121278941565601,0,0,0,0,0
36,"2020-04-24",0.00965665236051502,0,0,0,0,0
37,"2020-04-25",0.0111788617886179,0,0,0,0,0
38,"2020-04-26",0.0111788617886179,0,0,0,0,0
39,"2020-04-27",0.0111788617886179,0,0,0,0,0
40,"2020-04-28",0.0111788617886179,0,0,0,0,0
41,"2020-04-29",0.0111788617886179,0,0,0,0,0
42,"2020-04-30",0.0111788617886179,0,0,0,0,0
43,"2020-05-01",0.0111788617886179,0,0,0,0,0
44,"2020-05-02",0.0111788617886179,0,0,0,0,0
45,"2020-05-03",0.0111788617886179,0,0,0,0,0
46,"2020-05-04",0.0115495668912416,0,0,0,0,0
47,"2020-05-05",0.0115495668912416,0,0,0,0,0
48,"2020-05-06",0.0115495668912416,0,0,0,0,0
49,"2020-05-07",0.0115495668912416,0,0,0,0,0
50,"2020-05-08",0.0115495668912416,0,0,0,0,0
51,"2020-05-09",0.0115495668912416,0,0,0,0,0
52,"2020-05-10",0.0115495668912416,0,0,0,0,0
53,"2020-05-11",0.0115495668912416,0,0,0,0,0
54,"2020-05-12",0.0115495668912416,0,0,0,0,0
55,"2020-05-13",0.0115495668912416,0,0,0,0,0
56,"2020-05-14",0.0115495668912416,0,0,0,0,0
57,"2020-05-15",0.0115495668912416,0,0,0,0,0
58,"2020-05-16",0.0115495668912416,0,0,0,0,0
59,"2020-05-17",0.0115495668912416,0,0,0,0,0
60,"2020-05-18",0.0115495668912416,0,0,0,0,0
