"","cutoff","predType","startDate","endDate","mape","mae","mse","rmse","smape"
"1",2020-09-10,"nearFuture",2020-09-11,2020-09-17,0.236338711903305,337.665743696335,129895.436275255,360.410094580125,0.272308842895107
"2",2020-09-10,"farFuture",2020-11-10,2020-11-18,0.987449492572975,33245.5554028388,1127142512.68699,33572.9431639079,1.95043186708052
"3",2020-09-10,"nearFar",2020-09-11,2020-11-18,0.658838526029994,18848.353676964,634074492.639804,25180.8358209136,1.2162530439994
"4",2020-09-11,"nearFuture",2020-09-12,2020-09-18,0.25632400705794,367.773155249673,153948.833513353,392.363139850513,0.299515647155265
"5",2020-09-11,"farFuture",2020-11-11,2020-11-18,0.983976576475579,34158.3753988355,1181433371.46286,34371.9852708985,1.93693146637242
"6",2020-09-11,"nearFar",2020-09-12,2020-11-18,0.644405377414014,18389.4276851621,630169640.902499,25103.1798962303,1.17280408407108
"7",2020-09-12,"nearFuture",2020-09-13,2020-09-19,0.220633300330906,338.88516071092,144928.400277843,380.694628643277,0.2527716340193
"8",2020-09-12,"farFuture",2020-11-12,2020-11-18,0.986144556911526,34181.5265285707,1185177274.28998,34426.4037373929,1.94534088923912
"9",2020-09-12,"nearFar",2020-09-13,2020-11-18,0.603388928621216,17260.2058446408,592661101.345129,24344.6318794335,1.09905626162921
"10",2020-09-13,"nearFuture",2020-09-14,2020-09-22,0.259325133910305,394.378443933413,187676.393749289,433.216335967712,0.304162102380247
"11",2020-09-13,"farFuture",2020-11-13,2020-11-20,0.985629910598132,34509.9984590777,1205263090.02432,34716.8991994435,1.94334003327931
"12",2020-09-13,"nearFar",2020-09-14,2020-11-20,0.601115617057518,16448.7878628248,567281988.69049,23817.6822694923,1.0755399522151
"13",2020-09-14,"nearFuture",2020-09-15,2020-09-24,0.278217196530506,429.097415341468,223239.996501088,472.482800217202,0.331654665670514
"14",2020-09-14,"farFuture",2020-11-14,2020-11-21,0.987908622843841,34500.9932385499,1204389264.43302,34704.3118997196,1.95221623648417
"15",2020-09-14,"nearFar",2020-09-15,2020-11-21,0.593635608225321,15572.1622256563,535408139.746065,23138.8880403978,1.05190425269881
"16",2020-09-15,"nearFuture",2020-09-16,2020-09-25,0.328365663295711,521.323319826118,307826.197100041,554.820869380416,0.400519306226586
"17",2020-09-15,"farFuture",2020-11-15,2020-11-21,0.988239805207629,33668.91260095,1144014199.97418,33823.278965443,1.95351154516605
"18",2020-09-15,"nearFar",2020-09-16,2020-11-21,0.600078545259442,14170.3306708771,471245744.811191,21708.1953375031,1.03998669873107
"19",2020-09-16,"nearFuture",2020-09-17,2020-09-23,0.299373466977417,470.030243202096,242832.748915832,492.78062960696,0.357155365809316
"20",2020-09-16,"farFuture",2020-11-16,2020-11-18,0.98614530424007,30745.4301627911,953134785.652862,30872.8810714657,1.94534635881038
"21",2020-09-16,"nearFar",2020-09-17,2020-11-18,0.505405018156213,9552.65021907879,286110418.6201,16914.7988051913,0.833612663709635
"22",2020-09-17,"nearFuture",2020-09-18,2020-09-27,0.357629710936934,599.660092784263,387645.995097427,622.612234940358,0.441188825128514
"23",2020-09-17,"farFuture",2020-11-17,2020-11-21,0.987889605361022,33046.2381691235,1104224495.35724,33229.8735380868,1.95214398637367
"24",2020-09-17,"nearFar",2020-09-18,2020-11-21,0.56771634241163,11415.1861182307,368333262.449145,19192.0103806023,0.944840545543568
"25",2020-09-18,"nearFuture",2020-09-19,2020-09-25,0.346212151066143,561.304760696681,325233.938225332,570.29285303722,0.419901992640091
"26",2020-09-18,"farFuture",2020-11-18,2020-11-18,0.9870226042869,31773.2446545996,1009539075.88104,31773.2446545996,1.94875543810545
"27",2020-09-18,"nearFar",2020-09-19,2020-11-18,0.426313457718738,4462.79724743455,126476964.181077,11246.1977655151,0.611008673323261
"28",2020-09-19,"nearFuture",2020-09-20,2020-10-08,0.494733856275491,1081.20292539381,1501555.42115106,1225.37970488786,0.674659481609158
"29",2020-09-19,"farFuture",2020-11-19,2020-11-25,0.987654398979396,30617.1798906184,968917779.247246,31127.44414897,1.95122635240124
"30",2020-09-19,"nearFar",2020-09-20,2020-11-25,0.627443233157311,9033.1967237235,261959769.528177,16185.1712851047,1.01835056220703
"31",2020-09-20,"nearFuture",2020-09-21,2020-09-30,0.384340140750986,635.583708263727,419653.70174285,647.806839839508,0.478494735243914
"32",2020-09-20,"farFuture",2020-11-20,2020-11-21,0.988554731379917,36287.2639138799,1317033739.22835,36290.9594696578,1.95473713527334
"33",2020-09-20,"nearFar",2020-09-21,2020-11-21,0.485042572522474,6577.53040919976,219855334.622844,14827.5195033709,0.724535135248819
"34",2020-09-21,"nearFuture",2020-09-22,2020-10-01,0.34967641336022,590.274139196481,371485.690399463,609.496259545096,0.42806645172964
"35",2020-09-21,"farFuture",2020-11-21,2020-11-21,0.987015688392589,36755.4772200516,1350965105.67373,36755.4772200516,1.94872847897592
"36",2020-09-21,"nearFar",2020-09-22,2020-11-21,0.407616347454072,3878.01987381968,123152723.870703,11097.4196942669,0.566308454206575
"37",2020-09-22,"nearFuture",2020-09-23,2020-10-02,0.380548298396674,697.679369407022,550461.614058208,741.931003569879,0.474913203602458
"38",2020-09-22,"nearFar",2020-09-23,2020-10-02,0.380548298396674,697.679369407022,550461.614058208,741.931003569879,0.474913203602458
"39",2020-09-23,"nearFuture",2020-09-24,2020-10-05,0.387424137890652,823.38876367194,840482.452144675,916.778300432921,0.494046035527181
"40",2020-09-23,"farFuture",2020-11-23,2020-11-23,0.973428444845074,27584.0418415749,760879364.317752,27584.0418415749,1.89646486882869
"41",2020-09-23,"nearFar",2020-09-24,2020-11-23,0.432501392271761,2881.90053889524,59305011.8264222,7700.97473222852,0.601924407319605
"42",2020-09-24,"nearFuture",2020-09-25,2020-10-07,0.432075036073605,967.926407518906,1142845.0744617,1069.03932315968,0.568186324713238
"43",2020-09-24,"farFuture",2020-11-24,2020-11-24,0.976221772135079,22381.836569741,500946608.234594,22381.836569741,1.90709617681747
"44",2020-09-24,"nearFar",2020-09-25,2020-11-24,0.470942660077996,2497.4914191062,36843113.871614,6069.85287067273,0.663822742720684
"45",2020-09-25,"nearFuture",2020-09-26,2020-10-08,0.446591411269348,1077.82752700463,1452218.01083736,1205.08008482315,0.591278066614707
"46",2020-09-25,"nearFar",2020-09-26,2020-10-08,0.446591411269348,1077.82752700463,1452218.01083736,1205.08008482315,0.591278066614707
"47",2020-09-26,"nearFuture",2020-09-27,2020-10-09,0.475466016400295,1263.8342109521,2110165.17802529,1452.64076014178,0.640883396285795
"48",2020-09-26,"nearFar",2020-09-27,2020-10-09,0.475466016400295,1263.8342109521,2110165.17802529,1452.64076014178,0.640883396285795
"49",2020-09-27,"nearFuture",2020-09-28,2020-10-10,0.497345650623419,1502.07980636849,3223003.22762119,1795.27246612351,0.685940271313886
"50",2020-09-27,"nearFar",2020-09-28,2020-10-10,0.497345650623419,1502.07980636849,3223003.22762119,1795.27246612351,0.685940271313886
"51",2020-09-28,"nearFuture",2020-09-29,2020-10-11,0.511999499175019,1742.48501834982,4476378.19023573,2115.74530372532,0.716498328732261
"52",2020-09-28,"nearFar",2020-09-29,2020-10-11,0.511999499175019,1742.48501834982,4476378.19023573,2115.74530372532,0.716498328732261
"53",2020-09-29,"nearFuture",2020-09-30,2020-10-12,0.552620959376802,2034.24997034697,5758221.10421989,2399.62936809414,0.791721115120325
"54",2020-09-29,"nearFar",2020-09-30,2020-10-12,0.552620959376802,2034.24997034697,5758221.10421989,2399.62936809414,0.791721115120325
"55",2020-09-30,"nearFuture",2020-10-01,2020-10-07,0.465082144437781,1167.67410410192,1459145.57970766,1207.9509839839,0.612933970199846
"56",2020-09-30,"nearFar",2020-10-01,2020-10-07,0.465082144437781,1167.67410410192,1459145.57970766,1207.9509839839,0.612933970199846
"57",2020-10-01,"nearFuture",2020-10-02,2020-10-08,0.514078041368297,1421.17865241954,2162641.28127671,1470.59215327592,0.695716357716457
"58",2020-10-01,"nearFar",2020-10-02,2020-10-08,0.514078041368297,1421.17865241954,2162641.28127671,1470.59215327592,0.695716357716457
"59",2020-10-02,"nearFuture",2020-10-03,2020-10-09,0.524859045583413,1612.64523559538,2938232.3200539,1714.12727650367,0.716573430499695
"60",2020-10-02,"nearFar",2020-10-03,2020-10-09,0.524859045583413,1612.64523559538,2938232.3200539,1714.12727650367,0.716573430499695
"61",2020-10-03,"nearFuture",2020-10-04,2020-10-10,0.504617563342277,1790.75783222111,3857217.15806051,1963.97992812058,0.682136493785253
"62",2020-10-03,"nearFar",2020-10-04,2020-10-10,0.504617563342277,1790.75783222111,3857217.15806051,1963.97992812058,0.682136493785253
"63",2020-10-04,"nearFuture",2020-10-05,2020-10-11,0.555830467372339,2219.2606177156,5993434.441842,2448.14918700679,0.779468390325177
"64",2020-10-04,"nearFar",2020-10-05,2020-10-11,0.555830467372339,2219.2606177156,5993434.441842,2448.14918700679,0.779468390325177
"65",2020-10-05,"nearFuture",2020-10-06,2020-10-12,0.538522370399465,2391.59832011135,6875446.77104978,2622.1073149377,0.751137655206607
"66",2020-10-05,"nearFar",2020-10-06,2020-10-12,0.538522370399465,2391.59832011135,6875446.77104978,2622.1073149377,0.751137655206607
"67",2020-10-06,"nearFuture",2020-10-07,2020-10-13,0.546627000361602,2574.87106148967,7441397.80010512,2727.89255655444,0.763604997479976
"68",2020-10-06,"nearFar",2020-10-07,2020-10-13,0.546627000361602,2574.87106148967,7441397.80010512,2727.89255655444,0.763604997479976
"69",2020-10-07,"nearFuture",2020-10-08,2020-10-14,0.571450285328136,2922.23473726207,9120375.3226595,3019.99591434484,0.808713269310418
