"","cutoff","predType","startDate","endDate","mape","mae","mse","rmse","smape","minlag","maxlag","penalty","alpha_in","rmcc","rmth","smth","basisdim","firstcutoff","lastcutoff","cutoffinterval","umd","ccfr","nsum","umd_smooth"
"1",2020-09-10,"nearFuture",2020-09-11,2020-09-28,0.155770999361118,237.049876565055,88185.207972232,296.959943379965,0.144596800693509,14,60,FALSE,0.5,TRUE,0.9,FALSE,NA,2020-09-10,2020-11-10,1,TRUE,FALSE,FALSE,FALSE
"2",2020-09-11,"nearFuture",2020-09-12,2020-09-29,0.1747300223952,279.329835386976,99835.434717683,315.967458320763,0.163490269796848,14,60,FALSE,0.5,TRUE,0.9,FALSE,NA,2020-09-10,2020-11-10,1,TRUE,FALSE,FALSE,FALSE
"3",2020-09-12,"nearFuture",2020-09-13,2020-09-27,0.186933654085912,281.622613348734,104003.56740261,322.49584090746,0.167980130720658,14,60,FALSE,0.5,TRUE,0.9,FALSE,NA,2020-09-10,2020-11-10,1,TRUE,FALSE,FALSE,FALSE
"4",2020-09-13,"nearFuture",2020-09-14,2020-09-28,0.171703835345652,261.473554497987,91050.6701047717,301.746035773085,0.15710917496978,14,60,FALSE,0.5,TRUE,0.9,FALSE,NA,2020-09-10,2020-11-10,1,TRUE,FALSE,FALSE,FALSE
"5",2020-09-14,"nearFuture",2020-09-15,2020-10-02,0.170651680731285,270.648144094337,100243.127618068,316.611951161146,0.163726429034724,14,60,FALSE,0.5,TRUE,0.9,FALSE,NA,2020-09-10,2020-11-10,1,TRUE,FALSE,FALSE,FALSE
"6",2020-09-15,"nearFuture",2020-09-16,2020-10-03,0.165272203847868,261.675782361905,90570.3087281083,300.949013502467,0.159232916089037,14,60,FALSE,0.5,TRUE,0.9,FALSE,NA,2020-09-10,2020-11-10,1,TRUE,FALSE,FALSE,FALSE
"7",2020-09-16,"nearFuture",2020-09-17,2020-09-30,0.18528654998892,295.005435380926,108538.583265342,329.451943787469,0.178640181891465,14,60,FALSE,0.5,TRUE,0.9,FALSE,NA,2020-09-10,2020-11-10,1,TRUE,FALSE,FALSE,FALSE
"8",2020-09-17,"nearFuture",2020-09-18,2020-10-05,0.157597206313958,252.212388274972,102455.880055993,320.087300679038,0.15545406147453,14,60,FALSE,0.5,TRUE,0.9,FALSE,NA,2020-09-10,2020-11-10,1,TRUE,FALSE,FALSE,FALSE
"9",2020-09-18,"nearFuture",2020-09-19,2020-10-02,0.170078395307783,255.864915648339,92697.134046744,304.462040403634,0.160195314797877,14,60,FALSE,0.5,TRUE,0.9,FALSE,NA,2020-09-10,2020-11-10,1,TRUE,FALSE,FALSE,FALSE
"10",2020-09-19,"nearFuture",2020-09-20,2020-10-03,0.213451623960915,320.293916343943,152693.410860277,390.760042558445,0.184605589506816,14,60,FALSE,0.5,TRUE,0.9,FALSE,NA,2020-09-10,2020-11-10,1,TRUE,FALSE,FALSE,FALSE
"11",2020-09-20,"nearFuture",2020-09-21,2020-10-04,0.188742116124188,280.768018733076,118148.243415901,343.726989652982,0.168135228774725,14,60,FALSE,0.5,TRUE,0.9,FALSE,NA,2020-09-10,2020-11-10,1,TRUE,FALSE,FALSE,FALSE
"12",2020-09-21,"nearFuture",2020-09-22,2020-10-05,0.176850291501171,272.348323401358,97366.6805988679,312.036344996649,0.172808072497565,14,60,FALSE,0.5,TRUE,0.9,FALSE,NA,2020-09-10,2020-11-10,1,TRUE,FALSE,FALSE,FALSE
"13",2020-09-22,"nearFuture",2020-09-23,2020-10-06,0.166618300590515,272.895287806087,95023.6006795697,308.258983128748,0.165839174089719,14,60,FALSE,0.5,TRUE,0.9,FALSE,NA,2020-09-10,2020-11-10,1,TRUE,FALSE,FALSE,FALSE
