"","cutoff","date","lag","predType","fit_resp","right_lwr","right_upr","strawman","scaled_abs_err"
"1",2020-09-11,2020-09-12,1,"nearFuture",38.9465704184864,32.469283824697,46.7160087531211,33,2.98218914543241
"2",2020-09-11,2020-09-13,2,"nearFuture",25.9481628366884,20.0185981607118,33.6340811276546,33,1.35061193756655
"3",2020-09-11,2020-09-14,3,"nearFuture",36.9086362198591,31.6934978530948,42.9819212105954,33,2.30287797232704
"4",2020-09-11,2020-09-15,4,"nearFuture",26.108613914683,20.7713621774686,32.8172853913931,33,1.29712826272959
"5",2020-09-11,2020-09-16,5,"nearFuture",27.4478633946974,22.7845364097656,33.065636771572,33,0.850711918196908
"6",2020-09-11,2020-09-17,6,"nearFuture",28.9298737662495,22.390846339271,37.378560124511,33,0.356708625680634
"7",2020-09-11,2020-09-18,7,"nearFuture",38.6663304002807,29.2912816298726,51.0419832602652,33,2.88877583716827
"8",2020-09-11,2020-09-19,8,"nearFuture",55.4922491831064,41.3020730832586,74.5577519363833,33,8.49741356189761
"9",2020-09-11,2020-11-07,57,"farFuture",22.1142316741242,16.5448793869413,29.5583443734761,NA,NA
"10",2020-09-11,2020-11-08,58,"farFuture",22.565283371309,16.4026476252356,31.0432818689635,NA,NA
"11",2020-09-11,2020-11-09,59,"farFuture",31.6499221958115,24.9595219126897,40.1336843912719,NA,NA
"12",2020-09-11,2020-11-10,60,"farFuture",37.0115921564891,28.5099161761405,48.0484735730195,NA,NA
"13",2020-09-11,2020-11-11,61,"farFuture",25.9064255481609,19.4927080053486,34.4304590464419,NA,NA
"14",2020-09-11,2020-11-12,62,"farFuture",23.7582848291636,17.5073598137923,32.2410748409357,NA,NA
"15",2020-09-11,2020-11-13,63,"farFuture",24.3494516251865,17.9715556849948,32.9907886016975,NA,NA
"16",2020-09-11,2020-11-14,64,"farFuture",26.2745509967313,20.0720736300057,34.3936577159537,NA,NA
"17",2020-09-11,2020-11-15,65,"farFuture",28.5657702319946,21.8301889458739,37.3795770146707,NA,NA
"18",2020-09-11,2020-11-16,66,"farFuture",29.641274793971,23.1430632597178,37.9640828680176,NA,NA
"19",2020-09-11,2020-11-17,67,"farFuture",28.8696404293147,20.9838170807276,39.7189956103555,NA,NA
"20",2020-09-11,2020-11-18,68,"farFuture",26.5926656642423,18.988370194451,37.2422624947995,NA,NA
"21",2020-09-11,2020-09-12,1,"nearFar",38.9465704184864,32.469283824697,46.7160087531211,NA,NA
"22",2020-09-11,2020-09-13,2,"nearFar",25.9481628366884,20.0185981607118,33.6340811276546,NA,NA
"23",2020-09-11,2020-09-14,3,"nearFar",36.9086362198591,31.6934978530948,42.9819212105954,NA,NA
"24",2020-09-11,2020-09-15,4,"nearFar",26.108613914683,20.7713621774686,32.8172853913931,NA,NA
"25",2020-09-11,2020-09-16,5,"nearFar",27.4478633946974,22.7845364097656,33.065636771572,NA,NA
"26",2020-09-11,2020-09-17,6,"nearFar",28.9298737662495,22.390846339271,37.378560124511,NA,NA
"27",2020-09-11,2020-09-18,7,"nearFar",38.6663304002807,29.2912816298726,51.0419832602652,NA,NA
"28",2020-09-11,2020-09-19,8,"nearFar",55.4922491831064,41.3020730832586,74.5577519363833,NA,NA
"29",2020-09-11,2020-09-12,1,"nearFar",38.9465704184864,32.469283824697,46.7160087531211,NA,NA
"30",2020-09-11,2020-09-13,2,"nearFar",25.9481628366884,20.0185981607118,33.6340811276546,NA,NA
"31",2020-09-11,2020-09-14,3,"nearFar",36.9086362198591,31.6934978530948,42.9819212105954,NA,NA
"32",2020-09-11,2020-09-15,4,"nearFar",26.108613914683,20.7713621774686,32.8172853913931,NA,NA
"33",2020-09-11,2020-09-16,5,"nearFar",27.4478633946974,22.7845364097656,33.065636771572,NA,NA
"34",2020-09-11,2020-09-17,6,"nearFar",28.9298737662495,22.390846339271,37.378560124511,NA,NA
"35",2020-09-11,2020-09-18,7,"nearFar",38.6663304002807,29.2912816298726,51.0419832602652,NA,NA
"36",2020-09-11,2020-09-19,8,"nearFar",55.4922491831064,41.3020730832586,74.5577519363833,NA,NA
