"","cutoff","predType","startDate","endDate","mape","mae","mse","rmse","smape"
"1",2020-09-10,"nearFuture",2020-09-11,2020-09-28,0.155770999361118,237.049876565055,88185.207972232,296.959943379965,0.144596800693509
"2",2020-09-10,"farFuture",2020-11-09,2020-11-25,0.450022605696807,564.784862652791,467823.247877207,683.97605797075,0.337800114254777
"3",2020-09-10,"nearFar",2020-09-11,2020-11-25,0.298693208152738,396.235441236241,272580.827354648,522.092738270366,0.238438410137553
"4",2020-09-11,"nearFuture",2020-09-12,2020-09-29,0.1747300223952,279.329835386976,99835.434717683,315.967458320763,0.163490269796848
"5",2020-09-11,"farFuture",2020-11-10,2020-11-25,0.662860668118783,856.498709856005,890623.539494856,943.728530613998,0.473436758572214
"6",2020-09-11,"nearFar",2020-09-12,2020-11-25,0.404438561559239,550.938717490048,471971.013436352,687.001465381518,0.309347440985255
"7",2020-09-12,"nearFuture",2020-09-13,2020-09-27,0.186933654085912,281.622613348734,104003.56740261,322.49584090746,0.167980130720658
"8",2020-09-12,"farFuture",2020-11-11,2020-11-25,0.451302024108934,563.675764173543,406267.505668188,637.391171627116,0.347275042623506
"9",2020-09-12,"nearFar",2020-09-13,2020-11-25,0.319117839097423,422.649188761138,255135.536535399,505.109430257839,0.257627586672082
"10",2020-09-13,"nearFuture",2020-09-14,2020-09-28,0.171703835345652,261.473554497987,91050.6701047717,301.746035773085,0.15710917496978
"11",2020-09-13,"farFuture",2020-11-12,2020-11-25,0.358203744582128,440.041863478108,276728.63443646,526.050030354966,0.280218575169701
"12",2020-09-13,"nearFar",2020-09-14,2020-11-25,0.261738274287399,347.678945040115,180688.308058001,425.074473543167,0.216541299204225
"13",2020-09-14,"nearFuture",2020-09-15,2020-10-02,0.170651680731285,270.648144094337,100243.127618068,316.611951161146,0.163726429034724
"14",2020-09-14,"farFuture",2020-11-13,2020-11-25,0.568586323473084,733.874451139717,639094.519800428,799.433874564011,0.417952032214644
"15",2020-09-14,"nearFar",2020-09-15,2020-11-25,0.337527498655265,464.904337371432,326213.066275186,571.150651120338,0.27033716585211
"16",2020-09-15,"nearFuture",2020-09-16,2020-10-03,0.165272203847868,261.675782361905,90570.3087281083,300.949013502467,0.159232916089037
"17",2020-09-15,"farFuture",2020-11-14,2020-11-25,0.538723960677045,701.06894310085,571836.329066457,756.19860424789,0.40668002606119
"18",2020-09-15,"nearFar",2020-09-16,2020-11-25,0.314652906579539,437.433046657483,283076.716863448,532.049543617366,0.258211760077898
"19",2020-09-16,"nearFuture",2020-09-17,2020-09-30,0.18528654998892,295.005435380926,108538.583265342,329.451943787469,0.178640181891465
"20",2020-09-16,"farFuture",2020-11-15,2020-11-24,0.447831271269661,612.747320229482,451133.564590157,671.664770990825,0.354951583866219
