"date","regioncode","population","cases","deaths","cum_cases","cum_deaths","deaths_prev_week","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
2020-03-19,"BRPI",3273227,3,0,3,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-03-20,"BRPI",3273227,1,0,4,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
2020-03-21,"BRPI",3273227,0,0,4,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
2020-03-22,"BRPI",3273227,2,0,6,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
2020-03-23,"BRPI",3273227,0,0,6,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-03-24,"BRPI",3273227,2,0,8,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-03-25,"BRPI",3273227,0,0,8,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-03-26,"BRPI",3273227,1,0,9,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-03-27,"BRPI",3273227,1,1,10,1,1,274.282276635163,74.1137905763546,1015.07110473135,274.282276635163,274.282276635163,274.282276635163,8.37956782817578e-05,2.26424230816728e-05,0.000310113262762207,8.37956782817578e-05,8.37956782817578e-05,8.37956782817578e-05
2020-03-28,"BRPI",3273227,1,0,11,1,1,248.552514847371,67.1613538381384,919.849721699195,0,274.282276635163,274.282276635163,7.59350069052257e-05,2.05183917394481e-05,0.000281022282200163,0,8.37956782817578e-05,8.37956782817578e-05
2020-03-29,"BRPI",3273227,5,2,16,3,3,914.134574641511,774.916259158999,1078.36428862897,614.122536218556,888.404812853719,888.404812853719,0.000279276253874696,0.000236743818610502,0.000329449894134739,0.000187619904216407,0.000271415582498164,0.000271415582498164
2020-03-30,"BRPI",3273227,2,1,18,4,4,1159.85818347639,1157.66870813925,1162.0517997238,271.453370622671,1159.85818347639,1159.85818347639,0.000354347004798748,0.000353678100583691,0.000355017174098773,8.29314223005831e-05,0.000354347004798748,0.000354347004798748
