"date","regioncode","population","cases","deaths","cum_cases","cum_deaths","deaths_prev_week","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
2020-03-10,"BRRS",11377239,1,0,1,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2020-03-11,"BRRS",11377239,1,0,2,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
2020-03-12,"BRRS",11377239,2,0,4,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
2020-03-13,"BRRS",11377239,0,0,4,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
2020-03-14,"BRRS",11377239,0,0,4,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
2020-03-15,"BRRS",11377239,0,0,4,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-03-16,"BRRS",11377239,4,0,8,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-03-17,"BRRS",11377239,0,0,8,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-03-18,"BRRS",11377239,11,0,19,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-03-19,"BRRS",11377239,12,0,31,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-03-20,"BRRS",11377239,12,0,43,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-03-21,"BRRS",11377239,26,0,69,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-03-22,"BRRS",11377239,8,0,77,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-03-23,"BRRS",11377239,19,0,96,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-03-24,"BRRS",11377239,16,0,112,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
2020-03-25,"BRRS",11377239,50,1,162,1,1,476.988017160678,72.5301165159099,3136.87030221394,476.988017160678,476.988017160678,476.988017160678,4.19247602305513e-05,6.37501915147515e-06,0.000275714547458654,4.19247602305513e-05,4.19247602305513e-05,4.19247602305513e-05
2020-03-26,"BRRS",11377239,28,0,190,1,1,424.301554141053,63.4216268983382,2838.65012064568,0,476.988017160678,476.988017160678,3.72938947789576e-05,5.57443039548859e-06,0.000249502548082683,0,4.19247602305513e-05,4.19247602305513e-05
2020-03-27,"BRRS",11377239,7,1,197,2,2,673.054790631478,264.172926157149,1714.7962805337,143.380310451175,620.368327611853,620.368327611853,5.91580075474795e-05,2.32194231093457e-05,0.000150721654043982,1.26023818653344e-05,5.45271420958857e-05,5.45271420958857e-05
2020-03-28,"BRRS",11377239,3,0,200,2,2,536.200657676227,208.286649832941,1380.36281020901,0,620.368327611853,620.368327611853,4.71292426639035e-05,1.83073107484989e-05,0.000121326695361591,0,5.45271420958857e-05,5.45271420958857e-05
2020-03-29,"BRRS",11377239,30,0,230,2,2,502.251285458826,193.815764302379,1301.52650200057,0,620.368327611853,620.368327611853,4.41452698197538e-05,1.70353953452485e-05,0.000114397394833718,0,5.45271420958857e-05,5.45271420958857e-05
2020-03-30,"BRRS",11377239,24,2,254,4,4,931.880505500581,584.130973032279,1486.65507672717,109.227465800075,729.595793411928,729.595793411928,8.19074386589383e-05,5.13420675290621e-05,0.000130669231500469,9.60052485493846e-06,6.41276669508242e-05,6.41276669508242e-05
2020-03-31,"BRRS",11377239,51,0,305,4,4,957.670206873198,598.195917384889,1533.16363164421,228.07441346127,957.670206873198,957.670206873198,8.41742189711579e-05,5.25783028188903e-05,0.000134757091034495,2.00465520203338e-05,8.41742189711579e-05,8.41742189711579e-05
2020-04-01,"BRRS",11377239,11,1,316,5,4,1071.52610709734,736.027471275537,1559.95291344413,113.855900224145,1071.52610709734,1071.52610709734,9.41815590845321e-05,6.46929779075167e-05,0.000137111729255589,1.00073401133742e-05,9.41815590845321e-05,9.41815590845321e-05
2020-04-02,"BRRS",11377239,70,0,386,5,4,1138.19164189348,779.959089331857,1660.95918541821,66.665534796133,1138.19164189348,1138.19164189348,0.000100041112074158,6.85543381247293e-05,0.00014598965402926,5.85955298962543e-06,0.000100041112074158,0.000100041112074158
2020-04-03,"BRRS",11377239,24,1,410,6,4,1268.61716367737,926.141738059051,1737.73564222436,130.425521783898,1268.61716367737,1268.61716367737,0.000111504835547304,8.14030309162927e-05,0.000152737904356615,1.14637234731465e-05,0.000111504835547304,0.000111504835547304
2020-04-04,"BRRS",11377239,8,1,418,7,5,1322.64558923482,1010.04458311617,1731.99419507319,54.0284255574468,1322.64558923482,1322.64558923482,0.000116253652510492,8.87776536219524e-05,0.000152233261081462,4.74881696318824e-06,0.000116253652510492,0.000116253652510492
2020-04-05,"BRRS",11377239,50,0,468,7,5,1309.24188973014,998.388794743853,1716.88057282726,0,1322.64558923482,1322.64558923482,0.000115075537195812,8.77531705841684e-05,0.000150904852471435,0,0.000116253652510492,0.000116253652510492
2020-04-06,"BRRS",11377239,33,1,501,8,4,1430.2024318428,1128.15287785409,1813.12217182821,94.1531431032936,939.810715177437,1416.79873233811,0.000125707338295592,9.9158757045896e-05,0.000159363987328402,8.27557047041849e-06,8.26044627503594e-05,0.000124529222980911
2020-04-07,"BRRS",11377239,54,0,555,8,4,1423.98980885657,1122.14914844396,1807.0209103123,7.19107651845729,947.001791695894,1423.98980885657,0.000125161281120716,9.86310605274229e-05,0.000158827718246255,6.32058139805035e-07,8.32365208901645e-05,0.000125161281120716
