"","date","regioncode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"1",2020-03-12,"BRPE",9557071,2,0,2,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0
"2",2020-03-13,"BRPE",9557071,0,0,2,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"3",2020-03-14,"BRPE",9557071,5,0,7,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"4",2020-03-15,"BRPE",9557071,1,0,8,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"5",2020-03-16,"BRPE",9557071,0,0,8,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"6",2020-03-17,"BRPE",9557071,10,0,18,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"7",2020-03-18,"BRPE",9557071,1,0,19,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"8",2020-03-19,"BRPE",9557071,9,0,28,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"9",2020-03-20,"BRPE",9557071,3,0,31,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"10",2020-03-21,"BRPE",9557071,2,0,33,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"11",2020-03-22,"BRPE",9557071,4,0,37,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"12",2020-03-23,"BRPE",9557071,5,0,42,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"13",2020-03-24,"BRPE",9557071,0,0,42,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"14",2020-03-25,"BRPE",9557071,4,1,46,1,221.784933137456,35.5338341000462,1384.27382838268,221.784933137456,221.784933137456,221.784933137456,2.32063707737921e-05,3.71806739743235e-06,0.000144842894688412,0.000111887465009315,2.32063707737921e-05,2.32063707737921e-05
"15",2020-03-26,"BRPE",9557071,2,2,48,3,596.709806477086,345.536047124199,1030.46439325023,374.92487333963,596.709806477086,596.709806477086,6.24364731074077e-05,3.61550151844847e-05,0.000107822197119833,0.000487687224407668,6.24364731074077e-05,6.24364731074077e-05
"16",2020-03-27,"BRPE",9557071,9,1,57,4,827.407541335901,558.027293904835,1226.82751710756,230.697734858815,827.407541335901,827.407541335901,8.65754310432455e-05,5.83889450967598e-05,0.000128368567849665,0.000350399225194776,8.65754310432455e-05,8.65754310432455e-05
"17",2020-03-28,"BRPE",9557071,11,1,68,5,1092.76749270896,802.551991160414,1487.92951269713,265.359951373058,1092.76749270896,1092.76749270896,0.000114341255046547,8.39746812763465e-05,0.000155688862486962,0.000446199851163033,0.000114341255046547,0.000114341255046547
"18",2020-03-29,"BRPE",9557071,5,0,73,5,1039.36985194702,755.866685577632,1429.20664417273,0,1092.76749270896,1092.76749270896,0.000108754015947671,7.90897844724217e-05,0.000149544420479112,0,0.000114341255046547,0.000114341255046547
"19",2020-03-30,"BRPE",9557071,4,1,77,6,1163.88610585231,896.546197827877,1510.9437424173,17.7209723814133,1110.48846509037,1110.48846509037,0.000121782720443566,9.38097245304422e-05,0.000158096946482589,2.80273795521273e-05,0.000116195481344689,0.000116195481344689
"20",2020-03-31,"BRPE",9557071,10,0,87,6,1168.29111670861,892.596967959452,1529.13821396967,57.8026516182415,1168.29111670861,1168.29111670861,0.000122243636853657,9.33964985673385e-05,0.000160000717162159,8.12184638344684e-05,0.000122243636853657,0.000122243636853657
"21",2020-04-01,"BRPE",9557071,8,2,95,8,1519.30734259069,1251.49397144586,1844.43141870129,351.016225882077,1519.30734259069,1519.30734259069,0.000158972068177655,0.000130949531655238,0.000192991285583343,0.000587387109393567,0.000158972068177655,0.000158972068177655
"22",2020-04-02,"BRPE",9557071,11,1,106,9,1708.98200801386,1439.12527783802,2029.44076425557,189.674665423172,1708.98200801386,1708.98200801386,0.000178818594945445,0.000150582252432573,0.000212349658619839,0.000319975067619991,0.000178818594945445,0.000178818594945445
"23",2020-04-03,"BRPE",9557071,30,1,136,10,2188.30825485003,1873.57423300045,2555.91314926225,479.326246836167,2188.30825485003,2188.30825485003,0.000228972689943397,0.000196040631381775,0.000267436869440674,0.000807004559548161,0.000228972689943397,0.000228972689943397
"24",2020-04-04,"BRPE",9557071,40,4,176,14,3545.25897855609,3196.80889191583,3931.68989764043,1356.95072370606,3545.25897855609,3545.25897855609,0.000370956643364488,0.000334496718912712,0.000411390675829491,0.00286005616861938,0.000370956643364488,0.000370956643364488
