"","date","regioncode","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"1",2020-03-12,"BRPB",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4018127
"2",2020-03-13,"BRPB",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4018127
"3",2020-03-14,"BRPB",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4018127
"4",2020-03-15,"BRPB",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4018127
"5",2020-03-16,"BRPB",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4018127
"6",2020-03-17,"BRPB",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,4018127
"7",2020-03-18,"BRPB",1,0,1,0,1,1,0,NA,NA,NA,2.48872173527616e-07,2.48872173527616e-07,0,4018127
"8",2020-03-19,"BRPB",0,0,1,0,0,1,0,0,NA,NA,0,2.48872173527616e-07,0,4018127
"9",2020-03-20,"BRPB",0,0,1,0,0,1,0,0,NA,NA,0,2.48872173527616e-07,0,4018127
"10",2020-03-21,"BRPB",0,0,1,0,0,1,0,0,NA,NA,0,2.48872173527616e-07,0,4018127
"11",2020-03-22,"BRPB",0,0,1,0,0,1,0,0,NA,NA,0,2.48872173527616e-07,0,4018127
"12",2020-03-23,"BRPB",1,0,2,0,1,2,0,0,NA,NA,2.48872173527616e-07,4.97744347055232e-07,0,4018127
"13",2020-03-24,"BRPB",1,0,3,0,1,3,0,0,NA,NA,2.48872173527616e-07,7.46616520582849e-07,0,4018127
"14",2020-03-25,"BRPB",2,0,5,0,2,5,0,0,NA,NA,4.97744347055232e-07,1.24436086763808e-06,0,4018127
"15",2020-03-26,"BRPB",1,0,6,0,1,6,0,0,0,NA,2.48872173527616e-07,1.4932330411657e-06,0,4018127
"16",2020-03-27,"BRPB",4,0,10,0,4,10,0,0,0,NA,9.95488694110465e-07,2.48872173527616e-06,0,4018127
"17",2020-03-28,"BRPB",4,0,14,0,4,14,0,0,0,NA,9.95488694110465e-07,3.48421042938663e-06,0,4018127
"18",2020-03-29,"BRPB",0,0,14,0,0,14,0,0,0,NA,0,3.48421042938663e-06,0,4018127
"19",2020-03-30,"BRPB",3,0,17,0,3,17,0,0,0,NA,7.46616520582849e-07,4.23082694996948e-06,0,4018127
"20",2020-03-31,"BRPB",1,1,18,1,18.8493731588997,35.8493731588997,17.8493731588997,8.44395204183924e-05,1.93781482026447e-05,0.000367941896920522,8.8424001651378e-05,8.92191141765794e-06,4.44221229416085e-06,4018127
"21",2020-04-01,"BRPB",3,0,21,1,44.2507295978523,80.100102756752,59.100102756752,7.70894267864023e-05,1.60398562641616e-05,0.00037050080900876,0.000162441113313263,1.99346866728583e-05,1.47083710287783e-05,4018127
"22",2020-04-02,"BRPB",8,0,29,1,95.5310145963388,175.631117353091,146.631117353091,8.61844157518486e-05,1.67981127326822e-05,0.000442177858708862,0.00028390636824713,4.37096979147475e-05,3.64924048824467e-05,4018127
"23",2020-04-03,"BRPB",3,0,32,1,29.3258263051059,204.956943658197,172.956943658197,7.78494094191472e-05,1.3983622433026e-05,0.000433402044136752,7.13436955806559e-05,5.10080800477926e-05,4.30441704949089e-05,4018127
"24",2020-04-04,"BRPB",2,2,34,3,48.0742311789748,253.031174837171,219.031174837171,0.00020339375287107,0.000131328093231497,0.000315005096693628,0.000287588185173031,6.29724184519731e-05,5.45107645520342e-05,4018127
"25",2020-04-05,"BRPB",1,1,35,4,26.6222216596388,278.65339649681,244.65339649681,0.00023189355589989,0.000169452182909933,0.0003173439276169,0.000176386332760249,6.93490764470138e-05,6.08874225470749e-05,4018127
"26",2020-04-06,"BRPB",1,0,36,4,22.5854246265424,301.238821123353,266.238821123353,0.000202351813806663,0.000143866756950757,0.000284612355339751,0.000126950045521515,7.49699601638656e-05,6.6259434090399e-05,4018127
"27",2020-04-07,"BRPB",5,0,41,4,98.0044348535914,399.243255976944,359.243255976944,0.000200002729082344,0.000139366643719647,0.000287020556517472,0.000478076937387586,9.93605368812245e-05,8.94056499401199e-05,4018127
"28",2020-04-08,"BRPB",14,3,55,7,423.793007479223,823.036263456167,769.036263456167,0.000414347555667412,0.000350762638891312,0.000489458904261344,0.00319268357741741,0.000204830823778384,0.000191391726407893,4018127
"29",2020-04-09,"BRPB",24,4,79,11,1008.0381141587,1831.07437761487,1753.07437761487,0.000825789095044962,0.000764655947709759,0.000891809749911233,0.0105370491400246,0.00045570346024774,0.000436291430712586,4018127
"30",2020-04-10,"BRPB",6,0,85,11,217.866691590817,2047.94106920569,1964.94106920569,0.00076813022523593,0.000701330244044738,0.000841292740376049,0.00196882342215366,0.000509675545149689,0.000489019154746897,4018127
"31",2020-04-11,"BRPB",16,2,101,13,581.593346840618,2628.5344160463,2530.5344160463,0.000913686402129998,0.000845741112189441,0.000987090292058858,0.00526132606512424,0.000654169073313587,0.000629779600307881,4018127
"32",2020-04-12,"BRPB",10,0,111,13,306.704207046022,2933.23862309233,2827.23862309233,0.000847264583277443,0.000774780764652585,0.000926529551102355,0.00234107758713771,0.000730001471604139,0.000703621021210212,4018127
"33",2020-04-13,"BRPB",25,3,136,16,798.697776497316,3730.93639958964,3600.93639958964,0.00108132866485937,0.00100679700522508,0.00116137779053599,0.00635040294327936,0.000928526251059173,0.000896172868500583,4018127
"34",2020-04-14,"BRPB",16,5,152,21,570.203965887009,4297.14036547665,4155.14036547665,0.00134812505327148,0.0012828361207752,0.00141673681448881,0.00505727797294102,0.00106943866270943,0.00103409881406851,4018127
"35",2020-04-15,"BRPB",13,3,165,24,450.991532514335,4744.13189799099,4593.13189799099,0.00142457500653845,0.00136172018252506,0.0014903311086209,0.00389376524472966,0.00118068241695471,0.00114310271875204,4018127
"36",2020-04-16,"BRPB",30,2,195,26,967.165073450116,5711.2969714411,5530.2969714411,0.00156455308093193,0.00149712476007257,0.00163501827525378,0.00775990305351862,0.00142138289094424,0.00137633702753574,4018127
"37",2020-04-17,"BRPB",10,2,205,28,299.869998972207,6008.16697041331,5820.16697041331,0.00152990061760871,0.00146480053716503,0.00159789393871298,0.00223790876404831,0.00149526557284359,0.0014484776042204,4018127
"38",2020-04-18,"BRPB",31,1,236,29,836.752550138691,6826.0701473931,6608.0701473931,0.00158534466136899,0.00151609244036079,0.00165776019220376,0.00562093723834434,0.0016988189142337,0.00164456478040468,4018127
"39",2020-04-19,"BRPB",9,3,245,32,234.6959340107,7016.51535180595,6792.51535180595,0.0015900305964175,0.00152560574856242,0.0016571760429758,0.00152315802421141,0.00174621542619383,0.00169046805932365,4018127
"40",2020-04-20,"BRPB",18,1,263,33,426.791021397758,7347.77535860737,7113.77535860737,0.00155193975572879,0.00148800732217015,0.00161861905484368,0.00251845609694021,0.00182865682408928,0.00177042073548381,4018127
"41",2020-04-21,"BRPB",38,6,301,39,947.815667390713,8266.26519969297,7997.26519969297,0.00186845706629904,0.00180400747745613,0.0019352091674951,0.00588356438965156,0.00205724338720329,0.00199029677252436,4018127
"42",2020-04-22,"BRPB",44,1,345,40,1008.24485498431,9226.43582349831,8915.43582349831,0.00196747296671032,0.00189870669547017,0.00203872977536288,0.00574983911885913,0.00229620313730709,0.00221880389134,4018127
"43",2020-04-23,"BRPB",41,4,386,44,926.402147029704,10126.2157488684,9775.21574886838,0.00217059771547039,0.00210070692747277,0.0022428137789184,0.00520944659054285,0.00252013332303045,0.00243277919012226,4018127
"44",2020-04-24,"BRPB",61,2,447,46,1289.80502065723,11393.4353448991,10982.4353448991,0.00235222083239763,0.00227757601888743,0.00242931203985375,0.00678726228036019,0.0028355090182314,0.00273322255491155,4018127
"45",2020-04-25,"BRPB",52,3,499,49,1045.88131536404,12341.3122254095,11883.3122254095,0.00249779014128997,0.00242169237595971,0.00257627915579199,0.0052352545861236,0.00307140919772061,0.00295742574224496,4018127
"46",2020-04-26,"BRPB",44,1,543,50,804.232698480663,12721.751916411,12233.751916411,0.00247004701939146,0.0023938403968708,0.0025486796387846,0.00365836570861752,0.00316609005051631,0.00304464042983483,4018127
"47",2020-04-27,"BRPB",90,3,633,53,1553.06236629526,13266.7761685475,12712.7761685475,0.00271848184729104,0.00263761611087614,0.00280182681762438,0.00666978175431994,0.0033017314207708,0.0031638562366365,4018127
"48",2020-04-28,"BRPB",65,4,698,57,1074.73423324483,14123.6437102015,13510.6437102015,0.00287223182038984,0.00279144935353781,0.00295535207171302,0.00442247258336401,0.0035149819082875,0.00336242326591507,4018127
"49",2020-04-29,"BRPB",116,5,814,62,1856.98015142007,15399.030514781,14686.030514781,0.00324302292065505,0.00315781613226941,0.00333052882858499,0.00739831596346042,0.00383239019443163,0.00365494433470644,4018127
"50",2020-04-30,"BRPB",112,5,926,67,1722.64667413628,16814.9729818712,15999.9729818712,0.00354458597485264,0.00345700683135943,0.00363438383145496,0.00659402725785096,0.00418477887380644,0.00398194805238143,4018127
"51",2020-05-01,"BRPB",108,7,1034,74,1626.7486340926,17643.0238394665,16745.0238394665,0.00387608752105181,0.00378815713557436,0.00396605893925666,0.00609808518423056,0.00439085769052758,0.00416737047869978,4018127
"52",2020-05-02,"BRPB",135,2,1169,76,1848.92505557875,18921.7449291583,17904.7449291583,0.00398452348748478,0.00389441191350882,0.00407672012486563,0.00630204047096035,0.00470909578745477,0.00445599278697718,4018127
"53",2020-05-03,"BRPB",50,3,1219,79,630.126694818688,19100.8800914626,18046.8800914626,0.00382329598334737,0.00373842679652569,0.0039100918573195,0.00197634196989356,0.00475367754465267,0.00449136627375457,4018127
"54",2020-05-04,"BRPB",142,6,1361,85,1709.71145589509,19843.4264739076,18677.4264739076,0.00407820397146432,0.0039927685587735,0.00416546749155335,0.00512310951468729,0.00493847667679682,0.00464829172246362,4018127
"55",2020-05-05,"BRPB",132,7,1493,92,1536.07080198408,21079.6272769195,19791.6272769195,0.00432387819559739,0.0042390211538821,0.0044104339119046,0.00444861557106013,0.00524613265755897,0.0049255852980554,4018127
"56",2020-05-06,"BRPB",164,9,1657,101,1878.22894500983,22121.1036717906,20700.1036717906,0.00472284323365346,0.00463733689081769,0.00480992620006376,0.00535339822823883,0.00550532715162826,0.00515167979304552,4018127
"57",2020-05-07,"BRPB",192,10,1849,111,2172.27938520259,24058.6871229825,22454.6871229825,0.00520628219011151,0.00511940031052896,0.00529463855118445,0.00611654920233997,0.00598753775651752,0.00558834679017923,4018127
"58",2020-05-08,"BRPB",181,3,2030,114,1892.88824196781,25524.7843435525,23757.7843435525,0.00528346430042817,0.00519628223147698,0.00537210909076515,0.0049266046557326,0.00635240855840359,0.00591265142778029,4018127
"59",2020-05-09,"BRPB",126,10,2156,124,1290.92024286526,25867.8889190271,24012.8889190271,0.00549735727896357,0.00541283932452825,0.00558319492611351,0.00329158153695584,0.00643779773984921,0.00597613985795548,4018127
"60",2020-05-10,"BRPB",185,11,2341,135,1862.92641115672,26722.5704751995,24726.5704751995,0.00586680597838298,0.00578281262133451,0.00595201930994735,0.0046687004725595,0.0066505041964078,0.00615375533804668,4018127
"61",2020-05-11,"BRPB",184,4,2525,139,1728.8507201146,27525.0190482844,25386.0190482844,0.00590442207586823,0.0058212372917375,0.00598879556060744,0.00404271855751497,0.00685021131693558,0.00631787373776,4018127
"62",2020-05-12,"BRPB",252,15,2777,154,2385.59836131283,28620.81238894,26290.81238894,0.00654257948423753,0.00645821868249407,0.00662804225313643,0.00562044180639395,0.00712292378736162,0.00654305162304228,4018127
"63",2020-05-13,"BRPB",268,3,3045,157,2358.09662743519,29933.0277010111,27387.0277010111,0.00666792092410977,0.00658259100983316,0.00675435696730423,0.00516374444766757,0.00744949766421299,0.00681586911041168,4018127
"64",2020-05-14,"BRPB",316,3,3361,160,2586.21487477792,31715.0098773084,28897.0098773084,0.00684577113404351,0.00675886899839255,0.00693379061361437,0.00526766888907725,0.00789298344161556,0.00719166165661474,4018127
"65",2020-05-15,"BRPB",378,10,3739,170,3000.48794573502,33162.4354567482,30056.4354567482,0.00738638418014721,0.00729700411642155,0.00747685904876323,0.00592745565528205,0.0082532073915902,0.00748021042061343,4018127
"66",2020-05-16,"BRPB",324,13,4063,183,2525.07289387416,34612.7741173775,31247.7741173775,0.00788046914061608,0.00779063582908265,0.00797133831418159,0.00489755329017511,0.00861415632641216,0.00777670146249173,4018127
