"","date","regioncode","population","cases","deaths","cum_cases","cum_deaths","deaths_prev_week","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"1",2020-03-18,"BRPA",8602865,1,0,1,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2",2020-03-19,"BRPA",8602865,0,0,1,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"3",2020-03-20,"BRPA",8602865,1,0,2,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"4",2020-03-21,"BRPA",8602865,0,0,2,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"5",2020-03-22,"BRPA",8602865,2,0,4,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"6",2020-03-23,"BRPA",8602865,1,0,5,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"7",2020-03-24,"BRPA",8602865,0,0,5,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"8",2020-03-25,"BRPA",8602865,2,0,7,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"9",2020-03-26,"BRPA",8602865,6,0,13,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"10",2020-03-27,"BRPA",8602865,3,0,16,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"11",2020-03-28,"BRPA",8602865,2,0,18,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"12",2020-03-29,"BRPA",8602865,2,0,20,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"13",2020-03-30,"BRPA",8602865,6,0,26,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"14",2020-03-31,"BRPA",8602865,8,0,34,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"15",2020-04-01,"BRPA",8602865,7,1,41,1,1,375.972266277339,67.5336429157077,2093.10706348465,375.972266277339,375.972266277339,375.972266277339,4.37031461353094e-05,7.85013398626013e-06,0.000243303488254744,4.37031461353094e-05,4.37031461353094e-05,4.37031461353094e-05
"16",2020-04-02,"BRPA",8602865,8,0,49,1,1,355.670841836616,60.8320147070323,2079.52586055223,0,375.972266277339,375.972266277339,4.13433015439178e-05,7.07113440778535e-06,0.0002417248045334,0,4.37031461353094e-05,4.37031461353094e-05
"17",2020-04-03,"BRPA",8602865,26,0,75,1,1,434.277794983547,70.9917836582474,2656.60606759331,38.0041042654856,413.976370542824,413.976370542824,5.04806009374257e-05,8.25210946100484e-06,0.000308804807188455,4.41761021072464e-06,4.81207563460341e-05,4.81207563460341e-05
"18",2020-04-04,"BRPA",8602865,7,0,82,1,1,376.258753063201,59.7929395497894,2367.68170828579,0,413.976370542824,413.976370542824,4.37364474582829e-05,6.95035195249366e-06,0.000275220139835484,0,4.81207563460341e-05,4.81207563460341e-05
"19",2020-04-05,"BRPA",8602865,4,0,86,1,1,310.27941757416,48.114507604382,2000.92075682786,0,413.976370542824,413.976370542824,3.60669867043316e-05,5.59284698811175e-06,0.00023258772011741,0,4.81207563460341e-05,4.81207563460341e-05
"20",2020-04-06,"BRPA",8602865,37,4,123,5,5,1778.37678924739,1297.20446647518,2438.03046186502,1222.98584825628,1636.9622187991,1636.9622187991,0.000206719132434066,0.000150787495383826,0.000283397503257929,0.000142160297558578,0.000190281053904612,0.000190281053904612
"21",2020-04-07,"BRPA",8602865,31,0,154,5,5,1807.99438358281,1298.94769137776,2516.53219969143,171.032164783708,1807.99438358281,1807.99438358281,0.000210161891832873,0.000150990128448808,0.000292522572386227,1.98808379282609e-05,0.000210161891832873,0.000210161891832873
"22",2020-04-08,"BRPA",8602865,11,1,165,6,5,1877.25995680968,1423.09778056454,2476.36177469343,69.2655732268724,1877.25995680968,1877.25995680968,0.000218213345996907,0.000165421377711325,0.000287853148305062,8.05145416403401e-06,0.000218213345996907,0.000218213345996907
"23",2020-04-09,"BRPA",8602865,4,1,169,7,6,1818.96304105927,1430.57893962254,2312.78851736247,0,1877.25995680968,1877.25995680968,0.000211436892367749,0.000166290990225064,0.000268839336356256,0,0.000218213345996907,0.000218213345996907
"24",2020-04-10,"BRPA",8602865,48,2,217,9,8,2486.39416432328,2065.87161674912,2992.51700360217,550.837291763186,2428.09724857287,2428.09724857287,0.000289019316741955,0.00024013763051601,0.000347851210451654,6.40295171158895e-05,0.000282242863112796,0.000282242863112796
"25",2020-04-11,"BRPA",8602865,20,2,237,11,10,2794.89325029141,2402.58713702709,3251.25701379977,366.796001718538,2794.89325029141,2794.89325029141,0.000324879357085274,0.000279277558932646,0.00037792723863501,4.26364939724776e-05,0.000324879357085274,0.000324879357085274
"26",2020-04-12,"BRPA",8602865,22,3,259,14,13,3296.40262592608,2931.2890263579,3706.99380869774,501.509375634677,3296.40262592608,3296.40262592608,0.000383174980186959,0.00034073404922173,0.000430902241136847,5.82956231016849e-05,0.000383174980186959,0.000383174980186959
"27",2020-04-13,"BRPA",8602865,51,0,310,14,9,3379.6468400303,2995.03822422061,3813.64507169156,83.2442141042156,3003.67457375296,3379.6468400303,0.000392851316396375,0.000348144278007456,0.000443299420796625,9.67633620941577e-06,0.000349148170261065,0.000392851316396375
"28",2020-04-14,"BRPA",8602865,74,7,384,21,16,5418.63927167937,5016.68846835849,5852.79547290551,2038.99243164907,5042.66700540203,5418.63927167937,0.000629864501149253,0.000583141600892086,0.000680330967986306,0.000237013184752878,0.000586161355013943,0.000629864501149253
"29",2020-04-15,"BRPA",8602865,103,0,487,21,15,5920.81575212777,5468.1011025287,6411.01152179371,502.176480448406,5506.83938158495,5920.81575212777,0.000688237668744979,0.000635613961456875,0.000745218194379862,5.83731675957261e-05,0.000640116912398945,0.000688237668744979
"30",2020-04-16,"BRPA",8602865,70,5,557,26,19,7156.44294317647,6713.17683203982,7628.97758845101,1235.6271910487,6742.46657263365,7156.44294317647,0.000831867400357494,0.000780341994444853,0.000886794990790976,0.000143629731612515,0.00078374664401146,0.000831867400357494
"31",2020-04-17,"BRPA",8602865,70,6,627,32,23,8393.35111389449,7969.56446603517,8839.67288568301,1236.90817071802,7979.37474335167,8393.35111389449,0.000975646033489366,0.000926384927118485,0.00102752663045195,0.000143778633131872,0.000927525277143331,0.000975646033489366
"32",2020-04-18,"BRPA",8602865,14,1,641,33,22,7495.25974984601,7117.44156503688,7893.13381842575,0,6756.38889509539,8393.35111389449,0.000871251583030305,0.000827333866687072,0.000917500602232599,0,0.000785364979584753,0.000975646033489366
"33",2020-04-19,"BRPA",8602865,44,1,685,34,20,7060.62632418404,6707.3104704048,7432.55352644381,0,6585.35673031168,8017.37884761715,0.000820729643459945,0.000779660086541495,0.000863962589956231,0,0.000765484141656493,0.000931942887354056
"34",2020-04-20,"BRPA",8602865,217,1,902,35,21,8320.68094424862,7908.8459614158,8753.9612876198,0,6516.09115708481,8017.37884761715,0.000967198827861256,0.00091932698716251,0.00101756348467863,0,0.000757432687492459,0.000931942887354056
"35",2020-04-21,"BRPA",8602865,124,3,1026,38,17,8987.38493896315,8572.809581082,9422.00888485232,0,6516.09115708481,7979.37474335167,0.00104469673056164,0.00099650634772044,0.00109521756819993,0,0.000757432687492459,0.000927525277143331
"36",2020-04-22,"BRPA",8602865,169,5,1195,43,22,10310.9335694878,9886.43205717561,10753.6622372504,208.129957257199,6173.38382257882,8187.50470060886,0.00119854648067682,0.00114920227821494,0.00125000941398597,2.41930981431417e-05,0.000717596268519711,0.000951718375286473
"37",2020-04-23,"BRPA",8602865,72,10,1267,53,27,11691.2179660607,11298.6005358665,12097.4785413509,3089.73689490904,8896.32471576932,11277.2415955179,0.00135899121584039,0.00131335323010026,0.00140621508548035,0.000359152084207881,0.00103411185875511,0.00131087045949435
"38",2020-04-24,"BRPA",8602865,312,33,1579,86,54,20546.7060687307,20128.0085709565,20974.1132008447,8855.48810266996,17250.3034428046,18909.7438499316,0.00238835621257926,0.00233968667077264,0.00243803816529083,0.00102936499673887,0.0020051812323923,0.00219807515867465
"39",2020-04-25,"BRPA",8602865,166,9,1745,95,62,21840.7042692418,21430.5604351873,22258.6975463904,1293.99820051109,18461.0574292115,20032.709885659,0.00253877101049962,0.00249109574951918,0.0025873586934574,0.000150414797920354,0.00214591969410324,0.00232860911866674
"40",2020-04-26,"BRPA",8602865,325,19,2070,114,80,27029.3527904111,26600.6940204656,27464.9192124994,5188.64852116931,21610.7135187317,25152.0928336014,0.00314190130734483,0.00309207386381928,0.00319253169874215,0.000603130296845215,0.00251203680619558,0.00292368796134792
"41",2020-04-27,"BRPA",8602865,149,8,2219,122,87,26949.5815334998,26541.3796181581,27364.0615250413,0,21108.5370382833,25152.0928336014,0.00313262866887948,0.00308517913720116,0.0031808079663044,0,0.00245366363859985,0.00292368796134792
"42",2020-04-28,"BRPA",8602865,100,10,2319,132,94,26521.3935275382,26142.3924761687,26905.8891715342,0,19872.9098472346,24601.2555418382,0.00308285594712206,0.00303880073396115,0.00312754985362832,0,0.00231003390698734,0.00285965844423203
"43",2020-04-29,"BRPA",8602865,267,24,2586,156,113,30666.2953913617,30288.4741366374,31048.8296236986,3049.2120811665,21685.2137576831,27283.6716212862,0.00356466077188957,0.00352074269869833,0.00360912668322687,0.000354441465856607,0.00252069673971207,0.00317146341611616
"44",2020-04-30,"BRPA",8602865,413,68,2999,224,171,45227.7231759742,44830.6613863669,45628.3017119308,15149.1583043966,36834.3720620797,41931.3205500482,0.00525728616873265,0.00521113156911877,0.00530384955615726,0.00176094339553122,0.00428164013524329,0.00487411118854569
"45",2020-05-01,"BRPA",8602865,360,39,3359,263,177,52901.9755382997,52495.0328464578,53312.0728591696,7674.25236232545,44508.6244244052,49522.3286982694,0.00614934391488181,0.00610204075577819,0.00619701376915361,0.000892057746149155,0.00517369788139244,0.00575649259848543
"46",2020-05-02,"BRPA",8602865,368,43,3727,306,211,60766.805943818,60351.7617442594,61184.7044376442,7864.8304055183,52373.4548299235,55348.1666721386,0.00706355451861885,0.00701530963745908,0.00711213118393049,0.000914210603737045,0.00608790848512949,0.0064336900174696
"47",2020-05-03,"BRPA",8602865,193,11,3920,317,203,58940.8895408764,58542.0519780747,59342.4443196986,0,52373.4548299235,54845.9901916902,0.00685130936506343,0.00680494834895988,0.00689798623129603,0,0.00608790848512949,0.00637531684987388
"48",2020-05-04,"BRPA",8602865,342,27,4262,344,222,62106.0226737621,61707.2438707367,62507.378557269,0,52165.3248726663,53610.3630006415,0.00721922553402408,0.00717287134817723,0.00726587928059652,0,0.00606371538698635,0.00623168711826136
"49",2020-05-05,"BRPA",8602865,494,31,4756,375,243,67857.2048755658,67445.3931546638,68271.5310586947,6603.69925875036,55679.2872365076,58977.1540886739,0.00788774494026882,0.00783987580354495,0.00793590635895074,0.000767616283499782,0.00647217958627825,0.00685552476862927
"50",2020-05-06,"BRPA",8602865,768,35,5524,410,254,77707.7835197624,77262.86779956,78155.2612727202,10337.2783171941,57161.0774510317,69314.4324058679,0.00903277960537128,0.00898106244833088,0.00908479457398439,0.00120160880325264,0.00664442339279202,0.00805713357188191
"51",2020-05-07,"BRPA",8602865,411,78,5935,488,264,89606.4959432747,89153.4302925659,90061.8640122211,11898.7124235123,67765.7916740329,81213.1448293802,0.0104158900486378,0.0103632255408595,0.0104688221903077,0.00138311044326655,0.00787711903813821,0.00944024401514846
"52",2020-05-08,"BRPA",8602865,584,86,6519,574,311,104253.24074027,103779.90672059,104728.733608434,14646.7447969958,77223.8879498594,95859.889626376,0.0121184327244785,0.0120634122144878,0.0121737041797627,0.00170254267584064,0.00897653141713364,0.0111427866909891
"53",2020-05-09,"BRPA",8602865,499,36,7018,610,304,107522.132414639,107047.58734563,107998.781155745,3268.89167436861,80492.779624228,99128.7813007446,0.012498409822151,0.0124432485393679,0.0125538156365054,0.000379977097672533,0.00935650851480617,0.0115227637886616
"54",2020-05-10,"BRPA",8602865,330,62,7348,672,355,112050.849305303,111582.079884359,112521.588081633,4528.71689066359,85021.4965148916,103449.368234151,0.0130248294382514,0.012970339518795,0.0130795482762583,0.000526419616100403,0.00988292813090658,0.0120249903066189
"55",2020-05-11,"BRPA",8602865,721,140,8069,812,468,134901.33602658,134396.899256303,135407.666117733,22850.4867212769,104822.771155002,123210.118060519,0.0156809779098683,0.0156223420054021,0.0157398338946076,0.00265614847161694,0.0121846351366669,0.014321986694028
"56",2020-05-12,"BRPA",8602865,990,102,9059,914,539,155389.025858003,154842.046679573,155937.93723914,20487.6898314239,110161.302682029,134842.319789273,0.0180624740546322,0.0179988930059431,0.0181262797032314,0.00238149614476385,0.0128051878858995,0.0156741178420529
"57",2020-05-13,"BRPA",8602865,1285,108,10344,1022,612,181122.908921549,180518.275229741,181729.567792806,25733.8830635456,128220.933383249,159282.204652307,0.0210537895133248,0.0209835066840804,0.0211243077501282,0.00299131545869261,0.014904445598443,0.0185150185028252
"58",2020-05-14,"BRPA",8602865,1135,73,11479,1095,607,196229.92710536,195591.803657911,196870.132447483,15107.0181838114,135463.121161542,169200.574314949,0.0228098345266792,0.0227356588366679,0.0228842522168467,0.00175604501335443,0.0157462800080604,0.0196679332193344
"59",2020-05-15,"BRPA",8602865,1147,80,12626,1175,601,210329.836380385,209663.2885311,210998.50327511,14099.9092750249,149563.030436567,183300.483589974,0.0244488128525073,0.0243713331002055,0.0245265389233831,0.00163897832582807,0.0173852583338885,0.0213069115451625
"60",2020-05-16,"BRPA",8602865,838,48,13464,1223,613,211550.024226228,210885.830510313,212216.309847944,1220.18784584274,150783.21828241,184520.671435817,0.0245906479092986,0.0245134418022732,0.0246680971801771,0.000141835056791283,0.0175270933906797,0.0214487466019538
"61",2020-05-17,"BRPA",8602865,737,57,14201,1280,608,211689.45792093,211033.027023395,212347.930686173,139.433694702078,144318.952718362,181610.893049353,0.0246068557301469,0.0245305519758122,0.0246833968318895,1.62078208482963e-05,0.0167756849280283,0.0211105129569455
