"","date","regioncode","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","population"
"27",2020-04-03,"BRMG",27,2,397,6,372.05592055393,1281.18091663178,6.05221581445904e-05,4.42015544710121e-05,8.28688418386055e-05,5.67194641370178e-05,6.05221581445904e-05,21168791
"28",2020-04-04,"BRMG",33,0,430,6,0,1281.18091663178,5.7543096339451e-05,4.1952671382024e-05,7.89272250670105e-05,0,6.05221581445904e-05,21168791
"29",2020-04-05,"BRMG",68,0,498,6,0,1281.18091663178,5.88476637666378e-05,4.28425744492356e-05,8.08319195405645e-05,0,6.05221581445904e-05,21168791
"30",2020-04-06,"BRMG",27,3,525,9,367.481257108614,1648.66217374039,8.25352913157405e-05,6.69139824386744e-05,0.000101803450703555,5.77717573495885e-05,7.78817351326486e-05,21168791
"31",2020-04-07,"BRMG",34,2,559,11,374.589858595767,2023.25203233616,9.55771178588405e-05,8.05317377478116e-05,0.000113433358247021,6.40469035129409e-05,9.55771178588405e-05,21168791
"32",2020-04-08,"BRMG",55,3,614,14,509.593803324257,2532.84583566042,0.000119649999646197,0.000104639521816953,0.000136813721687091,9.93043947678364e-05,0.000119649999646197,21168791
"33",2020-04-09,"BRMG",41,1,655,15,75.4604367511952,2608.30627241161,0.000123214701888814,0.000108684373920193,0.000139687631385699,1.41951682728217e-05,0.000123214701888814,21168791
"34",2020-04-10,"BRMG",43,2,698,17,243.571557107318,2851.87782951893,0.000134720864763554,0.000120593644881482,0.0001505030503098,4.70117060247897e-05,0.000134720864763554,21168791
"35",2020-04-11,"BRMG",52,0,750,17,0,2851.87782951893,0.000131699415246079,0.000117821632383383,0.000147211811831978,0,0.000134720864763554,21168791
"36",2020-04-12,"BRMG",56,3,806,20,305.513142193297,3157.39097171223,0.000152174557586435,0.000138443854473238,0.000167267056127099,5.76815474567078e-05,0.00014915310806896,21168791
"37",2020-04-13,"BRMG",9,3,815,23,278.247320723213,3435.63829243544,0.00016229733159704,0.00014948722369759,0.000176205184576883,5.54095677023353e-05,0.00016229733159704,21168791
"38",2020-04-14,"BRMG",69,4,884,27,594.974166563277,4030.61245899872,0.000190403526540496,0.000177535272054628,0.00020420450820557,0.000128150655558983,0.000190403526540496,21168791
"39",2020-04-15,"BRMG",19,3,903,30,206.26710090063,4236.87955989935,0.000200147451023507,0.000187917255564466,0.000213173622778162,4.57185320877847e-05,0.000200147451023507,21168791
"40",2020-04-16,"BRMG",55,3,958,33,361.604368053546,4598.4839279529,0.00021722940757235,0.000205109515362993,0.000230065462495594,8.19948879413839e-05,0.00021722940757235,21168791
"41",2020-04-17,"BRMG",63,2,1021,35,256.641099861924,4604.43117087047,0.000229352967196607,0.000217238447225389,0.000242143065528871,5.7650732377995e-05,0.000217510351482542,21168791
"42",2020-04-18,"BRMG",56,4,1077,39,489.944458339954,4895.38696670035,0.000252497626631335,0.000240482410318938,0.000265113158878866,0.000114865193047366,0.000231254915157901,21168791
"43",2020-04-19,"BRMG",77,0,1154,39,28.1935412719859,4709.46142625136,0.000253829471292279,0.000241700313100006,0.000266567302582929,6.20134460565444e-06,0.000222471912838639,21168791
"44",2020-04-20,"BRMG",35,2,1189,41,92.591770467383,4556.72980181629,0.000258203446663257,0.000246420951990588,0.0002705493154305,2.01072449683192e-05,0.000215256969650099,21168791
"45",2020-04-21,"BRMG",41,3,1230,44,239.135048476569,4423.80892973893,0.000269500031738738,0.000257995355547094,0.000281517731019476,5.23958562229918e-05,0.000208977873594148,21168791
"46",2020-04-22,"BRMG",53,3,1283,47,285.635200565166,4709.4441303041,0.000282993253933863,0.000271640659249893,0.000294820304122449,6.30029889680343e-05,0.000222471095789273,21168791
"47",2020-04-23,"BRMG",25,4,1308,51,271.982966615699,4981.4270969198,0.000295841553424169,0.000284862425256939,0.000307243837629631,6.15167150982435e-05,0.000235319395279579,21168791
"48",2020-04-24,"BRMG",111,3,1419,54,555.093663871167,5169.03950368235,0.000322063819205487,0.000310733867327314,0.000333806882826728,0.000125987022835176,0.000244182084072839,21168791
"49",2020-04-25,"BRMG",62,4,1481,58,439.968375904024,5234.41802099061,0.000342847640818352,0.00033157579606622,0.000354502669402428,0.00010185153255461,0.000247270522959512,21168791
"50",2020-04-26,"BRMG",67,3,1548,61,320.636538504512,5045.46075617086,0.000357994303587356,0.000346761135108831,0.000369591365424423,7.41511978724697e-05,0.000238344303941159,21168791
