"","data.cli_se","data.cli_se_unw","data.country","data.gid_0","data.gid_1","data.iso_code","data.percent_cli","data.percent_cli_unw","data.region","data.sample_size","data.survey_date","status"
"1",0.003081,0.003738,"Spain","ESP","ESP.1_1","ESP",0.001392,0.003745,"Andalucía",267,"20200501","success"
"2",0.007549,0.006517,"Spain","ESP","ESP.1_1","ESP",0.007047,0.009259,"Andalucía",216,"20200502","success"
"3",0.005415,0.00387,"Spain","ESP","ESP.1_1","ESP",0.007927,0.006726,"Andalucía",446,"20200503","success"
"4",0.005995,0.004367,"Spain","ESP","ESP.1_1","ESP",0.010411,0.008772,"Andalucía",456,"20200504","success"
"5",0.003499,0.002977,"Spain","ESP","ESP.1_1","ESP",0.003611,0.004219,"Andalucía",474,"20200505","success"
"6",0.002877,0.003074,"Spain","ESP","ESP.1_1","ESP",0.00219,0.004357,"Andalucía",459,"20200506","success"
"7",0.005142,0.004432,"Spain","ESP","ESP.1_1","ESP",0.008781,0.00996,"Andalucía",502,"20200507","success"
"8",0.004812,0.003304,"Spain","ESP","ESP.1_1","ESP",0.006739,0.004684,"Andalucía",427,"20200508","success"
"9",0.004584,0.004246,"Spain","ESP","ESP.1_1","ESP",0.006516,0.008529,"Andalucía",469,"20200509","success"
"10",0.003109,0.002778,"Spain","ESP","ESP.1_1","ESP",0.002964,0.003937,"Andalucía",508,"20200510","success"
"11",0.002162,0.003003,"Spain","ESP","ESP.1_1","ESP",0.001474,0.004255,"Andalucía",470,"20200511","success"
"12",0.004304,0.003828,"Spain","ESP","ESP.1_1","ESP",0.005199,0.006652,"Andalucía",451,"20200512","success"
"13",0.004429,0.004504,"Spain","ESP","ESP.1_1","ESP",0.005593,0.00905,"Andalucía",442,"20200513","success"
"14",0.005184,0.004329,"Spain","ESP","ESP.1_1","ESP",0.008054,0.009728,"Andalucía",514,"20200514","success"
"15",0.003032,0.003124,"Spain","ESP","ESP.1_1","ESP",0.003104,0.005425,"Andalucía",553,"20200515","success"
"16",0.006857,0.003992,"Spain","ESP","ESP.1_1","ESP",0.015177,0.008016,"Andalucía",499,"20200516","success"
"17",0.0044,0.002946,"Spain","ESP","ESP.1_1","ESP",0.006054,0.004175,"Andalucía",479,"20200517","success"
"18",0,0,"Spain","ESP","ESP.1_1","ESP",0,0,"Andalucía",419,"20200518","success"
"19",0.002342,0.001974,"Spain","ESP","ESP.1_1","ESP",0.001698,0.001976,"Andalucía",506,"20200519","success"
"20",0.00324,0.003713,"Spain","ESP","ESP.1_1","ESP",0.003025,0.006452,"Andalucía",465,"20200520","success"
"21",0.00211,0.002837,"Spain","ESP","ESP.1_1","ESP",0.000939,0.002841,"Andalucía",352,"20200521","success"
"22",0.003539,0.002628,"Spain","ESP","ESP.1_1","ESP",0.002917,0.002632,"Andalucía",380,"20200522","success"
"23",0.003584,0.00332,"Spain","ESP","ESP.1_1","ESP",0.003625,0.004706,"Andalucía",425,"20200523","success"
"24",0,0,"Spain","ESP","ESP.1_1","ESP",0,0,"Andalucía",513,"20200524","success"
"25",0.004019,0.00359,"Spain","ESP","ESP.1_1","ESP",0.004878,0.006237,"Andalucía",481,"20200525","success"
"26",0.003527,0.002407,"Spain","ESP","ESP.1_1","ESP",0.002917,0.00241,"Andalucía",415,"20200526","success"
"27",0.005709,0.004447,"Spain","ESP","ESP.1_1","ESP",0.007938,0.007732,"Andalucía",388,"20200527","success"
"28",0,0,"Spain","ESP","ESP.1_1","ESP",0,0,"Andalucía",370,"20200528","success"
"29",0.00272,0.002484,"Spain","ESP","ESP.1_1","ESP",0.001693,0.002488,"Andalucía",402,"20200529","success"
"30",0.004286,0.004938,"Spain","ESP","ESP.1_1","ESP",0.004869,0.009926,"Andalucía",403,"20200530","success"
"31",0.005624,0.004673,"Spain","ESP","ESP.1_1","ESP",0.009009,0.00939,"Andalucía",426,"20200531","success"
"32",0.0022,0.002853,"Spain","ESP","ESP.1_1","ESP",0.000981,0.002857,"Andalucía",350,"20200601","success"
"33",0,0,"Spain","ESP","ESP.1_1","ESP",0,0,"Andalucía",410,"20200602","success"
"34",0.003153,0.003635,"Spain","ESP","ESP.1_1","ESP",0.002425,0.005155,"Andalucía",388,"20200603","success"
"35",0,0,"Spain","ESP","ESP.1_1","ESP",0,0,"Andalucía",450,"20200604","success"
"36",0.002251,0.002497,"Spain","ESP","ESP.1_1","ESP",0.001195,0.0025,"Andalucía",400,"20200605","success"
"37",0.00415,0.003617,"Spain","ESP","ESP.1_1","ESP",0.004214,0.005128,"Andalucía",390,"20200606","success"
"38",0.003903,0.003729,"Spain","ESP","ESP.1_1","ESP",0.00458,0.006479,"Andalucía",463,"20200607","success"
"39",0.004332,0.002528,"Spain","ESP","ESP.1_1","ESP",0.004395,0.002532,"Andalucía",395,"20200608","success"
"40",0.004391,0.00358,"Spain","ESP","ESP.1_1","ESP",0.004947,0.005076,"Andalucía",394,"20200609","success"
"41",0.007095,0.005665,"Spain","ESP","ESP.1_1","ESP",0.01097,0.011396,"Andalucía",351,"20200610","success"
"42",0.006758,0.003907,"Spain","ESP","ESP.1_1","ESP",0.010106,0.00554,"Andalucía",361,"20200611","success"
"43",0.004691,0.004149,"Spain","ESP","ESP.1_1","ESP",0.005952,0.007212,"Andalucía",416,"20200612","success"
"44",0.00368,0.002998,"Spain","ESP","ESP.1_1","ESP",0.003043,0.003003,"Andalucía",333,"20200613","success"
"45",0.00517,0.004675,"Spain","ESP","ESP.1_1","ESP",0.006707,0.00813,"Andalucía",369,"20200614","success"
"46",0.006378,0.005405,"Spain","ESP","ESP.1_1","ESP",0.00946,0.01087,"Andalucía",368,"20200615","success"
"47",0.005669,0.003822,"Spain","ESP","ESP.1_1","ESP",0.007703,0.00542,"Andalucía",369,"20200616","success"
"48",0.002759,0.002635,"Spain","ESP","ESP.1_1","ESP",0.001873,0.002639,"Andalucía",379,"20200617","success"
"49",0.003927,0.002736,"Spain","ESP","ESP.1_1","ESP",0.003422,0.00274,"Andalucía",365,"20200618","success"
"50",0.005827,0.004752,"Spain","ESP","ESP.1_1","ESP",0.007765,0.008264,"Andalucía",363,"20200619","success"
"51",0,0,"Spain","ESP","ESP.1_1","ESP",0,0,"Andalucía",354,"20200620","success"
"52",0.006828,0.005249,"Spain","ESP","ESP.1_1","ESP",0.011362,0.010554,"Andalucía",379,"20200621","success"
"53",0.002886,0.003843,"Spain","ESP","ESP.1_1","ESP",0.001853,0.00545,"Andalucía",367,"20200622","success"
"54",0,0,"Spain","ESP","ESP.1_1","ESP",0,0,"Andalucía",408,"20200623","success"
"55",0.004841,0.004052,"Spain","ESP","ESP.1_1","ESP",0.006522,0.007042,"Andalucía",426,"20200624","success"
