"","data.country","data.gid_0","data.iso_code","data.sample_size","data.smoothed_ili","data.smoothed_ili_se","data.survey_date","status"
"1","Spain","ESP","ESP",1954,0.006994,0.002675,"20200423","success"
"2","Spain","ESP","ESP",3371,0.009117,0.002363,"20200424","success"
"3","Spain","ESP","ESP",5836,0.008083,0.001656,"20200425","success"
"4","Spain","ESP","ESP",8595,0.00867,0.001402,"20200426","success"
"5","Spain","ESP","ESP",11330,0.008324,0.001193,"20200427","success"
"6","Spain","ESP","ESP",14026,0.007907,0.001031,"20200428","success"
"7","Spain","ESP","ESP",16578,0.008246,0.000963,"20200429","success"
"8","Spain","ESP","ESP",17073,0.008121,0.000934,"20200430","success"
"9","Spain","ESP","ESP",17602,0.007942,0.00091,"20200501","success"
"10","Spain","ESP","ESP",16963,0.007733,0.000916,"20200502","success"
"11","Spain","ESP","ESP",18347,0.00719,0.000862,"20200503","success"
"12","Spain","ESP","ESP",20085,0.007152,0.000831,"20200504","success"
"13","Spain","ESP","ESP",21997,0.006888,0.000788,"20200505","success"
"14","Spain","ESP","ESP",4525,0.006543,0.001721,"20200506","success"
"15","Spain","ESP","ESP",9104,0.007596,0.001291,"20200507","success"
"16","Spain","ESP","ESP",13597,0.006392,0.000964,"20200508","success"
"17","Spain","ESP","ESP",18243,0.006047,0.000806,"20200509","success"
"18","Spain","ESP","ESP",23038,0.005848,0.000702,"20200510","success"
"19","Spain","ESP","ESP",27423,0.005728,0.000633,"20200511","success"
"20","Spain","ESP","ESP",31662,0.005567,0.000583,"20200512","success"
"21","Spain","ESP","ESP",31400,0.005392,0.000572,"20200513","success"
"22","Spain","ESP","ESP",31818,0.005136,0.000556,"20200514","success"
"23","Spain","ESP","ESP",32313,0.005255,0.000559,"20200515","success"
"24","Spain","ESP","ESP",32659,0.006822,0.000633,"20200516","success"
"25","Spain","ESP","ESP",32825,0.006547,0.00062,"20200517","success"
"26","Spain","ESP","ESP",32917,0.006521,0.000621,"20200518","success"
"27","Spain","ESP","ESP",33660,0.006806,0.000631,"20200519","success"
"28","Spain","ESP","ESP",34288,0.006583,0.000616,"20200520","success"
"29","Spain","ESP","ESP",32756,0.006051,0.000604,"20200521","success"
