"","data.country","data.gid_0","data.gid_1","data.iso_code","data.region","data.sample_size","data.smoothed_cli","data.smoothed_cli_se","data.survey_date","status"
"1","Spain","ESP","ESP.1_1","ESP","Andalucía",283,0.001281,0.002837,"20200501","success"
"2","Spain","ESP","ESP.1_1","ESP","Andalucía",499,0.003794,0.003658,"20200502","success"
"3","Spain","ESP","ESP.1_1","ESP","Andalucía",945,0.005809,0.003238,"20200503","success"
"4","Spain","ESP","ESP.1_1","ESP","Andalucía",1401,0.007386,0.002958,"20200504","success"
"5","Spain","ESP","ESP.1_1","ESP","Andalucía",1875,0.006405,0.002371,"20200505","success"
"6","Spain","ESP","ESP.1_1","ESP","Andalucía",459,0.00219,0.002877,"20200506","success"
"7","Spain","ESP","ESP.1_1","ESP","Andalucía",961,0.005847,0.003127,"20200507","success"
"8","Spain","ESP","ESP.1_1","ESP","Andalucía",1388,0.006139,0.002628,"20200508","success"
"9","Spain","ESP","ESP.1_1","ESP","Andalucía",1857,0.006237,0.002281,"20200509","success"
"10","Spain","ESP","ESP.1_1","ESP","Andalucía",2365,0.005568,0.001923,"20200510","success"
"11","Spain","ESP","ESP.1_1","ESP","Andalucía",2835,0.004857,0.001632,"20200511","success"
"12","Spain","ESP","ESP.1_1","ESP","Andalucía",3286,0.004902,0.001527,"20200512","success"
"13","Spain","ESP","ESP.1_1","ESP","Andalucía",3269,0.005335,0.001585,"20200513","success"
"14","Spain","ESP","ESP.1_1","ESP","Andalucía",3281,0.005178,0.001574,"20200514","success"
"15","Spain","ESP","ESP.1_1","ESP","Andalucía",3407,0.004637,0.001473,"20200515","success"
"16","Spain","ESP","ESP.1_1","ESP","Andalucía",3437,0.005935,0.00166,"20200516","success"
"17","Spain","ESP","ESP.1_1","ESP","Andalucía",3408,0.006377,0.001718,"20200517","success"
"18","Spain","ESP","ESP.1_1","ESP","Andalucía",3357,0.006311,0.00173,"20200518","success"
"19","Spain","ESP","ESP.1_1","ESP","Andalucía",3412,0.005785,0.001644,"20200519","success"
"20","Spain","ESP","ESP.1_1","ESP","Andalucía",3435,0.005437,0.001593,"20200520","success"
"21","Spain","ESP","ESP.1_1","ESP","Andalucía",3273,0.004589,0.001494,"20200521","success"
"22","Spain","ESP","ESP.1_1","ESP","Andalucía",3100,0.004647,0.001543,"20200522","success"
"23","Spain","ESP","ESP.1_1","ESP","Andalucía",3026,0.002728,0.001198,"20200523","success"
"24","Spain","ESP","ESP.1_1","ESP","Andalucía",3060,0.001742,0.000959,"20200524","success"
"25","Spain","ESP","ESP.1_1","ESP","Andalucía",3122,0.00247,0.001131,"20200525","success"
"26","Spain","ESP","ESP.1_1","ESP","Andalucía",3031,0.002656,0.001196,"20200526","success"
"27","Spain","ESP","ESP.1_1","ESP","Andalucía",2954,0.003304,0.00135,"20200527","success"
"28","Spain","ESP","ESP.1_1","ESP","Andalucía",2972,0.003144,0.001306,"20200528","success"
"29","Spain","ESP","ESP.1_1","ESP","Andalucía",2994,0.002992,0.001275,"20200529","success"
"30","Spain","ESP","ESP.1_1","ESP","Andalucía",2972,0.003167,0.001318,"20200530","success"
"31","Spain","ESP","ESP.1_1","ESP","Andalucía",2885,0.004625,0.001602,"20200531","success"
"32","Spain","ESP","ESP.1_1","ESP","Andalucía",2754,0.004144,0.00156,"20200601","success"
"33","Spain","ESP","ESP.1_1","ESP","Andalucía",2749,0.003693,0.001462,"20200602","success"
"34","Spain","ESP","ESP.1_1","ESP","Andalucía",2749,0.002915,0.001299,"20200603","success"
"35","Spain","ESP","ESP.1_1","ESP","Andalucía",2829,0.002825,0.001259,"20200604","success"
"36","Spain","ESP","ESP.1_1","ESP","Andalucía",2827,0.002755,0.001241,"20200605","success"
"37","Spain","ESP","ESP.1_1","ESP","Andalucía",2814,0.00264,0.001222,"20200606","success"
"38","Spain","ESP","ESP.1_1","ESP","Andalucía",2851,0.001954,0.001047,"20200607","success"
"39","Spain","ESP","ESP.1_1","ESP","Andalucía",2896,0.002379,0.001146,"20200608","success"
"40","Spain","ESP","ESP.1_1","ESP","Andalucía",2880,0.003079,0.001303,"20200609","success"
"41","Spain","ESP","ESP.1_1","ESP","Andalucía",2843,0.004126,0.001519,"20200610","success"
"42","Spain","ESP","ESP.1_1","ESP","Andalucía",2754,0.00561,0.001809,"20200611","success"
"43","Spain","ESP","ESP.1_1","ESP","Andalucía",2770,0.006262,0.001893,"20200612","success"
"44","Spain","ESP","ESP.1_1","ESP","Andalucía",2713,0.006133,0.001884,"20200613","success"
"45","Spain","ESP","ESP.1_1","ESP","Andalucía",2619,0.006498,0.001968,"20200614","success"
"46","Spain","ESP","ESP.1_1","ESP","Andalucía",2592,0.007203,0.002073,"20200615","success"
"47","Spain","ESP","ESP.1_1","ESP","Andalucía",2567,0.007625,0.002144,"20200616","success"
"48","Spain","ESP","ESP.1_1","ESP","Andalucía",2595,0.006351,0.00194,"20200617","success"
"49","Spain","ESP","ESP.1_1","ESP","Andalucía",2599,0.005475,0.001801,"20200618","success"
"50","Spain","ESP","ESP.1_1","ESP","Andalucía",2546,0.005714,0.001863,"20200619","success"
"51","Spain","ESP","ESP.1_1","ESP","Andalucía",2567,0.005275,0.001786,"20200620","success"
"52","Spain","ESP","ESP.1_1","ESP","Andalucía",2577,0.005954,0.001901,"20200621","success"
"53","Spain","ESP","ESP.1_1","ESP","Andalucía",2576,0.004898,0.001729,"20200622","success"
"54","Spain","ESP","ESP.1_1","ESP","Andalucía",2615,0.00373,0.001501,"20200623","success"
"55","Spain","ESP","ESP.1_1","ESP","Andalucía",2662,0.004464,0.001626,"20200624","success"
"56","Spain","ESP","ESP.1_1","ESP","Andalucía",2707,0.007543,0.002071,"20200625","success"
"57","Spain","ESP","ESP.1_1","ESP","Andalucía",2734,0.00745,0.002055,"20200626","success"
"58","Spain","ESP","ESP.1_1","ESP","Andalucía",2750,0.007439,0.002052,"20200627","success"
"59","Spain","ESP","ESP.1_1","ESP","Andalucía",2799,0.005992,0.001826,"20200628","success"
"60","Spain","ESP","ESP.1_1","ESP","Andalucía",2839,0.005836,0.001787,"20200629","success"
"61","Spain","ESP","ESP.1_1","ESP","Andalucía",2810,0.006081,0.001833,"20200630","success"
"62","Spain","ESP","ESP.1_1","ESP","Andalucía",2741,0.005969,0.00183,"20200701","success"
"63","Spain","ESP","ESP.1_1","ESP","Andalucía",2713,0.002602,0.001223,"20200702","success"
"64","Spain","ESP","ESP.1_1","ESP","Andalucía",2656,0.002695,0.001257,"20200703","success"
"65","Spain","ESP","ESP.1_1","ESP","Andalucía",2636,0.002889,0.001309,"20200704","success"
"66","Spain","ESP","ESP.1_1","ESP","Andalucía",2593,0.003381,0.001436,"20200705","success"
"67","Spain","ESP","ESP.1_1","ESP","Andalucía",2589,0.003195,0.001396,"20200706","success"
"68","Spain","ESP","ESP.1_1","ESP","Andalucía",2580,0.004097,0.001584,"20200707","success"
"69","Spain","ESP","ESP.1_1","ESP","Andalucía",2631,0.003943,0.001539,"20200708","success"
"70","Spain","ESP","ESP.1_1","ESP","Andalucía",2628,0.004683,0.001685,"20200709","success"
"71","Spain","ESP","ESP.1_1","ESP","Andalucía",2718,0.003512,0.001433,"20200710","success"
"72","Spain","ESP","ESP.1_1","ESP","Andalucía",2784,0.003482,0.00142,"20200711","success"
"73","Spain","ESP","ESP.1_1","ESP","Andalucía",2887,0.002685,0.001208,"20200712","success"
"74","Spain","ESP","ESP.1_1","ESP","Andalucía",2989,0.002778,0.001218,"20200713","success"
"75","Spain","ESP","ESP.1_1","ESP","Andalucía",3065,0.001766,0.000956,"20200714","success"
"76","Spain","ESP","ESP.1_1","ESP","Andalucía",3118,0.001417,0.000861,"20200715","success"
"77","Spain","ESP","ESP.1_1","ESP","Andalucía",3126,0.000922,0.000702,"20200716","success"
"78","Spain","ESP","ESP.1_1","ESP","Andalucía",3125,0.003044,0.00126,"20200717","success"
"79","Spain","ESP","ESP.1_1","ESP","Andalucía",3164,0.003186,0.001268,"20200718","success"
"80","Spain","ESP","ESP.1_1","ESP","Andalucía",3174,0.003248,0.001293,"20200719","success"
"81","Spain","ESP","ESP.1_1","ESP","Andalucía",3114,0.003526,0.001344,"20200720","success"
"82","Spain","ESP","ESP.1_1","ESP","Andalucía",3136,0.003527,0.001344,"20200721","success"
"83","Spain","ESP","ESP.1_1","ESP","Andalucía",3150,0.003568,0.001345,"20200722","success"
"84","Spain","ESP","ESP.1_1","ESP","Andalucía",3226,0.003181,0.001249,"20200723","success"
"85","Spain","ESP","ESP.1_1","ESP","Andalucía",3273,0.001644,0.000899,"20200724","success"
"86","Spain","ESP","ESP.1_1","ESP","Andalucía",3232,0.002052,0.001016,"20200725","success"
"87","Spain","ESP","ESP.1_1","ESP","Andalucía",3226,0.002743,0.001171,"20200726","success"
"88","Spain","ESP","ESP.1_1","ESP","Andalucía",3292,0.002966,0.001208,"20200727","success"
"89","Spain","ESP","ESP.1_1","ESP","Andalucía",3287,0.003337,0.00129,"20200728","success"
"90","Spain","ESP","ESP.1_1","ESP","Andalucía",3310,0.003589,0.001335,"20200729","success"
"91","Spain","ESP","ESP.1_1","ESP","Andalucía",3320,0.003895,0.001375,"20200730","success"
"92","Spain","ESP","ESP.1_1","ESP","Andalucía",3349,0.004924,0.001539,"20200731","success"
"93","Spain","ESP","ESP.1_1","ESP","Andalucía",3340,0.00457,0.00148,"20200801","success"
"94","Spain","ESP","ESP.1_1","ESP","Andalucía",3334,0.004221,0.001427,"20200802","success"
"95","Spain","ESP","ESP.1_1","ESP","Andalucía",3292,0.003601,0.001325,"20200803","success"
"96","Spain","ESP","ESP.1_1","ESP","Andalucía",3210,0.0032,0.00126,"20200804","success"
