"","data.country","data.gid_0","data.gid_1","data.ili_se","data.ili_se_unw","data.iso_code","data.percent_ili","data.percent_ili_unw","data.region","data.sample_size","data.survey_date","status"
"84","Spain","ESP","ESP.1_1",0,0,"ESP",0,0,"Andalucía",463,"20200723","success"
"85","Spain","ESP","ESP.1_1",0.003326,0.003009,"ESP",0.003271,0.004264,"Andalucía",469,"20200724","success"
"86","Spain","ESP","ESP.1_1",0.002657,0.002413,"ESP",0.001769,0.002415,"Andalucía",414,"20200725","success"
"87","Spain","ESP","ESP.1_1",0.002752,0.00203,"ESP",0.002368,0.002033,"Andalucía",492,"20200726","success"
"88","Spain","ESP","ESP.1_1",0.003598,0.00338,"ESP",0.004213,0.005871,"Andalucía",511,"20200727","success"
"89","Spain","ESP","ESP.1_1",0,0,"ESP",0,0,"Andalucía",463,"20200728","success"
"90","Spain","ESP","ESP.1_1",0.003908,0.002006,"ESP",0.004482,0.002008,"Andalucía",498,"20200729","success"
"91","Spain","ESP","ESP.1_1",0.002022,0.002112,"ESP",0.001295,0.002114,"Andalucía",473,"20200730","success"
"92","Spain","ESP","ESP.1_1",0.004487,0.003474,"ESP",0.00626,0.006036,"Andalucía",497,"20200731","success"
"93","Spain","ESP","ESP.1_1",0,0,"ESP",0,0,"Andalucía",405,"20200801","success"
"94","Spain","ESP","ESP.1_1",0,0,"ESP",0,0,"Andalucía",486,"20200802","success"
"95","Spain","ESP","ESP.1_1",0,0,"ESP",0,0,"Andalucía",469,"20200803","success"
"96","Spain","ESP","ESP.1_1",0.002534,0.002614,"ESP",0.001481,0.002618,"Andalucía",382,"20200804","success"
"97","Spain","ESP","ESP.1_1",0,0,"ESP",0,0,"Andalucía",427,"20200805","success"
"98","Spain","ESP","ESP.1_1",0,0,"ESP",0,0,"Andalucía",436,"20200806","success"
"99","Spain","ESP","ESP.1_1",0,0,"ESP",0,0,"Andalucía",398,"20200807","success"
"100","Spain","ESP","ESP.1_1",0.003022,0.003068,"ESP",0.002398,0.004348,"Andalucía",460,"20200808","success"
"101","Spain","ESP","ESP.1_1",0.003769,0.002952,"ESP",0.004214,0.004184,"Andalucía",478,"20200809","success"
"102","Spain","ESP","ESP.1_1",0.004242,0.002922,"ESP",0.005426,0.004141,"Andalucía",483,"20200810","success"
"103","Spain","ESP","ESP.1_1",0.002468,0.002162,"ESP",0.001753,0.002165,"Andalucía",462,"20200811","success"
"104","Spain","ESP","ESP.1_1",0,0,"ESP",0,0,"Andalucía",471,"20200812","success"
"105","Spain","ESP","ESP.1_1",0.004566,0.003115,"ESP",0.005964,0.004415,"Andalucía",453,"20200813","success"
"106","Spain","ESP","ESP.1_1",0.006246,0.003088,"ESP",0.010957,0.004376,"Andalucía",457,"20200814","success"
"107","Spain","ESP","ESP.1_1",0.001907,0.002172,"ESP",0.000994,0.002174,"Andalucía",460,"20200815","success"
"108","Spain","ESP","ESP.1_1",0.002159,0.001994,"ESP",0.001254,0.001996,"Andalucía",501,"20200816","success"
"109","Spain","ESP","ESP.1_1",0.004959,0.002845,"ESP",0.007069,0.004032,"Andalucía",496,"20200817","success"
"110","Spain","ESP","ESP.1_1",0.003532,0.003129,"ESP",0.003085,0.004435,"Andalucía",451,"20200818","success"
"111","Spain","ESP","ESP.1_1",0.003698,0.003868,"ESP",0.004906,0.007767,"Andalucía",515,"20200819","success"
"112","Spain","ESP","ESP.1_1",0.003598,0.00351,"ESP",0.003899,0.006098,"Andalucía",492,"20200820","success"
"113","Spain","ESP","ESP.1_1",0,0,"ESP",0,0,"Andalucía",516,"20200821","success"
"114","Spain","ESP","ESP.1_1",0,0,"ESP",0,0,"Andalucía",475,"20200822","success"
"115","Spain","ESP","ESP.1_1",0.002884,0.002516,"ESP",0.002713,0.003565,"Andalucía",561,"20200823","success"
"116","Spain","ESP","ESP.1_1",0.00451,0.00324,"ESP",0.00658,0.005629,"Andalucía",533,"20200824","success"
"117","Spain","ESP","ESP.1_1",0.002829,0.0028,"ESP",0.002238,0.003968,"Andalucía",504,"20200825","success"
"118","Spain","ESP","ESP.1_1",0.003622,0.003334,"ESP",0.004083,0.005792,"Andalucía",518,"20200826","success"
"119","Spain","ESP","ESP.1_1",0.003814,0.003277,"ESP",0.004552,0.005693,"Andalucía",527,"20200827","success"
"120","Spain","ESP","ESP.1_1",0,0,"ESP",0,0,"Andalucía",499,"20200828","success"
"121","Spain","ESP","ESP.1_1",0.003251,0.003143,"ESP",0.002876,0.004454,"Andalucía",449,"20200829","success"
"122","Spain","ESP","ESP.1_1",0.001561,0.001947,"ESP",0.000788,0.001949,"Andalucía",513,"20200830","success"
"123","Spain","ESP","ESP.1_1",0.006519,0.005383,"ESP",0.012541,0.013274,"Andalucía",452,"20200831","success"
"124","Spain","ESP","ESP.1_1",0.002926,0.004109,"ESP",0.002349,0.007143,"Andalucía",420,"20200901","success"
"125","Spain","ESP","ESP.1_1",0.002702,0.002125,"ESP",0.002013,0.002128,"Andalucía",470,"20200902","success"
"126","Spain","ESP","ESP.1_1",0,0,"ESP",0,0,"Andalucía",429,"20200903","success"
"127","Spain","ESP","ESP.1_1",0.0032,0.003328,"ESP",0.003173,0.004717,"Andalucía",424,"20200904","success"
"128","Spain","ESP","ESP.1_1",0.004756,0.003367,"ESP",0.00618,0.004773,"Andalucía",419,"20200905","success"
"129","Spain","ESP","ESP.1_1",0.002817,0.003095,"ESP",0.002563,0.004386,"Andalucía",456,"20200906","success"
"130","Spain","ESP","ESP.1_1",0.003466,0.002965,"ESP",0.004008,0.004202,"Andalucía",476,"20200907","success"
"131","Spain","ESP","ESP.1_1",0.005609,0.004357,"ESP",0.00965,0.008753,"Andalucía",457,"20200908","success"
"132","Spain","ESP","ESP.1_1",0.003934,0.003335,"ESP",0.003806,0.004728,"Andalucía",423,"20200909","success"
"133","Spain","ESP","ESP.1_1",0.005969,0.004566,"ESP",0.01109,0.009174,"Andalucía",436,"20200910","success"
"134","Spain","ESP","ESP.1_1",0,0,"ESP",0,0,"Andalucía",419,"20200911","success"
"135","Spain","ESP","ESP.1_1",0,0,"ESP",0,0,"Andalucía",429,"20200912","success"
"136","Spain","ESP","ESP.1_1",0.003473,0.003061,"ESP",0.003614,0.004338,"Andalucía",461,"20200913","success"
"137","Spain","ESP","ESP.1_1",0.004698,0.004454,"ESP",0.006981,0.008949,"Andalucía",447,"20200914","success"
"138","Spain","ESP","ESP.1_1",0.004644,0.003862,"ESP",0.006255,0.006711,"Andalucía",447,"20200915","success"
"139","Spain","ESP","ESP.1_1",0.003748,0.003157,"ESP",0.004448,0.004474,"Andalucía",447,"20200916","success"
"140","Spain","ESP","ESP.1_1",0.00348,0.003221,"ESP",0.003433,0.004566,"Andalucía",438,"20200917","success"
"141","Spain","ESP","ESP.1_1",0.001538,0.002225,"ESP",0.000758,0.002227,"Andalucía",449,"20200918","success"
"142","Spain","ESP","ESP.1_1",0.003655,0.003424,"ESP",0.003941,0.004854,"Andalucía",412,"20200919","success"
