"","data.cli_se","data.cli_se_unw","data.country","data.gid_0","data.iso_code","data.percent_cli","data.percent_cli_unw","data.sample_size","data.survey_date","status"
"1",0.002537,0.002161,"Spain","ESP","ESP",0.006285,0.009212,1954,"20200423","success"
"2",0.004491,0.002627,"Spain","ESP","ESP",0.013203,0.00988,1417,"20200424","success"
"3",0.002756,0.001978,"Spain","ESP","ESP",0.010013,0.009736,2465,"20200425","success"
"4",0.002491,0.001942,"Spain","ESP","ESP",0.009063,0.010511,2759,"20200426","success"
"5",0.002381,0.001855,"Spain","ESP","ESP",0.00818,0.009506,2735,"20200427","success"
"6",0.002044,0.001693,"Spain","ESP","ESP",0.006624,0.007789,2696,"20200428","success"
"7",0.002835,0.00183,"Spain","ESP","ESP",0.011681,0.008621,2552,"20200429","success"
"8",0.002161,0.001628,"Spain","ESP","ESP",0.006539,0.006533,2449,"20200430","success"
"9",0.003405,0.002342,"Spain","ESP","ESP",0.010937,0.010791,1946,"20200501","success"
"10",0.002739,0.002181,"Spain","ESP","ESP",0.006979,0.008762,1826,"20200502","success"
"11",0.001973,0.001422,"Spain","ESP","ESP",0.007494,0.008448,4143,"20200503","success"
"12",0.001873,0.00128,"Spain","ESP","ESP",0.007486,0.007378,4473,"20200504","success"
"13",0.001546,0.001015,"Spain","ESP","ESP",0.005536,0.004774,4608,"20200505","success"
"14",0.001777,0.001246,"Spain","ESP","ESP",0.006973,0.007072,4525,"20200506","success"
"15",0.001934,0.001375,"Spain","ESP","ESP",0.008783,0.008736,4579,"20200507","success"
"16",0.001366,0.001153,"Spain","ESP","ESP",0.004318,0.006009,4493,"20200508","success"
"17",0.001504,0.001115,"Spain","ESP","ESP",0.005509,0.005811,4646,"20200509","success"
"18",0.001491,0.00112,"Spain","ESP","ESP",0.005701,0.006048,4795,"20200510","success"
"19",0.001736,0.001325,"Spain","ESP","ESP",0.00727,0.007754,4385,"20200511","success"
"20",0.001488,0.001199,"Spain","ESP","ESP",0.004715,0.006134,4239,"20200512","success"
"21",0.00156,0.001259,"Spain","ESP","ESP",0.005507,0.006803,4263,"20200513","success"
"22",0.001619,0.001196,"Spain","ESP","ESP",0.006551,0.007204,4997,"20200514","success"
"23",0.001462,0.001076,"Spain","ESP","ESP",0.005437,0.005814,4988,"20200515","success"
"24",0.001727,0.001098,"Spain","ESP","ESP",0.007765,0.006031,4974,"20200516","success"
"25",0.001429,0.001062,"Spain","ESP","ESP",0.005273,0.005637,4967,"20200517","success"
"26",0.001729,0.001218,"Spain","ESP","ESP",0.006887,0.006696,4480,"20200518","success"
"27",0.001568,0.001133,"Spain","ESP","ESP",0.005722,0.006428,4978,"20200519","success"
"28",0.001617,0.001222,"Spain","ESP","ESP",0.006501,0.007357,4893,"20200520","success"
"29",0.001481,0.001186,"Spain","ESP","ESP",0.003759,0.004903,3467,"20200521","success"
"30",0.001342,0.001096,"Spain","ESP","ESP",0.003635,0.005034,4172,"20200522","success"
"31",0.001334,0.001051,"Spain","ESP","ESP",0.004189,0.005373,4839,"20200523","success"
"32",0.001527,0.00095,"Spain","ESP","ESP",0.005717,0.004564,5039,"20200524","success"
"33",0.001635,0.000979,"Spain","ESP","ESP",0.006584,0.004603,4780,"20200525","success"
"34",0.001365,0.00091,"Spain","ESP","ESP",0.003883,0.003645,4389,"20200526","success"
"35",0.001655,0.001209,"Spain","ESP","ESP",0.005855,0.006304,4283,"20200527","success"
"36",0.001491,0.001149,"Spain","ESP","ESP",0.0048,0.005646,4251,"20200528","success"
"37",0.001426,0.000983,"Spain","ESP","ESP",0.003917,0.003815,3932,"20200529","success"
"38",0.001432,0.001151,"Spain","ESP","ESP",0.004302,0.005415,4063,"20200530","success"
"39",0.001573,0.001112,"Spain","ESP","ESP",0.005439,0.005687,4572,"20200531","success"
"40",0.001851,0.001293,"Spain","ESP","ESP",0.005997,0.006082,3617,"20200601","success"
"41",0.00127,0.000905,"Spain","ESP","ESP",0.00303,0.003139,3823,"20200602","success"
"42",0.001323,0.00116,"Spain","ESP","ESP",0.003304,0.005071,3747,"20200603","success"
"43",0.001616,0.001119,"Spain","ESP","ESP",0.006256,0.005383,4273,"20200604","success"
"44",0.000883,0.000795,"Spain","ESP","ESP",0.001476,0.002389,3767,"20200605","success"
"45",0.001374,0.001188,"Spain","ESP","ESP",0.003706,0.005329,3753,"20200606","success"
"46",0.001535,0.001106,"Spain","ESP","ESP",0.005164,0.005081,4133,"20200607","success"
"47",0.001217,0.000881,"Spain","ESP","ESP",0.002772,0.002926,3760,"20200608","success"
"48",0.001603,0.001288,"Spain","ESP","ESP",0.004857,0.00592,3547,"20200609","success"
"49",0.001709,0.001314,"Spain","ESP","ESP",0.005347,0.006183,3558,"20200610","success"
"50",0.002192,0.001609,"Spain","ESP","ESP",0.009009,0.008999,3445,"20200611","success"
"51",0.001985,0.001371,"Spain","ESP","ESP",0.008278,0.007018,3705,"20200612","success"
"52",0.001304,0.001162,"Spain","ESP","ESP",0.00331,0.004661,3433,"20200613","success"
"53",0.001551,0.001134,"Spain","ESP","ESP",0.004092,0.004548,3518,"20200614","success"
"54",0.001911,0.001421,"Spain","ESP","ESP",0.006736,0.007129,3507,"20200615","success"
"55",0.00152,0.001114,"Spain","ESP","ESP",0.004214,0.004175,3353,"20200616","success"
"56",0.002151,0.00143,"Spain","ESP","ESP",0.008381,0.007176,3484,"20200617","success"
"57",0.001747,0.001137,"Spain","ESP","ESP",0.00553,0.004262,3285,"20200618","success"
"58",0.00167,0.001179,"Spain","ESP","ESP",0.004899,0.004422,3166,"20200619","success"
"59",0.00167,0.001137,"Spain","ESP","ESP",0.004783,0.004264,3283,"20200620","success"
"60",0.001488,0.00101,"Spain","ESP","ESP",0.00446,0.003785,3699,"20200621","success"
"61",0.001366,0.001095,"Spain","ESP","ESP",0.003376,0.004106,3410,"20200622","success"
"62",0.001063,0.000987,"Spain","ESP","ESP",0.002074,0.003427,3502,"20200623","success"
"63",0.001969,0.001294,"Spain","ESP","ESP",0.008122,0.006361,3773,"20200624","success"
"64",0.001925,0.000971,"Spain","ESP","ESP",0.006983,0.003506,3708,"20200625","success"
"65",0.001347,0.001074,"Spain","ESP","ESP",0.003092,0.003878,3352,"20200626","success"
"66",0.001469,0.000882,"Spain","ESP","ESP",0.004011,0.00265,3396,"20200627","success"
"67",0.001225,0.000857,"Spain","ESP","ESP",0.00293,0.002714,3684,"20200628","success"
"68",0.001184,0.001118,"Spain","ESP","ESP",0.002505,0.004339,3457,"20200629","success"
"69",0.001041,0.00082,"Spain","ESP","ESP",0.00183,0.002322,3445,"20200630","success"
"70",0.001273,0.000972,"Spain","ESP","ESP",0.002976,0.003229,3407,"20200701","success"
"71",0.001292,0.001032,"Spain","ESP","ESP",0.002673,0.003101,2902,"20200702","success"
"72",0.001599,0.001325,"Spain","ESP","ESP",0.003887,0.00479,2714,"20200703","success"
"73",0.001588,0.00119,"Spain","ESP","ESP",0.003875,0.003955,2781,"20200704","success"
"74",0.001744,0.001198,"Spain","ESP","ESP",0.004862,0.004494,3115,"20200705","success"
"75",0.001756,0.001022,"Spain","ESP","ESP",0.005522,0.003394,3241,"20200706","success"
"76",0.001168,0.000853,"Spain","ESP","ESP",0.002454,0.002415,3312,"20200707","success"
"77",0.001481,0.000951,"Spain","ESP","ESP",0.004341,0.003011,3321,"20200708","success"
"78",0.001785,0.001103,"Spain","ESP","ESP",0.005522,0.003984,3263,"20200709","success"
"79",0.001288,0.000974,"Spain","ESP","ESP",0.003103,0.003378,3552,"20200710","success"
"80",0.001493,0.001203,"Spain","ESP","ESP",0.004004,0.004822,3318,"20200711","success"
"81",0.000924,0.000757,"Spain","ESP","ESP",0.001961,0.002143,3733,"20200712","success"
"82",0.001347,0.000976,"Spain","ESP","ESP",0.003585,0.003387,3543,"20200713","success"
"83",0.001419,0.001099,"Spain","ESP","ESP",0.003821,0.004405,3632,"20200714","success"
"84",0.002025,0.001248,"Spain","ESP","ESP",0.007421,0.005598,3573,"20200715","success"
"85",0.000937,0.000692,"Spain","ESP","ESP",0.001697,0.001695,3539,"20200716","success"
"86",0.001641,0.000905,"Spain","ESP","ESP",0.005137,0.002865,3491,"20200717","success"
"87",0.001108,0.000925,"Spain","ESP","ESP",0.002615,0.003073,3579,"20200718","success"
"88",0.000948,0.000844,"Spain","ESP","ESP",0.001899,0.002805,3922,"20200719","success"
"89",0.001416,0.00108,"Spain","ESP","ESP",0.004349,0.004593,3919,"20200720","success"
"90",0.000893,0.000887,"Spain","ESP","ESP",0.00176,0.003204,4057,"20200721","success"
"91",0.000969,0.000846,"Spain","ESP","ESP",0.001957,0.002811,3913,"20200722","success"
"92",0.001307,0.000977,"Spain","ESP","ESP",0.003352,0.003663,3822,"20200723","success"
"93",0.00155,0.001059,"Spain","ESP","ESP",0.004696,0.004244,3770,"20200724","success"
"94",0.001425,0.001127,"Spain","ESP","ESP",0.004268,0.004794,3755,"20200725","success"
"95",0.001461,0.000985,"Spain","ESP","ESP",0.004424,0.003948,4053,"20200726","success"
"96",0.001447,0.000996,"Spain","ESP","ESP",0.004496,0.003991,4009,"20200727","success"
"97",0.001519,0.001052,"Spain","ESP","ESP",0.004306,0.004217,3794,"20200728","success"
"98",0.001541,0.001126,"Spain","ESP","ESP",0.004804,0.004922,3860,"20200729","success"
"99",0.00109,0.001057,"Spain","ESP","ESP",0.002573,0.004236,3777,"20200730","success"
"100",0.001455,0.001159,"Spain","ESP","ESP",0.003927,0.004647,3443,"20200731","success"
"101",0.001344,0.001064,"Spain","ESP","ESP",0.003367,0.003693,3249,"20200801","success"
"102",0.001335,0.000997,"Spain","ESP","ESP",0.003741,0.003867,3879,"20200802","success"
"103",0.001227,0.001066,"Spain","ESP","ESP",0.002731,0.003997,3503,"20200803","success"
"104",0.001672,0.001298,"Spain","ESP","ESP",0.005218,0.005675,3348,"20200804","success"
"105",0.001371,0.001118,"Spain","ESP","ESP",0.003783,0.004481,3571,"20200805","success"
"106",0.001083,0.000968,"Spain","ESP","ESP",0.00219,0.003216,3420,"20200806","success"
"107",0.001319,0.001179,"Spain","ESP","ESP",0.003416,0.004725,3386,"20200807","success"
"108",0.001557,0.001267,"Spain","ESP","ESP",0.004315,0.005683,3519,"20200808","success"
"109",0.001354,0.001088,"Spain","ESP","ESP",0.004082,0.004625,3892,"20200809","success"
"110",0.001945,0.001065,"Spain","ESP","ESP",0.007721,0.0044,3864,"20200810","success"
"111",0.001518,0.001201,"Spain","ESP","ESP",0.004958,0.005518,3806,"20200811","success"
"112",0.001397,0.001116,"Spain","ESP","ESP",0.004057,0.004746,3793,"20200812","success"
"113",0.001746,0.00125,"Spain","ESP","ESP",0.006004,0.005744,3656,"20200813","success"
"114",0.001817,0.001229,"Spain","ESP","ESP",0.006254,0.00551,3630,"20200814","success"
"115",0.001682,0.001387,"Spain","ESP","ESP",0.00587,0.007096,3664,"20200815","success"
"116",0.001796,0.001246,"Spain","ESP","ESP",0.006885,0.006252,3999,"20200816","success"
"117",0.001692,0.001322,"Spain","ESP","ESP",0.006112,0.006893,3917,"20200817","success"
"118",0.001912,0.001364,"Spain","ESP","ESP",0.007568,0.007245,3865,"20200818","success"
"119",0.001344,0.001123,"Spain","ESP","ESP",0.00359,0.005033,3974,"20200819","success"
"120",0.001783,0.001487,"Spain","ESP","ESP",0.006364,0.00858,3846,"20200820","success"
"121",0.001419,0.001222,"Spain","ESP","ESP",0.004381,0.005876,3914,"20200821","success"
"122",0.001388,0.001091,"Spain","ESP","ESP",0.004013,0.004642,3878,"20200822","success"
"123",0.001631,0.001268,"Spain","ESP","ESP",0.005903,0.006969,4305,"20200823","success"
"124",0.001953,0.001341,"Spain","ESP","ESP",0.008315,0.007734,4267,"20200824","success"
"125",0.001417,0.001149,"Spain","ESP","ESP",0.004465,0.005524,4164,"20200825","success"
"126",0.001745,0.001229,"Spain","ESP","ESP",0.006325,0.006522,4293,"20200826","success"
"127",0.001645,0.001214,"Spain","ESP","ESP",0.006058,0.006087,4107,"20200827","success"
"128",0.001477,0.001251,"Spain","ESP","ESP",0.005023,0.006016,3823,"20200828","success"
"129",0.001795,0.001212,"Spain","ESP","ESP",0.006939,0.005567,3772,"20200829","success"
"130",0.001489,0.001149,"Spain","ESP","ESP",0.005071,0.005278,3979,"20200830","success"
"131",0.002187,0.001605,"Spain","ESP","ESP",0.01013,0.009405,3615,"20200831","success"
"132",0.001868,0.001463,"Spain","ESP","ESP",0.007291,0.007771,3603,"20200901","success"
"133",0.001543,0.001083,"Spain","ESP","ESP",0.00491,0.004342,3685,"20200902","success"
"134",0.001942,0.001498,"Spain","ESP","ESP",0.007432,0.007667,3391,"20200903","success"
"135",0.001493,0.001176,"Spain","ESP","ESP",0.004108,0.004409,3175,"20200904","success"
"136",0.001865,0.001539,"Spain","ESP","ESP",0.006755,0.008029,3363,"20200905","success"
"137",0.001688,0.001433,"Spain","ESP","ESP",0.006366,0.007336,3544,"20200906","success"
"138",0.001649,0.001239,"Spain","ESP","ESP",0.005347,0.005272,3414,"20200907","success"
"139",0.001785,0.001232,"Spain","ESP","ESP",0.006343,0.00524,3435,"20200908","success"
"140",0.001832,0.001303,"Spain","ESP","ESP",0.006537,0.005695,3336,"20200909","success"
"141",0.001997,0.001572,"Spain","ESP","ESP",0.008393,0.008351,3353,"20200910","success"
"142",0.001614,0.001376,"Spain","ESP","ESP",0.00485,0.006171,3241,"20200911","success"
"143",0.00161,0.001298,"Spain","ESP","ESP",0.004731,0.005207,3073,"20200912","success"
"144",0.001798,0.001336,"Spain","ESP","ESP",0.006888,0.006566,3655,"20200913","success"
"145",0.001634,0.001446,"Spain","ESP","ESP",0.005613,0.007255,3446,"20200914","success"
"146",0.002043,0.001645,"Spain","ESP","ESP",0.00815,0.009202,3369,"20200915","success"
"147",0.002144,0.001786,"Spain","ESP","ESP",0.009831,0.011357,3522,"20200916","success"
"148",0.00148,0.001189,"Spain","ESP","ESP",0.004472,0.004915,3459,"20200917","success"
"149",0.001906,0.001565,"Spain","ESP","ESP",0.007594,0.008314,3368,"20200918","success"
"150",0.002031,0.001478,"Spain","ESP","ESP",0.007495,0.007708,3503,"20200919","success"
"151",0.00156,0.001227,"Spain","ESP","ESP",0.005252,0.005638,3725,"20200920","success"
"152",0.001775,0.001529,"Spain","ESP","ESP",0.006261,0.008123,3447,"20200921","success"
"153",0.001906,0.001612,"Spain","ESP","ESP",0.00754,0.009014,3439,"20200922","success"
"154",0.001524,0.001358,"Spain","ESP","ESP",0.005006,0.006536,3519,"20200923","success"
"155",0.002141,0.001654,"Spain","ESP","ESP",0.008955,0.008945,3242,"20200924","success"
