"","data.country","data.gid_0","data.iso_code","data.sample_size","data.smoothed_cli","data.smoothed_cli_se","data.survey_date","status"
"1","Spain","ESP","ESP",1954,0.006285,0.002537,"20200423","success"
"2","Spain","ESP","ESP",3371,0.009049,0.002354,"20200424","success"
"3","Spain","ESP","ESP",5836,0.00948,0.001792,"20200425","success"
"4","Spain","ESP","ESP",8595,0.009342,0.001455,"20200426","success"
"5","Spain","ESP","ESP",11330,0.009055,0.001244,"20200427","success"
"6","Spain","ESP","ESP",14026,0.008536,0.001071,"20200428","success"
"7","Spain","ESP","ESP",16578,0.009048,0.001009,"20200429","success"
"8","Spain","ESP","ESP",17073,0.008961,0.000981,"20200430","success"
"9","Spain","ESP","ESP",17602,0.008867,0.000961,"20200501","success"
"10","Spain","ESP","ESP",16963,0.008512,0.000961,"20200502","success"
"11","Spain","ESP","ESP",18347,0.008227,0.000922,"20200503","success"
"12","Spain","ESP","ESP",20085,0.008081,0.000882,"20200504","success"
"13","Spain","ESP","ESP",21997,0.007757,0.000836,"20200505","success"
"14","Spain","ESP","ESP",4525,0.006973,0.001777,"20200506","success"
"15","Spain","ESP","ESP",9104,0.007905,0.001317,"20200507","success"
"16","Spain","ESP","ESP",13597,0.006693,0.000987,"20200508","success"
"17","Spain","ESP","ESP",18243,0.006383,0.000828,"20200509","success"
"18","Spain","ESP","ESP",23038,0.006236,0.000725,"20200510","success"
"19","Spain","ESP","ESP",27423,0.00641,0.00067,"20200511","success"
"20","Spain","ESP","ESP",31662,0.00619,0.000614,"20200512","success"
"21","Spain","ESP","ESP",31400,0.005991,0.000603,"20200513","success"
"22","Spain","ESP","ESP",31818,0.005682,0.000585,"20200514","success"
"23","Spain","ESP","ESP",32313,0.005833,0.000588,"20200515","success"
"24","Spain","ESP","ESP",32659,0.007376,0.000658,"20200516","success"
"25","Spain","ESP","ESP",32825,0.007088,0.000645,"20200517","success"
"26","Spain","ESP","ESP",32917,0.006953,0.000641,"20200518","success"
"27","Spain","ESP","ESP",33660,0.007323,0.000654,"20200519","success"
"28","Spain","ESP","ESP",34288,0.007074,0.000638,"20200520","success"
"29","Spain","ESP","ESP",32756,0.006592,0.000631,"20200521","success"
"30","Spain","ESP","ESP",31936,0.006124,0.000618,"20200522","success"
"31","Spain","ESP","ESP",31801,0.005565,0.000594,"20200523","success"
"32","Spain","ESP","ESP",31868,0.0053,0.000582,"20200524","success"
"33","Spain","ESP","ESP",32168,0.005269,0.000577,"20200525","success"
"34","Spain","ESP","ESP",31579,0.005016,0.000568,"20200526","success"
"35","Spain","ESP","ESP",30969,0.004892,0.000567,"20200527","success"
"36","Spain","ESP","ESP",31753,0.005003,0.000565,"20200528","success"
"37","Spain","ESP","ESP",31513,0.005046,0.000569,"20200529","success"
"38","Spain","ESP","ESP",30737,0.005076,0.000576,"20200530","success"
"39","Spain","ESP","ESP",30270,0.005024,0.000577,"20200531","success"
"40","Spain","ESP","ESP",29107,0.004876,0.000583,"20200601","success"
"41","Spain","ESP","ESP",28541,0.004777,0.000581,"20200602","success"
"42","Spain","ESP","ESP",28005,0.004411,0.000563,"20200603","success"
"43","Spain","ESP","ESP",28027,0.004664,0.000574,"20200604","success"
"44","Spain","ESP","ESP",27862,0.004336,0.000554,"20200605","success"
"45","Spain","ESP","ESP",27552,0.004253,0.000552,"20200606","success"
"46","Spain","ESP","ESP",27113,0.004209,0.000549,"20200607","success"
"47","Spain","ESP","ESP",27256,0.003797,0.000519,"20200608","success"
"48","Spain","ESP","ESP",26980,0.004041,0.000535,"20200609","success"
"49","Spain","ESP","ESP",26791,0.00431,0.000554,"20200610","success"
"50","Spain","ESP","ESP",25963,0.004615,0.000584,"20200611","success"
"51","Spain","ESP","ESP",25901,0.005609,0.000639,"20200612","success"
"52","Spain","ESP","ESP",25581,0.005555,0.000636,"20200613","success"
"53","Spain","ESP","ESP",24966,0.005432,0.000641,"20200614","success"
"54","Spain","ESP","ESP",24713,0.005992,0.000674,"20200615","success"
"55","Spain","ESP","ESP",24519,0.005909,0.000671,"20200616","success"
"56","Spain","ESP","ESP",24445,0.006328,0.000695,"20200617","success"
"57","Spain","ESP","ESP",24285,0.005833,0.000669,"20200618","success"
"58","Spain","ESP","ESP",23746,0.0053,0.000646,"20200619","success"
"59","Spain","ESP","ESP",23596,0.00554,0.000667,"20200620","success"
"60","Spain","ESP","ESP",23777,0.005563,0.00066,"20200621","success"
"61","Spain","ESP","ESP",23680,0.005082,0.000631,"20200622","success"
"62","Spain","ESP","ESP",23829,0.004773,0.000612,"20200623","success"
"63","Spain","ESP","ESP",24118,0.004809,0.000607,"20200624","success"
"64","Spain","ESP","ESP",24541,0.005022,0.000619,"20200625","success"
"65","Spain","ESP","ESP",24727,0.004786,0.000605,"20200626","success"
"66","Spain","ESP","ESP",24840,0.004677,0.000595,"20200627","success"
"67","Spain","ESP","ESP",24825,0.00445,0.000582,"20200628","success"
"68","Spain","ESP","ESP",24872,0.004333,0.000575,"20200629","success"
"69","Spain","ESP","ESP",24815,0.004327,0.000577,"20200630","success"
"70","Spain","ESP","ESP",24449,0.003509,0.000525,"20200701","success"
"71","Spain","ESP","ESP",23643,0.002877,0.000481,"20200702","success"
"72","Spain","ESP","ESP",23005,0.002972,0.000493,"20200703","success"
"73","Spain","ESP","ESP",22390,0.002926,0.000495,"20200704","success"
"74","Spain","ESP","ESP",21821,0.003193,0.000525,"20200705","success"
"75","Spain","ESP","ESP",21605,0.003659,0.000562,"20200706","success"
"76","Spain","ESP","ESP",21472,0.003738,0.000566,"20200707","success"
"77","Spain","ESP","ESP",21386,0.003957,0.000578,"20200708","success"
"78","Spain","ESP","ESP",21747,0.004356,0.000604,"20200709","success"
"79","Spain","ESP","ESP",22585,0.004223,0.000586,"20200710","success"
"80","Spain","ESP","ESP",23122,0.004235,0.00058,"20200711","success"
"81","Spain","ESP","ESP",23740,0.003765,0.000533,"20200712","success"
"82","Spain","ESP","ESP",24042,0.003505,0.00051,"20200713","success"
"83","Spain","ESP","ESP",24362,0.003689,0.000522,"20200714","success"
"84","Spain","ESP","ESP",24614,0.004096,0.000553,"20200715","success"
"85","Spain","ESP","ESP",24890,0.003572,0.000513,"20200716","success"
"86","Spain","ESP","ESP",24829,0.003855,0.000532,"20200717","success"
"87","Spain","ESP","ESP",25090,0.003647,0.000511,"20200718","success"
"88","Spain","ESP","ESP",25279,0.003659,0.000515,"20200719","success"
"89","Spain","ESP","ESP",25655,0.003777,0.00052,"20200720","success"
"90","Spain","ESP","ESP",26080,0.003459,0.000492,"20200721","success"
"91","Spain","ESP","ESP",26420,0.002753,0.000435,"20200722","success"
"92","Spain","ESP","ESP",26703,0.002973,0.000452,"20200723","success"
"93","Spain","ESP","ESP",26982,0.002922,0.000447,"20200724","success"
"94","Spain","ESP","ESP",27158,0.00316,0.000465,"20200725","success"
"95","Spain","ESP","ESP",27289,0.003523,0.000492,"20200726","success"
"96","Spain","ESP","ESP",27379,0.003544,0.000494,"20200727","success"
"97","Spain","ESP","ESP",27116,0.003922,0.000526,"20200728","success"
"98","Spain","ESP","ESP",27063,0.004339,0.000554,"20200729","success"
"99","Spain","ESP","ESP",27018,0.004207,0.000542,"20200730","success"
"100","Spain","ESP","ESP",26704,0.004705,0.000574,"20200731","success"
"101","Spain","ESP","ESP",26197,0.004562,0.00057,"20200801","success"
"102","Spain","ESP","ESP",26023,0.00446,0.000564,"20200802","success"
"103","Spain","ESP","ESP",25511,0.003905,0.000534,"20200803","success"
"104","Spain","ESP","ESP",25063,0.003904,0.000534,"20200804","success"
"105","Spain","ESP","ESP",24773,0.003738,0.000523,"20200805","success"
"106","Spain","ESP","ESP",24413,0.003573,0.000517,"20200806","success"
