"","date","cs_recent","ccfr","fb_umd","population"
"1",2020-04-23,NA,0.226264936055283,2.27282171985515,204453710
"2",2020-04-28,NA,0.29664667353717,2.29756722293461,204453710
"3",2020-05-01,NA,0.375460641660555,2.31154011441078,204453710
"4",2020-05-01,NA,0.375460641660555,2.31601784734272,204453710
"5",2020-05-09,NA,0.583925510727323,2.34778165475943,204453710
"6",2020-05-15,0.0257054521718858,0.746889455717174,2.36567442417317,204453710
"7",2020-05-16,0.142236657892043,0.780900793490942,2.36806273794332,204453710
"8",2020-05-17,0.290375553666559,0.782089746852214,2.37026620710508,204453710
"9",2020-05-18,0.459339626316806,0.814339491120792,2.37227913790877,204453710
"10",2020-05-19,0.638346362664153,0.855829129824198,2.37409583660468,204453710
"11",2020-05-20,0.81661324952997,0.920654181931255,2.3757106094431,204453710
"12",2020-05-21,0.983357773735629,0.975977179778503,2.37711776267435,204453710
"13",2020-05-22,1.1277974221025,1.03363709433022,2.37831225382513,204453710
"14",2020-05-23,1.23914968145196,1.06333329840148,2.37929604907109,204453710
"15",2020-05-24,1.30998201914316,1.07080834285999,2.38007538280745,204453710
"16",2020-05-25,1.34636270228831,1.07664948718398,2.38065654999835,204453710
"17",2020-05-26,1.35776060690504,1.08505252242867,2.38104584560792,204453710
"18",2020-05-27,1.35364460906374,1.1061788616416,2.38124956460028,204453710
"19",2020-05-28,1.34348358483479,1.1823868096195,2.38127400193956,204453710
"20",2020-05-29,1.33674641028854,1.25083386389844,2.3811254525899,204453710
"21",2020-06-01,1.3429019614954,1.29579610517546,2.37892728758434,204453710
"22",2020-06-01,1.3429019614954,1.29579610517546,2.37970483404851,204453710
"23",2020-06-02,1.37141911452573,1.33448430712566,2.37800822925187,204453710
"24",2020-06-03,1.42954917709443,1.35127588320712,2.37695395401522,204453710
"25",2020-06-04,1.51247566118198,1.41356932702973,2.37577075683853,204453710
"26",2020-06-05,1.61129688112134,1.43994928817602,2.37446493268593,204453710
"27",2020-06-06,1.71710790150617,1.4315429391946,2.37304277652153,204453710
"28",2020-06-07,1.82100378693016,1.39542587207134,2.37151058330947,204453710
"29",2020-06-08,1.91407960198696,1.37106633102393,2.36987464801389,204453710
"30",2020-06-09,1.98743041127023,1.3688674684234,2.3681412655989,204453710
"31",2020-06-10,2.03215127937366,1.3901471149382,2.36631673102864,204453710
"32",2020-06-11,2.0407442199018,1.40334404101061,2.36440733926724,204453710
"33",2020-06-12,2.01615970679361,1.41154579786986,2.36241938527882,204453710
"34",2020-06-13,1.96605097159784,1.40450700847976,2.36035916402752,204453710
"35",2020-06-14,1.89809385472758,1.37299971398364,2.35823297047746,204453710
"36",2020-06-15,1.81996419659595,1.32498950087207,2.35604709959277,204453710
"37",2020-06-16,1.73933783761605,1.31501099416387,2.35380784633758,204453710
"38",2020-06-17,1.66389061820099,1.2667998275734,2.35152150567602,204453710
"39",2020-06-18,1.60129837876387,1.27824429114444,2.34919437257222,204453710
"40",2020-06-19,1.55861947044582,1.37563236610124,2.34683272653617,204453710
"41",2020-06-21,1.53651517457359,1.28754430911777,2.34201698326962,204453710
"42",2020-06-22,1.53186265069285,1.24398498266654,2.33956069983448,204453710
"43",2020-06-23,1.54148975262121,1.23273263272834,2.33707029385953,204453710
"44",2020-06-25,1.56222433417625,1.29304108866727,2.33198157027456,204453710
"45",2020-06-26,1.59089424917559,1.33306832826124,2.3293804806567,204453710
"46",2020-06-27,1.62432735143681,1.31305424921965,2.32673972448337,204453710
"47",2020-06-28,1.65935149477751,1.29510961081796,2.32405791575065,204453710
"48",2020-06-29,1.69288495726034,1.25918340836524,2.32133366845462,204453710
"49",2020-06-30,1.72320171444694,1.2676691228341,2.31856559659137,204453710
"50",2020-07-02,1.74962073437069,1.35004146954252,2.30998457355913,204453710
"51",2020-07-03,1.77148794537552,1.372509070498,2.30702734338783,204453710
"52",2020-07-04,1.78814927580537,1.34073876583971,2.30401935862972,204453710
"53",2020-07-05,1.79895065400416,1.31692815039618,2.30095923328088,204453710
"54",2020-07-06,1.80323800831583,1.30427247136852,2.29784558133741,204453710
"55",2020-07-07,1.80035726708431,1.24173714647681,2.29467701679538,204453710
"56",2020-07-08,1.78973083877542,1.25875796445408,2.29145215365087,204453710
"57",2020-07-09,1.77254017465868,1.29647981272049,2.28816960589998,204453710
"58",2020-07-10,1.75172576880721,1.31998276676757,2.28482798753877,204453710
"59",2020-07-13,1.73030459541608,1.18674020460866,2.27443484875415,204453710
"60",2020-07-14,1.71129362868032,1.16443996338833,2.27084308791255,204453710
"61",2020-07-16,1.69770984279499,1.1569823753754,2.26346017833575,204453710
"62",2020-07-17,1.69257021195514,1.17261171628272,2.25966625759273,204453710
"63",2020-07-19,1.69889171035582,1.09217898400507,2.25185566851432,204453710
"64",2020-07-21,1.7195946564497,1.03654626999914,2.2436699985884,204453710
"65",2020-07-23,1.75385295327123,1.1280071610833,2.23500405200459,204453710
"66",2020-07-25,1.79598017600553,1.17364554532563,2.22575260927838,204453710
"67",2020-07-27,1.8399657187599,1.09176257930944,2.21581045092527,204453710
"68",2020-07-28,1.87979897564163,1.09494453124252,2.21054747229972,204453710
"69",2020-07-29,1.90946934075801,1.12382105366617,2.20507235746076,204453710
"70",2020-07-30,1.92296620821635,1.17429635060777,2.19937195397282,204453710
"71",2020-07-31,1.91427897212393,1.2158336492994,2.19343310940035,204453710
"72",2020-08-03,1.87746048687159,1.13738895675331,2.16703027155381,204453710
"73",2020-08-04,1.81143406410823,1.16169749158158,2.1597019350252,204453710
