"date","year_week","countrycode","countryname","hosp_occupancy"
2020-02-02,"2020-W05","NO","Norway",NA
2020-02-03,"2020-W06","NO","Norway",NA
2020-02-04,"2020-W06","NO","Norway",NA
2020-02-05,"2020-W06","NO","Norway",NA
2020-02-06,"2020-W06","NO","Norway",NA
2020-02-07,"2020-W06","NO","Norway",NA
2020-02-08,"2020-W06","NO","Norway",NA
2020-02-09,"2020-W06","NO","Norway",NA
2020-02-10,"2020-W07","NO","Norway",NA
2020-02-11,"2020-W07","NO","Norway",NA
2020-02-12,"2020-W07","NO","Norway",NA
2020-02-13,"2020-W07","NO","Norway",NA
2020-02-14,"2020-W07","NO","Norway",NA
2020-02-15,"2020-W07","NO","Norway",NA
2020-02-16,"2020-W07","NO","Norway",NA
2020-02-17,"2020-W07","NO","Norway",NA
2020-02-18,"2020-W07","NO","Norway",NA
2020-02-19,"2020-W08","NO","Norway",NA
2020-02-20,"2020-W08","NO","Norway",NA
2020-02-21,"2020-W08","NO","Norway",NA
2020-02-22,"2020-W08","NO","Norway",NA
2020-02-23,"2020-W08","NO","Norway",NA
2020-02-24,"2020-W08","NO","Norway",NA
2020-02-25,"2020-W09","NO","Norway",NA
2020-02-26,"2020-W09","NO","Norway",NA
2020-02-27,"2020-W09","NO","Norway",NA
2020-02-28,"2020-W09","NO","Norway",NA
2020-02-29,"2020-W09","NO","Norway",NA
2020-03-01,"2020-W09","NO","Norway",NA
2020-03-02,"2020-W10","NO","Norway",NA
2020-03-03,"2020-W10","NO","Norway",NA
2020-03-04,"2020-W10","NO","Norway",NA
2020-03-05,"2020-W10","NO","Norway",NA
2020-03-06,"2020-W10","NO","Norway",NA
2020-03-07,"2020-W10","NO","Norway",NA
2020-03-08,"2020-W10","NO","Norway",0
2020-03-09,"2020-W11","NO","Norway",2
2020-03-10,"2020-W11","NO","Norway",8
2020-03-11,"2020-W11","NO","Norway",13
2020-03-12,"2020-W11","NO","Norway",23
2020-03-13,"2020-W11","NO","Norway",27
2020-03-14,"2020-W11","NO","Norway",35
2020-03-15,"2020-W11","NO","Norway",41
2020-03-16,"2020-W12","NO","Norway",50
2020-03-17,"2020-W12","NO","Norway",68
2020-03-18,"2020-W12","NO","Norway",82
2020-03-19,"2020-W12","NO","Norway",102
2020-03-20,"2020-W12","NO","Norway",130
2020-03-21,"2020-W12","NO","Norway",148
2020-03-22,"2020-W12","NO","Norway",169
2020-03-23,"2020-W13","NO","Norway",193
2020-03-24,"2020-W13","NO","Norway",212
2020-03-25,"2020-W13","NO","Norway",237
2020-03-26,"2020-W13","NO","Norway",266
2020-03-27,"2020-W13","NO","Norway",303
2020-03-28,"2020-W13","NO","Norway",291
2020-03-29,"2020-W13","NO","Norway",317
2020-03-30,"2020-W14","NO","Norway",321
2020-03-31,"2020-W14","NO","Norway",317
2020-04-01,"2020-W14","NO","Norway",325
2020-04-02,"2020-W14","NO","Norway",318
2020-04-03,"2020-W14","NO","Norway",318
2020-04-04,"2020-W14","NO","Norway",306
2020-04-05,"2020-W14","NO","Norway",310
2020-04-06,"2020-W15","NO","Norway",314
2020-04-07,"2020-W15","NO","Norway",277
2020-04-08,"2020-W15","NO","Norway",250
2020-04-09,"2020-W15","NO","Norway",252
2020-04-10,"2020-W15","NO","Norway",234
2020-04-11,"2020-W15","NO","Norway",214
2020-04-12,"2020-W15","NO","Norway",214
2020-04-13,"2020-W16","NO","Norway",204
2020-04-14,"2020-W16","NO","Norway",201
2020-04-15,"2020-W16","NO","Norway",190
2020-04-16,"2020-W16","NO","Norway",175
2020-04-17,"2020-W16","NO","Norway",165
2020-04-18,"2020-W16","NO","Norway",148
2020-04-19,"2020-W16","NO","Norway",153
2020-04-20,"2020-W17","NO","Norway",160
2020-04-21,"2020-W17","NO","Norway",144
2020-04-22,"2020-W17","NO","Norway",129
2020-04-23,"2020-W17","NO","Norway",123
2020-04-24,"2020-W17","NO","Norway",120
2020-04-25,"2020-W17","NO","Norway",114
2020-04-26,"2020-W17","NO","Norway",122
2020-04-27,"2020-W18","NO","Norway",125
2020-04-28,"2020-W18","NO","Norway",119
2020-04-29,"2020-W18","NO","Norway",114
2020-04-30,"2020-W18","NO","Norway",98
2020-05-01,"2020-W18","NO","Norway",82
2020-05-02,"2020-W18","NO","Norway",81
2020-05-03,"2020-W18","NO","Norway",80
2020-05-04,"2020-W19","NO","Norway",82
2020-05-05,"2020-W19","NO","Norway",71
2020-05-06,"2020-W19","NO","Norway",62
2020-05-07,"2020-W19","NO","Norway",63
2020-05-08,"2020-W19","NO","Norway",61
2020-05-09,"2020-W19","NO","Norway",59
2020-05-10,"2020-W19","NO","Norway",60
2020-05-11,"2020-W20","NO","Norway",59
2020-05-12,"2020-W20","NO","Norway",59
2020-05-13,"2020-W20","NO","Norway",61
2020-05-14,"2020-W20","NO","Norway",61
2020-05-15,"2020-W20","NO","Norway",58
2020-05-16,"2020-W20","NO","Norway",52
2020-05-17,"2020-W20","NO","Norway",52
2020-05-18,"2020-W21","NO","Norway",52
2020-05-19,"2020-W21","NO","Norway",51
2020-05-20,"2020-W21","NO","Norway",51
2020-05-21,"2020-W21","NO","Norway",41
2020-05-22,"2020-W21","NO","Norway",45
2020-05-23,"2020-W21","NO","Norway",35
2020-05-24,"2020-W21","NO","Norway",38
2020-05-25,"2020-W22","NO","Norway",40
2020-05-26,"2020-W22","NO","Norway",37
2020-05-27,"2020-W22","NO","Norway",36
2020-05-28,"2020-W22","NO","Norway",36
2020-05-29,"2020-W22","NO","Norway",30
2020-05-30,"2020-W22","NO","Norway",28
2020-05-31,"2020-W22","NO","Norway",28
2020-06-01,"2020-W23","NO","Norway",29
2020-06-02,"2020-W23","NO","Norway",32
2020-06-03,"2020-W23","NO","Norway",27
2020-06-04,"2020-W23","NO","Norway",29
2020-06-05,"2020-W23","NO","Norway",22
2020-06-06,"2020-W23","NO","Norway",21
2020-06-07,"2020-W23","NO","Norway",21
2020-06-08,"2020-W24","NO","Norway",21
2020-06-09,"2020-W24","NO","Norway",21
2020-06-10,"2020-W24","NO","Norway",18
2020-06-11,"2020-W24","NO","Norway",16
2020-06-12,"2020-W24","NO","Norway",16
2020-06-13,"2020-W24","NO","Norway",18
2020-06-14,"2020-W24","NO","Norway",NA
2020-06-15,"2020-W25","NO","Norway",18
2020-06-16,"2020-W25","NO","Norway",18
2020-06-17,"2020-W25","NO","Norway",18
2020-06-18,"2020-W25","NO","Norway",19
