"date","year_week","countrycode","countryname","hosp_occupancy","icu_occupancy"
2020-02-02,"2020-W05","LU","Luxembourg",NA,NA
2020-02-03,"2020-W06","LU","Luxembourg",NA,NA
2020-02-04,"2020-W06","LU","Luxembourg",NA,NA
2020-02-05,"2020-W06","LU","Luxembourg",NA,NA
2020-02-06,"2020-W06","LU","Luxembourg",NA,NA
2020-02-07,"2020-W06","LU","Luxembourg",NA,NA
2020-02-08,"2020-W06","LU","Luxembourg",NA,NA
2020-02-09,"2020-W06","LU","Luxembourg",NA,NA
2020-02-10,"2020-W07","LU","Luxembourg",NA,NA
2020-02-11,"2020-W07","LU","Luxembourg",NA,NA
2020-02-12,"2020-W07","LU","Luxembourg",NA,NA
2020-02-13,"2020-W07","LU","Luxembourg",NA,NA
2020-02-14,"2020-W07","LU","Luxembourg",NA,NA
2020-02-15,"2020-W07","LU","Luxembourg",NA,NA
2020-02-16,"2020-W07","LU","Luxembourg",NA,NA
2020-02-17,"2020-W07","LU","Luxembourg",NA,NA
2020-02-18,"2020-W07","LU","Luxembourg",NA,NA
2020-02-19,"2020-W08","LU","Luxembourg",NA,NA
2020-02-20,"2020-W08","LU","Luxembourg",NA,NA
2020-02-21,"2020-W08","LU","Luxembourg",NA,NA
2020-02-22,"2020-W08","LU","Luxembourg",NA,NA
2020-02-23,"2020-W08","LU","Luxembourg",NA,NA
2020-02-24,"2020-W08","LU","Luxembourg",NA,0
2020-02-25,"2020-W09","LU","Luxembourg",NA,0
2020-02-26,"2020-W09","LU","Luxembourg",NA,0
2020-02-27,"2020-W09","LU","Luxembourg",NA,0
2020-02-28,"2020-W09","LU","Luxembourg",NA,0
2020-02-29,"2020-W09","LU","Luxembourg",NA,0
2020-03-01,"2020-W09","LU","Luxembourg",NA,0
2020-03-02,"2020-W10","LU","Luxembourg",NA,0
2020-03-03,"2020-W10","LU","Luxembourg",NA,0
2020-03-04,"2020-W10","LU","Luxembourg",NA,0
2020-03-05,"2020-W10","LU","Luxembourg",NA,0
2020-03-06,"2020-W10","LU","Luxembourg",NA,0
2020-03-07,"2020-W10","LU","Luxembourg",NA,0
2020-03-08,"2020-W10","LU","Luxembourg",NA,0
2020-03-09,"2020-W11","LU","Luxembourg",NA,0
2020-03-10,"2020-W11","LU","Luxembourg",NA,0
2020-03-11,"2020-W11","LU","Luxembourg",NA,0
2020-03-12,"2020-W11","LU","Luxembourg",NA,0
2020-03-13,"2020-W11","LU","Luxembourg",NA,0
2020-03-14,"2020-W11","LU","Luxembourg",NA,0
2020-03-15,"2020-W11","LU","Luxembourg",NA,0
2020-03-16,"2020-W12","LU","Luxembourg",0,0
2020-03-17,"2020-W12","LU","Luxembourg",0,0
2020-03-18,"2020-W12","LU","Luxembourg",0,0
