"year_week","date","countrycode","countryname","icu_occupancy","hosp_weekly_admission"
"2020-W09",2020-02-25,"RO","Romania",NA,0.015452401504075
"2020-W09",2020-02-26,"RO","Romania",NA,0.015452401504075
"2020-W09",2020-02-27,"RO","Romania",NA,0.015452401504075
"2020-W09",2020-02-28,"RO","Romania",NA,0.015452401504075
"2020-W09",2020-02-29,"RO","Romania",NA,0.015452401504075
"2020-W09",2020-03-01,"RO","Romania",NA,0.015452401504075
"2020-W10",2020-03-02,"RO","Romania",NA,0.0618096060162998
"2020-W10",2020-03-03,"RO","Romania",NA,0.0618096060162998
"2020-W10",2020-03-04,"RO","Romania",NA,0.0618096060162998
"2020-W10",2020-03-05,"RO","Romania",NA,0.0618096060162998
"2020-W10",2020-03-06,"RO","Romania",NA,0.0618096060162998
"2020-W10",2020-03-07,"RO","Romania",NA,0.0618096060162998
"2020-W10",2020-03-08,"RO","Romania",NA,0.0618096060162998
"2020-W11",2020-03-09,"RO","Romania",NA,0.73656447169424
"2020-W11",2020-03-10,"RO","Romania",NA,0.73656447169424
"2020-W11",2020-03-11,"RO","Romania",NA,0.73656447169424
"2020-W11",2020-03-12,"RO","Romania",NA,0.73656447169424
"2020-W11",2020-03-13,"RO","Romania",NA,0.73656447169424
"2020-W11",2020-03-14,"RO","Romania",NA,0.73656447169424
"2020-W11",2020-03-15,"RO","Romania",NA,0.73656447169424
"2020-W12",2020-03-16,"RO","Romania",NA,1.98305819302295
"2020-W12",2020-03-17,"RO","Romania",NA,1.98305819302295
"2020-W12",2020-03-18,"RO","Romania",NA,1.98305819302295
"2020-W12",2020-03-19,"RO","Romania",6,1.98305819302295
"2020-W12",2020-03-20,"RO","Romania",11,1.98305819302295
"2020-W12",2020-03-21,"RO","Romania",14,1.98305819302295
"2020-W12",2020-03-22,"RO","Romania",14,1.98305819302295
"2020-W13",2020-03-23,"RO","Romania",15,7.08750148986905
"2020-W13",2020-03-24,"RO","Romania",16,7.08750148986905
"2020-W13",2020-03-25,"RO","Romania",18,7.08750148986905
