"year_week","date","countrycode","countryname","hosp_occupancy","icu_occupancy","hosp_weekly_admission","icu_weekly_admission"
"2020-W06",2020-02-03,"MT","Malta",NA,NA,NA,NA
"2020-W06",2020-02-04,"MT","Malta",NA,NA,NA,NA
"2020-W06",2020-02-05,"MT","Malta",NA,NA,NA,NA
"2020-W06",2020-02-06,"MT","Malta",NA,NA,NA,NA
"2020-W06",2020-02-07,"MT","Malta",NA,NA,NA,NA
"2020-W06",2020-02-08,"MT","Malta",NA,NA,NA,NA
"2020-W06",2020-02-09,"MT","Malta",NA,NA,NA,NA
"2020-W08",2020-02-19,"MT","Malta",NA,NA,NA,NA
"2020-W08",2020-02-20,"MT","Malta",NA,NA,NA,NA
"2020-W08",2020-02-21,"MT","Malta",NA,NA,NA,NA
"2020-W08",2020-02-22,"MT","Malta",NA,NA,NA,NA
"2020-W08",2020-02-23,"MT","Malta",NA,NA,NA,NA
"2020-W08",2020-02-24,"MT","Malta",NA,NA,NA,NA
"2020-W09",2020-02-25,"MT","Malta",NA,NA,NA,NA
"2020-W09",2020-02-26,"MT","Malta",NA,NA,NA,NA
"2020-W09",2020-02-27,"MT","Malta",NA,NA,NA,NA
"2020-W09",2020-02-28,"MT","Malta",NA,NA,NA,NA
"2020-W09",2020-02-29,"MT","Malta",NA,NA,NA,NA
"2020-W09",2020-03-01,"MT","Malta",NA,NA,NA,NA
"2020-W10",2020-03-02,"MT","Malta",NA,NA,1.41827015615154,0
"2020-W10",2020-03-03,"MT","Malta",NA,NA,1.41827015615154,0
"2020-W10",2020-03-04,"MT","Malta",NA,NA,1.41827015615154,0
"2020-W10",2020-03-05,"MT","Malta",0,0,1.41827015615154,0
"2020-W10",2020-03-06,"MT","Malta",0,0,1.41827015615154,0
"2020-W10",2020-03-07,"MT","Malta",0,0,1.41827015615154,0
"2020-W10",2020-03-08,"MT","Malta",0,0,1.41827015615154,0
"2020-W11",2020-03-09,"MT","Malta",0,0,1.62088017845891,0.60783006692209
"2020-W11",2020-03-10,"MT","Malta",0,0,1.62088017845891,0.60783006692209
"2020-W11",2020-03-11,"MT","Malta",0,0,1.62088017845891,0.60783006692209
"2020-W11",2020-03-12,"MT","Malta",0,0,1.62088017845891,0.60783006692209
"2020-W11",2020-03-13,"MT","Malta",0,0,1.62088017845891,0.60783006692209
"2020-W11",2020-03-14,"MT","Malta",0,0,1.62088017845891,0.60783006692209
"2020-W11",2020-03-15,"MT","Malta",0,0,1.62088017845891,0.60783006692209
"2020-W12",2020-03-16,"MT","Malta",3,0,0.405220044614727,0.202610022307364
"2020-W12",2020-03-17,"MT","Malta",4,0,0.405220044614727,0.202610022307364
"2020-W12",2020-03-18,"MT","Malta",4,0,0.405220044614727,0.202610022307364
"2020-W12",2020-03-19,"MT","Malta",6,0,0.405220044614727,0.202610022307364
"2020-W12",2020-03-20,"MT","Malta",9,0,0.405220044614727,0.202610022307364
"2020-W12",2020-03-21,"MT","Malta",10,0,0.405220044614727,0.202610022307364
"2020-W12",2020-03-22,"MT","Malta",11,0,0.405220044614727,0.202610022307364
"2020-W13",2020-03-23,"MT","Malta",10,0,1.62088017845891,0.405220044614727
"2020-W13",2020-03-24,"MT","Malta",11,0,1.62088017845891,0.405220044614727
"2020-W13",2020-03-25,"MT","Malta",11,0,1.62088017845891,0.405220044614727
"2020-W13",2020-03-26,"MT","Malta",10,1,1.62088017845891,0.405220044614727
"2020-W13",2020-03-27,"MT","Malta",11,1,1.62088017845891,0.405220044614727
"2020-W13",2020-03-28,"MT","Malta",10,2,1.62088017845891,0.405220044614727
"2020-W13",2020-03-29,"MT","Malta",8,4,1.62088017845891,0.405220044614727
"2020-W14",2020-03-30,"MT","Malta",6,3,2.228710245381,0
"2020-W14",2020-03-31,"MT","Malta",9,3,2.228710245381,0
"2020-W14",2020-04-01,"MT","Malta",9,3,2.228710245381,0
"2020-W14",2020-04-02,"MT","Malta",8,3,2.228710245381,0
"2020-W14",2020-04-03,"MT","Malta",9,3,2.228710245381,0
"2020-W14",2020-04-04,"MT","Malta",9,4,2.228710245381,0
"2020-W14",2020-04-05,"MT","Malta",8,4,2.228710245381,0
"2020-W15",2020-04-06,"MT","Malta",5,4,0.810440089229454,0.202610022307364
"2020-W15",2020-04-07,"MT","Malta",9,4,0.810440089229454,0.202610022307364
"2020-W15",2020-04-08,"MT","Malta",9,5,0.810440089229454,0.202610022307364
"2020-W15",2020-04-09,"MT","Malta",8,4,0.810440089229454,0.202610022307364
"2020-W15",2020-04-10,"MT","Malta",7,4,0.810440089229454,0.202610022307364
"2020-W15",2020-04-11,"MT","Malta",8,4,0.810440089229454,0.202610022307364
"2020-W15",2020-04-12,"MT","Malta",7,4,0.810440089229454,0.202610022307364
"2020-W16",2020-04-13,"MT","Malta",8,3,0,0
"2020-W16",2020-04-14,"MT","Malta",9,3,0,0
"2020-W16",2020-04-15,"MT","Malta",8,2,0,0
"2020-W16",2020-04-16,"MT","Malta",5,1,0,0
"2020-W16",2020-04-17,"MT","Malta",5,1,0,0
"2020-W16",2020-04-18,"MT","Malta",5,1,0,0
"2020-W16",2020-04-19,"MT","Malta",4,1,0,0
"2020-W17",2020-04-20,"MT","Malta",4,1,0,0
"2020-W17",2020-04-21,"MT","Malta",6,1,0,0
"2020-W17",2020-04-22,"MT","Malta",6,1,0,0
"2020-W17",2020-04-23,"MT","Malta",7,1,0,0
"2020-W17",2020-04-24,"MT","Malta",7,1,0,0
"2020-W17",2020-04-25,"MT","Malta",6,1,0,0
"2020-W17",2020-04-26,"MT","Malta",6,1,0,0
"2020-W18",2020-04-27,"MT","Malta",7,1,0.202610022307364,0.202610022307364
"2020-W18",2020-04-28,"MT","Malta",5,1,0.202610022307364,0.202610022307364
"2020-W18",2020-04-29,"MT","Malta",4,2,0.202610022307364,0.202610022307364
"2020-W18",2020-04-30,"MT","Malta",4,2,0.202610022307364,0.202610022307364
"2020-W18",2020-05-01,"MT","Malta",1,2,0.202610022307364,0.202610022307364
"2020-W18",2020-05-02,"MT","Malta",2,2,0.202610022307364,0.202610022307364
"2020-W18",2020-05-03,"MT","Malta",2,2,0.202610022307364,0.202610022307364
"2020-W19",2020-05-04,"MT","Malta",2,0,0.202610022307364,0
"2020-W19",2020-05-05,"MT","Malta",2,0,0.202610022307364,0
"2020-W19",2020-05-06,"MT","Malta",2,0,0.202610022307364,0
"2020-W19",2020-05-07,"MT","Malta",2,0,0.202610022307364,0
"2020-W19",2020-05-08,"MT","Malta",2,0,0.202610022307364,0
"2020-W19",2020-05-09,"MT","Malta",NA,NA,0.202610022307364,0
"2020-W19",2020-05-10,"MT","Malta",NA,NA,0.202610022307364,0
"2020-W20",2020-05-11,"MT","Malta",1,0,0.810440089229454,0
"2020-W20",2020-05-12,"MT","Malta",NA,NA,0.810440089229454,0
"2020-W20",2020-05-13,"MT","Malta",0,0,0.810440089229454,0
"2020-W20",2020-05-14,"MT","Malta",1,0,0.810440089229454,0
"2020-W20",2020-05-15,"MT","Malta",1,0,0.810440089229454,0
"2020-W20",2020-05-16,"MT","Malta",NA,NA,0.810440089229454,0
"2020-W20",2020-05-17,"MT","Malta",NA,NA,0.810440089229454,0
"2020-W21",2020-05-18,"MT","Malta",1,0,0.60783006692209,0
"2020-W21",2020-05-19,"MT","Malta",NA,NA,0.60783006692209,0
"2020-W21",2020-05-20,"MT","Malta",NA,NA,0.60783006692209,0
"2020-W21",2020-05-21,"MT","Malta",NA,NA,0.60783006692209,0
"2020-W21",2020-05-22,"MT","Malta",NA,NA,0.60783006692209,0
"2020-W21",2020-05-23,"MT","Malta",NA,NA,0.60783006692209,0
"2020-W21",2020-05-24,"MT","Malta",NA,NA,0.60783006692209,0
"2020-W22",2020-05-25,"MT","Malta",NA,NA,0,0
"2020-W22",2020-05-26,"MT","Malta",2,1,0,0
"2020-W22",2020-05-27,"MT","Malta",NA,NA,0,0
"2020-W22",2020-05-28,"MT","Malta",NA,NA,0,0
"2020-W22",2020-05-29,"MT","Malta",NA,NA,0,0
"2020-W22",2020-05-30,"MT","Malta",NA,NA,0,0
"2020-W22",2020-05-31,"MT","Malta",NA,NA,0,0
"2020-W23",2020-06-01,"MT","Malta",NA,NA,0,0
"2020-W23",2020-06-02,"MT","Malta",0,2,0,0
"2020-W23",2020-06-03,"MT","Malta",NA,NA,0,0
"2020-W23",2020-06-04,"MT","Malta",NA,NA,0,0
"2020-W23",2020-06-05,"MT","Malta",NA,NA,0,0
"2020-W23",2020-06-06,"MT","Malta",NA,NA,0,0
"2020-W23",2020-06-07,"MT","Malta",NA,NA,0,0
"2020-W24",2020-06-08,"MT","Malta",NA,NA,0.202610022307364,0
"2020-W24",2020-06-09,"MT","Malta",NA,NA,0.202610022307364,0
"2020-W24",2020-06-10,"MT","Malta",NA,NA,0.202610022307364,0
"2020-W24",2020-06-11,"MT","Malta",NA,NA,0.202610022307364,0
"2020-W24",2020-06-12,"MT","Malta",0,2,0.202610022307364,0
"2020-W24",2020-06-13,"MT","Malta",NA,NA,0.202610022307364,0
"2020-W24",2020-06-14,"MT","Malta",NA,NA,0.202610022307364,0
"2020-W25",2020-06-15,"MT","Malta",NA,NA,0.202610022307364,0
"2020-W25",2020-06-16,"MT","Malta",NA,NA,0.202610022307364,0
"2020-W25",2020-06-17,"MT","Malta",0,1,0.202610022307364,0
"2020-W25",2020-06-18,"MT","Malta",NA,NA,0.202610022307364,0
"2020-W25",2020-06-19,"MT","Malta",NA,NA,0.202610022307364,0
