"year_week","date","countrycode","countryname","icu_weekly_admission"
"2020-W13",2020-03-28,"SE","Sweden",2.32644864193561
"2020-W13",2020-03-29,"SE","Sweden",2.32644864193561
"2020-W14",2020-03-30,"SE","Sweden",2.70767341939564
"2020-W14",2020-03-31,"SE","Sweden",2.70767341939564
"2020-W14",2020-04-01,"SE","Sweden",2.70767341939564
"2020-W14",2020-04-02,"SE","Sweden",2.70767341939564
"2020-W14",2020-04-03,"SE","Sweden",2.70767341939564
"2020-W14",2020-04-04,"SE","Sweden",2.70767341939564
"2020-W14",2020-04-05,"SE","Sweden",2.70767341939564
"2020-W15",2020-04-06,"SE","Sweden",2.82497335092181
"2020-W15",2020-04-07,"SE","Sweden",2.82497335092181
"2020-W15",2020-04-08,"SE","Sweden",2.82497335092181
"2020-W15",2020-04-09,"SE","Sweden",2.82497335092181
"2020-W15",2020-04-10,"SE","Sweden",2.82497335092181
"2020-W15",2020-04-11,"SE","Sweden",2.82497335092181
"2020-W15",2020-04-12,"SE","Sweden",2.82497335092181
"2020-W16",2020-04-13,"SE","Sweden",2.44374857346177
"2020-W16",2020-04-14,"SE","Sweden",2.44374857346177
"2020-W16",2020-04-15,"SE","Sweden",2.44374857346177
"2020-W16",2020-04-16,"SE","Sweden",2.44374857346177
"2020-W16",2020-04-17,"SE","Sweden",2.44374857346177
"2020-W16",2020-04-18,"SE","Sweden",2.44374857346177
"2020-W16",2020-04-19,"SE","Sweden",2.44374857346177
"2020-W17",2020-04-20,"SE","Sweden",2.32644864193561
"2020-W17",2020-04-21,"SE","Sweden",2.32644864193561
"2020-W17",2020-04-22,"SE","Sweden",2.32644864193561
"2020-W17",2020-04-23,"SE","Sweden",2.32644864193561
"2020-W17",2020-04-24,"SE","Sweden",2.32644864193561
"2020-W17",2020-04-25,"SE","Sweden",2.32644864193561
"2020-W17",2020-04-26,"SE","Sweden",2.32644864193561
"2020-W18",2020-04-27,"SE","Sweden",1.83769892724325
"2020-W18",2020-04-28,"SE","Sweden",1.83769892724325
"2020-W18",2020-04-29,"SE","Sweden",1.83769892724325
"2020-W18",2020-04-30,"SE","Sweden",1.83769892724325
"2020-W18",2020-05-01,"SE","Sweden",1.83769892724325
"2020-W18",2020-05-02,"SE","Sweden",1.83769892724325
"2020-W18",2020-05-03,"SE","Sweden",1.83769892724325
"2020-W19",2020-05-04,"SE","Sweden",1.52489910984015
"2020-W19",2020-05-05,"SE","Sweden",1.52489910984015
"2020-W19",2020-05-06,"SE","Sweden",1.52489910984015
"2020-W19",2020-05-07,"SE","Sweden",1.52489910984015
"2020-W19",2020-05-08,"SE","Sweden",1.52489910984015
"2020-W19",2020-05-09,"SE","Sweden",1.52489910984015
"2020-W19",2020-05-10,"SE","Sweden",1.52489910984015
"2020-W20",2020-05-11,"SE","Sweden",1.21209929243704
"2020-W20",2020-05-12,"SE","Sweden",1.21209929243704
"2020-W20",2020-05-13,"SE","Sweden",1.21209929243704
"2020-W20",2020-05-14,"SE","Sweden",1.21209929243704
"2020-W20",2020-05-15,"SE","Sweden",1.21209929243704
"2020-W20",2020-05-16,"SE","Sweden",1.21209929243704
"2020-W20",2020-05-17,"SE","Sweden",1.21209929243704
"2020-W21",2020-05-18,"SE","Sweden",1.08502436661703
"2020-W21",2020-05-19,"SE","Sweden",1.08502436661703
"2020-W21",2020-05-20,"SE","Sweden",1.08502436661703
"2020-W21",2020-05-21,"SE","Sweden",1.08502436661703
"2020-W21",2020-05-22,"SE","Sweden",1.08502436661703
"2020-W21",2020-05-23,"SE","Sweden",1.08502436661703
"2020-W21",2020-05-24,"SE","Sweden",1.08502436661703
"2020-W22",2020-05-25,"SE","Sweden",1.19254930384934
"2020-W22",2020-05-26,"SE","Sweden",1.19254930384934
"2020-W22",2020-05-27,"SE","Sweden",1.19254930384934
"2020-W22",2020-05-28,"SE","Sweden",1.19254930384934
"2020-W22",2020-05-29,"SE","Sweden",1.19254930384934
"2020-W22",2020-05-30,"SE","Sweden",1.19254930384934
"2020-W22",2020-05-31,"SE","Sweden",1.19254930384934
"2020-W23",2020-06-01,"SE","Sweden",1.20232429814319
"2020-W23",2020-06-02,"SE","Sweden",1.20232429814319
"2020-W23",2020-06-03,"SE","Sweden",1.20232429814319
"2020-W23",2020-06-04,"SE","Sweden",1.20232429814319
"2020-W23",2020-06-05,"SE","Sweden",1.20232429814319
"2020-W23",2020-06-06,"SE","Sweden",1.20232429814319
"2020-W23",2020-06-07,"SE","Sweden",1.20232429814319
"2020-W24",2020-06-08,"SE","Sweden",0.889524480740084
"2020-W24",2020-06-09,"SE","Sweden",0.889524480740084
"2020-W24",2020-06-10,"SE","Sweden",0.889524480740084
"2020-W24",2020-06-11,"SE","Sweden",0.889524480740084
"2020-W24",2020-06-12,"SE","Sweden",0.889524480740084
"2020-W24",2020-06-13,"SE","Sweden",0.889524480740084
"2020-W24",2020-06-14,"SE","Sweden",0.889524480740084
"2020-W25",2020-06-15,"SE","Sweden",0.723349577744684
"2020-W25",2020-06-16,"SE","Sweden",0.723349577744684
"2020-W25",2020-06-17,"SE","Sweden",0.723349577744684
"2020-W25",2020-06-18,"SE","Sweden",0.723349577744684
"2020-W25",2020-06-19,"SE","Sweden",0.723349577744684
"2020-W25",2020-06-20,"SE","Sweden",0.723349577744684
"2020-W25",2020-06-21,"SE","Sweden",0.723349577744684
"2020-W26",2020-06-22,"SE","Sweden",0.547399680455437
"2020-W26",2020-06-23,"SE","Sweden",0.547399680455437
"2020-W26",2020-06-24,"SE","Sweden",0.547399680455437
"2020-W26",2020-06-25,"SE","Sweden",0.547399680455437
"2020-W26",2020-06-26,"SE","Sweden",0.547399680455437
"2020-W26",2020-06-27,"SE","Sweden",0.547399680455437
"2020-W26",2020-06-28,"SE","Sweden",0.547399680455437
"2020-W27",2020-06-29,"SE","Sweden",0.332349805990801
"2020-W27",2020-06-30,"SE","Sweden",0.332349805990801
"2020-W27",2020-07-01,"SE","Sweden",0.332349805990801
"2020-W27",2020-07-02,"SE","Sweden",0.332349805990801
"2020-W27",2020-07-03,"SE","Sweden",0.332349805990801
"2020-W27",2020-07-04,"SE","Sweden",0.332349805990801
"2020-W27",2020-07-05,"SE","Sweden",0.332349805990801
"2020-W28",2020-07-06,"SE","Sweden",0.136849920113859
"2020-W28",2020-07-07,"SE","Sweden",0.136849920113859
"2020-W28",2020-07-08,"SE","Sweden",0.136849920113859
"2020-W28",2020-07-09,"SE","Sweden",0.136849920113859
"2020-W28",2020-07-10,"SE","Sweden",0.136849920113859
"2020-W28",2020-07-11,"SE","Sweden",0.136849920113859
"2020-W28",2020-07-12,"SE","Sweden",0.136849920113859
"2020-W29",2020-07-13,"SE","Sweden",0.136849920113859
"2020-W29",2020-07-14,"SE","Sweden",0.136849920113859
"2020-W29",2020-07-15,"SE","Sweden",0.136849920113859
"2020-W29",2020-07-16,"SE","Sweden",0.136849920113859
"2020-W29",2020-07-17,"SE","Sweden",0.136849920113859
"2020-W29",2020-07-18,"SE","Sweden",0.136849920113859
"2020-W29",2020-07-19,"SE","Sweden",0.136849920113859
"2020-W30",2020-07-20,"SE","Sweden",0.117299931526165
"2020-W30",2020-07-21,"SE","Sweden",0.117299931526165
"2020-W30",2020-07-22,"SE","Sweden",0.117299931526165
"2020-W30",2020-07-23,"SE","Sweden",0.117299931526165
"2020-W30",2020-07-24,"SE","Sweden",0.117299931526165
"2020-W30",2020-07-25,"SE","Sweden",0.117299931526165
"2020-W30",2020-07-26,"SE","Sweden",0.117299931526165
"2020-W31",2020-07-27,"SE","Sweden",0.107524937232318
"2020-W31",2020-07-28,"SE","Sweden",0.107524937232318
"2020-W31",2020-07-29,"SE","Sweden",0.107524937232318
"2020-W31",2020-07-30,"SE","Sweden",0.107524937232318
"2020-W31",2020-07-31,"SE","Sweden",0.107524937232318
"2020-W31",2020-08-01,"SE","Sweden",0.107524937232318
"2020-W31",2020-08-02,"SE","Sweden",0.107524937232318
"2020-W32",2020-08-03,"SE","Sweden",0.156399908701553
"2020-W32",2020-08-04,"SE","Sweden",0.156399908701553
"2020-W32",2020-08-05,"SE","Sweden",0.156399908701553
"2020-W32",2020-08-06,"SE","Sweden",0.156399908701553
"2020-W32",2020-08-07,"SE","Sweden",0.156399908701553
"2020-W32",2020-08-08,"SE","Sweden",0.156399908701553
"2020-W32",2020-08-09,"SE","Sweden",0.156399908701553
"2020-W33",2020-08-10,"SE","Sweden",0.127074925820012
"2020-W33",2020-08-11,"SE","Sweden",0.127074925820012
"2020-W33",2020-08-12,"SE","Sweden",0.127074925820012
"2020-W33",2020-08-13,"SE","Sweden",0.127074925820012
"2020-W33",2020-08-14,"SE","Sweden",0.127074925820012
"2020-W33",2020-08-15,"SE","Sweden",0.127074925820012
"2020-W33",2020-08-16,"SE","Sweden",0.127074925820012
"2020-W34",2020-08-17,"SE","Sweden",0.0781999543507767
"2020-W34",2020-08-18,"SE","Sweden",0.0781999543507767
"2020-W34",2020-08-19,"SE","Sweden",0.0781999543507767
"2020-W34",2020-08-20,"SE","Sweden",0.0781999543507767
"2020-W34",2020-08-21,"SE","Sweden",0.0781999543507767
"2020-W34",2020-08-22,"SE","Sweden",0.0781999543507767
"2020-W34",2020-08-23,"SE","Sweden",0.0781999543507767
"2020-W35",2020-08-24,"SE","Sweden",0.0684249600569296
"2020-W35",2020-08-25,"SE","Sweden",0.0684249600569296
"2020-W35",2020-08-26,"SE","Sweden",0.0684249600569296
"2020-W35",2020-08-27,"SE","Sweden",0.0684249600569296
"2020-W35",2020-08-28,"SE","Sweden",0.0684249600569296
"2020-W35",2020-08-29,"SE","Sweden",0.0684249600569296
"2020-W35",2020-08-30,"SE","Sweden",0.0684249600569296
"2020-W36",2020-08-31,"SE","Sweden",0.0781999543507767
"2020-W36",2020-09-01,"SE","Sweden",0.0781999543507767
"2020-W36",2020-09-02,"SE","Sweden",0.0781999543507767
"2020-W36",2020-09-03,"SE","Sweden",0.0781999543507767
"2020-W36",2020-09-04,"SE","Sweden",0.0781999543507767
"2020-W36",2020-09-05,"SE","Sweden",0.0781999543507767
"2020-W36",2020-09-06,"SE","Sweden",0.0781999543507767
"2020-W37",2020-09-07,"SE","Sweden",0.0781999543507767
"2020-W37",2020-09-08,"SE","Sweden",0.0781999543507767
"2020-W37",2020-09-09,"SE","Sweden",0.0781999543507767
"2020-W37",2020-09-10,"SE","Sweden",0.0781999543507767
"2020-W37",2020-09-11,"SE","Sweden",0.0781999543507767
"2020-W37",2020-09-12,"SE","Sweden",0.0781999543507767
"2020-W37",2020-09-13,"SE","Sweden",0.0781999543507767
"2020-W38",2020-09-14,"SE","Sweden",0.0684249600569296
"2020-W38",2020-09-15,"SE","Sweden",0.0684249600569296
"2020-W38",2020-09-16,"SE","Sweden",0.0684249600569296
"2020-W38",2020-09-17,"SE","Sweden",0.0684249600569296
"2020-W38",2020-09-18,"SE","Sweden",0.0684249600569296
"2020-W38",2020-09-19,"SE","Sweden",0.0684249600569296
"2020-W38",2020-09-20,"SE","Sweden",0.0684249600569296
"2020-W39",2020-09-21,"SE","Sweden",0.0781999543507767
"2020-W39",2020-09-22,"SE","Sweden",0.0781999543507767
"2020-W39",2020-09-23,"SE","Sweden",0.0781999543507767
"2020-W39",2020-09-24,"SE","Sweden",0.0781999543507767
"2020-W39",2020-09-25,"SE","Sweden",0.0781999543507767
"2020-W39",2020-09-26,"SE","Sweden",0.0781999543507767
"2020-W39",2020-09-27,"SE","Sweden",0.0781999543507767
"2020-W40",2020-09-28,"SE","Sweden",0.136849920113859
"2020-W40",2020-09-29,"SE","Sweden",0.136849920113859
"2020-W40",2020-09-30,"SE","Sweden",0.136849920113859
"2020-W40",2020-10-01,"SE","Sweden",0.136849920113859
"2020-W40",2020-10-02,"SE","Sweden",0.136849920113859
"2020-W40",2020-10-03,"SE","Sweden",0.136849920113859
"2020-W40",2020-10-04,"SE","Sweden",0.136849920113859
"2020-W41",2020-10-05,"SE","Sweden",0.215049874464636
"2020-W41",2020-10-06,"SE","Sweden",0.215049874464636
"2020-W41",2020-10-07,"SE","Sweden",0.215049874464636
"2020-W41",2020-10-08,"SE","Sweden",0.215049874464636
"2020-W41",2020-10-09,"SE","Sweden",0.215049874464636
"2020-W41",2020-10-10,"SE","Sweden",0.215049874464636
"2020-W41",2020-10-11,"SE","Sweden",0.215049874464636
"2020-W42",2020-10-12,"SE","Sweden",0.185724891583095
"2020-W42",2020-10-13,"SE","Sweden",0.185724891583095
"2020-W42",2020-10-14,"SE","Sweden",0.185724891583095
"2020-W42",2020-10-15,"SE","Sweden",0.185724891583095
"2020-W42",2020-10-16,"SE","Sweden",0.185724891583095
"2020-W42",2020-10-17,"SE","Sweden",0.185724891583095
"2020-W42",2020-10-18,"SE","Sweden",0.185724891583095
"2020-W43",2020-10-19,"SE","Sweden",0.361674788872342
"2020-W43",2020-10-20,"SE","Sweden",0.361674788872342
"2020-W43",2020-10-21,"SE","Sweden",0.361674788872342
"2020-W43",2020-10-22,"SE","Sweden",0.361674788872342
"2020-W43",2020-10-23,"SE","Sweden",0.361674788872342
"2020-W43",2020-10-24,"SE","Sweden",0.361674788872342
"2020-W43",2020-10-25,"SE","Sweden",0.361674788872342
"2020-W44",2020-10-26,"SE","Sweden",0.576724663336978
"2020-W44",2020-10-27,"SE","Sweden",0.576724663336978
"2020-W44",2020-10-28,"SE","Sweden",0.576724663336978
"2020-W44",2020-10-29,"SE","Sweden",0.576724663336978
"2020-W44",2020-10-30,"SE","Sweden",0.576724663336978
"2020-W44",2020-10-31,"SE","Sweden",0.576724663336978
"2020-W44",2020-11-01,"SE","Sweden",0.576724663336978
"2020-W45",2020-11-02,"SE","Sweden",1.05569938373549
"2020-W45",2020-11-03,"SE","Sweden",1.05569938373549
"2020-W45",2020-11-04,"SE","Sweden",1.05569938373549
"2020-W45",2020-11-05,"SE","Sweden",1.05569938373549
"2020-W45",2020-11-06,"SE","Sweden",1.05569938373549
"2020-W45",2020-11-07,"SE","Sweden",1.05569938373549
"2020-W45",2020-11-08,"SE","Sweden",1.05569938373549
"2020-W46",2020-11-09,"SE","Sweden",1.17299931526165
"2020-W46",2020-11-10,"SE","Sweden",1.17299931526165
"2020-W46",2020-11-11,"SE","Sweden",1.17299931526165
"2020-W46",2020-11-12,"SE","Sweden",1.17299931526165
"2020-W46",2020-11-13,"SE","Sweden",1.17299931526165
"2020-W46",2020-11-14,"SE","Sweden",1.17299931526165
"2020-W46",2020-11-15,"SE","Sweden",1.17299931526165
"2020-W47",2020-11-16,"SE","Sweden",1.4955741269586
"2020-W47",2020-11-17,"SE","Sweden",1.4955741269586
"2020-W47",2020-11-18,"SE","Sweden",1.4955741269586
"2020-W47",2020-11-19,"SE","Sweden",1.4955741269586
"2020-W47",2020-11-20,"SE","Sweden",1.4955741269586
"2020-W47",2020-11-21,"SE","Sweden",1.4955741269586
"2020-W47",2020-11-22,"SE","Sweden",1.4955741269586
"2020-W48",2020-11-23,"SE","Sweden",1.56399908701553
"2020-W48",2020-11-24,"SE","Sweden",1.56399908701553
"2020-W48",2020-11-25,"SE","Sweden",1.56399908701553
"2020-W48",2020-11-26,"SE","Sweden",1.56399908701553
"2020-W48",2020-11-27,"SE","Sweden",1.56399908701553
"2020-W48",2020-11-28,"SE","Sweden",1.56399908701553
"2020-W48",2020-11-29,"SE","Sweden",1.56399908701553
"2020-W48",2020-11-30,"SE","Sweden",1.56399908701553
"2020-W48",2020-12-01,"SE","Sweden",1.56399908701553
"2020-W48",2020-12-02,"SE","Sweden",1.56399908701553
"2020-W48",2020-12-03,"SE","Sweden",1.56399908701553
"2020-W48",2020-12-04,"SE","Sweden",1.56399908701553
"2020-W48",2020-12-05,"SE","Sweden",1.56399908701553
"2020-W48",2020-12-06,"SE","Sweden",1.56399908701553
