"year_week","date","countrycode","countryname","hosp_occupancy","icu_occupancy","hosp_weekly_admission"
"2020-W09",2020-02-25,"DK","Denmark",NA,NA,0.0172233215485626
"2020-W09",2020-02-26,"DK","Denmark",NA,NA,0.0172233215485626
"2020-W09",2020-02-27,"DK","Denmark",NA,NA,0.0172233215485626
"2020-W09",2020-02-28,"DK","Denmark",NA,NA,0.0172233215485626
"2020-W09",2020-02-29,"DK","Denmark",NA,NA,0.0172233215485626
"2020-W09",2020-03-01,"DK","Denmark",NA,NA,0.0172233215485626
"2020-W10",2020-03-02,"DK","Denmark",NA,NA,0.155009893937064
"2020-W10",2020-03-03,"DK","Denmark",NA,NA,0.155009893937064
"2020-W10",2020-03-04,"DK","Denmark",NA,NA,0.155009893937064
"2020-W10",2020-03-05,"DK","Denmark",NA,NA,0.155009893937064
"2020-W10",2020-03-06,"DK","Denmark",NA,NA,0.155009893937064
"2020-W10",2020-03-07,"DK","Denmark",NA,NA,0.155009893937064
"2020-W10",2020-03-08,"DK","Denmark",NA,NA,0.155009893937064
"2020-W11",2020-03-09,"DK","Denmark",NA,NA,2.34237173060452
"2020-W11",2020-03-10,"DK","Denmark",NA,NA,2.34237173060452
"2020-W11",2020-03-11,"DK","Denmark",NA,NA,2.34237173060452
"2020-W11",2020-03-12,"DK","Denmark",NA,NA,2.34237173060452
"2020-W11",2020-03-13,"DK","Denmark",NA,NA,2.34237173060452
"2020-W11",2020-03-14,"DK","Denmark",NA,NA,2.34237173060452
"2020-W11",2020-03-15,"DK","Denmark",NA,NA,2.34237173060452
"2020-W12",2020-03-16,"DK","Denmark",62,10,5.6664727894771
"2020-W12",2020-03-17,"DK","Denmark",82,18,5.6664727894771
"2020-W12",2020-03-18,"DK","Denmark",129,24,5.6664727894771
"2020-W12",2020-03-19,"DK","Denmark",153,30,5.6664727894771
"2020-W12",2020-03-20,"DK","Denmark",186,37,5.6664727894771
"2020-W12",2020-03-21,"DK","Denmark",206,42,5.6664727894771
"2020-W12",2020-03-22,"DK","Denmark",232,46,5.6664727894771
"2020-W13",2020-03-23,"DK","Denmark",254,55,9.6278367456465
"2020-W13",2020-03-24,"DK","Denmark",301,69,9.6278367456465
"2020-W13",2020-03-25,"DK","Denmark",350,87,9.6278367456465
"2020-W13",2020-03-26,"DK","Denmark",386,94,9.6278367456465
"2020-W13",2020-03-27,"DK","Denmark",430,109,9.6278367456465
"2020-W13",2020-03-28,"DK","Denmark",459,121,9.6278367456465
"2020-W13",2020-03-29,"DK","Denmark",499,131,9.6278367456465
"2020-W14",2020-03-30,"DK","Denmark",533,137,7.00989187026499
"2020-W14",2020-03-31,"DK","Denmark",529,145,7.00989187026499
"2020-W14",2020-04-01,"DK","Denmark",535,146,7.00989187026499
"2020-W14",2020-04-02,"DK","Denmark",531,146,7.00989187026499
"2020-W14",2020-04-03,"DK","Denmark",516,139,7.00989187026499
"2020-W14",2020-04-04,"DK","Denmark",503,138,7.00989187026499
"2020-W14",2020-04-05,"DK","Denmark",498,138,7.00989187026499
"2020-W15",2020-04-06,"DK","Denmark",497,133,4.49528692417484
"2020-W15",2020-04-07,"DK","Denmark",472,127,4.49528692417484
"2020-W15",2020-04-08,"DK","Denmark",453,127,4.49528692417484
"2020-W15",2020-04-09,"DK","Denmark",433,120,4.49528692417484
"2020-W15",2020-04-10,"DK","Denmark",401,113,4.49528692417484
"2020-W15",2020-04-11,"DK","Denmark",408,106,4.49528692417484
"2020-W15",2020-04-12,"DK","Denmark",396,104,4.49528692417484
"2020-W16",2020-04-13,"DK","Denmark",388,100,3.90969399152372
"2020-W16",2020-04-14,"DK","Denmark",380,93,3.90969399152372
"2020-W16",2020-04-15,"DK","Denmark",362,89,3.90969399152372
"2020-W16",2020-04-16,"DK","Denmark",353,92,3.90969399152372
"2020-W16",2020-04-17,"DK","Denmark",350,93,3.90969399152372
"2020-W16",2020-04-18,"DK","Denmark",317,87,3.90969399152372
"2020-W16",2020-04-19,"DK","Denmark",319,84,3.90969399152372
"2020-W17",2020-04-20,"DK","Denmark",336,84,3.58245088210103
"2020-W17",2020-04-21,"DK","Denmark",335,81,3.58245088210103
"2020-W17",2020-04-22,"DK","Denmark",324,80,3.58245088210103
"2020-W17",2020-04-23,"DK","Denmark",319,74,3.58245088210103
"2020-W17",2020-04-24,"DK","Denmark",320,69,3.58245088210103
"2020-W17",2020-04-25,"DK","Denmark",290,70,3.58245088210103
"2020-W17",2020-04-26,"DK","Denmark",285,70,3.58245088210103
"2020-W18",2020-04-27,"DK","Denmark",310,72,2.13569187202177
"2020-W18",2020-04-28,"DK","Denmark",284,66,2.13569187202177
"2020-W18",2020-04-29,"DK","Denmark",267,66,2.13569187202177
"2020-W18",2020-04-30,"DK","Denmark",255,62,2.13569187202177
"2020-W18",2020-05-01,"DK","Denmark",249,61,2.13569187202177
"2020-W18",2020-05-02,"DK","Denmark",232,60,2.13569187202177
"2020-W18",2020-05-03,"DK","Denmark",243,62,2.13569187202177
"2020-W19",2020-05-04,"DK","Denmark",252,57,1.39508904543357
"2020-W19",2020-05-05,"DK","Denmark",228,49,1.39508904543357
"2020-W19",2020-05-06,"DK","Denmark",209,46,1.39508904543357
"2020-W19",2020-05-07,"DK","Denmark",199,43,1.39508904543357
"2020-W19",2020-05-08,"DK","Denmark",205,42,1.39508904543357
"2020-W19",2020-05-09,"DK","Denmark",194,39,1.39508904543357
"2020-W19",2020-05-10,"DK","Denmark",196,40,1.39508904543357
"2020-W20",2020-05-11,"DK","Denmark",198,43,1.05062261446232
"2020-W20",2020-05-12,"DK","Denmark",177,43,1.05062261446232
"2020-W20",2020-05-13,"DK","Denmark",164,37,1.05062261446232
"2020-W20",2020-05-14,"DK","Denmark",147,35,1.05062261446232
"2020-W20",2020-05-15,"DK","Denmark",137,32,1.05062261446232
"2020-W20",2020-05-16,"DK","Denmark",140,28,1.05062261446232
"2020-W20",2020-05-17,"DK","Denmark",133,27,1.05062261446232
"2020-W21",2020-05-18,"DK","Denmark",144,26,0.998952649816632
"2020-W21",2020-05-19,"DK","Denmark",141,25,0.998952649816632
"2020-W21",2020-05-20,"DK","Denmark",127,25,0.998952649816632
"2020-W21",2020-05-21,"DK","Denmark",122,23,0.998952649816632
"2020-W21",2020-05-22,"DK","Denmark",119,23,0.998952649816632
"2020-W21",2020-05-23,"DK","Denmark",118,19,0.998952649816632
"2020-W21",2020-05-24,"DK","Denmark",115,21,0.998952649816632
"2020-W22",2020-05-25,"DK","Denmark",116,20,0.843942755879568
"2020-W22",2020-05-26,"DK","Denmark",112,23,0.843942755879568
"2020-W22",2020-05-27,"DK","Denmark",107,22,0.843942755879568
"2020-W22",2020-05-28,"DK","Denmark",110,20,0.843942755879568
"2020-W22",2020-05-29,"DK","Denmark",106,18,0.843942755879568
"2020-W22",2020-05-30,"DK","Denmark",100,20,0.843942755879568
"2020-W22",2020-05-31,"DK","Denmark",98,20,0.843942755879568
"2020-W23",2020-06-01,"DK","Denmark",103,20,0.585592932651129
"2020-W23",2020-06-02,"DK","Denmark",99,21,0.585592932651129
"2020-W23",2020-06-03,"DK","Denmark",100,20,0.585592932651129
"2020-W23",2020-06-04,"DK","Denmark",97,17,0.585592932651129
"2020-W23",2020-06-05,"DK","Denmark",85,17,0.585592932651129
"2020-W23",2020-06-06,"DK","Denmark",81,NA,0.585592932651129
"2020-W23",2020-06-07,"DK","Denmark",75,15,0.585592932651129
"2020-W24",2020-06-08,"DK","Denmark",79,16,0.32724310942269
"2020-W24",2020-06-09,"DK","Denmark",73,15,0.32724310942269
"2020-W24",2020-06-10,"DK","Denmark",17,17,0.32724310942269
"2020-W24",2020-06-11,"DK","Denmark",13,13,0.32724310942269
"2020-W24",2020-06-12,"DK","Denmark",12,12,0.32724310942269
"2020-W24",2020-06-13,"DK","Denmark",9,9,0.32724310942269
"2020-W24",2020-06-14,"DK","Denmark",49,9,0.32724310942269
"2020-W25",2020-06-15,"DK","Denmark",46,9,0.482253003359753
"2020-W25",2020-06-16,"DK","Denmark",43,8,0.482253003359753
"2020-W25",2020-06-17,"DK","Denmark",39,6,0.482253003359753
"2020-W25",2020-06-18,"DK","Denmark",38,6,0.482253003359753
"2020-W25",2020-06-19,"DK","Denmark",37,6,0.482253003359753
"2020-W25",2020-06-20,"DK","Denmark",39,6,0.482253003359753
"2020-W25",2020-06-21,"DK","Denmark",38,6,0.482253003359753
"2020-W26",2020-06-22,"DK","Denmark",37,7,0.516699646456879
"2020-W26",2020-06-23,"DK","Denmark",32,8,0.516699646456879
"2020-W26",2020-06-24,"DK","Denmark",33,8,0.516699646456879
"2020-W26",2020-06-25,"DK","Denmark",36,9,0.516699646456879
"2020-W26",2020-06-26,"DK","Denmark",31,11,0.516699646456879
"2020-W26",2020-06-27,"DK","Denmark",NA,NA,0.516699646456879
"2020-W26",2020-06-28,"DK","Denmark",NA,NA,0.516699646456879
"2020-W27",2020-06-29,"DK","Denmark",NA,NA,0.189456537034189
"2020-W27",2020-06-30,"DK","Denmark",NA,NA,0.189456537034189
"2020-W27",2020-07-01,"DK","Denmark",29,11,0.189456537034189
"2020-W27",2020-07-02,"DK","Denmark",29,9,0.189456537034189
"2020-W27",2020-07-03,"DK","Denmark",27,6,0.189456537034189
"2020-W27",2020-07-04,"DK","Denmark",26,6,0.189456537034189
"2020-W27",2020-07-05,"DK","Denmark",24,6,0.189456537034189
"2020-W28",2020-07-06,"DK","Denmark",23,7,0.275573144777002
"2020-W28",2020-07-07,"DK","Denmark",17,5,0.275573144777002
"2020-W28",2020-07-08,"DK","Denmark",18,5,0.275573144777002
"2020-W28",2020-07-09,"DK","Denmark",18,5,0.275573144777002
"2020-W28",2020-07-10,"DK","Denmark",17,4,0.275573144777002
"2020-W28",2020-07-11,"DK","Denmark",15,5,0.275573144777002
"2020-W28",2020-07-12,"DK","Denmark",18,6,0.275573144777002
"2020-W29",2020-07-13,"DK","Denmark",18,6,0.241126501679877
"2020-W29",2020-07-14,"DK","Denmark",17,6,0.241126501679877
"2020-W29",2020-07-15,"DK","Denmark",19,6,0.241126501679877
"2020-W29",2020-07-16,"DK","Denmark",17,5,0.241126501679877
"2020-W29",2020-07-17,"DK","Denmark",20,5,0.241126501679877
"2020-W29",2020-07-18,"DK","Denmark",16,2,0.241126501679877
"2020-W29",2020-07-19,"DK","Denmark",19,3,0.241126501679877
"2020-W30",2020-07-20,"DK","Denmark",18,3,0.32724310942269
"2020-W30",2020-07-21,"DK","Denmark",18,4,0.32724310942269
"2020-W30",2020-07-22,"DK","Denmark",16,4,0.32724310942269
"2020-W30",2020-07-23,"DK","Denmark",19,3,0.32724310942269
"2020-W30",2020-07-24,"DK","Denmark",16,3,0.32724310942269
"2020-W30",2020-07-25,"DK","Denmark",17,3,0.32724310942269
"2020-W30",2020-07-26,"DK","Denmark",23,3,0.32724310942269
"2020-W31",2020-07-27,"DK","Denmark",22,3,0.430583038714065
"2020-W31",2020-07-28,"DK","Denmark",22,3,0.430583038714065
"2020-W31",2020-07-29,"DK","Denmark",21,3,0.430583038714065
"2020-W31",2020-07-30,"DK","Denmark",18,3,0.430583038714065
"2020-W31",2020-07-31,"DK","Denmark",18,3,0.430583038714065
"2020-W31",2020-08-01,"DK","Denmark",16,2,0.430583038714065
"2020-W31",2020-08-02,"DK","Denmark",20,2,0.430583038714065
"2020-W32",2020-08-03,"DK","Denmark",24,2,0.551146289554004
"2020-W32",2020-08-04,"DK","Denmark",24,3,0.551146289554004
"2020-W32",2020-08-05,"DK","Denmark",23,2,0.551146289554004
"2020-W32",2020-08-06,"DK","Denmark",24,2,0.551146289554004
"2020-W32",2020-08-07,"DK","Denmark",25,2,0.551146289554004
"2020-W32",2020-08-08,"DK","Denmark",21,2,0.551146289554004
"2020-W32",2020-08-09,"DK","Denmark",20,2,0.551146289554004
"2020-W33",2020-08-10,"DK","Denmark",23,2,0.465029681811191
"2020-W33",2020-08-11,"DK","Denmark",20,2,0.465029681811191
"2020-W33",2020-08-12,"DK","Denmark",16,1,0.465029681811191
"2020-W33",2020-08-13,"DK","Denmark",13,1,0.465029681811191
"2020-W33",2020-08-14,"DK","Denmark",14,1,0.465029681811191
"2020-W33",2020-08-15,"DK","Denmark",14,0,0.465029681811191
"2020-W33",2020-08-16,"DK","Denmark",12,0,0.465029681811191
"2020-W34",2020-08-17,"DK","Denmark",16,1,0.585592932651129
"2020-W34",2020-08-18,"DK","Denmark",18,1,0.585592932651129
"2020-W34",2020-08-19,"DK","Denmark",16,1,0.585592932651129
"2020-W34",2020-08-20,"DK","Denmark",20,1,0.585592932651129
"2020-W34",2020-08-21,"DK","Denmark",22,1,0.585592932651129
"2020-W34",2020-08-22,"DK","Denmark",22,1,0.585592932651129
"2020-W34",2020-08-23,"DK","Denmark",19,2,0.585592932651129
"2020-W35",2020-08-24,"DK","Denmark",20,3,0.39613639561694
"2020-W35",2020-08-25,"DK","Denmark",21,3,0.39613639561694
"2020-W35",2020-08-26,"DK","Denmark",19,3,0.39613639561694
"2020-W35",2020-08-27,"DK","Denmark",19,2,0.39613639561694
"2020-W35",2020-08-28,"DK","Denmark",21,2,0.39613639561694
"2020-W35",2020-08-29,"DK","Denmark",21,4,0.39613639561694
"2020-W35",2020-08-30,"DK","Denmark",21,4,0.39613639561694
"2020-W36",2020-08-31,"DK","Denmark",23,4,0.775049469685318
"2020-W36",2020-09-01,"DK","Denmark",20,4,0.775049469685318
"2020-W36",2020-09-02,"DK","Denmark",15,4,0.775049469685318
"2020-W36",2020-09-03,"DK","Denmark",17,3,0.775049469685318
"2020-W36",2020-09-04,"DK","Denmark",18,3,0.775049469685318
"2020-W36",2020-09-05,"DK","Denmark",16,3,0.775049469685318
"2020-W36",2020-09-06,"DK","Denmark",27,4,0.775049469685318
"2020-W37",2020-09-07,"DK","Denmark",29,3,1.34341908078788
"2020-W37",2020-09-08,"DK","Denmark",28,3,1.34341908078788
"2020-W37",2020-09-09,"DK","Denmark",30,5,1.34341908078788
"2020-W37",2020-09-10,"DK","Denmark",35,5,1.34341908078788
"2020-W37",2020-09-11,"DK","Denmark",44,7,1.34341908078788
"2020-W37",2020-09-12,"DK","Denmark",43,4,1.34341908078788
"2020-W37",2020-09-13,"DK","Denmark",47,4,1.34341908078788
"2020-W38",2020-09-14,"DK","Denmark",50,4,2.03235194273039
"2020-W38",2020-09-15,"DK","Denmark",56,3,2.03235194273039
"2020-W38",2020-09-16,"DK","Denmark",51,2,2.03235194273039
"2020-W38",2020-09-17,"DK","Denmark",60,3,2.03235194273039
"2020-W38",2020-09-18,"DK","Denmark",58,3,2.03235194273039
"2020-W38",2020-09-19,"DK","Denmark",62,4,2.03235194273039
"2020-W38",2020-09-20,"DK","Denmark",67,9,2.03235194273039
"2020-W39",2020-09-21,"DK","Denmark",75,12,2.30792508750739
"2020-W39",2020-09-22,"DK","Denmark",79,14,2.30792508750739
"2020-W39",2020-09-23,"DK","Denmark",78,15,2.30792508750739
"2020-W39",2020-09-24,"DK","Denmark",95,14,2.30792508750739
"2020-W39",2020-09-25,"DK","Denmark",101,16,2.30792508750739
"2020-W39",2020-09-26,"DK","Denmark",97,17,2.30792508750739
"2020-W39",2020-09-27,"DK","Denmark",95,17,2.30792508750739
"2020-W40",2020-09-28,"DK","Denmark",110,17,2.22180847976458
"2020-W40",2020-09-29,"DK","Denmark",107,15,2.22180847976458
"2020-W40",2020-09-30,"DK","Denmark",102,15,2.22180847976458
"2020-W40",2020-10-01,"DK","Denmark",109,15,2.22180847976458
"2020-W40",2020-10-02,"DK","Denmark",106,13,2.22180847976458
"2020-W40",2020-10-03,"DK","Denmark",105,17,2.22180847976458
"2020-W40",2020-10-04,"DK","Denmark",105,18,2.22180847976458
"2020-W41",2020-10-05,"DK","Denmark",120,17,1.87734204879333
"2020-W41",2020-10-06,"DK","Denmark",124,15,1.87734204879333
"2020-W41",2020-10-07,"DK","Denmark",116,15,1.87734204879333
"2020-W41",2020-10-08,"DK","Denmark",115,17,1.87734204879333
"2020-W41",2020-10-09,"DK","Denmark",106,18,1.87734204879333
"2020-W41",2020-10-10,"DK","Denmark",103,20,1.87734204879333
"2020-W41",2020-10-11,"DK","Denmark",102,19,1.87734204879333
