"year_week","date","countrycode","countryname","icu_weekly_admission"
"2020-W05",2020-02-02,"GR","Greece",0
"2020-W06",2020-02-03,"GR","Greece",0
"2020-W06",2020-02-04,"GR","Greece",0
"2020-W06",2020-02-05,"GR","Greece",0
"2020-W06",2020-02-06,"GR","Greece",0
"2020-W06",2020-02-07,"GR","Greece",0
"2020-W06",2020-02-08,"GR","Greece",0
"2020-W06",2020-02-09,"GR","Greece",0
"2020-W07",2020-02-10,"GR","Greece",0
"2020-W07",2020-02-11,"GR","Greece",0
"2020-W07",2020-02-12,"GR","Greece",0
"2020-W07",2020-02-13,"GR","Greece",0
"2020-W07",2020-02-14,"GR","Greece",0
"2020-W07",2020-02-15,"GR","Greece",0
"2020-W07",2020-02-16,"GR","Greece",0
"2020-W07",2020-02-17,"GR","Greece",0
"2020-W07",2020-02-18,"GR","Greece",0
"2020-W08",2020-02-19,"GR","Greece",0
"2020-W08",2020-02-20,"GR","Greece",0
"2020-W08",2020-02-21,"GR","Greece",0
"2020-W08",2020-02-22,"GR","Greece",0
"2020-W08",2020-02-23,"GR","Greece",0
"2020-W08",2020-02-24,"GR","Greece",0
"2020-W09",2020-02-25,"GR","Greece",0
"2020-W09",2020-02-26,"GR","Greece",0
"2020-W09",2020-02-27,"GR","Greece",0
"2020-W09",2020-02-28,"GR","Greece",0
"2020-W09",2020-02-29,"GR","Greece",0
"2020-W09",2020-03-01,"GR","Greece",0
"2020-W10",2020-03-02,"GR","Greece",0.0186487159100308
"2020-W10",2020-03-03,"GR","Greece",0.0186487159100308
"2020-W10",2020-03-04,"GR","Greece",0.0186487159100308
"2020-W10",2020-03-05,"GR","Greece",0.0186487159100308
"2020-W10",2020-03-06,"GR","Greece",0.0186487159100308
"2020-W10",2020-03-07,"GR","Greece",0.0186487159100308
"2020-W10",2020-03-08,"GR","Greece",0.0186487159100308
"2020-W11",2020-03-09,"GR","Greece",0.1212166534152
"2020-W11",2020-03-10,"GR","Greece",0.1212166534152
"2020-W11",2020-03-11,"GR","Greece",0.1212166534152
"2020-W11",2020-03-12,"GR","Greece",0.1212166534152
"2020-W11",2020-03-13,"GR","Greece",0.1212166534152
"2020-W11",2020-03-14,"GR","Greece",0.1212166534152
"2020-W11",2020-03-15,"GR","Greece",0.1212166534152
"2020-W12",2020-03-16,"GR","Greece",0.391623034110646
"2020-W12",2020-03-17,"GR","Greece",0.391623034110646
"2020-W12",2020-03-18,"GR","Greece",0.391623034110646
"2020-W12",2020-03-19,"GR","Greece",0.391623034110646
"2020-W12",2020-03-20,"GR","Greece",0.391623034110646
"2020-W12",2020-03-21,"GR","Greece",0.391623034110646
"2020-W12",2020-03-22,"GR","Greece",0.391623034110646
"2020-W13",2020-03-23,"GR","Greece",0.512839687525846
"2020-W13",2020-03-24,"GR","Greece",0.512839687525846
"2020-W13",2020-03-25,"GR","Greece",0.512839687525846
"2020-W13",2020-03-26,"GR","Greece",0.512839687525846
"2020-W13",2020-03-27,"GR","Greece",0.512839687525846
"2020-W13",2020-03-28,"GR","Greece",0.512839687525846
"2020-W13",2020-03-29,"GR","Greece",0.512839687525846
"2020-W14",2020-03-30,"GR","Greece",0.372974318200615
"2020-W14",2020-03-31,"GR","Greece",0.372974318200615
"2020-W14",2020-04-01,"GR","Greece",0.372974318200615
"2020-W14",2020-04-02,"GR","Greece",0.372974318200615
"2020-W14",2020-04-03,"GR","Greece",0.372974318200615
"2020-W14",2020-04-04,"GR","Greece",0.372974318200615
"2020-W14",2020-04-05,"GR","Greece",0.372974318200615
"2020-W15",2020-04-06,"GR","Greece",0.186487159100308
"2020-W15",2020-04-07,"GR","Greece",0.186487159100308
