"year_week","date","countrycode","countryname","hosp_occupancy","icu_occupancy","hosp_weekly_admission","icu_weekly_admission"
"2020-W05",2020-02-02,"CZ","Czechia",NA,NA,0,NA
"2020-W05",2020-02-02,"CZ","Czechia",NA,NA,NA,NA
"2020-W06",2020-02-03,"CZ","Czechia",NA,NA,0,NA
"2020-W06",2020-02-03,"CZ","Czechia",NA,NA,NA,NA
"2020-W06",2020-02-04,"CZ","Czechia",NA,NA,0,NA
"2020-W06",2020-02-04,"CZ","Czechia",NA,NA,NA,NA
"2020-W06",2020-02-05,"CZ","Czechia",NA,NA,0,NA
"2020-W06",2020-02-05,"CZ","Czechia",NA,NA,NA,NA
"2020-W06",2020-02-06,"CZ","Czechia",NA,NA,0,NA
"2020-W06",2020-02-06,"CZ","Czechia",NA,NA,NA,NA
"2020-W06",2020-02-07,"CZ","Czechia",NA,NA,0,NA
"2020-W06",2020-02-07,"CZ","Czechia",NA,NA,NA,NA
"2020-W06",2020-02-08,"CZ","Czechia",NA,NA,0,NA
"2020-W06",2020-02-08,"CZ","Czechia",NA,NA,NA,NA
"2020-W06",2020-02-09,"CZ","Czechia",NA,NA,0,NA
"2020-W06",2020-02-09,"CZ","Czechia",NA,NA,NA,NA
"2020-W07",2020-02-10,"CZ","Czechia",NA,NA,0,NA
"2020-W07",2020-02-10,"CZ","Czechia",NA,NA,NA,NA
"2020-W07",2020-02-11,"CZ","Czechia",NA,NA,0,NA
"2020-W07",2020-02-11,"CZ","Czechia",NA,NA,NA,NA
"2020-W07",2020-02-12,"CZ","Czechia",NA,NA,0,NA
"2020-W07",2020-02-12,"CZ","Czechia",NA,NA,NA,NA
"2020-W07",2020-02-13,"CZ","Czechia",NA,NA,0,NA
"2020-W07",2020-02-13,"CZ","Czechia",NA,NA,NA,NA
"2020-W07",2020-02-14,"CZ","Czechia",NA,NA,0,NA
"2020-W07",2020-02-14,"CZ","Czechia",NA,NA,NA,NA
"2020-W07",2020-02-15,"CZ","Czechia",NA,NA,0,NA
"2020-W07",2020-02-15,"CZ","Czechia",NA,NA,NA,NA
"2020-W07",2020-02-16,"CZ","Czechia",NA,NA,0,NA
"2020-W07",2020-02-16,"CZ","Czechia",NA,NA,NA,NA
"2020-W07",2020-02-17,"CZ","Czechia",NA,NA,0,NA
"2020-W07",2020-02-17,"CZ","Czechia",NA,NA,NA,NA
"2020-W07",2020-02-18,"CZ","Czechia",NA,NA,0,NA
"2020-W07",2020-02-18,"CZ","Czechia",NA,NA,NA,NA
"2020-W08",2020-02-19,"CZ","Czechia",NA,NA,0,NA
"2020-W08",2020-02-19,"CZ","Czechia",NA,NA,NA,NA
"2020-W08",2020-02-20,"CZ","Czechia",NA,NA,0,NA
"2020-W08",2020-02-20,"CZ","Czechia",NA,NA,NA,NA
"2020-W08",2020-02-21,"CZ","Czechia",NA,NA,0,NA
"2020-W08",2020-02-21,"CZ","Czechia",NA,NA,NA,NA
"2020-W08",2020-02-22,"CZ","Czechia",NA,NA,0,NA
"2020-W08",2020-02-22,"CZ","Czechia",NA,NA,NA,NA
"2020-W08",2020-02-23,"CZ","Czechia",NA,NA,0,NA
"2020-W08",2020-02-23,"CZ","Czechia",NA,NA,NA,NA
"2020-W08",2020-02-24,"CZ","Czechia",NA,NA,0,NA
