"year_week","date","countrycode","countryname","hosp_occupancy","hosp_weekly_admission"
"2020-W16",2020-04-13,"HR","Croatia",NA,1.76633108011636
"2020-W16",2020-04-14,"HR","Croatia",NA,1.76633108011636
"2020-W16",2020-04-15,"HR","Croatia",341,1.76633108011636
"2020-W16",2020-04-16,"HR","Croatia",372,1.76633108011636
"2020-W16",2020-04-17,"HR","Croatia",372,1.76633108011636
"2020-W16",2020-04-18,"HR","Croatia",361,1.76633108011636
"2020-W16",2020-04-19,"HR","Croatia",331,1.76633108011636
"2020-W17",2020-04-20,"HR","Croatia",324,2.50230236349818
"2020-W17",2020-04-21,"HR","Croatia",317,2.50230236349818
"2020-W17",2020-04-22,"HR","Croatia",314,2.50230236349818
"2020-W17",2020-04-23,"HR","Croatia",321,2.50230236349818
"2020-W17",2020-04-24,"HR","Croatia",325,2.50230236349818
"2020-W17",2020-04-25,"HR","Croatia",316,2.50230236349818
"2020-W17",2020-04-26,"HR","Croatia",314,2.50230236349818
"2020-W18",2020-04-27,"HR","Croatia",303,0.588777026705454
"2020-W18",2020-04-28,"HR","Croatia",287,0.588777026705454
"2020-W18",2020-04-29,"HR","Croatia",269,0.588777026705454
"2020-W18",2020-04-30,"HR","Croatia",261,0.588777026705454
"2020-W18",2020-05-01,"HR","Croatia",245,0.588777026705454
"2020-W18",2020-05-02,"HR","Croatia",239,0.588777026705454
"2020-W18",2020-05-03,"HR","Croatia",231,0.588777026705454
"2020-W19",2020-05-04,"HR","Croatia",228,0.98129504450909
"2020-W19",2020-05-05,"HR","Croatia",217,0.98129504450909
"2020-W19",2020-05-06,"HR","Croatia",206,0.98129504450909
"2020-W19",2020-05-07,"HR","Croatia",195,0.98129504450909
"2020-W19",2020-05-08,"HR","Croatia",184,0.98129504450909
"2020-W19",2020-05-09,"HR","Croatia",181,0.98129504450909
"2020-W19",2020-05-10,"HR","Croatia",169,0.98129504450909
"2020-W20",2020-05-11,"HR","Croatia",160,0.367985641690909
"2020-W20",2020-05-12,"HR","Croatia",159,0.367985641690909
"2020-W20",2020-05-13,"HR","Croatia",150,0.367985641690909
"2020-W20",2020-05-14,"HR","Croatia",146,0.367985641690909
"2020-W20",2020-05-15,"HR","Croatia",142,0.367985641690909
"2020-W20",2020-05-16,"HR","Croatia",137,0.367985641690909
"2020-W20",2020-05-17,"HR","Croatia",130,0.367985641690909
"2020-W21",2020-05-18,"HR","Croatia",122,0.367985641690909
"2020-W21",2020-05-19,"HR","Croatia",120,0.367985641690909
"2020-W21",2020-05-20,"HR","Croatia",117,0.367985641690909
"2020-W21",2020-05-21,"HR","Croatia",117,0.367985641690909
"2020-W21",2020-05-22,"HR","Croatia",102,0.367985641690909
"2020-W21",2020-05-23,"HR","Croatia",84,0.367985641690909
"2020-W21",2020-05-24,"HR","Croatia",81,0.367985641690909
"2020-W22",2020-05-25,"HR","Croatia",78,0.0245323761127273
"2020-W22",2020-05-26,"HR","Croatia",42,0.0245323761127273
"2020-W22",2020-05-27,"HR","Croatia",38,0.0245323761127273
"2020-W22",2020-05-28,"HR","Croatia",34,0.0245323761127273
"2020-W22",2020-05-29,"HR","Croatia",28,0.0245323761127273
"2020-W22",2020-05-30,"HR","Croatia",27,0.0245323761127273
"2020-W22",2020-05-31,"HR","Croatia",23,0.0245323761127273
"2020-W23",2020-06-01,"HR","Croatia",22,0
"2020-W23",2020-06-02,"HR","Croatia",17,0
"2020-W23",2020-06-03,"HR","Croatia",17,0
"2020-W23",2020-06-04,"HR","Croatia",15,0
"2020-W23",2020-06-05,"HR","Croatia",12,0
"2020-W23",2020-06-06,"HR","Croatia",10,0
"2020-W23",2020-06-07,"HR","Croatia",10,0
"2020-W24",2020-06-08,"HR","Croatia",10,0.0735971283381818
"2020-W24",2020-06-09,"HR","Croatia",6,0.0735971283381818
"2020-W24",2020-06-10,"HR","Croatia",7,0.0735971283381818
"2020-W24",2020-06-11,"HR","Croatia",7,0.0735971283381818
"2020-W24",2020-06-12,"HR","Croatia",6,0.0735971283381818
"2020-W24",2020-06-13,"HR","Croatia",6,0.0735971283381818
"2020-W24",2020-06-14,"HR","Croatia",7,0.0735971283381818
"2020-W25",2020-06-15,"HR","Croatia",7,0.147194256676364
"2020-W25",2020-06-16,"HR","Croatia",4,0.147194256676364
"2020-W25",2020-06-17,"HR","Croatia",5,0.147194256676364
"2020-W25",2020-06-18,"HR","Croatia",9,0.147194256676364
"2020-W25",2020-06-19,"HR","Croatia",8,0.147194256676364
"2020-W25",2020-06-20,"HR","Croatia",8,0.147194256676364
"2020-W25",2020-06-21,"HR","Croatia",9,0.147194256676364
"2020-W26",2020-06-22,"HR","Croatia",9,1.39834543842545
"2020-W26",2020-06-23,"HR","Croatia",16,1.39834543842545
"2020-W26",2020-06-24,"HR","Croatia",18,1.39834543842545
"2020-W26",2020-06-25,"HR","Croatia",42,1.39834543842545
"2020-W26",2020-06-26,"HR","Croatia",51,1.39834543842545
"2020-W26",2020-06-27,"HR","Croatia",54,1.39834543842545
"2020-W26",2020-06-28,"HR","Croatia",60,1.39834543842545
"2020-W27",2020-06-29,"HR","Croatia",65,1.64366919955273
"2020-W27",2020-06-30,"HR","Croatia",75,1.64366919955273
"2020-W27",2020-07-01,"HR","Croatia",80,1.64366919955273
"2020-W27",2020-07-02,"HR","Croatia",84,1.64366919955273
"2020-W27",2020-07-03,"HR","Croatia",88,1.64366919955273
"2020-W27",2020-07-04,"HR","Croatia",85,1.64366919955273
"2020-W27",2020-07-05,"HR","Croatia",93,1.64366919955273
"2020-W28",2020-07-06,"HR","Croatia",90,2.33057573070909
"2020-W28",2020-07-07,"HR","Croatia",89,2.33057573070909
"2020-W28",2020-07-08,"HR","Croatia",91,2.33057573070909
"2020-W28",2020-07-09,"HR","Croatia",100,2.33057573070909
"2020-W28",2020-07-10,"HR","Croatia",104,2.33057573070909
"2020-W28",2020-07-11,"HR","Croatia",124,2.33057573070909
"2020-W28",2020-07-12,"HR","Croatia",132,2.33057573070909
"2020-W29",2020-07-13,"HR","Croatia",132,2.45323761127273
"2020-W29",2020-07-14,"HR","Croatia",129,2.45323761127273
"2020-W29",2020-07-15,"HR","Croatia",132,2.45323761127273
"2020-W29",2020-07-16,"HR","Croatia",136,2.45323761127273
"2020-W29",2020-07-17,"HR","Croatia",137,2.45323761127273
"2020-W29",2020-07-18,"HR","Croatia",139,2.45323761127273
"2020-W29",2020-07-19,"HR","Croatia",153,2.45323761127273
"2020-W30",2020-07-20,"HR","Croatia",147,2.01165484124363
"2020-W30",2020-07-21,"HR","Croatia",138,2.01165484124363
"2020-W30",2020-07-22,"HR","Croatia",143,2.01165484124363
"2020-W30",2020-07-23,"HR","Croatia",132,2.01165484124363
"2020-W30",2020-07-24,"HR","Croatia",139,2.01165484124363
"2020-W30",2020-07-25,"HR","Croatia",134,2.01165484124363
"2020-W30",2020-07-26,"HR","Croatia",142,2.01165484124363
"2020-W31",2020-07-27,"HR","Croatia",138,1.86446058456727
"2020-W31",2020-07-28,"HR","Croatia",133,1.86446058456727
"2020-W31",2020-07-29,"HR","Croatia",132,1.86446058456727
"2020-W31",2020-07-30,"HR","Croatia",130,1.86446058456727
"2020-W31",2020-07-31,"HR","Croatia",125,1.86446058456727
"2020-W31",2020-08-01,"HR","Croatia",127,1.86446058456727
"2020-W31",2020-08-02,"HR","Croatia",131,1.86446058456727
"2020-W32",2020-08-03,"HR","Croatia",130,1.57007207121454
"2020-W32",2020-08-04,"HR","Croatia",117,1.57007207121454
"2020-W32",2020-08-05,"HR","Croatia",111,1.57007207121454
"2020-W32",2020-08-06,"HR","Croatia",110,1.57007207121454
"2020-W32",2020-08-07,"HR","Croatia",122,1.57007207121454
"2020-W32",2020-08-08,"HR","Croatia",120,1.57007207121454
"2020-W32",2020-08-09,"HR","Croatia",121,1.57007207121454
"2020-W33",2020-08-10,"HR","Croatia",124,1.71726632789091
"2020-W33",2020-08-11,"HR","Croatia",115,1.71726632789091
"2020-W33",2020-08-12,"HR","Croatia",117,1.71726632789091
"2020-W33",2020-08-13,"HR","Croatia",115,1.71726632789091
"2020-W33",2020-08-14,"HR","Croatia",106,1.71726632789091
