"date","year_week","countrycode","countryname","hosp_occupancy"
2020-02-02,"2020-W05","HU","Hungary",NA
2020-02-03,"2020-W06","HU","Hungary",NA
2020-02-04,"2020-W06","HU","Hungary",NA
2020-02-05,"2020-W06","HU","Hungary",NA
2020-02-06,"2020-W06","HU","Hungary",NA
2020-02-07,"2020-W06","HU","Hungary",NA
2020-02-08,"2020-W06","HU","Hungary",NA
2020-02-09,"2020-W06","HU","Hungary",NA
2020-02-10,"2020-W07","HU","Hungary",NA
2020-02-11,"2020-W07","HU","Hungary",NA
2020-02-12,"2020-W07","HU","Hungary",NA
2020-02-13,"2020-W07","HU","Hungary",NA
2020-02-14,"2020-W07","HU","Hungary",NA
2020-02-15,"2020-W07","HU","Hungary",NA
2020-02-16,"2020-W07","HU","Hungary",NA
2020-02-17,"2020-W07","HU","Hungary",NA
2020-02-18,"2020-W07","HU","Hungary",NA
2020-02-19,"2020-W08","HU","Hungary",NA
2020-02-20,"2020-W08","HU","Hungary",NA
2020-02-21,"2020-W08","HU","Hungary",NA
2020-02-22,"2020-W08","HU","Hungary",NA
2020-02-23,"2020-W08","HU","Hungary",NA
2020-02-24,"2020-W08","HU","Hungary",NA
2020-02-25,"2020-W09","HU","Hungary",NA
2020-02-26,"2020-W09","HU","Hungary",NA
2020-02-27,"2020-W09","HU","Hungary",NA
2020-02-28,"2020-W09","HU","Hungary",NA
2020-02-29,"2020-W09","HU","Hungary",NA
2020-03-01,"2020-W09","HU","Hungary",NA
2020-03-02,"2020-W10","HU","Hungary",NA
2020-03-03,"2020-W10","HU","Hungary",0
2020-03-04,"2020-W10","HU","Hungary",2
2020-03-05,"2020-W10","HU","Hungary",4
2020-03-06,"2020-W10","HU","Hungary",4
2020-03-07,"2020-W10","HU","Hungary",5
2020-03-08,"2020-W10","HU","Hungary",7
2020-03-09,"2020-W11","HU","Hungary",9
2020-03-10,"2020-W11","HU","Hungary",12
2020-03-11,"2020-W11","HU","Hungary",13
2020-03-12,"2020-W11","HU","Hungary",16
2020-03-13,"2020-W11","HU","Hungary",18
2020-03-14,"2020-W11","HU","Hungary",29
2020-03-15,"2020-W11","HU","Hungary",31
2020-03-16,"2020-W12","HU","Hungary",36
2020-03-17,"2020-W12","HU","Hungary",47
2020-03-18,"2020-W12","HU","Hungary",55
2020-03-19,"2020-W12","HU","Hungary",70
2020-03-20,"2020-W12","HU","Hungary",74
2020-03-21,"2020-W12","HU","Hungary",92
2020-03-22,"2020-W12","HU","Hungary",113
2020-03-23,"2020-W13","HU","Hungary",144
2020-03-24,"2020-W13","HU","Hungary",158
2020-03-25,"2020-W13","HU","Hungary",195
2020-03-26,"2020-W13","HU","Hungary",223
2020-03-27,"2020-W13","HU","Hungary",256
2020-03-28,"2020-W13","HU","Hungary",298
2020-03-29,"2020-W13","HU","Hungary",361
2020-03-30,"2020-W14","HU","Hungary",398
2020-03-31,"2020-W14","HU","Hungary",439
2020-04-01,"2020-W14","HU","Hungary",465
2020-04-02,"2020-W14","HU","Hungary",522
2020-04-03,"2020-W14","HU","Hungary",554
2020-04-04,"2020-W14","HU","Hungary",588
2020-04-05,"2020-W14","HU","Hungary",633
2020-04-06,"2020-W15","HU","Hungary",639
2020-04-07,"2020-W15","HU","Hungary",699
2020-04-08,"2020-W15","HU","Hungary",743
2020-04-09,"2020-W15","HU","Hungary",818
2020-04-10,"2020-W15","HU","Hungary",1001
2020-04-11,"2020-W15","HU","Hungary",1110
2020-04-12,"2020-W15","HU","Hungary",1193
2020-04-13,"2020-W16","HU","Hungary",1229
2020-04-14,"2020-W16","HU","Hungary",1268
2020-04-15,"2020-W16","HU","Hungary",1253
2020-04-16,"2020-W16","HU","Hungary",729
2020-04-17,"2020-W16","HU","Hungary",847
2020-04-18,"2020-W16","HU","Hungary",829
2020-04-19,"2020-W16","HU","Hungary",784
2020-04-20,"2020-W17","HU","Hungary",811
2020-04-21,"2020-W17","HU","Hungary",842
2020-04-22,"2020-W17","HU","Hungary",825
2020-04-23,"2020-W17","HU","Hungary",850
2020-04-24,"2020-W17","HU","Hungary",877
2020-04-25,"2020-W17","HU","Hungary",899
2020-04-26,"2020-W17","HU","Hungary",927
2020-04-27,"2020-W18","HU","Hungary",931
2020-04-28,"2020-W18","HU","Hungary",976
2020-04-29,"2020-W18","HU","Hungary",983
2020-04-30,"2020-W18","HU","Hungary",998
2020-05-01,"2020-W18","HU","Hungary",983
2020-05-02,"2020-W18","HU","Hungary",1008
2020-05-03,"2020-W18","HU","Hungary",1005
2020-05-04,"2020-W19","HU","Hungary",1027
2020-05-05,"2020-W19","HU","Hungary",982
2020-05-06,"2020-W19","HU","Hungary",964
2020-05-07,"2020-W19","HU","Hungary",968
2020-05-08,"2020-W19","HU","Hungary",891
2020-05-09,"2020-W19","HU","Hungary",873
2020-05-10,"2020-W19","HU","Hungary",812
2020-05-11,"2020-W20","HU","Hungary",782
2020-05-12,"2020-W20","HU","Hungary",746
2020-05-13,"2020-W20","HU","Hungary",688
2020-05-14,"2020-W20","HU","Hungary",658
2020-05-15,"2020-W20","HU","Hungary",614
2020-05-16,"2020-W20","HU","Hungary",570
2020-05-17,"2020-W20","HU","Hungary",562
2020-05-18,"2020-W21","HU","Hungary",568
2020-05-19,"2020-W21","HU","Hungary",NA
2020-05-20,"2020-W21","HU","Hungary",539
2020-05-21,"2020-W21","HU","Hungary",510
2020-05-22,"2020-W21","HU","Hungary",483
2020-05-23,"2020-W21","HU","Hungary",462
2020-05-24,"2020-W21","HU","Hungary",442
2020-05-25,"2020-W22","HU","Hungary",NA
2020-05-26,"2020-W22","HU","Hungary",436
2020-05-27,"2020-W22","HU","Hungary",430
2020-05-28,"2020-W22","HU","Hungary",404
2020-05-29,"2020-W22","HU","Hungary",384
2020-05-30,"2020-W22","HU","Hungary",414
2020-05-31,"2020-W22","HU","Hungary",419
2020-06-01,"2020-W23","HU","Hungary",417
2020-06-02,"2020-W23","HU","Hungary",427
2020-06-03,"2020-W23","HU","Hungary",414
2020-06-04,"2020-W23","HU","Hungary",406
2020-06-05,"2020-W23","HU","Hungary",397
2020-06-06,"2020-W23","HU","Hungary",387
2020-06-07,"2020-W23","HU","Hungary",386
2020-06-08,"2020-W24","HU","Hungary",385
2020-06-09,"2020-W24","HU","Hungary",365
2020-06-10,"2020-W24","HU","Hungary",344
2020-06-11,"2020-W24","HU","Hungary",321
2020-06-12,"2020-W24","HU","Hungary",290
2020-06-13,"2020-W24","HU","Hungary",283
2020-06-14,"2020-W24","HU","Hungary",275
2020-06-15,"2020-W25","HU","Hungary",275
2020-06-16,"2020-W25","HU","Hungary",255
2020-06-17,"2020-W25","HU","Hungary",210
2020-06-18,"2020-W25","HU","Hungary",199
2020-06-19,"2020-W25","HU","Hungary",192
2020-06-20,"2020-W25","HU","Hungary",186
2020-06-21,"2020-W25","HU","Hungary",185
2020-06-22,"2020-W26","HU","Hungary",184
2020-06-23,"2020-W26","HU","Hungary",183
2020-06-24,"2020-W26","HU","Hungary",183
2020-06-25,"2020-W26","HU","Hungary",182
2020-06-26,"2020-W26","HU","Hungary",179
2020-06-27,"2020-W26","HU","Hungary",174
2020-06-28,"2020-W26","HU","Hungary",172
2020-06-29,"2020-W27","HU","Hungary",170
2020-06-30,"2020-W27","HU","Hungary",169
2020-07-01,"2020-W27","HU","Hungary",169
2020-07-02,"2020-W27","HU","Hungary",157
2020-07-03,"2020-W27","HU","Hungary",150
2020-07-04,"2020-W27","HU","Hungary",140
2020-07-05,"2020-W27","HU","Hungary",144
2020-07-06,"2020-W28","HU","Hungary",144
2020-07-07,"2020-W28","HU","Hungary",142
2020-07-08,"2020-W28","HU","Hungary",132
2020-07-09,"2020-W28","HU","Hungary",131
2020-07-10,"2020-W28","HU","Hungary",133
2020-07-11,"2020-W28","HU","Hungary",129
