"year_week","date","countrycode","countryname","hosp_occupancy","icu_occupancy","hosp_weekly_admission"
"2020-W09",2020-02-25,"IS","Iceland",NA,NA,0.280119106644145
"2020-W09",2020-02-26,"IS","Iceland",NA,NA,0.280119106644145
"2020-W09",2020-02-27,"IS","Iceland",NA,NA,0.280119106644145
"2020-W09",2020-02-28,"IS","Iceland",1,0,0.280119106644145
"2020-W09",2020-02-29,"IS","Iceland",1,0,0.280119106644145
"2020-W09",2020-03-01,"IS","Iceland",1,0,0.280119106644145
"2020-W10",2020-03-02,"IS","Iceland",0,0,NA
"2020-W10",2020-03-03,"IS","Iceland",0,0,NA
"2020-W10",2020-03-04,"IS","Iceland",0,0,NA
"2020-W10",2020-03-05,"IS","Iceland",1,0,NA
"2020-W10",2020-03-06,"IS","Iceland",1,0,NA
"2020-W10",2020-03-07,"IS","Iceland",1,0,NA
"2020-W10",2020-03-08,"IS","Iceland",1,0,NA
"2020-W11",2020-03-09,"IS","Iceland",1,0,NA
"2020-W11",2020-03-10,"IS","Iceland",0,0,NA
"2020-W11",2020-03-11,"IS","Iceland",1,0,NA
"2020-W11",2020-03-12,"IS","Iceland",2,0,NA
"2020-W11",2020-03-13,"IS","Iceland",2,0,NA
"2020-W11",2020-03-14,"IS","Iceland",3,1,NA
"2020-W11",2020-03-15,"IS","Iceland",3,2,NA
"2020-W12",2020-03-16,"IS","Iceland",4,2,NA
"2020-W12",2020-03-17,"IS","Iceland",5,2,NA
"2020-W12",2020-03-18,"IS","Iceland",6,0,NA
"2020-W12",2020-03-19,"IS","Iceland",6,1,NA
"2020-W12",2020-03-20,"IS","Iceland",10,1,NA
"2020-W12",2020-03-21,"IS","Iceland",12,1,NA
"2020-W12",2020-03-22,"IS","Iceland",13,0,NA
"2020-W13",2020-03-23,"IS","Iceland",13,2,NA
"2020-W13",2020-03-24,"IS","Iceland",17,2,NA
"2020-W13",2020-03-25,"IS","Iceland",18,3,NA
"2020-W13",2020-03-26,"IS","Iceland",20,6,NA
"2020-W13",2020-03-27,"IS","Iceland",20,6,NA
"2020-W13",2020-03-28,"IS","Iceland",26,7,NA
"2020-W13",2020-03-29,"IS","Iceland",30,10,NA
"2020-W14",2020-03-30,"IS","Iceland",37,11,NA
"2020-W14",2020-03-31,"IS","Iceland",40,13,NA
"2020-W14",2020-04-01,"IS","Iceland",43,14,NA
"2020-W14",2020-04-02,"IS","Iceland",44,12,NA
"2020-W14",2020-04-03,"IS","Iceland",41,11,NA
"2020-W14",2020-04-04,"IS","Iceland",37,11,NA
"2020-W14",2020-04-05,"IS","Iceland",36,11,NA
"2020-W15",2020-04-06,"IS","Iceland",38,13,NA
"2020-W15",2020-04-07,"IS","Iceland",43,12,NA
"2020-W15",2020-04-08,"IS","Iceland",40,11,NA
"2020-W15",2020-04-09,"IS","Iceland",38,11,NA
"2020-W15",2020-04-10,"IS","Iceland",38,10,NA
"2020-W15",2020-04-11,"IS","Iceland",40,9,NA
"2020-W15",2020-04-12,"IS","Iceland",40,9,NA
"2020-W16",2020-04-13,"IS","Iceland",35,8,NA
"2020-W16",2020-04-14,"IS","Iceland",31,8,NA
"2020-W16",2020-04-15,"IS","Iceland",33,6,NA
"2020-W16",2020-04-16,"IS","Iceland",30,3,NA
"2020-W16",2020-04-17,"IS","Iceland",27,5,NA
"2020-W16",2020-04-18,"IS","Iceland",28,5,NA
"2020-W16",2020-04-19,"IS","Iceland",27,5,NA
"2020-W17",2020-04-20,"IS","Iceland",21,5,NA
"2020-W17",2020-04-21,"IS","Iceland",18,5,NA
"2020-W17",2020-04-22,"IS","Iceland",15,5,NA
"2020-W17",2020-04-23,"IS","Iceland",15,5,NA
"2020-W17",2020-04-24,"IS","Iceland",14,3,NA
"2020-W17",2020-04-25,"IS","Iceland",14,3,NA
"2020-W17",2020-04-26,"IS","Iceland",13,2,NA
"2020-W18",2020-04-27,"IS","Iceland",10,1,NA
"2020-W18",2020-04-28,"IS","Iceland",8,0,NA
"2020-W18",2020-04-29,"IS","Iceland",6,0,NA
"2020-W18",2020-04-30,"IS","Iceland",5,0,NA
"2020-W18",2020-05-01,"IS","Iceland",6,0,NA
"2020-W18",2020-05-02,"IS","Iceland",6,0,NA
"2020-W18",2020-05-03,"IS","Iceland",5,0,NA
"2020-W19",2020-05-04,"IS","Iceland",3,0,NA
"2020-W19",2020-05-05,"IS","Iceland",3,0,NA
"2020-W19",2020-05-06,"IS","Iceland",3,0,NA
"2020-W19",2020-05-07,"IS","Iceland",2,0,NA
"2020-W19",2020-05-08,"IS","Iceland",2,0,NA
"2020-W19",2020-05-09,"IS","Iceland",2,0,NA
"2020-W19",2020-05-10,"IS","Iceland",2,0,NA
"2020-W20",2020-05-11,"IS","Iceland",2,0,NA
"2020-W20",2020-05-12,"IS","Iceland",1,0,NA
"2020-W20",2020-05-13,"IS","Iceland",1,0,NA
"2020-W20",2020-05-14,"IS","Iceland",0,0,NA
"2020-W20",2020-05-15,"IS","Iceland",0,0,NA
"2020-W20",2020-05-16,"IS","Iceland",0,0,NA
"2020-W20",2020-05-17,"IS","Iceland",0,0,NA
"2020-W21",2020-05-18,"IS","Iceland",0,0,NA
"2020-W21",2020-05-19,"IS","Iceland",0,0,NA
"2020-W21",2020-05-20,"IS","Iceland",0,0,NA
"2020-W21",2020-05-21,"IS","Iceland",0,0,NA
"2020-W21",2020-05-22,"IS","Iceland",0,0,NA
"2020-W21",2020-05-23,"IS","Iceland",0,0,NA
"2020-W21",2020-05-24,"IS","Iceland",0,0,NA
"2020-W22",2020-05-25,"IS","Iceland",0,0,NA
"2020-W22",2020-05-26,"IS","Iceland",0,0,NA
"2020-W22",2020-05-27,"IS","Iceland",0,0,NA
"2020-W22",2020-05-28,"IS","Iceland",0,0,NA
"2020-W22",2020-05-29,"IS","Iceland",0,0,NA
"2020-W22",2020-05-30,"IS","Iceland",0,0,NA
"2020-W22",2020-05-31,"IS","Iceland",0,0,NA
"2020-W23",2020-06-01,"IS","Iceland",0,0,NA
"2020-W23",2020-06-02,"IS","Iceland",0,0,NA
"2020-W23",2020-06-03,"IS","Iceland",0,0,NA
