"date","region","population","total_responses","pct_cli","number_cli","batched_pct_cli","batched_pct_cli_smooth","estimate_cli","cum_estimate_cli"
2020-05-08,"ESAS",1022800,179,0,0,NA,0.991517041205987,10141.2362974548,10141.2362974548
2020-05-09,"ESAS",1022800,180,0.56,1.008,NA,0.948679248454809,9703.09135319579,19844.3276506506
2020-05-10,"ESAS",1022800,180,0.56,1.008,NA,0.905841455703632,9264.94640893674,29109.2740595874
2020-05-11,"ESAS",1022800,164,0.62,1.0168,NA,0.863003662952454,8826.8014646777,37936.0755242651
2020-05-12,"ESAS",1022800,171,1.18,2.0178,NA,0.820165870201276,8388.65652041865,46324.7320446837
2020-05-13,"ESAS",1022800,173,1.78,3.0794,0.776504297994269,0.777328251918986,7950.51336062739,54275.2454053111
2020-05-14,"ESAS",1022800,209,0,0,NA,0.734550463272396,7512.98213835007,61788.2275436612
2020-05-15,"ESAS",1022800,192,0.52,0.9984,NA,0.692027125759638,7078.05344226958,68866.2809859308
2020-05-16,"ESAS",1022800,220,0.91,2.002,NA,0.649970355135284,6647.89679232368,75514.1777782544
2020-05-17,"ESAS",1022800,202,0,0,NA,0.608592267153907,6224.68170845016,81738.8594867046
2020-05-18,"ESAS",1022800,158,1.27,2.0066,NA,0.568104977570081,5810.57771058679,87549.4371972914
2020-05-19,"ESAS",1022800,213,0.94,2.0022,0.587035175879397,0.528720602138379,5407.75431867134,92957.1915159627
2020-05-20,"ESAS",1022800,162,0,0,NA,0.490651256613374,5018.38105264159,97975.5725686043
2020-05-21,"ESAS",1022800,106,0,0,NA,0.454109056749639,4644.62743243531,102620.20000104
2020-05-22,"ESAS",1022800,182,0.55,1.001,NA,0.41930616254059,4288.66343046516,106908.863431505
2020-05-23,"ESAS",1022800,211,0,0,NA,0.386467932706237,3952.7940157194,110861.657447224
2020-05-24,"ESAS",1022800,190,1.05,1.995,NA,0.355851316999168,3639.6472702675,114501.304717492
2020-05-25,"ESAS",1022800,198,0,0,0.285605338417541,0.327717892788897,3351.89860744484,117853.203324937
2020-05-26,"ESAS",1022800,179,0.56,1.0024,NA,0.302329237444936,3092.2234405868,120945.426765523
2020-05-27,"ESAS",1022800,168,0.6,1.008,NA,0.279946928336799,2863.29718302878,123808.723948552
2020-05-28,"ESAS",1022800,182,0,0,NA,0.260832542833999,2667.79524810615,126476.519196658
2020-05-29,"ESAS",1022800,165,0,0,NA,0.24524765830605,2508.39304915428,128984.912245813
2020-05-30,"ESAS",1022800,164,0,0,NA,0.233453852122465,2387.76599950857,131372.678245321
