"date","region","population","total_responses","pct_cli","number_cli","batched_pct_cli","batched_pct_cli_smooth","estimate_cli","cum_estimate_cli"
2020-05-08,"ESCB",581078,80,0,0,NA,0.782572194657863,4547.35485727402,4547.35485727402
2020-05-09,"ESCB",581078,69,0,0,NA,0.739412066220201,4296.56084615102,8843.91570342504
2020-05-10,"ESCB",581078,102,0,0,NA,0.696251937782539,4045.76683502802,12889.6825384531
2020-05-11,"ESCB",581078,96,1.06,1.0176,NA,0.653091809344878,3794.97282390503,16684.6553623581
2020-05-12,"ESCB",581078,73,1.43,1.0439,NA,0.609931680907216,3544.17881278203,20228.8341751401
2020-05-13,"ESCB",581078,82,1.3,1.066,NA,0.566771552469554,3293.38480165904,23522.2189767992
2020-05-14,"ESCB",581078,95,1.05,0.9975,0.690954773869347,0.523624894436421,3042.66906409327,26564.8880408924
2020-05-15,"ESCB",581078,93,0,0,NA,0.481945866110653,2800.48139987846,29365.3694407709
2020-05-16,"ESCB",581078,85,0,0,NA,0.442896698610234,2573.57527835038,31938.9447191213
2020-05-17,"ESCB",581078,91,0,0,NA,0.406735711373768,2363.45173693646,34302.3964560577
2020-05-18,"ESCB",581078,75,0,0,NA,0.37372122383986,2171.61181306418,36474.0082691219
2020-05-19,"ESCB",581078,77,0,0,NA,0.344111555447114,1999.55654416098,38473.5648132829
2020-05-20,"ESCB",581078,91,0,0,NA,0.318165025634137,1848.78696765433,40322.3517809372
2020-05-21,"ESCB",581078,75,0,0,0,0.296139953839533,1720.80412097168,42043.1559019089
2020-05-22,"ESCB",581078,77,0,0,NA,0.278294659501906,1617.10904154049,43660.2649434494
2020-05-23,"ESCB",581078,102,0,0,NA,0.264887462059863,1539.20276678821,45199.4677102376
2020-05-24,"ESCB",581078,97,1.03,0.9991,NA,0.256176680952007,1488.5863341423,46688.0540443799
2020-05-25,"ESCB",581078,87,0,0,NA,0.252412991113365,1466.71636050172,48154.7704048816
2020-05-26,"ESCB",581078,83,0,0,NA,0.253522953131069,1473.16610559495,49627.9365104766
2020-05-27,"ESCB",581078,89,0,0,NA,0.25899581113612,1504.96767943354,51132.9041899101
2020-05-28,"ESCB",581078,66,1.52,1.0032,0.333161397670549,0.268289885532298,1558.97350105337,52691.8776909635
2020-05-29,"ESCB",581078,78,0,0,NA,0.28086349672338,1632.03598949028,54323.9136804538
2020-05-30,"ESCB",581078,80,0,0,NA,0.296174965113146,1721.00756378017,56044.9212442339
2020-05-31,"ESCB",581078,97,1.05,1.0185,NA,0.313682611105374,1822.74064295888,57867.6618871928
2020-06-01,"ESCB",581078,76,1.33,1.0108,NA,0.332844755103843,1934.08764606231,59801.7495332551
2020-06-02,"ESCB",581078,68,0,0,NA,0.353119717512331,2051.9009921263,61853.6505253814
2020-06-03,"ESCB",581078,68,0,0,NA,0.373965818734617,2173.03310018674,64026.6836255681
2020-06-04,"ESCB",581078,83,1.22,1.0126,NA,0.394841379174481,2294.33638927949,66321.0200148476
2020-06-05,"ESCB",581078,66,0,0,0.493814935064935,0.415226289805669,2412.78862027698,68733.8086351246
2020-06-06,"ESCB",581078,63,0,0,NA,0.434853457525461,2526.8377739198,71260.6464090444
2020-06-07,"ESCB",581078,75,0,0,NA,0.453620103955969,2635.88662766526,73896.5330367097
2020-06-08,"ESCB",581078,75,0,0,NA,0.471426238169282,2739.3541562293,76635.887192939
2020-06-09,"ESCB",581078,59,0,0,NA,0.488171869237491,2836.65933432783,79472.5465272668
2020-06-10,"ESCB",581078,63,1.59,1.0017,NA,0.503757006232684,2927.22113667676,82399.7676639436
2020-06-11,"ESCB",581078,69,1.45,1.0005,NA,0.518081658226952,3010.45853799201,85410.2262019356
2020-06-12,"ESCB",581078,76,0,0,NA,0.531045834292384,3085.7905129895,88496.0167149251
2020-06-13,"ESCB",581078,59,1.72,1.0148,NA,0.54254954350107,3152.63603638515,91648.6527513102
2020-06-14,"ESCB",581078,57,0,0,0.506208053691275,0.552492794925099,3210.41408289487,94859.0668342051
2020-06-15,"ESCB",581078,57,0,0,NA,0.560775597636562,3258.54362723458,98117.6104614397
2020-06-16,"ESCB",581078,75,1.33,0.9975,NA,0.567305975068839,3296.49021381051,101414.10067525
2020-06-17,"ESCB",581078,57,1.75,0.9975,NA,0.572030021698821,3323.94060948708,104738.041284737
