"date","region","population","total_responses","pct_cli","number_cli","batched_pct_cli","batched_pct_cli_smooth","estimate_cli","cum_estimate_cli"
2020-05-08,"ESIB",1149460,169,1.19,2.0111,NA,0.341729008752523,3928.03826400675,3928.03826400675
2020-05-09,"ESIB",1149460,192,0,0,NA,0.351781646350268,4043.58931213779,7971.62757614454
2020-05-10,"ESIB",1149460,196,0,0,NA,0.361834283948012,4159.14036026882,12130.7679364134
2020-05-11,"ESIB",1149460,140,0,0,NA,0.371886921545757,4274.69140839986,16405.4593448132
2020-05-12,"ESIB",1149460,138,0,0,NA,0.381939559143501,4390.24245653089,20795.7018013441
2020-05-13,"ESIB",1149460,162,0.62,1.0044,NA,0.391992196741246,4505.79350466192,25301.495306006
2020-05-14,"ESIB",1149460,188,0,0,0.254472573839662,0.402044107862228,4621.33620223316,29922.8315082392
2020-05-15,"ESIB",1149460,185,0.54,0.999,NA,0.412019808197239,4736.00288730399,34658.8343955432
2020-05-16,"ESIB",1149460,196,0,0,NA,0.42184057108049,4848.8886283418,39507.723023885
2020-05-17,"ESIB",1149460,199,0,0,NA,0.431466305995282,4959.53260089337,44467.2556247784
2020-05-18,"ESIB",1149460,173,1.16,2.0068,NA,0.440856922424916,5067.47398050544,49534.7296052838
2020-05-19,"ESIB",1149460,155,0.65,1.0075,NA,0.449972329852693,5172.25194272476,54706.9815480086
2020-05-20,"ESIB",1149460,181,0.56,1.0136,NA,0.458772437761913,5273.40566309808,59980.3872111066
2020-05-21,"ESIB",1149460,139,1.45,2.0155,0.573485342019544,0.467217155635878,5370.47431717216,65350.8615282788
2020-05-22,"ESIB",1149460,147,0.68,0.9996,NA,0.475266392957889,5462.99708049375,70813.8586087725
2020-05-23,"ESIB",1149460,174,0.58,1.0092,NA,0.482880059211246,5550.51312860959,76364.3717373821
2020-05-24,"ESIB",1149460,203,0,0,NA,0.490018063879251,5632.56163706644,81996.9333744486
