"date","region","population","total_responses","pct_cli","number_cli","batched_pct_cli","batched_pct_cli_smooth","estimate_cli","cum_estimate_cli"
2020-05-08,"ESAN",8414240,418,0.49,2.0482,NA,0.508997068974177,42828.2349764528,42828.2349764528
2020-05-09,"ESAN",8414240,460,0.89,4.094,NA,0.510043937073671,42916.3209708276,85744.5559472804
2020-05-10,"ESAN",8414240,499,0.41,2.0459,NA,0.511090805173164,43004.4069652024,128748.962912483
2020-05-11,"ESAN",8414240,463,0.44,2.0372,NA,0.512137673272657,43092.4929595772,171841.45587206
2020-05-12,"ESAN",8414240,442,0.69,3.0498,NA,0.51318454137215,43180.578953952,215022.034826012
2020-05-13,"ESAN",8414240,434,0.94,4.0796,NA,0.514231409471643,43268.6649483268,258290.699774339
2020-05-14,"ESAN",8414240,494,1.02,5.0388,NA,0.515278277571136,43356.7509427016,301647.45071704
2020-05-15,"ESAN",8414240,539,0.56,3.0184,NA,0.516325145670629,43444.8369370764,345092.287654117
2020-05-16,"ESAN",8414240,490,0.61,2.989,NA,0.517372013770123,43532.9229314512,388625.210585568
2020-05-17,"ESAN",8414240,460,0.44,2.024,NA,0.518418881869616,43621.008925826,432246.219511394
2020-05-18,"ESAN",8414240,410,0,0,NA,0.519465749969109,43709.0949202008,475955.314431595
2020-05-19,"ESAN",8414240,491,0.2,0.982,NA,0.520512618068602,43797.1809145755,519752.49534617
2020-05-20,"ESAN",8414240,457,0.66,3.0162,NA,0.521559486168095,43885.2669089503,563637.762255121
2020-05-21,"ESAN",8414240,347,0.87,3.0189,NA,0.522606354267589,43973.3529033251,607611.115158446
2020-05-22,"ESAN",8414240,371,0.54,2.0034,NA,0.523653222367082,44061.4388976999,651672.554056146
2020-05-23,"ESAN",8414240,417,0.48,2.0016,NA,0.524700090466575,44149.5248920747,695822.07894822
2020-05-24,"ESAN",8414240,505,0,0,NA,0.525746958566068,44237.6108864495,740059.68983467
2020-05-25,"ESAN",8414240,469,0.65,3.0485,NA,0.526793826665561,44325.6968808243,784385.386715494
2020-05-26,"ESAN",8414240,402,0.25,1.005,0.531051587301587,0.527840897261151,44413.7999137067,828799.186629201
2020-05-27,"ESAN",8414240,371,0.81,3.0051,NA,0.528909581627042,44503.7215810953,873302.908210296
2020-05-28,"ESAN",8414240,361,0,0,NA,0.530007167966989,44596.0751299456,917898.983340242
2020-05-29,"ESAN",8414240,394,0.25,0.985,NA,0.531123538307241,44690.0092096632,962588.992549905
2020-05-30,"ESAN",8414240,395,1.02,4.029,NA,0.532248574674046,44784.6724696535,1007373.66501956
2020-05-31,"ESAN",8414240,418,0.96,4.0128,NA,0.533372159093653,44879.2135593218,1052252.87857888
2020-06-01,"ESAN",8414240,344,0.29,0.9976,NA,0.534484173592312,44972.7811280738,1097225.65970695
2020-06-02,"ESAN",8414240,398,0.25,0.995,NA,0.535574500196271,45064.5238253147,1142290.18353227
2020-06-03,"ESAN",8414240,377,0.27,1.0179,NA,0.53663302093178,45153.5903004502,1187443.77383272
2020-06-04,"ESAN",8414240,436,0,0,NA,0.537649617825086,45239.1292028855,1232682.9030356
2020-06-05,"ESAN",8414240,387,0.26,1.0062,NA,0.53861417290244,45320.2891820263,1278003.19221763
2020-06-06,"ESAN",8414240,384,0.52,1.9968,NA,0.53951656819009,45396.2188872778,1323399.41110491
2020-06-07,"ESAN",8414240,450,0.67,3.015,NA,0.540346685714285,45466.0669680457,1368865.47807295
2020-06-08,"ESAN",8414240,391,0,0,NA,0.541094407501274,45528.9820737352,1414394.46014669
2020-06-09,"ESAN",8414240,385,0.52,2.002,NA,0.541749615577306,45584.112853752,1459978.57300044
