"date","region","population","total_responses","pct_cli","number_cli","batched_pct_cli","batched_pct_cli_smooth","estimate_cli","cum_estimate_cli"
2020-05-08,"ESCM",2032863,260,0.79,2.054,NA,0.971219834467892,19743.568663559,19743.568663559
2020-05-09,"ESCM",2032863,308,1.02,3.1416,NA,0.957547948177653,19465.6379457627,39209.2066093217
2020-05-10,"ESCM",2032863,293,1.4,4.102,NA,0.943876061887413,19187.7072279663,58396.913837288
2020-05-11,"ESCM",2032863,265,0.77,2.0405,NA,0.930204175597174,18909.77651017,77306.690347458
2020-05-12,"ESCM",2032863,257,1.19,3.0583,NA,0.916532289306934,18631.8457923736,95938.5361398316
2020-05-13,"ESCM",2032863,260,1.19,3.094,NA,0.902860403016695,18353.9150745773,114292.451214409
2020-05-14,"ESCM",2032863,303,0.33,0.9999,NA,0.889188516726455,18075.9843567809,132368.43557119
2020-05-15,"ESCM",2032863,301,0.33,0.9933,0.867093902981754,0.8755166347149,17798.0537259644,150166.489297154
2020-05-16,"ESCM",2032863,329,1.53,5.0337,NA,0.86184675837049,17520.1638676131,167686.653164767
2020-05-17,"ESCM",2032863,314,1.29,4.0506,NA,0.84818585439836,17242.4564052981,184929.109570065
2020-05-18,"ESCM",2032863,258,0,0,NA,0.834541630281673,16965.0880215929,201894.197591658
2020-05-19,"ESCM",2032863,289,0.7,2.023,NA,0.82092179350359,16688.2153990709,218582.412990729
2020-05-20,"ESCM",2032863,335,1.2,4.02,NA,0.807334051547273,16411.9952203054,234994.408211035
2020-05-21,"ESCM",2032863,211,1.44,3.0384,NA,0.793786111895883,16136.58416787,251130.992378905
2020-05-22,"ESCM",2032863,253,1.2,3.036,NA,0.780285682032581,15862.138924338,266993.131303243
2020-05-23,"ESCM",2032863,286,0.7,2.002,1.01994285714286,0.766840469440529,15588.8161722828,282581.947475525
2020-05-24,"ESCM",2032863,304,0.33,1.0032,NA,0.753458181602889,15316.7725942779,297898.720069803
2020-05-25,"ESCM",2032863,319,0.95,3.0305,NA,0.740146526002822,15046.1648728967,312944.8849427
2020-05-26,"ESCM",2032863,280,0.72,2.016,NA,0.72691321012349,14777.1496907127,327722.034633413
2020-05-27,"ESCM",2032863,292,0.69,2.0148,NA,0.713765941448053,14509.8837302991,342231.918363712
2020-05-28,"ESCM",2032863,273,0.75,2.0475,NA,0.700712636214406,14244.5279179273,356476.446281639
2020-05-29,"ESCM",2032863,237,0,0,NA,0.687763009528561,13981.2797483926,370457.726030032
2020-05-30,"ESCM",2032863,281,0,0,NA,0.674927695117638,13720.3553907993,384178.081420831
2020-05-31,"ESCM",2032863,286,0.35,1.001,0.489128521126761,0.66221733407663,13461.9711640302,397640.052584861
2020-06-01,"ESCM",2032863,233,1.73,4.0309,NA,0.649642567500528,13206.3433869683,410846.39597183
2020-06-02,"ESCM",2032863,239,0,0,NA,0.637214036484327,12953.6883784964,423800.084350326
2020-06-03,"ESCM",2032863,221,0.92,2.0332,NA,0.624942382123019,12704.2224574975,436504.306807823
2020-06-04,"ESCM",2032863,267,0.75,2.0025,NA,0.612838245511597,12458.1619428544,448962.468750678
