"date","population","total_responses","pct_cli","pct_cli_smooth","number_cli","batched_pct_cli","batched_pct_cli_smooth","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom"
2020-04-23,47026208,1897,1.01,1.01512046494092,19.1597,NA,0.952952596083959,448137.469975842,448137.469975842,477372.661293683,477372.661293683,1000
2020-04-24,47026208,1366,0.88,0.995472511665343,12.0208,NA,0.938419584957912,441303.145935045,889440.615910887,468132.973918569,945505.635212252,1000
2020-04-25,47026208,2405,1.09,0.975976092206582,26.2145,NA,0.923886573831866,434468.821894247,1323909.43780513,458964.547151339,1404470.18236359,1000
2020-04-26,47026208,2686,1.05,0.95665979156252,28.203,NA,0.909353562705819,427634.497853449,1751543.93565858,449880.823432557,1854351.00579615,1000
2020-04-27,47026208,2656,1.03,0.937552194731038,27.3568,NA,0.894820551579773,420800.173812651,2172344.10947123,440895.245202783,2295246.25099893,1000
2020-04-28,47026208,2612,0.93,0.91868188671002,24.2916,NA,0.880287540453726,413965.849771853,2586309.95924309,432021.254902578,2727267.50590151,1000
2020-04-29,47026208,2472,0.81,0.90007745249735,20.0232,NA,0.86575452932768,407131.525731056,2993441.48497414,423272.294972505,3150539.80087401,1000
2020-04-30,47026208,2401,0.72,0.88176747709091,17.2872,NA,0.851221518201633,400297.201690258,3393738.6866644,414661.807853124,3565201.60872714,1000
2020-05-01,47026208,1888,1.23,0.863780545488584,23.2224,0.839150750552332,0.83668918584547,393463.196849197,3787201.8835136,406203.235984996,3971404.84471213,1000
2020-05-02,47026208,1795,0.9,0.846145242688255,16.155,NA,0.822221141993353,386659.42445377,4173861.30796737,397910.021808684,4369314.86652082,1000
2020-05-03,47026208,4033,0.85,0.828890153687807,34.2805,NA,0.807881040693406,379915.818589046,4553777.12655641,389795.607764748,4759110.47428557,1000
2020-05-04,47026208,4387,0.73,0.812043863485122,32.0251,NA,0.793700056905999,373247.039656733,4927024.16621315,381873.436293749,5140983.91057932,1000
2020-05-05,47026208,4520,0.56,0.795634957078084,25.312,NA,0.7797093655915,366667.748058539,5293691.91427169,374156.94983625,5515140.86041557,1000
2020-05-06,47026208,4428,0.71,0.779692019464575,31.4388,NA,0.765940141710281,360192.604196172,5653884.51846786,366659.590832812,5881800.45124838,1000
2020-05-07,47026208,4495,0.89,0.76424363564248,40.0055,NA,0.752423560222712,353836.268471338,6007720.7869392,359394.801723995,6241195.25297237,1000
2020-05-08,47026208,4390,0.67,0.749318390609682,29.413,NA,0.739190796089161,347613.401285745,6355334.18822494,352376.024950361,6593571.27792273,1000
2020-05-09,47026208,4550,0.65,0.734944869364063,29.575,NA,0.726273024269999,341538.6630411,6696872.85126604,345616.702952472,6939187.98087521,1000
2020-05-10,47026208,4708,0.69,0.721151656903506,32.4852,NA,0.713701419725596,335626.714139112,7032499.56540515,339130.278170889,7278318.25904609,1000
2020-05-11,47026208,4289,0.81,0.707967338225896,34.7409,NA,0.701507157416321,329892.214981487,7362391.78038664,332930.193046173,7611248.45209227,1000
2020-05-12,47026208,4162,0.64,0.695420498329115,26.6368,NA,0.689721412302545,324349.825969932,7686741.60635657,327029.890018886,7938278.34211115,1000
2020-05-13,47026208,4180,0.66,0.683539722211047,27.588,NA,0.678375359344637,319014.207506156,8005755.81386273,321442.811529589,8259721.15364074,1000
2020-05-14,47026208,4889,0.78,0.672347839769198,38.1342,0.670240685529252,0.667500173502967,313900.019991866,8319655.83385459,316179.69361337,8575900.84725411,1000
2020-05-15,47026208,4897,0.6,0.661827229441933,29.382,NA,0.657127029737905,309021.923828769,8628677.75768336,311232.249518001,8887133.09677211,1000
2020-05-16,47026208,4863,0.58,0.651942923132666,28.2054,NA,0.647287103009821,304394.579418572,8933072.33710193,306584.035073648,9193717.13184576,1000
2020-05-17,47026208,4892,0.62,0.64265988638369,30.3304,NA,0.638011568279084,300032.647162984,9233104.98426492,302218.574903358,9495935.70674912,1000
2020-05-18,47026208,4374,0.64,0.633943084737297,27.9936,NA,0.629331600506065,295950.787463711,9529055.77172863,298119.393630178,9794055.1003793,1000
2020-05-19,47026208,4843,0.71,0.625757483735782,34.3853,NA,0.621268581745869,292159.055490462,9821214.82721909,294270.015877155,10088325.1162565,1000
2020-05-20,47026208,4794,0.74,0.618068048921437,35.4756,NA,0.613797382318006,288645.633707421,10109860.4609265,290653.966267337,10378979.0825238,1000
2020-05-21,47026208,3411,0.59,0.610839745836554,20.1249,NA,0.606879078216989,285392.217630804,10395252.6785573,287254.769423769,10666233.8519476,1000
2020-05-22,47026208,4046,0.67,0.604037540023428,27.1082,NA,0.600474743257317,282380.501751652,10677633.180309,284055.949969501,10950289.8019171,1000
2020-05-23,47026208,4747,0.59,0.597626397024352,28.0073,NA,0.594545451253488,279592.180561004,10957225.36087,281041.032527577,11231330.8344446,1000
2020-05-24,47026208,4965,0.51,0.591571282381617,25.3215,NA,0.589052276019998,277008.948549898,11234234.3094199,278193.541721047,11509524.3761657,1000
2020-05-25,47026208,4667,0.52,0.585837161637518,24.2684,0.568627892167268,0.583956291371346,274612.500209375,11508846.8096292,275497.002172955,11785021.3783386,1000
2020-05-26,47026208,4305,0.42,0.580389000334347,18.081,NA,0.579218571122029,272384.530030473,11781231.3396597,272934.938506351,12057956.316845,1000
2020-05-27,47026208,4182,0.63,0.575191764014398,26.3466,NA,0.574800189086545,270306.732504232,12051538.072164,270490.87534428,12328447.1921893,1000
2020-05-28,47026208,4160,0.63,0.570210418219963,26.208,NA,0.570662219079391,268360.80212169,12319898.8742856,268148.33730979,12596595.5294991,1000
2020-05-29,47026208,3839,0.39,0.565409928493336,14.9721,NA,0.566765734915066,266528.433373888,12586427.3076595,265890.849025928,12862486.378525,1000
