regioncode,population,r1_s1,r1_s2,r2_s1,r2_s2,r3_s1,r3_s2
ESAN,8414240,282261.336,280155.388,22843.02,17699.315,91967.95,77835.558
ESAR,1319291,51925.012,39984.796,5545.438,5484.848,12908.384,10892.674
ESAS,1022800,23524.4,19433.2,1022.8,0,0,7159.6
ESCB,581078,28472.822,22662.042,1743.234,581.078,11040.482,4648.624
ESCL,2399548,118742.917,77027.096,6769.369,1347.315,19705.138,24997.731
ESCM,2032863,110298.75,95892.991,12559.06,9789.918,27758.535,23889.926
ESCN,2153389,160995.73,112763.035,23512.433,20500.907,18609.787,37990.288
ESCT,7675217,388990.671,385221.808,36159.725,5664.579,85172.901,102164.949
ESEX,1067710,38502.381,39570.091,0,0,8985.753,6965.076
ESGA,2699499,91831.833,93074.264,7022.888,307.651,38069.024,35774.597
ESIB,1149460,25288.12,16092.44,0,0,8046.22,3448.38
ESMC,1493898,55274.226,25396.266,13445.082,7469.49,13445.082,0
ESMD,6663394,279862.548,273199.154,66633.94,53307.152,73297.334,59970.546
ESPV,2207776,88550.989,70190.361,4686.623,7370.334,26641.504,29785.372
ESVC,5003769,229110.542,135525.951,15591.269,5130.248,74260.684,55294.417
