"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","fatalities_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","fatalities_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","fatalities_p_w_country","stillsick_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","fatalities_p_w_regs_only","fatalities_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","fatalities_p_w_regs","fatalities_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USAK",731545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USAL",4903185,0.25,0.25,0,0,0,0,0,0,12,1,0.25,0.25,0,0,0,0,0,0
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USAR",3017825,0.02,0.02,0,0,0.01,0.01,0,0,100,1,0.02,0.02,0,0,0.01,0.01,0,0
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USAZ",7278717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USCA",39512223,0.0078125,0.00952380952380952,0,0,0,0,0,0,128,7,0.0078125,0.00952380952380952,0,0,0,0,0,0
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USCO",5758736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USCT",3565287,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USDC",705749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USDE",973764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USFL",21477737,0.0548780487804878,0.100396825396825,0.0121951219512195,0.0138888888888889,0,0,0.0182926829268293,0.025,164,3,0.0548780487804878,0.100396825396825,0.0121951219512195,0.0138888888888889,0,0,0.0182926829268293,0.025
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USGA",10617423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USHI",1415872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USIA",3155070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USID",1787065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USIL",12671821,0,0,0,0,0,0,0,0,70,1,0,0,0,0,0,0,0,0
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USIN",6732219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USKS",2913314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USKY",4467673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USLA",4648794,0.25,0.25,0.25,0.25,NA,NA,0.25,0.25,4,1,0.25,0.25,0.25,0.25,NA,NA,0.25,0.25
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USMA",6949503,0.0909090909090909,0.0909090909090909,0,0,0,0,0,0,22,2,0.0909090909090909,0.0909090909090909,0,0,0,0,0,0
"US",2020-11-19,328300544,0.125,0.125,0,0.125,8,2,0.0271460080166425,1386,0.00381078122673977,0.00171639291479658,0.00297121223392663,1386,0.0277075804240075,0.00450627172185173,0.00170654274024968,0.00367152091551099,"USMD",6045680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
