"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","fatalities_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","fatalities_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","fatalities_p_w_country","stillsick_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","fatalities_p_w_regs_only","fatalities_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","fatalities_p_w_regs","fatalities_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"US",2020-11-06,328300544,0.125,0.125,0,0.125,8,2,0.0278550297807941,1723,0.00385374169737095,0.00146235597421036,0.00600669465199348,1723,0.0283039955588147,0.00441363197259974,0.00145559754105399,0.00655663482691206,"USNY",19453561,0.101587301587302,0.0877380952380952,0,0,0.0222222222222222,0.0141666666666667,0,0,315,4,0.101587301587302,0.0877380952380952,0,0,0.0222222222222222,0.0141666666666667,0,0
"US",2020-11-06,328300544,0.125,0.125,0,0.125,8,2,0.0278550297807941,1723,0.00385374169737095,0.00146235597421036,0.00600669465199348,1723,0.0283039955588147,0.00441363197259974,0.00145559754105399,0.00655663482691206,"USOH",11689100,0.11864406779661,0.164395604395604,0.0338983050847458,0.0450549450549451,0,0,0.0338983050847458,0.0450549450549451,118,5,0.11864406779661,0.164395604395604,0.0338983050847458,0.0450549450549451,0,0,0.0338983050847458,0.0450549450549451
"US",2020-11-06,328300544,0.125,0.125,0,0.125,8,2,0.0278550297807941,1723,0.00385374169737095,0.00146235597421036,0.00600669465199348,1723,0.0283039955588147,0.00441363197259974,0.00145559754105399,0.00655663482691206,"USOK",3956971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2020-11-06,328300544,0.125,0.125,0,0.125,8,2,0.0278550297807941,1723,0.00385374169737095,0.00146235597421036,0.00600669465199348,1723,0.0283039955588147,0.00441363197259974,0.00145559754105399,0.00655663482691206,"USOR",4217737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2020-11-06,328300544,0.125,0.125,0,0.125,8,2,0.0278550297807941,1723,0.00385374169737095,0.00146235597421036,0.00600669465199348,1723,0.0283039955588147,0.00441363197259974,0.00145559754105399,0.00655663482691206,"USPA",12801989,0.00666666666666667,0.00666666666666667,0,0,0,0,0,0,150,1,0.00666666666666667,0.00666666666666667,0,0,0,0,0,0
"US",2020-11-06,328300544,0.125,0.125,0,0.125,8,2,0.0278550297807941,1723,0.00385374169737095,0.00146235597421036,0.00600669465199348,1723,0.0283039955588147,0.00441363197259974,0.00145559754105399,0.00655663482691206,"USRI",1059361,0.02,0.02,0,0,0,0,0,0,50,1,0.02,0.02,0,0,0,0,0,0
"US",2020-11-06,328300544,0.125,0.125,0,0.125,8,2,0.0278550297807941,1723,0.00385374169737095,0.00146235597421036,0.00600669465199348,1723,0.0283039955588147,0.00441363197259974,0.00145559754105399,0.00655663482691206,"USSC",5148714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2020-11-06,328300544,0.125,0.125,0,0.125,8,2,0.0278550297807941,1723,0.00385374169737095,0.00146235597421036,0.00600669465199348,1723,0.0283039955588147,0.00441363197259974,0.00145559754105399,0.00655663482691206,"USSD",884659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2020-11-06,328300544,0.125,0.125,0,0.125,8,2,0.0278550297807941,1723,0.00385374169737095,0.00146235597421036,0.00600669465199348,1723,0.0283039955588147,0.00441363197259974,0.00145559754105399,0.00655663482691206,"USTN",6833174,0.0166666666666667,0.0166666666666667,0,0,0,0,0,0,120,2,0.0166666666666667,0.0166666666666667,0,0,0,0,0,0
"US",2020-11-06,328300544,0.125,0.125,0,0.125,8,2,0.0278550297807941,1723,0.00385374169737095,0.00146235597421036,0.00600669465199348,1723,0.0283039955588147,0.00441363197259974,0.00145559754105399,0.00655663482691206,"USTX",28995881,0.01,0.01,0,0,0,0,0,0,100,1,0.01,0.01,0,0,0,0,0,0
"US",2020-11-06,328300544,0.125,0.125,0,0.125,8,2,0.0278550297807941,1723,0.00385374169737095,0.00146235597421036,0.00600669465199348,1723,0.0283039955588147,0.00441363197259974,0.00145559754105399,0.00655663482691206,"USUT",3205958,0,0,NA,NA,0,0,NA,NA,1,1,0,0,NA,NA,0,0,NA,NA
"US",2020-11-06,328300544,0.125,0.125,0,0.125,8,2,0.0278550297807941,1723,0.00385374169737095,0.00146235597421036,0.00600669465199348,1723,0.0283039955588147,0.00441363197259974,0.00145559754105399,0.00655663482691206,"USVA",8535519,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0
"US",2020-11-06,328300544,0.125,0.125,0,0.125,8,2,0.0278550297807941,1723,0.00385374169737095,0.00146235597421036,0.00600669465199348,1723,0.0283039955588147,0.00441363197259974,0.00145559754105399,0.00655663482691206,"USVT",623989,0,0,NA,NA,0,0,NA,NA,56,6,0,0,NA,NA,0,0,NA,NA
"US",2020-11-06,328300544,0.125,0.125,0,0.125,8,2,0.0278550297807941,1723,0.00385374169737095,0.00146235597421036,0.00600669465199348,1723,0.0283039955588147,0.00441363197259974,0.00145559754105399,0.00655663482691206,"USWA",7614893,0,0,0,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0
"US",2020-11-06,328300544,0.125,0.125,0,0.125,8,2,0.0278550297807941,1723,0.00385374169737095,0.00146235597421036,0.00600669465199348,1723,0.0283039955588147,0.00441363197259974,0.00145559754105399,0.00655663482691206,"USWI",5822434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2020-11-06,328300544,0.125,0.125,0,0.125,8,2,0.0278550297807941,1723,0.00385374169737095,0.00146235597421036,0.00600669465199348,1723,0.0283039955588147,0.00441363197259974,0.00145559754105399,0.00655663482691206,"USWV",1792147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2020-11-06,328300544,0.125,0.125,0,0.125,8,2,0.0278550297807941,1723,0.00385374169737095,0.00146235597421036,0.00600669465199348,1723,0.0283039955588147,0.00441363197259974,0.00145559754105399,0.00655663482691206,"USWY",578759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
