"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs"
"US",2020-09-23,328300544,0,0,0,0,0.0347968781028582,2705,0.00961297680663286,2609,0.0347968781028582,0.00961297680663286,"USAK",731545,0,0,0,0,0,0,0,0,0,0
"US",2020-09-23,328300544,0,0,0,0,0.0347968781028582,2705,0.00961297680663286,2609,0.0347968781028582,0.00961297680663286,"USAL",4903185,0.25,0.25,0,0,12,1,0.25,0.25,0,0
"US",2020-09-23,328300544,0,0,0,0,0.0347968781028582,2705,0.00961297680663286,2609,0.0347968781028582,0.00961297680663286,"USAR",3017825,0,0,0,0,0,0,0,0,0,0
"US",2020-09-23,328300544,0,0,0,0,0.0347968781028582,2705,0.00961297680663286,2609,0.0347968781028582,0.00961297680663286,"USAZ",7278717,0.102564102564103,0.0826923076923077,0.0256410256410256,0.025,39,4,0.102564102564103,0.0826923076923077,0.0256410256410256,0.025
"US",2020-09-23,328300544,0,0,0,0,0.0347968781028582,2705,0.00961297680663286,2609,0.0347968781028582,0.00961297680663286,"USCA",39512223,0.00611620795107034,0.00509803921568627,0.00354609929078014,0.00166666666666667,327,17,0.00611620795107034,0.00509803921568627,0.00354609929078014,0.00166666666666667
"US",2020-09-23,328300544,0,0,0,0,0.0347968781028582,2705,0.00961297680663286,2609,0.0347968781028582,0.00961297680663286,"USCO",5758736,0,0,0,0,13,1,0,0,0,0
"US",2020-09-23,328300544,0,0,0,0,0.0347968781028582,2705,0.00961297680663286,2609,0.0347968781028582,0.00961297680663286,"USCT",3565287,0,0,NA,NA,10,1,0,0,NA,NA
"US",2020-09-23,328300544,0,0,0,0,0.0347968781028582,2705,0.00961297680663286,2609,0.0347968781028582,0.00961297680663286,"USDC",705749,0,0,NA,NA,1,1,0,0,NA,NA
"US",2020-09-23,328300544,0,0,0,0,0.0347968781028582,2705,0.00961297680663286,2609,0.0347968781028582,0.00961297680663286,"USDE",973764,0,0,0,0,0,0,0,0,0,0
"US",2020-09-23,328300544,0,0,0,0,0.0347968781028582,2705,0.00961297680663286,2609,0.0347968781028582,0.00961297680663286,"USFL",21477737,0.0344827586206897,0.0690476190476191,0.0227272727272727,0.0166666666666667,174,4,0.0344827586206897,0.0690476190476191,0.0227272727272727,0.0166666666666667
