"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","deaths_prev_week","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/03/20","TD",15946882,1,0,1,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/03/21","TD",15946882,0,0,1,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/22","TD",15946882,1,0,2,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/23","TD",15946882,0,0,2,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/24","TD",15946882,0,0,2,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/25","TD",15946882,1,0,3,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/26","TD",15946882,0,0,3,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/27","TD",15946882,2,0,5,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/28","TD",15946882,0,0,5,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/29","TD",15946882,0,0,5,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/30","TD",15946882,0,0,5,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/31","TD",15946882,2,0,7,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/01","TD",15946882,0,0,7,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/02","TD",15946882,0,0,7,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/03","TD",15946882,0,0,7,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/04","TD",15946882,0,0,7,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/05","TD",15946882,1,0,8,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/06","TD",15946882,1,0,9,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/07","TD",15946882,0,0,9,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/08","TD",15946882,0,0,9,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/09","TD",15946882,1,0,10,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/10","TD",15946882,1,0,11,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/11","TD",15946882,0,0,11,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/12","TD",15946882,0,0,11,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/13","TD",15946882,4,0,15,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/14","TD",15946882,8,0,23,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/04/15","TD",15946882,0,0,23,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
