"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","deaths_prev_week","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"2020/03/13","GH",30417858,2,0,2,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
"2020/03/15","GH",30417858,0,0,2,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/16","GH",30417858,0,0,2,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/17","GH",30417858,4,0,6,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/18","GH",30417858,0,0,6,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0
"2020/03/19","GH",30417858,1,0,7,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/20","GH",30417858,4,0,11,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/21","GH",30417858,5,0,16,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0
"2020/03/22","GH",30417858,5,1,21,1,1,608.871881390495,228.085002327618,1625.38073159013,608.871881390495,608.871881390495,608.871881390495,2.00169216843111e-05,7.49839131761407e-06,5.34350818387716e-05,2.00169216843111e-05,2.00169216843111e-05,2.00169216843111e-05
"2020/03/23","GH",30417858,3,0,24,1,1,491.838328759992,112.872692540497,2143.16621844234,0,608.871881390495,608.871881390495,1.6169393938258e-05,3.71073770350618e-06,7.04574996188864e-05,0,2.00169216843111e-05,2.00169216843111e-05
"2020/03/24","GH",30417858,3,1,27,2,2,803.579522998978,445.495282460661,1449.48796363581,77.6740889779793,686.545970368474,686.545970368474,2.64180180931536e-05,1.46458466096022e-05,4.76525323918539e-05,2.55356866278945e-06,2.25704903471005e-05,2.25704903471005e-05
"2020/03/25","GH",30417858,26,0,53,2,2,1193.03782863422,619.575956924508,2297.27968725179,506.491858265749,1193.03782863422,1193.03782863422,3.9221625291111e-05,2.03688227134372e-05,7.55240453569016e-05,1.66511349440105e-05,3.9221625291111e-05,3.9221625291111e-05
"2020/03/26","GH",30417858,15,1,68,3,3,1730.04885874907,1117.06487839313,2679.40485065148,537.011030114848,1730.04885874907,1730.04885874907,5.68760909709379e-05,3.67239822867583e-05,8.80865723895313e-05,1.76544656798269e-05,5.68760909709379e-05,5.68760909709379e-05
"2020/03/27","GH",30417858,64,0,132,3,3,2450.30835325092,1498.28988583319,4007.2425788768,720.259494501846,2450.30835325092,2450.30835325092,8.05549277418192e-05,4.92569163099253e-05,0.000131739801628267,2.36788367708813e-05,8.05549277418192e-05,8.05549277418192e-05
"2020/03/28","GH",30417858,5,0,137,3,3,1776.8560884832,1035.5336016946,3048.87987604959,0,2450.30835325092,2450.30835325092,5.84148985271481e-05,3.40436069395353e-05,0.000100233220762935,0,8.05549277418192e-05,8.05549277418192e-05
"2020/03/29","GH",30417858,4,2,141,5,4,2104.66427944592,1540.23213240098,2875.93774729952,0,2450.30835325092,2450.30835325092,6.91917320228769e-05,5.0635785478418e-05,9.45476748329722e-05,0,8.05549277418192e-05,8.05549277418192e-05
"2020/03/30","GH",30417858,11,0,152,5,4,1658.71861584246,1187.14329900921,2317.62033179869,0,2450.30835325092,2450.30835325092,5.45310789419313e-05,3.90278401263234e-05,7.61927526849094e-05,0,8.05549277418192e-05,8.05549277418192e-05
"2020/03/31","GH",30417858,0,0,152,5,3,1288.39459083453,909.453728535612,1825.2282327376,0,2450.30835325092,2450.30835325092,4.23565193457913e-05,2.98986775641997e-05,6.00051533128205e-05,0,8.05549277418192e-05,8.05549277418192e-05
"2020/04/01","GH",30417858,0,0,152,5,3,1050.5889524222,735.763699835526,1500.12449268468,0,2450.30835325092,2450.30835325092,3.45385579886065e-05,2.41885441057528e-05,4.93172297893125e-05,0,8.05549277418192e-05,8.05549277418192e-05
"2020/04/02","GH",30417858,43,0,195,5,2,1144.32729926219,796.554571804057,1643.93629035476,0,2450.30835325092,2450.30835325092,3.76202459509866e-05,2.61870698391733e-05,5.40451037135739e-05,0,8.05549277418192e-05,8.05549277418192e-05
"2020/04/03","GH",30417858,9,0,204,5,2,1039.67374860715,720.812018485513,1499.58862480394,0,1841.43647186042,2450.30835325092,3.41797160275766e-05,2.36970012314974e-05,4.92996129051539e-05,0,6.05380060575081e-05,8.05549277418192e-05
"2020/04/04","GH",30417858,1,0,205,5,2,914.727026377259,632.028018548623,1323.87411353443,0,1841.43647186042,2450.30835325092,3.00720394702763e-05,2.07781895276329e-05,4.35229237224538e-05,0,6.05380060575081e-05,8.05549277418192e-05
"2020/04/05","GH",30417858,9,0,214,5,0,845.874897318748,582.766346122556,1227.77223955127,0,1763.76238288244,2450.30835325092,2.78084964864636e-05,1.91586911255407e-05,4.03635338014686e-05,0,5.79844373947187e-05,8.05549277418192e-05
"2020/04/06","GH",30417858,0,0,214,5,0,759.847047301179,522.405106117345,1105.21035979811,0,1257.27052461669,2450.30835325092,2.49802943817142e-05,1.71742897253759e-05,3.63342599534165e-05,0,4.13333024507082e-05,8.05549277418192e-05
"2020/04/07","GH",30417858,73,0,287,5,0,927.572464682945,636.625408568267,1351.4865502666,0,720.259494501846,2450.30835325092,3.04943387099429e-05,2.09293306770078e-05,4.44306943068313e-05,0,2.36788367708813e-05,8.05549277418192e-05
"2020/04/08","GH",30417858,0,0,287,5,0,847.490918050711,580.753029920524,1236.74060947513,0,0,2450.30835325092,2.78616238543395e-05,1.90925025003576e-05,4.0658372771519e-05,0,0,8.05549277418192e-05
"2020/04/09","GH",30417858,26,1,313,6,1,1009.13682798187,737.165906201867,1381.44904562425,0,0,1841.43647186042,3.31758017932054e-05,2.42346422355534e-05,4.54157240665746e-05,0,0,6.05380060575081e-05
"2020/04/10","GH",30417858,65,0,378,6,1,1110.36153515571,810.075968636098,1521.95940441134,0,0,1841.43647186042,3.65036070309654e-05,2.66315915024686e-05,5.00350617854598e-05,0,0,6.05380060575081e-05
"2020/04/11","GH",30417858,0,0,378,6,1,1009.87011022372,735.864043048078,1385.90497682007,0,0,1763.76238288244,3.31999087583262e-05,2.41918429314805e-05,4.556221469704e-05,0,0,5.79844373947187e-05
"2020/04/12","GH",30417858,30,2,408,8,3,1319.15649217465,1041.90705264581,1670.18146813342,0,0,1257.27052461669,4.33678299167105e-05,3.42531368463159e-05,5.49079250791893e-05,0,0,4.13333024507082e-05
"2020/04/13","GH",30417858,158,0,566,8,3,1667.19556875238,1315.48137036918,2112.94597329608,0,0,720.259494501846,5.48097623689471e-05,4.32470087265572e-05,6.9463996225378e-05,0,0,2.36788367708813e-05
"2020/04/14","GH",30417858,0,0,566,8,3,1510.79736010127,1190.98456319575,1916.48887300801,0,0,0,4.96681048383245e-05,3.9154123317814e-05,6.3005385619461e-05,0,0,0
"2020/04/15","GH",30417858,70,0,636,8,3,1523.05565436945,1199.52817970903,1933.84246034923,0,0,0,5.00711014684022e-05,3.94349983391017e-05,6.35758921732502e-05,0,0,0
